Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.250000,1.310000,1.230000,1.280000,1.280000,100200
2022-12-28,1.280000,1.310000,1.280000,1.300000,1.300000,57000
2022-12-29,1.260000,1.300000,1.250000,1.260000,1.260000,95900
2022-12-30,1.270000,1.670000,1.260000,1.660000,1.660000,894900
2023-01-03,1.660000,1.670000,1.490000,1.570000,1.570000,157300
2023-01-04,1.550000,1.620000,1.520000,1.620000,1.620000,144800
2023-01-05,1.600000,1.930000,1.560000,1.650000,1.650000,614900
2023-01-06,1.600000,1.700000,1.600000,1.650000,1.650000,121100
2023-01-09,1.650000,1.680000,1.580000,1.610000,1.610000,81000
2023-01-10,1.600000,1.640000,1.580000,1.610000,1.610000,65400
2023-01-11,1.570000,1.760000,1.560000,1.690000,1.690000,146700
2023-01-12,1.650000,1.700000,1.610000,1.670000,1.670000,75500
2023-01-13,1.650000,1.700000,1.630000,1.690000,1.690000,117200
2023-01-17,1.700000,1.700000,1.610000,1.640000,1.640000,114000
2023-01-18,1.670000,1.690000,1.580000,1.650000,1.650000,64200
2023-01-19,1.620000,1.650000,1.570000,1.620000,1.620000,60000
2023-01-20,1.600000,1.620000,1.430000,1.550000,1.550000,181500
2023-01-23,1.590000,1.620000,1.480000,1.620000,1.620000,110400
2023-01-24,1.550000,1.620000,1.540000,1.550000,1.550000,59700
2023-01-25,1.520000,1.590000,1.310000,1.410000,1.410000,225200
2023-01-26,1.450000,1.500000,1.410000,1.470000,1.470000,58300
2023-01-27,1.420000,1.500000,1.410000,1.470000,1.470000,85700
2023-01-30,1.480000,1.500000,1.440000,1.470000,1.470000,63800
2023-01-31,1.450000,1.520000,1.450000,1.480000,1.480000,49600
2023-02-01,1.470000,1.590000,1.470000,1.490000,1.490000,117500
2023-02-02,1.540000,1.540000,1.450000,1.480000,1.480000,93500
2023-02-03,1.480000,1.710000,1.480000,1.700000,1.700000,279800
2023-02-06,1.710000,1.890000,1.670000,1.830000,1.830000,261500
2023-02-07,1.840000,1.840000,1.640000,1.700000,1.700000,171700
2023-02-08,1.710000,1.860000,1.650000,1.770000,1.770000,195800
2023-02-09,1.800000,1.820000,1.620000,1.650000,1.650000,227600
2023-02-10,1.650000,1.810000,1.650000,1.670000,1.670000,209500
2023-02-13,1.670000,1.680000,1.520000,1.610000,1.610000,143700
2023-02-14,1.540000,1.590000,1.520000,1.570000,1.570000,54200
2023-02-15,1.560000,1.650000,1.560000,1.650000,1.650000,66800
2023-02-16,1.650000,1.680000,1.640000,1.670000,1.670000,64800
2023-02-17,1.670000,1.690000,1.650000,1.670000,1.670000,66100
2023-02-21,1.640000,1.700000,1.560000,1.700000,1.700000,116000
2023-02-22,1.690000,1.690000,1.570000,1.590000,1.590000,43700
2023-02-23,1.580000,1.650000,1.560000,1.590000,1.590000,33600
2023-02-24,1.560000,1.610000,1.420000,1.420000,1.420000,97700
2023-02-27,1.470000,1.470000,1.440000,1.440000,1.440000,20100
2023-02-28,1.410000,1.430000,1.380000,1.400000,1.400000,39500
2023-03-01,1.420000,1.490000,1.380000,1.420000,1.420000,33300
2023-03-02,1.420000,1.420000,1.350000,1.370000,1.370000,30800
2023-03-03,1.400000,1.410000,1.180000,1.320000,1.320000,420200
2023-03-06,1.260000,1.310000,1.220000,1.280000,1.280000,110500
2023-03-07,1.280000,1.280000,1.220000,1.260000,1.260000,45100
2023-03-08,1.280000,1.280000,1.220000,1.250000,1.250000,45300
2023-03-09,1.270000,1.270000,1.190000,1.220000,1.220000,66400
2023-03-10,1.200000,1.200000,1.060000,1.070000,1.070000,119400
2023-03-13,1.080000,1.100000,1.030000,1.080000,1.080000,56600
2023-03-14,1.080000,1.080000,1.020000,1.020000,1.020000,87800
2023-03-15,1.020000,1.050000,1.010000,1.020000,1.020000,90000
2023-03-16,1.020000,1.080000,1.020000,1.050000,1.050000,70500
2023-03-17,1.050000,1.130000,1.050000,1.090000,1.090000,142900
2023-03-20,1.090000,1.120000,1.050000,1.050000,1.050000,42400
2023-03-21,1.050000,1.100000,1.020000,1.040000,1.040000,88700
2023-03-22,1.040000,1.160000,1.040000,1.150000,1.150000,157100
2023-03-23,1.150000,1.150000,1.070000,1.080000,1.080000,33800
2023-03-24,1.070000,1.110000,1.020000,1.060000,1.060000,33200
2023-03-27,1.060000,1.150000,1.050000,1.100000,1.100000,40900
2023-03-28,1.120000,1.120000,1.090000,1.100000,1.100000,8400
2023-03-29,1.140000,1.170000,1.120000,1.120000,1.120000,344900
2023-03-30,1.160000,1.160000,1.120000,1.150000,1.150000,32800
2023-03-31,1.120000,1.150000,1.120000,1.130000,1.130000,61300
2023-04-03,1.090000,1.140000,1.090000,1.110000,1.110000,21200
2023-04-04,1.110000,1.120000,1.090000,1.100000,1.100000,22000
2023-04-05,1.100000,1.100000,1.080000,1.080000,1.080000,14100
2023-04-06,1.090000,1.100000,1.000000,1.030000,1.030000,73800
2023-04-10,1.110000,1.110000,1.060000,1.070000,1.070000,80100
2023-04-11,1.080000,1.090000,1.020000,1.060000,1.060000,98100
2023-04-12,1.080000,1.080000,1.040000,1.070000,1.070000,30400
2023-04-13,1.070000,1.070000,1.030000,1.030000,1.030000,29700
2023-04-14,1.040000,1.050000,1.030000,1.050000,1.050000,24500
2023-04-17,1.050000,1.060000,1.010000,1.030000,1.030000,55700
2023-04-18,1.010000,1.060000,1.010000,1.040000,1.040000,37100
2023-04-19,1.040000,1.040000,1.020000,1.020000,1.020000,14800
2023-04-20,1.010000,1.040000,1.010000,1.040000,1.040000,22900
2023-04-21,1.050000,1.050000,1.010000,1.030000,1.030000,8500
