Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,12.780000,13.000000,12.620000,12.820000,12.820000,35800
2022-12-28,12.840000,13.020000,12.570000,12.570000,12.570000,60100
2022-12-29,12.650000,13.050000,12.620000,12.700000,12.700000,63000
2022-12-30,12.630000,12.750000,12.270000,12.290000,12.290000,65500
2023-01-03,12.350000,12.990000,12.350000,12.860000,12.860000,143700
2023-01-04,12.860000,13.740000,12.860000,13.620000,13.620000,119600
2023-01-05,13.530000,13.560000,12.780000,13.150000,13.150000,63500
2023-01-06,13.220000,13.530000,13.120000,13.400000,13.400000,83100
2023-01-09,13.470000,13.740000,13.180000,13.200000,13.200000,57800
2023-01-10,13.200000,13.570000,12.980000,13.530000,13.530000,87700
2023-01-11,13.500000,13.570000,13.100000,13.130000,13.130000,49600
2023-01-12,13.120000,13.450000,13.000000,13.240000,13.240000,61100
2023-01-13,13.120000,13.230000,12.560000,12.780000,12.780000,232400
2023-01-17,12.790000,13.030000,12.550000,12.890000,12.890000,107200
2023-01-18,13.000000,13.000000,12.050000,12.090000,12.090000,92900
2023-01-19,12.020000,12.200000,11.920000,12.040000,12.040000,258500
2023-01-20,12.150000,12.500000,11.900000,12.420000,12.420000,111700
2023-01-23,12.440000,12.440000,11.750000,12.080000,12.080000,145400
2023-01-24,12.100000,12.300000,11.950000,12.140000,12.140000,165800
2023-01-25,12.130000,12.230000,12.010000,12.170000,12.170000,74800
2023-01-26,12.240000,12.360000,12.060000,12.240000,12.240000,77900
2023-01-27,12.180000,12.210000,12.000000,12.160000,12.160000,91100
2023-01-30,12.060000,12.060000,11.780000,11.790000,11.790000,77700
2023-01-31,11.840000,12.230000,11.830000,12.110000,12.110000,206100
2023-02-01,12.130000,12.580000,12.070000,12.480000,12.480000,176400
2023-02-02,12.470000,13.120000,12.450000,12.590000,12.590000,306700
2023-02-03,12.460000,12.930000,11.890000,12.900000,12.900000,199500
2023-02-06,12.900000,13.280000,12.740000,13.070000,13.070000,391600
2023-02-07,12.900000,13.430000,12.690000,13.410000,13.410000,144600
2023-02-08,13.410000,13.510000,12.880000,12.880000,12.880000,100300
2023-02-09,12.990000,13.010000,12.420000,12.550000,12.550000,51600
2023-02-10,12.450000,12.450000,12.130000,12.310000,12.310000,150800
2023-02-13,12.300000,12.690000,12.030000,12.680000,12.680000,106600
2023-02-14,12.650000,12.810000,12.320000,12.720000,12.720000,68400
2023-02-15,12.710000,12.950000,12.550000,12.770000,12.770000,82900
2023-02-16,12.560000,12.710000,12.230000,12.490000,12.490000,95700
2023-02-17,12.630000,12.830000,12.290000,12.480000,12.480000,115400
2023-02-21,12.410000,12.550000,12.050000,12.120000,12.120000,74700
2023-02-22,12.080000,12.120000,11.620000,11.680000,11.680000,224600
2023-02-23,11.730000,11.980000,11.610000,11.850000,11.850000,133600
2023-02-24,11.580000,11.820000,11.350000,11.570000,11.570000,124800
2023-02-27,11.610000,11.660000,11.400000,11.420000,11.420000,100400
2023-02-28,11.350000,11.490000,11.000000,11.040000,11.040000,123700
2023-03-01,11.040000,11.040000,10.200000,10.450000,10.450000,204000
2023-03-02,10.450000,10.630000,10.310000,10.360000,10.360000,124600
2023-03-03,10.490000,10.540000,10.050000,10.290000,10.290000,142500
2023-03-06,10.310000,10.420000,10.090000,10.350000,10.350000,251100
2023-03-07,10.360000,11.170000,10.360000,11.140000,11.140000,157800
2023-03-08,11.070000,11.100000,10.780000,11.040000,11.040000,177900
2023-03-09,11.030000,11.170000,10.730000,10.740000,10.740000,203300
2023-03-10,10.790000,10.900000,9.660000,9.780000,9.780000,215700
2023-03-13,9.740000,9.750000,9.130000,9.210000,9.210000,152000
2023-03-14,9.510000,9.510000,8.840000,9.260000,9.260000,261200
2023-03-15,7.050000,7.510000,4.460000,4.560000,4.560000,2888500
2023-03-16,4.600000,4.650000,4.150000,4.450000,4.450000,1148400
2023-03-17,4.400000,4.610000,4.060000,4.070000,4.070000,2028800
2023-03-20,4.200000,4.250000,3.780000,3.950000,3.950000,1333100
2023-03-21,4.060000,4.400000,3.930000,4.030000,4.030000,784700
2023-03-22,4.140000,4.750000,4.130000,4.270000,4.270000,665100
2023-03-23,4.450000,4.820000,4.420000,4.640000,4.640000,565300
2023-03-24,4.580000,4.720000,4.440000,4.670000,4.670000,380200
2023-03-27,4.760000,5.110000,4.710000,5.020000,5.020000,334600
2023-03-28,5.020000,5.020000,4.710000,4.830000,4.830000,281900
2023-03-29,4.890000,4.940000,4.680000,4.750000,4.750000,219200
2023-03-30,4.790000,5.070000,4.760000,4.900000,4.900000,251300
2023-03-31,4.990000,5.460000,4.990000,5.420000,5.420000,310100
2023-04-03,5.450000,5.630000,5.310000,5.360000,5.360000,466200
2023-04-04,5.380000,5.570000,5.150000,5.460000,5.460000,341100
2023-04-05,5.460000,5.690000,5.400000,5.510000,5.510000,402500
2023-04-06,5.510000,5.760000,5.510000,5.660000,5.660000,460900
2023-04-10,5.610000,5.670000,5.150000,5.440000,5.440000,312500
2023-04-11,5.480000,6.130000,5.440000,5.920000,5.920000,303600
2023-04-12,5.750000,6.310000,5.750000,6.160000,6.160000,283200
2023-04-13,6.160000,6.720000,6.160000,6.520000,6.520000,343300
2023-04-14,6.530000,6.650000,6.250000,6.320000,6.320000,252400
2023-04-17,6.340000,6.520000,6.240000,6.400000,6.400000,342300
2023-04-18,6.470000,6.660000,6.330000,6.350000,6.350000,278200
2023-04-19,6.250000,6.260000,5.980000,6.050000,6.050000,253200
2023-04-20,6.050000,6.600000,6.040000,6.420000,6.420000,273500
2023-04-21,6.410000,6.700000,6.390000,6.540000,6.540000,239100
2023-04-24,6.550000,6.690000,6.410000,6.590000,6.590000,210300
2023-04-25,6.490000,6.860000,6.450000,6.480000,6.480000,234000
2023-04-26,6.390000,6.440000,6.080000,6.200000,6.200000,199200
2023-04-27,6.270000,6.360000,6.040000,6.060000,6.060000,115600
2023-04-28,5.990000,6.080000,5.570000,5.700000,5.700000,158500
2023-05-01,5.670000,5.810000,5.500000,5.610000,5.610000,142600
2023-05-02,5.510000,5.510000,5.210000,5.380000,5.380000,187200
2023-05-03,5.400000,5.730000,5.340000,5.490000,5.490000,127700
2023-05-04,5.490000,5.490000,5.010000,5.130000,5.130000,163900
2023-05-05,5.210000,5.390000,5.070000,5.340000,5.340000,150500
2023-05-08,5.390000,5.510000,5.320000,5.450000,5.450000,109900
2023-05-09,5.360000,5.460000,5.150000,5.230000,5.230000,140200
2023-05-10,5.730000,6.000000,5.500000,5.840000,5.840000,184400
2023-05-11,5.710000,5.870000,5.500000,5.540000,5.540000,391900
2023-05-12,5.560000,5.560000,5.130000,5.400000,5.400000,129400
2023-05-15,5.370000,5.560000,5.350000,5.500000,5.500000,188800
2023-05-16,5.450000,5.530000,5.370000,5.440000,5.440000,114000
2023-05-17,5.450000,5.730000,5.380000,5.710000,5.710000,157800
2023-05-18,5.670000,6.230000,5.600000,6.230000,6.230000,173200
2023-05-19,6.300000,6.340000,6.100000,6.280000,6.280000,118700
2023-05-22,6.280000,6.350000,6.180000,6.220000,6.220000,95300
2023-05-23,6.190000,6.350000,6.080000,6.290000,6.290000,95200
2023-05-24,6.250000,6.340000,6.200000,6.310000,6.310000,147900
2023-05-25,6.260000,6.310000,6.210000,6.260000,6.260000,76400
2023-05-26,6.170000,6.270000,5.580000,5.670000,5.670000,123400
2023-05-30,5.620000,5.650000,5.170000,5.220000,5.220000,77900
2023-05-31,5.140000,5.200000,4.820000,5.010000,5.010000,238000
2023-06-01,5.020000,5.020000,4.700000,4.720000,4.720000,196200
2023-06-02,4.760000,4.990000,4.690000,4.980000,4.980000,106700
2023-06-05,4.920000,5.080000,4.740000,4.910000,4.910000,155400
2023-06-06,4.890000,5.210000,4.700000,5.160000,5.160000,147600
2023-06-07,5.160000,5.340000,5.010000,5.050000,5.050000,173400
2023-06-08,5.100000,5.260000,4.790000,4.920000,4.920000,147800
2023-06-09,4.880000,4.940000,4.670000,4.690000,4.690000,201900
2023-06-12,4.760000,4.900000,4.600000,4.890000,4.890000,160200
2023-06-13,4.930000,5.290000,4.930000,5.070000,5.070000,142900
2023-06-14,5.080000,5.100000,4.500000,4.510000,4.510000,166400
2023-06-15,4.460000,4.460000,4.020000,4.210000,4.210000,278200
2023-06-16,4.270000,4.270000,3.930000,4.080000,4.080000,281300
2023-06-20,4.050000,4.070000,3.760000,3.890000,3.890000,339100
2023-06-21,3.850000,3.980000,3.820000,3.910000,3.910000,246600
2023-06-22,3.930000,4.170000,3.840000,4.120000,4.120000,280700
2023-06-23,4.090000,4.530000,3.970000,4.490000,4.490000,2950000
2023-06-26,4.390000,5.080000,4.390000,4.970000,4.970000,387600
2023-06-27,5.030000,5.170000,4.820000,4.940000,4.940000,212000
2023-06-28,4.900000,4.900000,4.560000,4.610000,4.610000,128600
2023-06-29,4.590000,4.870000,4.500000,4.840000,4.840000,126800
2023-06-30,4.900000,4.930000,4.690000,4.740000,4.740000,98800
2023-07-03,4.800000,4.970000,4.780000,4.860000,4.860000,31500
2023-07-05,4.900000,5.090000,4.800000,5.060000,5.060000,101000
2023-07-06,5.100000,5.100000,4.850000,4.970000,4.970000,137700
2023-07-07,4.970000,5.010000,4.810000,4.850000,4.850000,67600
2023-07-10,4.820000,4.970000,4.550000,4.760000,4.760000,58800
2023-07-11,4.750000,4.850000,4.430000,4.740000,4.740000,132700
2023-07-12,4.880000,4.910000,4.600000,4.640000,4.640000,50800
2023-07-13,4.610000,4.730000,4.430000,4.610000,4.610000,82300
2023-07-14,4.650000,4.730000,4.500000,4.690000,4.690000,79000
2023-07-17,4.630000,4.820000,4.610000,4.770000,4.770000,30800
2023-07-18,4.810000,4.860000,4.600000,4.660000,4.660000,59300
2023-07-19,4.740000,5.090000,4.740000,5.000000,5.000000,65800
2023-07-20,5.080000,5.130000,4.650000,4.710000,4.710000,156100
2023-07-21,4.700000,4.880000,4.560000,4.780000,4.780000,51400
2023-07-24,4.850000,4.920000,4.700000,4.770000,4.770000,56100
2023-07-25,4.760000,4.820000,4.650000,4.760000,4.760000,61000
2023-07-26,4.750000,4.910000,4.710000,4.790000,4.790000,81200
2023-07-27,4.820000,4.820000,4.560000,4.610000,4.610000,44000
2023-07-28,4.650000,4.850000,4.470000,4.830000,4.830000,53100
2023-07-31,4.770000,5.090000,4.570000,5.010000,5.010000,58300
2023-08-01,4.990000,5.030000,4.690000,4.760000,4.760000,59600
2023-08-02,4.690000,4.980000,4.570000,4.920000,4.920000,122300
2023-08-03,4.840000,5.360000,4.840000,5.170000,5.170000,81300
2023-08-04,5.260000,5.290000,4.900000,4.930000,4.930000,64900
2023-08-07,4.930000,5.210000,4.850000,5.170000,5.170000,123300
2023-08-08,5.190000,5.370000,4.980000,5.370000,5.370000,47800
2023-08-09,5.400000,6.040000,4.940000,6.040000,6.040000,162300
2023-08-10,5.970000,5.990000,5.580000,5.880000,5.880000,83400
2023-08-11,5.770000,5.840000,5.500000,5.770000,5.770000,85000
2023-08-14,5.750000,5.830000,5.620000,5.730000,5.730000,57400
2023-08-15,5.680000,5.700000,5.410000,5.550000,5.550000,95100
2023-08-16,5.490000,5.680000,5.200000,5.340000,5.340000,205800
2023-08-17,5.320000,5.560000,5.210000,5.490000,5.490000,60500
2023-08-18,5.480000,5.950000,5.420000,5.780000,5.780000,87900
2023-08-21,5.770000,5.890000,5.530000,5.890000,5.890000,44200
2023-08-22,5.840000,5.870000,5.540000,5.830000,5.830000,31800
2023-08-23,5.730000,5.790000,5.460000,5.750000,5.750000,71400
2023-08-24,5.780000,5.780000,5.370000,5.490000,5.490000,54900
2023-08-25,5.440000,5.490000,5.210000,5.390000,5.390000,45400
2023-08-28,5.420000,5.460000,5.300000,5.380000,5.380000,80600
2023-08-29,5.550000,5.600000,5.280000,5.530000,5.530000,45900
2023-08-30,5.570000,5.600000,5.420000,5.490000,5.490000,17200
2023-08-31,5.250000,5.540000,5.220000,5.260000,5.260000,66600
2023-09-01,5.280000,5.380000,5.010000,5.230000,5.230000,45700
2023-09-05,5.140000,5.240000,4.950000,5.150000,5.150000,83800
2023-09-06,5.050000,5.220000,4.940000,5.070000,5.070000,48000
2023-09-07,5.070000,5.100000,4.840000,5.090000,5.090000,41700
2023-09-08,5.230000,5.340000,4.900000,5.160000,5.160000,45500
2023-09-11,5.160000,5.340000,5.020000,5.320000,5.320000,24900
2023-09-12,5.280000,5.400000,5.050000,5.050000,5.050000,34700
2023-09-13,5.060000,5.200000,4.870000,5.030000,5.030000,82800
2023-09-14,5.100000,5.170000,4.930000,4.990000,4.990000,39100
2023-09-15,5.040000,5.040000,4.750000,4.780000,4.780000,70300
2023-09-18,4.610000,4.870000,4.580000,4.720000,4.720000,26500
2023-09-19,4.760000,5.200000,4.680000,5.190000,5.190000,68600
2023-09-20,5.240000,5.240000,5.070000,5.070000,5.070000,28800
2023-09-21,5.020000,5.100000,4.920000,5.010000,5.010000,22500
2023-09-22,5.010000,5.110000,4.880000,5.110000,5.110000,77700
2023-09-25,5.050000,5.090000,4.930000,5.010000,5.010000,30300
2023-09-26,5.030000,5.130000,4.970000,5.000000,5.000000,36500
2023-09-27,5.050000,5.080000,4.970000,5.010000,5.010000,27100
2023-09-28,5.010000,5.070000,4.820000,4.870000,4.870000,167100
2023-09-29,4.920000,5.160000,4.800000,4.980000,4.980000,27900
2023-10-02,4.930000,4.930000,4.610000,4.710000,4.710000,32500
