Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,4.030000,4.030000,3.750000,3.900000,3.900000,521600
2022-12-28,3.830000,4.020000,3.820000,3.930000,3.930000,408700
2022-12-29,3.850000,4.100000,3.700000,4.090000,4.090000,508600
2022-12-30,3.910000,4.200000,3.910000,3.910000,3.910000,478700
2023-01-03,4.080000,4.370000,3.950000,4.000000,4.000000,767400
2023-01-04,4.230000,4.530000,4.090000,4.500000,4.500000,685700
2023-01-05,4.420000,4.660000,4.250000,4.530000,4.530000,657800
2023-01-06,4.520000,4.680000,4.360000,4.490000,4.490000,547600
2023-01-09,4.610000,4.670000,4.410000,4.430000,4.430000,515300
2023-01-10,4.520000,4.670000,4.470000,4.580000,4.580000,994800
2023-01-11,4.600000,4.645000,4.240000,4.360000,4.360000,540800
2023-01-12,4.300000,4.510000,4.255000,4.430000,4.430000,345500
2023-01-13,4.460000,4.820000,4.395000,4.790000,4.790000,606500
2023-01-17,4.620000,4.760000,4.310000,4.310000,4.310000,601400
2023-01-18,4.370000,4.570000,4.050000,4.090000,4.090000,524400
2023-01-19,4.100000,4.140000,3.750000,3.830000,3.830000,1123100
2023-01-20,3.990000,4.210000,3.935000,4.170000,4.170000,594600
2023-01-23,4.200000,4.580000,4.200000,4.580000,4.580000,585000
2023-01-24,4.500000,4.570000,4.330000,4.330000,4.330000,364500
2023-01-25,4.230000,4.400000,4.160000,4.190000,4.190000,277600
2023-01-26,4.330000,4.500000,4.080000,4.160000,4.160000,496400
2023-01-27,4.140000,4.320000,3.990000,4.120000,4.120000,460300
2023-01-30,4.000000,4.070000,3.920000,3.970000,3.970000,479300
2023-01-31,3.920000,4.100000,3.890000,3.890000,3.890000,821000
2023-02-01,3.990000,4.325000,3.965000,4.260000,4.260000,748500
2023-02-02,4.260000,4.390000,4.145000,4.160000,4.160000,674500
2023-02-03,4.120000,4.370000,3.970000,4.020000,4.020000,678600
2023-02-06,3.950000,4.070000,3.880000,3.990000,3.990000,345900
2023-02-07,4.060000,4.320000,3.980000,4.240000,4.240000,450500
2023-02-08,4.500000,4.580000,4.220000,4.410000,4.410000,1285700
2023-02-09,4.450000,4.850000,4.430000,4.540000,4.540000,1244700
2023-02-10,4.370000,4.500000,3.960000,4.000000,4.000000,923600
2023-02-13,4.040000,4.120000,3.970000,4.000000,4.000000,719600
2023-02-14,4.020000,4.150000,3.860000,3.880000,3.880000,643500
2023-02-15,3.880000,4.070000,3.870000,4.050000,4.050000,500700
2023-02-16,3.950000,4.050000,3.920000,3.950000,3.950000,336100
2023-02-17,3.900000,4.030000,3.850000,4.010000,4.010000,383400
2023-02-21,3.910000,4.010000,3.850000,3.910000,3.910000,396900
2023-02-22,3.900000,4.080000,3.870000,3.930000,3.930000,431000
2023-02-23,3.960000,4.011000,3.830000,3.830000,3.830000,362000
2023-02-24,3.790000,3.920000,3.710000,3.780000,3.780000,611400
2023-02-27,3.880000,3.975000,3.830000,3.840000,3.840000,376600
2023-02-28,3.770000,3.810000,2.980000,3.060000,3.060000,1692000
2023-03-01,3.190000,3.340000,2.850000,2.980000,2.980000,1081900
2023-03-02,2.890000,3.300000,2.850000,3.220000,3.220000,1040300
2023-03-03,3.200000,3.490000,3.193000,3.390000,3.390000,503900
2023-03-06,3.310000,3.530000,3.160000,3.350000,3.350000,405100
2023-03-07,3.320000,3.515000,3.270000,3.380000,3.380000,408400
2023-03-08,3.300000,3.480000,3.210000,3.250000,3.250000,702600
2023-03-09,3.170000,3.360000,3.110000,3.140000,3.140000,437100
2023-03-10,3.080000,3.130000,2.840000,2.950000,2.950000,878100
2023-03-13,2.950000,3.230000,2.950000,3.150000,3.150000,396900
2023-03-14,3.110000,3.250000,3.058000,3.130000,3.130000,377300
2023-03-15,3.030000,3.160000,2.940000,3.140000,3.140000,705600
2023-03-16,3.010000,3.390000,3.010000,3.320000,3.320000,534300
2023-03-17,3.300000,3.430000,3.220000,3.220000,3.220000,322200
2023-03-20,3.250000,3.305000,3.135000,3.150000,3.150000,317100
2023-03-21,3.210000,3.460000,3.200000,3.340000,3.340000,624700
2023-03-22,3.350000,3.380000,3.180000,3.190000,3.190000,464800
2023-03-23,3.390000,3.690000,3.350000,3.430000,3.430000,752100
2023-03-24,3.390000,3.560000,3.370000,3.430000,3.430000,535400
2023-03-27,3.370000,3.525000,3.365000,3.480000,3.480000,289500
2023-03-28,3.530000,3.580000,3.270000,3.300000,3.300000,443800
2023-03-29,3.330000,3.540000,3.300000,3.510000,3.510000,369800
2023-03-30,3.370000,3.655000,3.370000,3.550000,3.550000,422100
2023-03-31,3.490000,3.735000,3.474000,3.620000,3.620000,668900
2023-04-03,3.690000,3.830000,3.560000,3.690000,3.690000,782200
