Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.784000,0.800000,0.761000,0.775000,0.775000,69400
2022-12-28,0.766000,0.830000,0.750000,0.762000,0.762000,60500
2022-12-29,0.725000,0.800000,0.720000,0.780000,0.780000,62600
2022-12-30,0.710000,0.761000,0.700000,0.760000,0.760000,93400
2023-01-03,0.754000,0.790000,0.731000,0.752000,0.752000,63700
2023-01-04,0.842000,0.950000,0.772000,0.867000,0.867000,2835500
2023-01-05,0.879000,0.910000,0.840000,0.894000,0.894000,450100
2023-01-06,0.880000,0.900000,0.810000,0.896000,0.896000,132300
2023-01-09,0.910000,1.050000,0.900000,0.990000,0.990000,445800
2023-01-10,1.020000,1.050000,0.880000,0.940000,0.940000,155600
2023-01-11,0.910000,1.120000,0.890000,0.986000,0.986000,251300
2023-01-12,1.000000,1.000000,0.921000,0.967000,0.967000,165100
2023-01-13,0.938000,1.072000,0.903000,0.940000,0.940000,84000
2023-01-17,0.980000,1.000000,0.910000,0.990000,0.990000,51100
2023-01-18,1.020000,1.080000,1.000000,1.000000,1.000000,104800
2023-01-19,1.000000,1.040000,0.985000,1.030000,1.030000,53000
2023-01-20,1.030000,1.060000,1.000000,1.030000,1.030000,147700
2023-01-23,1.100000,1.200000,1.030000,1.190000,1.190000,362700
2023-01-24,1.210000,1.240000,1.150000,1.190000,1.190000,136200
2023-01-25,1.160000,1.210000,1.100000,1.130000,1.130000,173100
2023-01-26,1.190000,1.190000,1.110000,1.140000,1.140000,147700
2023-01-27,1.140000,1.210000,1.140000,1.210000,1.210000,197500
2023-01-30,1.210000,1.210000,1.110000,1.170000,1.170000,211300
2023-01-31,1.140000,1.170000,1.060000,1.110000,1.110000,108300
2023-02-01,1.120000,1.150000,1.070000,1.110000,1.110000,81700
2023-02-02,1.130000,1.150000,1.090000,1.150000,1.150000,106600
2023-02-03,1.160000,1.190000,1.090000,1.090000,1.090000,557500
2023-02-06,1.120000,1.140000,1.070000,1.100000,1.100000,124500
2023-02-07,1.090000,1.140000,1.020000,1.120000,1.120000,136400
2023-02-08,1.100000,1.140000,1.040000,1.080000,1.080000,81000
2023-02-09,1.100000,1.100000,1.050000,1.060000,1.060000,99400
2023-02-10,1.060000,1.086000,1.030000,1.030000,1.030000,60800
2023-02-13,1.010000,1.040000,1.000000,1.010000,1.010000,94100
2023-02-14,1.010000,1.050000,0.969000,0.990000,0.990000,129000
2023-02-15,1.000000,1.010000,0.949000,1.000000,1.000000,128600
2023-02-16,1.040000,1.180000,1.010000,1.170000,1.170000,5133700
2023-02-17,1.080000,1.100000,0.999000,1.020000,1.020000,550400
2023-02-21,1.000000,1.030000,0.940000,1.000000,1.000000,343300
2023-02-22,1.000000,1.038000,0.942000,1.000000,1.000000,314000
2023-02-23,1.010000,1.030000,0.964000,0.970000,0.970000,369000
2023-02-24,0.950000,1.020000,0.931000,1.010000,1.010000,177400
2023-02-27,1.010000,1.040000,0.970000,0.990000,0.990000,94400
2023-02-28,0.980000,1.019000,0.960000,1.010000,1.010000,103000
2023-03-01,0.990000,1.040000,0.970000,0.981000,0.981000,220300
2023-03-02,0.990000,1.000000,0.951000,0.958000,0.958000,176700
2023-03-03,0.961000,1.000000,0.952000,0.970000,0.970000,62000
2023-03-06,0.989000,1.010000,0.950000,0.960000,0.960000,107300
2023-03-07,0.960000,0.990000,0.911000,0.990000,0.990000,309300
2023-03-08,0.960000,0.980000,0.930000,0.980000,0.980000,36000
2023-03-09,0.960000,0.990000,0.920000,0.929000,0.929000,115200
2023-03-10,0.930000,0.943000,0.874000,0.899000,0.899000,89000
2023-03-13,0.883000,0.930000,0.870000,0.910000,0.910000,33300
2023-03-14,0.890000,0.940000,0.866000,0.890000,0.890000,69600
2023-03-15,0.860000,0.933000,0.850000,0.890000,0.890000,88900
2023-03-16,0.920000,0.920000,0.860000,0.902000,0.902000,24400
2023-03-17,0.950000,0.960000,0.900000,0.952000,0.952000,88500
2023-03-20,0.879000,0.980000,0.811000,0.895000,0.895000,135100
2023-03-21,0.970000,0.970000,0.880000,0.940000,0.940000,174900
2023-03-22,0.950000,0.963000,0.860000,0.890000,0.890000,258200
2023-03-23,0.940000,0.940000,0.793000,0.840000,0.840000,537200
2023-03-24,0.843000,0.876000,0.814000,0.840000,0.840000,78900
2023-03-27,0.841000,0.860000,0.820000,0.845000,0.845000,38700
2023-03-28,0.820000,0.840000,0.820000,0.820000,0.820000,103200
2023-03-29,0.810000,0.841000,0.800000,0.834000,0.834000,103900
2023-03-30,0.820000,0.848000,0.790000,0.804000,0.804000,136600
2023-03-31,0.810000,0.848000,0.757000,0.811000,0.811000,202100
2023-04-03,0.800000,0.858000,0.760000,0.797000,0.797000,155100
2023-04-04,0.799000,0.820000,0.782000,0.808000,0.808000,175400
2023-04-05,0.820000,0.820000,0.770000,0.800000,0.800000,60400
2023-04-06,0.799000,0.811000,0.770000,0.811000,0.811000,54500
2023-04-10,0.772000,0.788000,0.770000,0.779000,0.779000,168300
2023-04-11,0.760000,0.798000,0.760000,0.768000,0.768000,148200
2023-04-12,0.782000,0.860000,0.771000,0.860000,0.860000,283500
2023-04-13,0.880000,0.882000,0.780000,0.837000,0.837000,255400
2023-04-14,0.900000,0.900000,0.830000,0.836000,0.836000,58700
2023-04-17,0.834000,0.866000,0.830000,0.850000,0.850000,107700
2023-04-18,0.850000,0.910000,0.850000,0.898000,0.898000,68700
2023-04-19,0.880000,0.990000,0.880000,0.969000,0.969000,92900
2023-04-20,0.970000,0.988000,0.940000,0.970000,0.970000,48700
2023-04-21,0.940000,0.990000,0.928000,0.946000,0.946000,51600
2023-04-24,1.160000,1.380000,1.030000,1.100000,1.100000,5527900
2023-04-25,1.100000,1.380000,1.090000,1.344000,1.344000,1494100
2023-04-26,1.360000,1.630000,1.320000,1.520000,1.520000,1990100
2023-04-27,1.580000,2.090000,1.520000,1.660000,1.660000,2621300
2023-04-28,1.570000,1.760000,1.320000,1.700000,1.700000,1531600
2023-05-01,1.780000,2.180000,1.731000,1.800000,1.800000,1393600
2023-05-02,1.850000,1.970000,1.610000,1.620000,1.620000,854500
2023-05-03,1.720000,1.770000,1.550000,1.670000,1.670000,441500
2023-05-04,1.700000,1.700000,1.450000,1.510000,1.510000,335300
2023-05-05,1.520000,1.610000,1.520000,1.580000,1.580000,195500
2023-05-08,1.660000,1.730000,1.645000,1.710000,1.710000,352200
2023-05-09,1.710000,1.750000,1.400000,1.680000,1.680000,314500
2023-05-10,1.710000,1.720000,1.600000,1.650000,1.650000,149600
2023-05-11,1.640000,1.700000,1.590000,1.650000,1.650000,178600
2023-05-12,1.690000,1.690000,1.500000,1.590000,1.590000,185200
2023-05-15,1.610000,1.610000,1.420000,1.440000,1.440000,306500
2023-05-16,1.380000,1.700000,1.380000,1.530000,1.530000,733400
2023-05-17,1.530000,1.550000,1.450000,1.520000,1.520000,150300
2023-05-18,1.500000,1.530000,1.460000,1.510000,1.510000,189900
2023-05-19,1.500000,1.540000,1.420000,1.490000,1.490000,139900
2023-05-22,1.460000,1.540000,1.400000,1.430000,1.430000,138100
2023-05-23,1.480000,1.480000,1.420000,1.470000,1.470000,88100
2023-05-24,1.470000,1.470000,1.370000,1.400000,1.400000,65300
2023-05-25,1.430000,1.490000,1.260000,1.340000,1.340000,345900
2023-05-26,1.320000,1.320000,1.260000,1.300000,1.300000,133600
2023-05-30,1.310000,1.330000,1.280000,1.300000,1.300000,61400
2023-05-31,1.300000,1.372000,1.280000,1.290000,1.290000,141900
2023-06-01,1.320000,1.390000,1.300000,1.300000,1.300000,356700
2023-06-02,1.320000,1.350000,1.270000,1.350000,1.350000,203100
2023-06-05,1.290000,1.480000,1.290000,1.460000,1.460000,257500
2023-06-06,1.480000,1.520000,1.380000,1.470000,1.470000,293600
2023-06-07,1.480000,1.490000,1.350000,1.450000,1.450000,407800
2023-06-08,1.440000,1.540000,1.380000,1.470000,1.470000,204900
2023-06-09,1.470000,1.510000,1.410000,1.470000,1.470000,191000
2023-06-12,1.400000,1.450000,1.392000,1.410000,1.410000,160500
2023-06-13,1.440000,1.490000,1.360000,1.450000,1.450000,259200
2023-06-14,1.420000,1.490000,1.420000,1.430000,1.430000,71900
2023-06-15,1.425000,1.500000,1.360000,1.430000,1.430000,233500
2023-06-16,1.450000,1.540000,1.380000,1.510000,1.510000,524000
2023-06-20,1.510000,1.510000,1.370000,1.470000,1.470000,185700
2023-06-21,1.490000,1.500000,1.410000,1.410000,1.410000,90600
2023-06-22,1.360000,1.460000,1.360000,1.450000,1.450000,125800
2023-06-23,1.450000,1.450000,1.390000,1.420000,1.420000,59400
2023-06-26,1.430000,1.430000,1.310000,1.340000,1.340000,144900
2023-06-27,1.300000,1.390000,1.211000,1.290000,1.290000,236800
2023-06-28,1.290000,1.350000,1.290000,1.350000,1.350000,43700
2023-06-29,1.430000,1.430000,1.260000,1.310000,1.310000,98700
2023-06-30,1.330000,1.350000,1.250000,1.280000,1.280000,70800
2023-07-03,1.310000,1.340000,1.240000,1.280000,1.280000,70300
2023-07-05,1.320000,1.380000,1.300000,1.360000,1.360000,102100
2023-07-06,1.380000,1.390000,1.280000,1.290000,1.290000,109100
2023-07-07,1.300000,1.370000,1.300000,1.360000,1.360000,37900
2023-07-10,1.350000,1.430000,1.320000,1.390000,1.390000,62100
2023-07-11,1.420000,1.438000,1.370000,1.410000,1.410000,60200
2023-07-12,1.410000,1.433000,1.390000,1.410000,1.410000,33000
2023-07-13,1.430000,1.430000,1.360000,1.380000,1.380000,102300
2023-07-14,1.390000,1.400000,1.370000,1.380000,1.380000,29500
2023-07-17,1.410000,1.420000,1.370000,1.405000,1.405000,147100
2023-07-18,1.410000,1.410000,1.340000,1.360000,1.360000,161500
2023-07-19,1.400000,1.473000,1.360000,1.460000,1.460000,267900
2023-07-20,1.450000,1.498000,1.340000,1.370000,1.370000,118600
2023-07-21,1.390000,1.475000,1.340000,1.430000,1.430000,150000
2023-07-24,1.430000,1.459000,1.380000,1.410000,1.410000,40400
2023-07-25,1.420000,1.540000,1.420000,1.500000,1.500000,308700
2023-07-26,1.520000,1.550000,1.450000,1.520000,1.520000,69300
2023-07-27,1.520000,1.540000,1.450000,1.500000,1.500000,167700
2023-07-28,1.520000,1.540000,1.450000,1.490000,1.490000,60500
2023-07-31,1.550000,1.900000,1.550000,1.780000,1.780000,1376500
2023-08-01,1.900000,1.970000,1.644000,1.710000,1.710000,736500
2023-08-02,1.700000,2.178000,1.680000,1.920000,1.920000,1926200
2023-08-03,1.930000,1.950000,1.770000,1.810000,1.810000,463500
2023-08-04,1.890000,1.980000,1.760000,1.780000,1.780000,360600
2023-08-07,1.740000,1.790000,1.620000,1.620000,1.620000,370700
2023-08-08,1.620000,1.620000,1.460000,1.540000,1.540000,322500
2023-08-09,1.580000,1.630000,1.530000,1.560000,1.560000,167200
2023-08-10,1.560000,1.570000,1.413000,1.570000,1.570000,342500
2023-08-11,1.570000,1.660000,1.420000,1.510000,1.510000,548500
2023-08-14,1.490000,1.500000,1.320000,1.420000,1.420000,328800
2023-08-15,1.390000,1.400000,1.310000,1.340000,1.340000,178100
2023-08-16,1.310000,1.330000,1.180000,1.280000,1.280000,180400
2023-08-17,1.240000,1.430000,1.199000,1.400000,1.400000,242300
2023-08-18,1.420000,1.480000,1.370000,1.430000,1.430000,127300
2023-08-21,1.460000,1.460000,1.320000,1.360000,1.360000,105500
2023-08-22,1.360000,1.360000,1.280000,1.330000,1.330000,112100
2023-08-23,1.290000,1.480000,1.280000,1.460000,1.460000,261200
2023-08-24,1.460000,1.460000,1.370000,1.370000,1.370000,96900
2023-08-25,1.340000,1.390000,1.330000,1.390000,1.390000,82900
2023-08-28,1.390000,1.420000,1.353000,1.380000,1.380000,55200
2023-08-29,1.390000,1.430000,1.380000,1.420000,1.420000,95800
2023-08-30,1.420000,1.440000,1.320000,1.340000,1.340000,76800
2023-08-31,1.350000,1.380000,1.260000,1.330000,1.330000,125300
2023-09-01,1.330000,1.340000,1.300000,1.310000,1.310000,50700
2023-09-05,1.320000,1.330000,1.220000,1.260000,1.260000,289600
2023-09-06,1.450000,2.020000,1.330000,1.800000,1.800000,9092300
2023-09-07,1.780000,1.930000,1.520000,1.570000,1.570000,1682100
2023-09-08,1.550000,1.670000,1.500000,1.580000,1.580000,479600
2023-09-11,1.570000,1.825000,1.562000,1.700000,1.700000,1700700
2023-09-12,1.790000,1.790000,1.590000,1.600000,1.600000,419000
2023-09-13,1.610000,1.750000,1.600000,1.690000,1.690000,584700
2023-09-14,1.720000,1.820000,1.681000,1.750000,1.750000,3639500
2023-09-15,1.770000,1.923000,1.730000,1.860000,1.860000,918500
2023-09-18,1.840000,2.030000,1.840000,1.980000,1.980000,1215900
2023-09-19,2.010000,2.570000,2.010000,2.530000,2.530000,3172500
2023-09-20,2.530000,2.830000,2.350000,2.670000,2.670000,2319800
2023-09-21,2.600000,2.900000,2.460000,2.765000,2.765000,1173300
2023-09-22,2.750000,2.820000,2.570000,2.700000,2.700000,669300
2023-09-25,2.720000,2.735000,2.030000,2.050000,2.050000,957700
2023-09-26,2.120000,2.699000,2.120000,2.460000,2.460000,1850900
2023-09-27,2.230000,2.640000,2.180000,2.640000,2.640000,1026700
2023-09-28,2.550000,2.810000,2.521000,2.670000,2.670000,961800
2023-09-29,2.670000,2.730000,2.480000,2.490000,2.490000,981800
2023-10-02,2.420000,2.610000,2.410000,2.520000,2.520000,447200
2023-10-03,2.470000,2.530000,2.210000,2.430000,2.430000,728900
2023-10-04,2.390000,2.405000,2.130000,2.225000,2.225000,1023500
2023-10-05,2.200000,2.330000,2.190000,2.220000,2.220000,523500
2023-10-06,2.180000,2.280000,2.110000,2.225000,2.225000,345400
2023-10-09,2.240000,2.540000,2.170000,2.450000,2.450000,730200
2023-10-10,2.440000,2.450000,2.195000,2.320000,2.320000,505400
2023-10-11,2.300000,2.440000,2.300000,2.330000,2.330000,279800
2023-10-12,2.340000,2.360000,2.200000,2.280000,2.280000,380900
2023-10-13,2.300000,2.500000,2.190000,2.420000,2.420000,6279900
2023-10-16,2.360000,3.110000,2.330000,2.820000,2.820000,2176300
2023-10-17,2.820000,3.090000,2.520000,2.630000,2.630000,1054400
2023-10-18,2.610000,2.710000,2.370000,2.500000,2.500000,736100
