Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,6.500000,6.500000,4.830000,5.000000,5.000000,2460
2022-12-28,4.800000,4.950000,4.500000,4.500000,4.500000,2210
2022-12-29,4.500000,4.500000,4.000000,4.220000,4.220000,3720
2022-12-30,4.000000,5.860000,4.000000,5.500000,5.500000,10560
2023-01-03,5.730000,5.780000,5.100000,5.100000,5.100000,4020
2023-01-04,4.900000,5.700000,4.900000,5.500000,5.500000,1900
2023-01-05,5.130000,5.990000,5.000000,5.600000,5.600000,7340
2023-01-06,5.600000,5.600000,4.100000,5.500000,5.500000,11300
2023-01-09,5.330000,5.500000,4.800000,4.800000,4.800000,1070
2023-01-10,5.700000,5.990000,5.110000,5.700000,5.700000,5120
2023-01-11,5.110000,5.920000,5.110000,5.600000,5.600000,2320
2023-01-12,5.600000,5.920000,5.400000,5.800000,5.800000,1200
2023-01-13,5.900000,5.920000,5.150000,5.400000,5.400000,6530
2023-01-17,5.430000,5.900000,5.100000,5.300000,5.300000,3690
2023-01-18,5.620000,5.990000,5.120000,5.400000,5.400000,8370
2023-01-19,5.600000,5.800000,5.100000,5.700000,5.700000,3780
2023-01-20,5.500000,6.500000,5.120000,5.600000,5.600000,22880
2023-01-23,5.220000,5.920000,5.150000,5.510000,5.510000,37900
2023-01-24,5.360000,5.800000,5.320000,5.480000,5.480000,34900
2023-01-25,5.500000,6.000000,5.396000,5.410000,5.410000,16700
2023-01-26,5.950000,6.430000,5.130000,5.130000,5.130000,26400
2023-01-27,5.257000,5.257000,5.100000,5.120000,5.120000,5500
2023-01-30,5.070000,5.530000,5.070000,5.090000,5.090000,15900
2023-01-31,4.845000,5.050000,4.845000,5.000000,5.000000,6000
2023-02-01,4.900000,5.000000,4.800000,4.920000,4.920000,8900
2023-02-02,4.950000,4.950000,4.325000,4.440000,4.440000,49600
2023-02-03,4.330000,4.640000,4.330000,4.420000,4.420000,5600
2023-02-06,4.390000,4.390000,3.900000,3.910000,3.910000,24100
2023-02-07,3.950000,4.420000,3.950000,4.103000,4.103000,64700
