Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,104.449997,104.449997,101.139999,102.120003,102.120003,105300
2022-12-28,102.279999,104.099998,100.199997,100.220001,100.220001,85000
2022-12-29,101.550003,104.629997,100.990997,104.500000,104.500000,86700
2022-12-30,103.849998,106.050003,102.120003,105.379997,105.379997,88800
2023-01-03,106.480003,108.375000,105.940002,107.169998,107.169998,86200
2023-01-04,108.220001,111.199997,106.320000,111.099998,111.099998,90900
2023-01-05,110.500000,110.589996,106.379997,106.989998,106.989998,80700
2023-01-06,108.400002,111.449997,104.820000,111.320000,111.320000,107100
2023-01-09,112.930000,115.150002,111.500000,112.070000,112.070000,106400
2023-01-10,112.169998,115.764999,110.980003,115.650002,115.650002,82300
2023-01-11,115.650002,118.300003,113.230003,114.889999,114.889999,85800
2023-01-12,115.949997,119.709999,112.480003,119.709999,119.709999,72400
2023-01-13,119.000000,120.220001,117.000000,119.589996,119.589996,91200
2023-01-17,119.500000,121.559998,116.849998,119.209999,119.209999,86700
2023-01-18,120.639999,121.040001,116.650002,117.169998,117.169998,66200
2023-01-19,116.040001,117.309998,113.110001,113.930000,113.930000,108400
2023-01-20,115.250000,116.180000,113.290001,116.139999,116.139999,80900
2023-01-23,116.080002,117.800003,114.760002,116.839996,116.839996,67600
2023-01-24,117.220001,119.739998,114.970001,119.070000,119.070000,71100
2023-01-25,118.040001,118.199997,110.889999,113.019997,113.019997,125800
2023-01-26,113.360001,115.400002,110.940002,114.940002,114.940002,85400
2023-01-27,112.750000,112.750000,102.846001,106.010002,106.010002,537200
2023-01-30,104.860001,113.745003,104.398003,113.410004,113.410004,218100
2023-01-31,113.570000,115.150002,110.309998,112.330002,112.330002,165400
2023-02-01,113.269997,119.070000,110.250000,116.980003,116.980003,146500
2023-02-02,119.000000,121.599998,113.019997,119.459999,119.459999,93000
2023-02-03,117.269997,120.695000,116.959999,117.550003,117.550003,80000
2023-02-06,116.620003,117.900002,115.620003,116.440002,116.440002,58900
2023-02-07,116.089996,122.360001,114.699997,122.120003,122.120003,119600
2023-02-08,121.599998,125.839996,121.120003,124.570000,124.570000,110000
2023-02-09,125.910004,127.620003,124.080002,124.239998,124.239998,85400
2023-02-10,123.050003,126.040001,122.570000,124.309998,124.309998,72400
2023-02-13,124.480003,127.599998,123.870003,125.809998,125.809998,94600
2023-02-14,125.430000,128.839996,125.430000,126.589996,126.589996,73900
2023-02-15,125.419998,130.169998,125.300003,129.880005,129.880005,94000
2023-02-16,128.169998,131.110001,126.320000,127.860001,127.860001,74900
2023-02-17,127.839996,131.740005,125.449997,131.520004,131.520004,184000
2023-02-21,130.000000,130.320007,126.980003,128.919998,128.919998,190900
2023-02-22,129.220001,131.399994,126.760002,127.669998,127.669998,168700
2023-02-23,129.139999,131.380005,126.110001,131.240005,131.240005,126800
2023-02-24,129.240005,131.970001,127.500000,130.440002,130.440002,109100
2023-02-27,130.740005,133.419998,129.589996,132.020004,132.020004,116600
2023-02-28,131.539993,135.809998,130.369995,132.059998,132.059998,164900
2023-03-01,132.779999,134.634995,128.335007,129.740005,129.740005,152600
2023-03-02,128.949997,131.220001,128.289993,129.649994,129.649994,114200
2023-03-03,128.460007,130.960007,123.139999,129.580002,129.580002,209500
2023-03-06,129.610001,131.779999,127.889999,131.229996,131.229996,100200
2023-03-07,131.750000,133.740005,126.650002,126.860001,126.860001,140200
2023-03-08,127.389999,129.520004,125.610001,127.730003,127.730003,67000
2023-03-09,127.040001,128.339996,121.610001,121.790001,121.790001,102200
2023-03-10,121.180000,121.180000,114.389999,116.660004,116.660004,114700
2023-03-13,114.709999,118.800003,113.580002,116.900002,116.900002,205500
2023-03-14,119.760002,122.769997,117.459999,119.139999,119.139999,109300
2023-03-15,117.099998,120.279999,116.129997,120.209999,120.209999,97300
2023-03-16,119.260002,123.570000,119.260002,121.129997,121.129997,108400
2023-03-17,120.570000,120.570000,113.809998,117.110001,117.110001,296900
2023-03-20,117.129997,118.120003,115.639999,117.980003,117.980003,94500
2023-03-21,119.839996,120.440002,117.410004,120.440002,120.440002,88300
2023-03-22,119.989998,120.459999,116.199997,116.570000,116.570000,125500
2023-03-23,116.910004,119.070000,115.739998,118.019997,118.019997,101200
2023-03-24,117.800003,118.930000,115.260002,118.610001,118.610001,104300
2023-03-27,119.300003,120.790001,116.535004,119.940002,119.940002,113300
2023-03-28,119.309998,120.699997,118.440002,120.150002,120.150002,95600
2023-03-29,120.870003,122.269997,119.605003,122.050003,122.050003,104000
2023-03-30,122.970001,123.800003,121.550003,123.309998,123.309998,123900
2023-03-31,123.940002,126.739998,123.000000,124.480003,124.480003,166700
2023-04-03,124.610001,127.860001,123.599998,127.589996,127.589996,103400
2023-04-04,128.179993,129.600006,125.785004,126.760002,126.760002,92600
2023-04-05,125.519997,126.150002,121.209999,123.139999,123.139999,115700
2023-04-06,122.480003,125.750000,121.089996,125.489998,125.489998,66500
2023-04-10,124.480003,127.279999,123.760002,127.019997,127.019997,92100
2023-04-11,127.269997,128.190002,125.010002,127.739998,127.739998,83100
2023-04-12,128.639999,128.639999,125.769997,126.620003,126.620003,72300
2023-04-13,127.440002,129.589996,125.800003,128.679993,128.679993,52200
2023-04-14,127.860001,129.740005,126.220001,128.100006,128.100006,71800
2023-04-17,128.289993,129.979996,127.800003,129.630005,129.630005,54400
2023-04-18,130.929993,131.070007,129.529999,130.020004,130.020004,55100
2023-04-19,129.050003,132.339996,127.830002,131.889999,131.889999,100500
2023-04-20,131.660004,132.845001,127.510002,129.770004,129.770004,107000
2023-04-21,129.369995,133.800003,129.000000,133.220001,133.220001,67500
2023-04-24,132.330002,133.779999,129.410004,131.839996,131.839996,97200
2023-04-25,130.369995,131.550003,124.330002,124.470001,124.470001,110800
2023-04-26,124.430000,126.120003,124.019997,124.860001,124.860001,89700
2023-04-27,124.459999,128.949997,123.360001,128.850006,128.850006,159200
2023-04-28,135.619995,148.169998,134.315002,139.619995,139.619995,435400
2023-05-01,139.080002,141.559998,136.576004,139.940002,139.940002,145700
2023-05-02,139.580002,139.835007,137.529999,137.529999,137.529999,75100
2023-05-03,138.000000,140.479996,136.514999,136.639999,136.639999,77300
2023-05-04,135.830002,137.889999,133.830002,133.889999,133.889999,75000
2023-05-05,135.380005,138.610001,134.169998,137.139999,137.139999,72900
2023-05-08,136.660004,138.279999,134.570007,137.820007,137.820007,60100
2023-05-09,136.690002,141.889999,136.690002,140.309998,140.309998,142500
2023-05-10,141.850006,143.550003,140.000000,142.639999,142.639999,106700
2023-05-11,142.339996,144.380005,141.151001,143.750000,143.750000,65800
2023-05-12,143.309998,144.570007,140.335007,141.330002,141.330002,90800
2023-05-15,140.809998,142.395004,140.268997,141.660004,141.660004,198500
2023-05-16,140.820007,141.750000,139.559998,139.820007,139.820007,45500
2023-05-17,139.490005,142.979996,139.490005,142.169998,142.169998,70100
2023-05-18,142.320007,145.889999,142.259995,144.589996,144.589996,134200
2023-05-19,145.690002,145.690002,143.100006,143.589996,143.589996,58500
2023-05-22,144.119995,146.919998,144.119995,145.330002,145.330002,65500
2023-05-23,144.729996,148.000000,141.960007,142.899994,142.899994,80200
2023-05-24,141.759995,143.059998,140.820007,141.820007,141.820007,62500
2023-05-25,142.970001,143.910004,139.684998,140.500000,140.500000,81200
2023-05-26,140.500000,146.190002,140.050003,142.830002,142.830002,68500
2023-05-30,143.669998,145.830002,139.820007,140.490005,140.490005,55400
2023-05-31,140.149994,143.820007,138.490005,143.149994,143.149994,247600
2023-06-01,142.970001,144.960007,139.720001,144.449997,144.449997,59500
2023-06-02,145.419998,160.339996,145.365005,159.869995,159.869995,247200
2023-06-05,158.339996,159.000000,154.309998,155.050003,155.050003,175000
2023-06-06,153.910004,156.690002,152.809998,155.529999,155.529999,158700
2023-06-07,155.419998,158.050003,153.300003,156.050003,156.050003,98900
2023-06-08,156.000000,163.059998,155.559998,162.169998,162.169998,147300
2023-06-09,162.089996,165.160004,160.945007,162.380005,162.380005,78500
2023-06-12,163.809998,175.494995,163.809998,173.820007,173.820007,226800
2023-06-13,173.940002,176.100006,171.589996,173.179993,173.179993,146700
2023-06-14,172.229996,174.250000,169.324997,173.820007,173.820007,145900
2023-06-15,171.729996,176.369995,171.470001,175.649994,175.649994,211900
2023-06-16,178.100006,178.100006,172.979996,173.240005,173.240005,152000
2023-06-20,171.240005,174.289993,171.240005,172.630005,172.630005,115600
2023-06-21,171.570007,172.220001,168.380005,169.809998,169.809998,143200
2023-06-22,168.910004,169.250000,166.160004,167.369995,167.369995,141300
2023-06-23,164.759995,177.940002,164.255005,166.020004,166.020004,200700
2023-06-26,165.130005,167.320007,162.320007,162.789993,162.789993,149400
