Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,7.420000,7.420000,7.000000,7.000000,7.000000,2710
2022-12-28,6.800000,7.200000,6.600000,6.880000,6.880000,7865
2022-12-29,6.760000,7.200000,6.240000,6.620000,6.620000,18520
2022-12-30,6.080000,6.840000,6.080000,6.620000,6.620000,11265
2023-01-03,7.760000,7.980000,6.720000,7.500000,7.500000,5960
2023-01-04,8.000000,8.000000,7.500000,7.880000,7.880000,4465
2023-01-05,8.000000,10.640000,7.860000,10.300000,10.300000,20925
2023-01-06,10.520000,10.520000,9.000000,9.120000,9.120000,5625
2023-01-09,8.880000,9.400000,8.700000,9.160000,9.160000,3300
2023-01-10,9.160000,9.200000,8.800000,9.100000,9.100000,2420
2023-01-11,9.800000,10.600000,9.500000,10.200000,10.200000,129515
2023-01-12,10.280000,10.640000,8.200000,10.000000,10.000000,25635
2023-01-13,9.800000,10.000000,9.620000,9.760000,9.760000,9950
2023-01-17,9.560000,11.600000,9.200000,11.140000,11.140000,40350
2023-01-18,11.200000,12.000000,10.400000,10.560000,10.560000,9715
2023-01-19,10.560000,10.560000,9.700000,9.760000,9.760000,6385
2023-01-20,9.600000,9.960000,9.480000,9.800000,9.800000,2970
2023-01-23,9.400000,9.720000,9.200000,9.580000,9.580000,7400
2023-01-24,9.780000,10.000000,9.380000,9.600000,9.600000,8160
2023-01-25,9.400000,10.000000,9.040000,10.000000,10.000000,4655
2023-01-26,9.800000,9.800000,9.220000,9.540000,9.540000,1745
2023-01-27,9.800000,9.800000,9.380000,9.480000,9.480000,3125
2023-01-30,10.200000,10.200000,9.720000,9.920000,9.920000,5280
2023-01-31,9.400000,10.040000,9.400000,10.020000,10.020000,8445
2023-02-01,9.800000,10.380000,9.800000,10.000000,10.000000,2300
2023-02-02,10.200000,11.000000,10.200000,10.420000,10.420000,4075
2023-02-03,10.660000,11.320000,10.420000,10.480000,10.480000,5940
2023-02-06,11.000000,11.180000,10.200000,10.200000,10.200000,5945
2023-02-07,10.600000,10.600000,9.840000,10.040000,10.040000,4980
2023-02-08,10.040000,10.400000,10.040000,10.400000,10.400000,1575
2023-02-09,10.300000,10.600000,10.000000,10.400000,10.400000,2465
2023-02-10,10.400000,10.600000,9.200000,9.480000,9.480000,7350
2023-02-13,0.474000,0.474000,0.474000,0.474000,0.474000,0
2023-02-14,7.750000,9.900000,7.740000,8.200000,8.200000,69700
2023-02-15,8.610000,8.610000,7.600000,7.800000,7.800000,25000
2023-02-16,7.736000,7.736000,6.970000,7.100000,7.100000,18500
2023-02-17,7.140000,7.150000,6.880000,6.920000,6.920000,8500
2023-02-21,6.800000,6.950000,6.280000,6.300000,6.300000,28400
2023-02-22,6.550000,6.567000,5.990000,6.310000,6.310000,31300
2023-02-23,5.220000,5.350000,5.050000,5.050000,5.050000,114500
2023-02-24,4.910000,5.100000,4.795000,5.100000,5.100000,33300
2023-02-27,5.125000,5.240000,5.000000,5.060000,5.060000,15700
2023-02-28,5.140000,5.190000,4.936000,5.130000,5.130000,5900
2023-03-01,5.150000,5.200000,5.050000,5.200000,5.200000,5100
2023-03-02,5.130000,5.250000,5.113000,5.210000,5.210000,6800
2023-03-03,5.250000,5.300000,5.170000,5.250000,5.250000,7200
2023-03-06,5.275000,5.323000,5.120000,5.130000,5.130000,10900
2023-03-07,5.210000,5.230000,4.800000,4.860000,4.860000,38000
2023-03-08,4.860000,5.056000,4.860000,4.926000,4.926000,11600
2023-03-09,4.815000,5.120000,4.815000,5.080000,5.080000,4000
2023-03-10,5.150000,5.190000,4.920000,5.040000,5.040000,15200
2023-03-13,5.050000,5.150000,4.930000,5.105000,5.105000,14100
2023-03-14,5.210000,5.450000,5.050000,5.180000,5.180000,29200
2023-03-15,5.320000,5.320000,5.040000,5.220000,5.220000,58200
2023-03-16,5.190000,5.325000,5.150000,5.150000,5.150000,4300
2023-03-17,5.023000,5.255000,5.023000,5.170000,5.170000,9600
2023-03-20,5.140000,5.150000,5.050000,5.139000,5.139000,6000
2023-03-21,5.070000,5.070000,4.920000,5.030000,5.030000,31400
2023-03-22,4.960000,5.240000,4.820000,4.820000,4.820000,16200
2023-03-23,5.100000,5.100000,4.700000,4.750000,4.750000,8800
2023-03-24,4.620000,4.660000,4.600000,4.600000,4.600000,1900
2023-03-27,4.517000,4.760000,4.517000,4.700000,4.700000,4500
2023-03-28,4.527000,4.732000,4.500000,4.610000,4.610000,11300
2023-03-29,4.650000,4.650000,4.501000,4.550000,4.550000,7500
2023-03-30,4.685000,4.685000,4.580000,4.601000,4.601000,3400
2023-03-31,4.570000,4.680000,4.440000,4.440000,4.440000,4900
2023-04-03,4.380000,4.380000,4.135000,4.190000,4.190000,7300
2023-04-04,4.150000,4.170000,3.840000,3.980000,3.980000,13900
2023-04-05,3.860000,3.999000,3.800000,3.840000,3.840000,12400
2023-04-06,4.690000,4.690000,4.088000,4.420000,4.420000,62400
2023-04-10,4.510000,4.530000,4.130000,4.210000,4.210000,7900
2023-04-11,4.150000,4.364000,4.100000,4.180000,4.180000,25500
2023-04-12,4.430000,4.430000,4.040000,4.050000,4.050000,20700
2023-04-13,4.060000,4.470000,4.050000,4.200000,4.200000,10200
2023-04-14,4.120000,4.300000,4.058000,4.100000,4.100000,30900
2023-04-17,4.100000,4.100000,4.040000,4.050000,4.050000,5700
2023-04-18,4.053000,4.260000,4.030000,4.260000,4.260000,2000
2023-04-19,4.130000,4.130000,4.060000,4.060000,4.060000,4900
2023-04-20,4.380000,4.380000,3.780000,3.930000,3.930000,4900
2023-04-21,3.930000,3.930000,3.790000,3.920000,3.920000,4800
2023-04-24,3.849000,4.000000,3.760000,3.908000,3.908000,21400
2023-04-25,3.880000,4.050000,3.780000,3.780000,3.780000,21800
2023-04-26,3.780000,3.928000,3.780000,3.820000,3.820000,14200
2023-04-27,4.077000,4.084000,3.800000,3.970000,3.970000,3300
2023-04-28,4.189000,4.189000,3.902000,3.965000,3.965000,8000
2023-05-01,3.946000,3.990000,3.780000,3.845000,3.845000,9100
2023-05-02,3.770000,3.970000,3.760000,3.900000,3.900000,2000
2023-05-03,3.860000,4.070000,3.800000,3.850000,3.850000,12700
2023-05-04,3.820000,4.040000,3.820000,3.840000,3.840000,7700
2023-05-05,3.850000,4.000000,3.850000,3.900000,3.900000,7100
2023-05-08,3.970000,3.970000,3.822000,3.940000,3.940000,3200
2023-05-09,3.940000,3.962000,3.810000,3.890000,3.890000,6700
2023-05-10,3.890000,4.080000,3.830000,3.850000,3.850000,4300
2023-05-11,3.860000,3.905000,3.810000,3.905000,3.905000,2800
2023-05-12,3.910000,3.980000,3.810000,3.950000,3.950000,5700
2023-05-15,3.800000,3.930000,3.650000,3.660000,3.660000,9300
2023-05-16,3.980000,3.980000,3.650000,3.887000,3.887000,11100
2023-05-17,3.880000,3.880000,3.760000,3.840000,3.840000,4600
2023-05-18,3.880000,3.880000,3.670000,3.738000,3.738000,8000
2023-05-19,3.773000,3.857000,3.730000,3.835000,3.835000,11700
2023-05-22,3.830000,3.860000,3.700000,3.750000,3.750000,16600
2023-05-23,3.790000,3.830000,3.600000,3.650000,3.650000,31100
2023-05-24,3.650000,3.660000,3.330000,3.660000,3.660000,9500
2023-05-25,3.460000,3.680000,3.410000,3.589000,3.589000,10500
2023-05-26,3.520000,3.640000,3.400000,3.400000,3.400000,13800
2023-05-30,3.400000,3.800000,3.330000,3.800000,3.800000,16800
2023-05-31,3.790000,3.900000,3.784000,3.850000,3.850000,16200
2023-06-01,3.870000,3.870000,3.610000,3.660000,3.660000,24500
2023-06-02,3.660000,3.737000,3.430000,3.610000,3.610000,28300
2023-06-05,3.660000,3.790000,3.550000,3.550000,3.550000,14500
2023-06-06,3.670000,3.760000,3.290000,3.750000,3.750000,25500
2023-06-07,3.700000,3.720000,3.550000,3.550000,3.550000,14500
2023-06-08,3.610000,3.660000,3.450000,3.480000,3.480000,18700
2023-06-09,3.670000,3.728000,3.450000,3.530000,3.530000,10300
2023-06-12,3.510000,3.630000,3.180000,3.250000,3.250000,38300
2023-06-13,3.270000,3.450000,3.250000,3.340000,3.340000,19600
2023-06-14,3.232000,3.410000,3.232000,3.400000,3.400000,14300
2023-06-15,3.420000,3.470000,3.200000,3.410000,3.410000,26300
2023-06-16,3.460000,3.560000,3.340000,3.560000,3.560000,28700
