Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.460000,0.470000,0.430000,0.440000,0.440000,345500
2022-12-28,0.440000,0.470000,0.440000,0.470000,0.470000,233200
2022-12-29,0.490000,0.580000,0.460000,0.540000,0.540000,916500
2022-12-30,0.500000,0.580000,0.500000,0.580000,0.580000,389500
2023-01-03,0.590000,0.610000,0.580000,0.600000,0.600000,125000
2023-01-04,0.600000,0.620000,0.580000,0.610000,0.610000,83000
2023-01-05,0.610000,0.670000,0.600000,0.650000,0.650000,184800
2023-01-06,0.650000,0.650000,0.620000,0.630000,0.630000,237700
2023-01-09,0.620000,0.660000,0.620000,0.640000,0.640000,106100
2023-01-10,0.620000,0.660000,0.620000,0.640000,0.640000,238600
2023-01-11,0.630000,0.650000,0.630000,0.650000,0.650000,105200
2023-01-12,0.670000,0.760000,0.640000,0.680000,0.680000,772400
2023-01-13,0.670000,0.710000,0.660000,0.700000,0.700000,505100
2023-01-17,0.720000,0.720000,0.680000,0.680000,0.680000,313000
2023-01-18,0.680000,0.700000,0.630000,0.660000,0.660000,238100
2023-01-19,0.670000,0.670000,0.630000,0.650000,0.650000,196900
2023-01-20,0.660000,0.680000,0.650000,0.680000,0.680000,86300
2023-01-23,0.700000,0.700000,0.670000,0.690000,0.690000,165800
2023-01-24,0.700000,0.710000,0.680000,0.710000,0.710000,238000
2023-01-25,0.700000,0.720000,0.690000,0.710000,0.710000,249300
2023-01-26,0.700000,0.720000,0.700000,0.710000,0.710000,155000
2023-01-27,0.710000,0.760000,0.700000,0.760000,0.760000,369000
2023-01-30,0.750000,0.750000,0.710000,0.740000,0.740000,721800
2023-01-31,0.750000,0.760000,0.740000,0.750000,0.750000,368700
2023-02-01,0.760000,0.770000,0.730000,0.750000,0.750000,240000
2023-02-02,0.750000,0.760000,0.720000,0.740000,0.740000,271900
2023-02-03,0.720000,0.770000,0.720000,0.760000,0.760000,269100
2023-02-06,0.760000,0.770000,0.720000,0.750000,0.750000,122900
2023-02-07,0.740000,0.760000,0.710000,0.730000,0.730000,175900
2023-02-08,0.750000,0.750000,0.690000,0.700000,0.700000,174400
2023-02-09,0.700000,0.710000,0.660000,0.690000,0.690000,169800
