Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.100000,2.100000,2.010000,2.040000,2.040000,111000
2022-12-28,2.100000,2.180000,2.040000,2.100000,2.100000,167500
2022-12-29,2.120000,2.360000,2.120000,2.290000,2.290000,337800
2022-12-30,2.270000,2.360000,2.250000,2.320000,2.320000,199800
2023-01-03,2.380000,2.390000,2.210000,2.290000,2.290000,140300
2023-01-04,2.350000,2.380000,2.290000,2.340000,2.340000,43200
2023-01-05,2.330000,2.350000,2.200000,2.250000,2.250000,111400
2023-01-06,2.240000,2.315000,2.130000,2.180000,2.180000,139500
2023-01-09,2.250000,2.360000,2.240000,2.320000,2.320000,156900
2023-01-10,2.340000,2.420000,2.270000,2.280000,2.280000,113900
2023-01-11,2.350000,2.410000,2.290000,2.300000,2.300000,72600
2023-01-12,2.360000,2.410000,2.220000,2.320000,2.320000,102100
2023-01-13,2.280000,2.360000,2.220000,2.250000,2.250000,135100
2023-01-17,2.310000,2.310000,2.210000,2.250000,2.250000,108400
2023-01-18,2.290000,2.290000,2.110000,2.160000,2.160000,77700
2023-01-19,2.180000,2.580000,2.130000,2.540000,2.540000,271100
2023-01-20,2.540000,2.570000,2.360000,2.400000,2.400000,103900
2023-01-23,2.410000,2.500000,2.360000,2.440000,2.440000,71800
2023-01-24,2.470000,2.470000,2.360000,2.400000,2.400000,72300
2023-01-25,2.420000,2.460000,2.320000,2.390000,2.390000,111300
2023-01-26,2.360000,2.410000,2.320000,2.380000,2.380000,95900
2023-01-27,2.350000,2.450000,2.310000,2.390000,2.390000,63800
2023-01-30,2.400000,2.400000,2.240000,2.280000,2.280000,65100
2023-01-31,2.380000,2.390000,2.250000,2.300000,2.300000,119100
2023-02-01,2.320000,2.330000,2.190000,2.200000,2.200000,127500
2023-02-02,2.200000,2.230000,2.120000,2.200000,2.200000,106400
2023-02-03,2.200000,2.215000,2.130000,2.140000,2.140000,73500
2023-02-06,2.120000,2.170000,2.100000,2.140000,2.140000,33700
2023-02-07,2.220000,2.220000,2.110000,2.180000,2.180000,41400
2023-02-08,2.160000,2.160000,2.010000,2.030000,2.030000,94700
2023-02-09,2.140000,2.140000,1.980000,2.000000,2.000000,226300
2023-02-10,2.010000,2.110000,1.990000,2.110000,2.110000,92900
2023-02-13,2.120000,2.130000,2.010000,2.030000,2.030000,57800
2023-02-14,2.030000,2.050000,1.990000,2.050000,2.050000,38500
2023-02-15,2.000000,2.070000,2.000000,2.050000,2.050000,37500
2023-02-16,2.050000,2.080000,1.990000,1.990000,1.990000,52500
2023-02-17,2.000000,2.040000,1.960000,1.994000,1.994000,59000
2023-02-21,2.060000,2.070000,1.970000,2.060000,2.060000,78300
2023-02-22,2.070000,2.270000,2.020000,2.130000,2.130000,66400
2023-02-23,2.180000,2.180000,2.060000,2.130000,2.130000,42100
2023-02-24,2.090000,2.110000,2.010000,2.010000,2.010000,31900
2023-02-27,2.060000,2.100000,2.000000,2.080000,2.080000,37800
2023-02-28,2.060000,2.160000,2.050000,2.120000,2.120000,63900
2023-03-01,2.150000,2.150000,2.040000,2.100000,2.100000,36100
2023-03-02,2.100000,2.140000,2.030000,2.100000,2.100000,37500
2023-03-03,2.100000,2.160000,2.070000,2.150000,2.150000,25100
2023-03-06,2.100000,2.170000,2.070000,2.160000,2.160000,28500
2023-03-07,2.130000,2.240000,2.070000,2.150000,2.150000,55700
2023-03-08,2.100000,2.150000,2.000000,2.050000,2.050000,45700
2023-03-09,2.090000,2.090000,1.960000,1.990000,1.990000,50800
2023-03-10,1.950000,1.980000,1.760000,1.860000,1.860000,132400
2023-03-13,1.830000,1.950000,1.750000,1.860000,1.860000,88700
2023-03-14,1.850000,1.942000,1.830000,1.870000,1.870000,41700
2023-03-15,1.820000,1.900000,1.760000,1.810000,1.810000,83300
2023-03-16,1.800000,1.830000,1.800000,1.810000,1.810000,12100
2023-03-17,1.800000,1.821000,1.650000,1.770000,1.770000,78400
2023-03-20,1.750000,1.820000,1.700000,1.760000,1.760000,32700
2023-03-21,1.740000,1.800000,1.740000,1.760000,1.760000,16200
2023-03-22,1.800000,1.910000,1.745000,1.850000,1.850000,21700
2023-03-23,1.800000,1.888000,1.710000,1.740000,1.740000,71400
2023-03-24,1.750000,1.860000,1.710000,1.850000,1.850000,14800
2023-03-27,1.900000,1.900000,1.800000,1.860000,1.860000,16000
2023-03-28,1.840000,1.930000,1.840000,1.890000,1.890000,27400
2023-03-29,1.930000,2.070000,1.860000,2.020000,2.020000,51400
2023-03-30,2.080000,2.100000,1.950000,2.040000,2.040000,175500
2023-03-31,1.990000,2.090000,1.990000,2.035000,2.035000,51000
2023-04-03,2.040000,2.105000,2.030000,2.080000,2.080000,50400
2023-04-04,2.040000,2.050000,1.940000,1.990000,1.990000,43700
2023-04-05,1.970000,1.980000,1.830000,1.830000,1.830000,61900
2023-04-06,1.830000,1.889000,1.820000,1.820000,1.820000,16600
2023-04-10,1.800000,1.849000,1.760000,1.770000,1.770000,22200
2023-04-11,1.780000,1.960000,1.780000,1.870000,1.870000,47200
2023-04-12,1.910000,1.950000,1.830000,1.840000,1.840000,36300
2023-04-13,1.830000,1.930000,1.805000,1.890000,1.890000,48600
2023-04-14,1.900000,1.944000,1.860000,1.900000,1.900000,18300
2023-04-17,1.948000,1.970000,1.870000,1.880000,1.880000,21700
2023-04-18,1.860000,1.923000,1.850000,1.880000,1.880000,5100
2023-04-19,1.880000,1.920000,1.870000,1.920000,1.920000,9300
2023-04-20,1.880000,1.900000,1.820000,1.830000,1.830000,18000
2023-04-21,1.840000,1.870000,1.760000,1.850000,1.850000,51800
2023-04-24,1.850000,1.850000,1.630000,1.660000,1.660000,118800
2023-04-25,1.700000,2.090000,1.700000,2.010000,2.010000,342800
2023-04-26,2.050000,2.050000,1.840000,1.900000,1.900000,95700
2023-04-27,1.880000,1.990000,1.880000,1.971000,1.971000,30800
2023-04-28,1.990000,1.990000,1.880000,1.920000,1.920000,42300
2023-05-01,1.890000,1.931000,1.800000,1.810000,1.810000,38000
2023-05-02,1.826000,1.830000,1.680000,1.730000,1.730000,75600
2023-05-03,1.710000,1.800000,1.700000,1.760000,1.760000,69000
2023-05-04,1.759000,1.810000,1.720000,1.730000,1.730000,35700
2023-05-05,1.730000,1.800000,1.710000,1.720000,1.720000,40900
2023-05-08,1.770000,1.770000,1.690000,1.690000,1.690000,26700
2023-05-09,1.730000,1.730000,1.660000,1.680000,1.680000,46300
2023-05-10,1.660000,1.750000,1.660000,1.730000,1.730000,47100
2023-05-11,1.750000,1.791000,1.630000,1.690000,1.690000,65400
2023-05-12,1.640000,1.740000,1.600000,1.610000,1.610000,57900
2023-05-15,1.590000,1.700000,1.550000,1.650000,1.650000,42900
2023-05-16,1.620000,1.663000,1.530000,1.600000,1.600000,51100
2023-05-17,1.576000,1.680000,1.560000,1.680000,1.680000,34000
2023-05-18,1.690000,1.730000,1.650000,1.690000,1.690000,51700
2023-05-19,1.700000,1.750000,1.700000,1.700000,1.700000,43800
2023-05-22,1.710000,1.774000,1.660000,1.720000,1.720000,53600
2023-05-23,1.730000,1.825000,1.730000,1.810000,1.810000,72700
2023-05-24,1.770000,1.780000,1.660000,1.680000,1.680000,48400
2023-05-25,1.735000,1.735000,1.615000,1.630000,1.630000,47200
2023-05-26,1.695000,1.695000,1.620000,1.650000,1.650000,16600
2023-05-30,1.670000,1.680000,1.610000,1.630000,1.630000,48200
2023-05-31,1.620000,1.660000,1.560000,1.560000,1.560000,37400
2023-06-01,1.610000,1.610000,1.510000,1.570000,1.570000,73700
2023-06-02,1.559000,1.610000,1.520000,1.600000,1.600000,43000
2023-06-05,1.640000,1.640000,1.590000,1.600000,1.600000,49500
2023-06-06,1.590000,1.630000,1.560000,1.580000,1.580000,45900
2023-06-07,1.570000,1.640000,1.570000,1.640000,1.640000,32800
2023-06-08,1.680000,1.680000,1.580000,1.610000,1.610000,31700
2023-06-09,1.590000,1.630000,1.530000,1.560000,1.560000,58300
2023-06-12,1.580000,1.580000,1.490000,1.580000,1.580000,67800
2023-06-13,1.590000,1.630000,1.550000,1.610000,1.610000,25300
2023-06-14,1.610000,1.690000,1.590000,1.590000,1.590000,57700
2023-06-15,1.640000,1.640000,1.570000,1.600000,1.600000,46100
2023-06-16,1.600000,1.660000,1.510000,1.510000,1.510000,81700
2023-06-20,1.520000,1.570000,1.520000,1.520000,1.520000,25700
2023-06-21,1.520000,1.525000,1.490000,1.490000,1.490000,37500
2023-06-22,1.490000,1.539000,1.430000,1.430000,1.430000,54200
2023-06-23,1.430000,1.480000,1.340000,1.360000,1.360000,69600
2023-06-26,1.400000,1.402000,1.340000,1.340000,1.340000,45000
2023-06-27,1.330000,1.390000,1.309000,1.390000,1.390000,40000
2023-06-28,1.400000,1.450000,1.390000,1.420000,1.420000,15700
2023-06-29,1.430000,1.450000,1.420000,1.450000,1.450000,19300
2023-06-30,1.450000,1.486000,1.410000,1.460000,1.460000,31600
2023-07-03,1.370000,1.450000,1.305000,1.421000,1.421000,143200
2023-07-05,1.420000,1.490000,1.420000,1.480000,1.480000,31600
