Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.250000,1.280000,1.220000,1.250000,1.250000,16700
2022-12-28,1.260000,1.380000,1.260000,1.290000,1.290000,16400
2022-12-29,1.250000,1.500000,1.250000,1.410000,1.410000,12100
2022-12-30,1.450000,1.460000,1.360000,1.440000,1.440000,7800
2023-01-03,1.440000,1.480000,1.420000,1.470000,1.470000,8200
2023-01-04,1.460000,1.460000,1.400000,1.430000,1.430000,2600
2023-01-05,1.440000,1.450000,1.370000,1.370000,1.370000,9900
2023-01-06,1.360000,1.430000,1.330000,1.330000,1.330000,5200
2023-01-09,1.370000,1.370000,1.350000,1.350000,1.350000,600
2023-01-10,1.400000,1.440000,1.400000,1.420000,1.420000,15900
2023-01-11,1.410000,1.440000,1.410000,1.440000,1.440000,1000
2023-01-12,1.440000,1.440000,1.410000,1.420000,1.420000,9600
2023-01-13,1.360000,1.440000,1.360000,1.430000,1.430000,4500
2023-01-17,1.450000,1.450000,1.380000,1.380000,1.380000,11200
2023-01-18,1.450000,1.590000,1.440000,1.550000,1.550000,48600
2023-01-19,1.800000,1.800000,1.360000,1.470000,1.470000,184800
2023-01-20,1.440000,1.650000,1.400000,1.490000,1.490000,11400
2023-01-23,1.400000,1.550000,1.400000,1.520000,1.520000,10400
2023-01-24,1.540000,1.600000,1.430000,1.520000,1.520000,13800
2023-01-25,1.440000,1.690000,1.440000,1.530000,1.530000,10000
2023-01-26,1.540000,1.600000,1.500000,1.510000,1.510000,5400
2023-01-27,1.620000,1.620000,1.550000,1.580000,1.580000,3700
2023-01-30,1.530000,1.620000,1.530000,1.600000,1.600000,1900
2023-01-31,1.670000,1.670000,1.600000,1.600000,1.600000,3600
2023-02-01,1.530000,1.550000,1.420000,1.530000,1.530000,44400
2023-02-02,1.480000,1.550000,1.480000,1.480000,1.480000,7600
2023-02-03,1.500000,1.550000,1.500000,1.550000,1.550000,14800
2023-02-06,1.550000,1.550000,1.540000,1.540000,1.540000,600
2023-02-07,1.660000,1.660000,1.540000,1.600000,1.600000,3500
2023-02-08,1.610000,1.610000,1.540000,1.570000,1.570000,8300
2023-02-09,1.600000,1.620000,1.500000,1.530000,1.530000,19000
2023-02-10,1.500000,1.580000,1.470000,1.570000,1.570000,26000
2023-02-13,1.410000,1.500000,1.410000,1.440000,1.440000,8300
2023-02-14,1.450000,1.470000,1.370000,1.420000,1.420000,6900
2023-02-15,1.600000,1.600000,1.410000,1.570000,1.570000,7500
2023-02-16,1.380000,1.560000,1.380000,1.540000,1.540000,2100
2023-02-17,1.410000,1.550000,1.410000,1.550000,1.550000,8300
2023-02-21,1.550000,1.550000,1.550000,1.550000,1.550000,300
2023-02-22,1.430000,1.500000,1.430000,1.430000,1.430000,14700
