Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.960000,1.980000,1.850000,1.940000,1.940000,140700
2022-12-28,1.930000,2.040000,1.850000,2.030000,2.030000,231400
2022-12-29,2.000000,2.370000,2.000000,2.260000,2.260000,376100
2022-12-30,2.200000,2.370000,2.100000,2.340000,2.340000,93300
2023-01-03,2.310000,2.559000,2.300000,2.520000,2.520000,291200
2023-01-04,2.560000,2.600000,2.380000,2.580000,2.580000,135800
2023-01-05,2.600000,2.600000,2.480000,2.500000,2.500000,213000
2023-01-06,2.510000,2.620000,2.450000,2.580000,2.580000,744800
2023-01-09,2.640000,2.640000,2.400000,2.450000,2.450000,96100
2023-01-10,2.330000,2.510000,2.320000,2.500000,2.500000,213300
2023-01-11,2.510000,2.510000,2.330000,2.500000,2.500000,115900
2023-01-12,2.510000,2.630000,2.410000,2.610000,2.610000,985500
2023-01-13,2.550000,2.670000,2.550000,2.590000,2.590000,527700
2023-01-17,2.600000,2.660000,2.600000,2.650000,2.650000,181600
2023-01-18,2.650000,2.660000,2.590000,2.650000,2.650000,137800
2023-01-19,2.620000,2.640000,2.525000,2.600000,2.600000,130500
2023-01-20,2.630000,2.650000,2.559000,2.640000,2.640000,598100
2023-01-23,2.600000,2.650000,2.600000,2.650000,2.650000,162900
2023-01-24,2.650000,2.650000,2.530000,2.580000,2.580000,188900
2023-01-25,2.530000,2.890000,2.525000,2.840000,2.840000,1147600
2023-01-26,2.840000,3.150000,2.805000,3.040000,3.040000,362900
2023-01-27,3.040000,3.040000,2.900000,2.960000,2.960000,103500
2023-01-30,2.950000,2.985000,2.900000,2.910000,2.910000,126000
2023-01-31,2.880000,2.955000,2.840000,2.920000,2.920000,166500
2023-02-01,2.930000,3.140000,2.890000,3.060000,3.060000,235900
2023-02-02,3.110000,3.590000,3.071000,3.400000,3.400000,262900
2023-02-03,3.390000,3.670000,3.330000,3.590000,3.590000,199400
2023-02-06,3.530000,3.730000,3.410000,3.420000,3.420000,253600
2023-02-07,3.490000,3.495000,3.300000,3.480000,3.480000,200100
2023-02-08,3.470000,3.500000,3.225000,3.290000,3.290000,165600
2023-02-09,3.500000,3.620000,3.312000,3.330000,3.330000,132000
2023-02-10,3.360000,3.400000,3.210000,3.340000,3.340000,194400
2023-02-13,3.360000,3.401000,3.235000,3.260000,3.260000,90600
2023-02-14,3.260000,3.330000,3.120000,3.280000,3.280000,42600
2023-02-15,3.300000,3.320000,3.226000,3.300000,3.300000,47500
2023-02-16,3.290000,3.330000,3.210000,3.240000,3.240000,78700
2023-02-17,3.280000,3.300000,3.140000,3.290000,3.290000,54900
2023-02-21,3.230000,3.290000,3.100000,3.110000,3.110000,65700
2023-02-22,3.130000,3.190000,2.850000,2.940000,2.940000,210500
2023-02-23,2.960000,3.000000,2.940000,3.000000,3.000000,50700
2023-02-24,2.960000,2.995000,2.850000,2.870000,2.870000,57400
2023-02-27,2.990000,3.110000,2.880000,3.050000,3.050000,1444100
2023-02-28,3.000000,3.250000,3.000000,3.250000,3.250000,387900
2023-03-01,3.250000,3.250000,2.970000,3.000000,3.000000,114500
2023-03-02,3.000000,3.310000,2.960000,3.230000,3.230000,77200
2023-03-03,3.270000,3.320000,3.130000,3.240000,3.240000,203400
2023-03-06,3.250000,3.250000,3.150000,3.150000,3.150000,107200
2023-03-07,3.160000,3.200000,3.120000,3.170000,3.170000,15600
2023-03-08,3.150000,3.150000,2.920000,2.940000,2.940000,310100
2023-03-09,2.920000,2.926000,2.640000,2.730000,2.730000,178700
2023-03-10,2.760000,3.000000,2.700000,2.890000,2.890000,205100
2023-03-13,2.890000,3.000000,2.760000,2.790000,2.790000,96200
2023-03-14,2.860000,2.910000,2.710000,2.830000,2.830000,81200
2023-03-15,2.760000,2.820000,2.500000,2.620000,2.620000,68900
2023-03-16,2.630000,2.950000,2.630000,2.900000,2.900000,102700
2023-03-17,2.870000,2.965000,2.790000,2.910000,2.910000,28500
2023-03-20,2.870000,2.920000,2.510000,2.510000,2.510000,61500
2023-03-21,2.480000,2.800000,2.480000,2.620000,2.620000,132600
2023-03-22,2.630000,2.770000,2.580000,2.700000,2.700000,42700
2023-03-23,2.700000,2.910000,2.700000,2.870000,2.870000,49900
2023-03-24,2.800000,2.920000,2.750000,2.920000,2.920000,57200
2023-03-27,2.960000,3.000000,2.910000,2.960000,2.960000,81600
2023-03-28,2.900000,2.930000,2.760000,2.770000,2.770000,40600
2023-03-29,2.890000,2.939000,2.810000,2.880000,2.880000,84500
2023-03-30,2.855000,2.880000,2.670000,2.720000,2.720000,200600
2023-03-31,2.750000,2.900000,2.750000,2.880000,2.880000,122400
2023-04-03,2.850000,2.880000,2.750000,2.750000,2.750000,166200
2023-04-04,2.750000,3.140000,2.750000,3.100000,3.100000,537900
2023-04-05,3.070000,3.070000,2.864000,2.920000,2.920000,39300
2023-04-06,2.940000,3.040000,2.940000,3.010000,3.010000,43200
2023-04-10,3.040000,3.240000,3.040000,3.240000,3.240000,55100
2023-04-11,3.260000,3.350000,3.172000,3.340000,3.340000,75900
2023-04-12,3.320000,3.320000,3.120000,3.190000,3.190000,27000
2023-04-13,3.210000,3.210000,3.000000,3.050000,3.050000,57200
2023-04-14,3.010000,3.080000,2.934000,3.000000,3.000000,61700
2023-04-17,2.990000,3.015000,2.960000,3.000000,3.000000,87900
2023-04-18,2.985000,3.005000,2.972000,3.000000,3.000000,15900
2023-04-19,2.870000,3.000000,2.870000,2.950000,2.950000,47200
2023-04-20,2.950000,3.000000,2.910000,2.950000,2.950000,48400
2023-04-21,2.990000,2.990000,2.770000,2.900000,2.900000,118800
2023-04-24,2.860000,3.080000,2.820000,3.010000,3.010000,161100
2023-04-25,2.870000,3.040000,2.860000,2.890000,2.890000,54000
2023-04-26,2.920000,2.980000,2.900000,2.940000,2.940000,55300
