Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.740000,0.760000,0.719000,0.742000,0.742000,604000
2022-12-28,0.740000,0.800000,0.735000,0.790000,0.790000,365500
2022-12-29,0.850000,1.080000,0.820000,0.980000,0.980000,2074600
2022-12-30,1.070000,1.250000,1.050000,1.250000,1.250000,1885500
2023-01-03,1.200000,1.220000,1.030000,1.150000,1.150000,1126800
2023-01-04,1.080000,1.140000,1.050000,1.140000,1.140000,381900
2023-01-05,1.140000,1.140000,1.050000,1.130000,1.130000,316900
2023-01-06,1.130000,1.130000,1.000000,1.080000,1.080000,621600
2023-01-09,1.050000,1.089000,1.040000,1.060000,1.060000,219700
2023-01-10,1.050000,1.130000,1.040000,1.110000,1.110000,280600
2023-01-11,1.120000,1.280000,1.110000,1.210000,1.210000,1414000
2023-01-12,1.280000,1.300000,1.200000,1.270000,1.270000,428600
2023-01-13,1.290000,1.470000,1.260000,1.440000,1.440000,1732900
2023-01-17,1.440000,1.440000,1.360000,1.380000,1.380000,502200
2023-01-18,1.390000,1.590000,1.380000,1.510000,1.510000,1294600
2023-01-19,1.570000,1.570000,1.350000,1.400000,1.400000,874900
2023-01-20,1.420000,1.440000,1.310000,1.355000,1.355000,386200
2023-01-23,1.340000,1.410000,1.320000,1.410000,1.410000,330000
2023-01-24,1.370000,1.440000,1.340000,1.380000,1.380000,1609600
2023-01-25,1.370000,1.400000,1.300000,1.385000,1.385000,474000
2023-01-26,1.380000,1.390000,1.320000,1.340000,1.340000,246100
2023-01-27,1.300000,1.330000,1.250000,1.320000,1.320000,407500
2023-01-30,1.320000,1.330000,1.200000,1.210000,1.210000,330600
2023-01-31,1.200000,1.250000,1.180000,1.230000,1.230000,245300
2023-02-01,1.250000,1.270000,1.190000,1.200000,1.200000,337900
2023-02-02,1.200000,1.250000,1.200000,1.250000,1.250000,306000
2023-02-03,1.250000,1.290000,1.240000,1.270000,1.270000,349600
2023-02-06,1.230000,1.250000,1.200000,1.220000,1.220000,338100
2023-02-07,1.200000,1.230000,1.160000,1.200000,1.200000,365300
2023-02-08,1.200000,1.230000,1.180000,1.220000,1.220000,207300
2023-02-09,1.210000,1.270000,1.200000,1.200000,1.200000,287600
2023-02-10,1.200000,1.200000,1.160000,1.170000,1.170000,184500
2023-02-13,1.160000,1.180000,1.040000,1.100000,1.100000,554400
2023-02-14,1.110000,1.160000,1.100000,1.150000,1.150000,137600
2023-02-15,1.160000,1.200000,1.120000,1.190000,1.190000,165200
2023-02-16,1.180000,1.180000,1.130000,1.150000,1.150000,154000
2023-02-17,1.120000,1.140000,1.110000,1.130000,1.130000,150600
2023-02-21,1.120000,1.120000,1.060000,1.080000,1.080000,265700
2023-02-22,1.140000,1.220000,1.090000,1.160000,1.160000,587100
2023-02-23,1.190000,1.230000,1.130000,1.230000,1.230000,272400
