Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.250000,1.290000,1.196000,1.200000,1.200000,107700
2022-12-28,1.210000,1.300000,1.210000,1.250000,1.250000,84800
2022-12-29,1.260000,1.325000,1.220000,1.260000,1.260000,58200
2022-12-30,1.220000,1.320000,1.207000,1.320000,1.320000,109900
2023-01-03,1.300000,1.340000,1.260000,1.290000,1.290000,75000
2023-01-04,1.400000,1.530000,1.350000,1.530000,1.530000,113200
2023-01-05,1.550000,1.690000,1.550000,1.610000,1.610000,136700
2023-01-06,1.600000,1.770000,1.550000,1.670000,1.670000,280300
2023-01-09,1.700000,1.713000,1.580000,1.600000,1.600000,98900
2023-01-10,1.590000,1.700000,1.561000,1.650000,1.650000,80800
2023-01-11,1.660000,1.670000,1.576000,1.650000,1.650000,78200
2023-01-12,1.640000,1.830000,1.570000,1.780000,1.780000,163300
2023-01-13,1.750000,1.830000,1.714000,1.790000,1.790000,98600
2023-01-17,1.780000,1.780000,1.710000,1.720000,1.720000,82200
2023-01-18,1.745000,1.760000,1.650000,1.670000,1.670000,61700
2023-01-19,1.650000,1.720000,1.520000,1.680000,1.680000,139700
2023-01-20,1.660000,1.810000,1.577000,1.740000,1.740000,108000
2023-01-23,1.770000,1.770000,1.700000,1.760000,1.760000,70500
2023-01-24,1.760000,1.800000,1.690000,1.710000,1.710000,165300
2023-01-25,1.710000,1.770000,1.710000,1.740000,1.740000,17000
2023-01-26,1.730000,1.760000,1.710000,1.710000,1.710000,50600
2023-01-27,1.710000,1.790000,1.640000,1.790000,1.790000,109600
2023-01-30,1.790000,1.790000,1.680000,1.690000,1.690000,66000
2023-01-31,1.680000,1.780000,1.650000,1.670000,1.670000,69900
2023-02-01,1.680000,1.750000,1.630000,1.670000,1.670000,53000
2023-02-02,1.670000,1.835000,1.630000,1.820000,1.820000,87700
2023-02-03,1.780000,2.140000,1.750000,1.990000,1.990000,320400
2023-02-06,1.920000,2.074000,1.800000,2.000000,2.000000,170800
2023-02-07,2.030000,2.160000,1.920000,2.090000,2.090000,176400
2023-02-08,2.140000,2.150000,1.900000,1.930000,1.930000,130500
2023-02-09,1.930000,1.975000,1.800000,1.850000,1.850000,75300
2023-02-10,1.830000,1.910000,1.812000,1.910000,1.910000,91900
2023-02-13,1.920000,1.945000,1.880000,1.880000,1.880000,36900
2023-02-14,1.900000,2.085000,1.900000,2.020000,2.020000,148500
2023-02-15,2.100000,2.227000,2.070000,2.110000,2.110000,436100
2023-02-16,2.140000,2.140000,1.950000,1.990000,1.990000,245800
2023-02-17,1.930000,2.030000,1.880000,1.910000,1.910000,222900
2023-02-21,1.950000,1.960000,1.750000,1.800000,1.800000,168700
2023-02-22,1.850000,1.850000,1.610000,1.790000,1.790000,213000
2023-02-23,1.780000,2.130000,1.780000,2.050000,2.050000,1391000
2023-02-24,2.100000,2.120000,1.810000,1.870000,1.870000,824000
2023-02-27,1.910000,2.000000,1.870000,1.950000,1.950000,474800
2023-02-28,1.980000,1.980000,1.890000,1.910000,1.910000,635300
2023-03-01,2.090000,2.110000,1.950000,2.000000,2.000000,399400
2023-03-02,2.000000,2.000000,1.880000,1.920000,1.920000,210000
2023-03-03,1.880000,2.150000,1.880000,2.150000,2.150000,360100
2023-03-06,2.160000,2.190000,1.950000,1.980000,1.980000,188800
2023-03-07,2.080000,2.080000,1.970000,2.040000,2.040000,116600
2023-03-08,2.050000,2.050000,1.960000,1.990000,1.990000,164300
2023-03-09,2.000000,2.030000,1.830000,1.880000,1.880000,267200
2023-03-10,1.850000,1.860000,1.600000,1.600000,1.600000,538400
2023-03-13,1.630000,1.810000,1.620000,1.730000,1.730000,277300
2023-03-14,1.820000,1.830000,1.650000,1.680000,1.680000,210400
2023-03-15,1.660000,1.720000,1.600000,1.610000,1.610000,156100
2023-03-16,1.610000,1.830000,1.610000,1.830000,1.830000,908400
2023-03-17,1.840000,1.965000,1.760000,1.960000,1.960000,883400
2023-03-20,1.960000,2.050000,1.900000,2.040000,2.040000,832400
2023-03-21,2.090000,2.460000,2.030000,2.460000,2.460000,1089100
2023-03-22,2.410000,2.460000,2.220000,2.250000,2.250000,753500
2023-03-23,2.330000,2.370000,2.210000,2.270000,2.270000,472100
2023-03-24,2.260000,2.340000,2.230000,2.300000,2.300000,325800
2023-03-27,2.370000,2.380000,2.250000,2.290000,2.290000,213200
2023-03-28,2.280000,2.319000,2.250000,2.250000,2.250000,238600
2023-03-29,2.280000,2.290000,2.110000,2.130000,2.130000,209000
2023-03-30,2.090000,2.140000,2.040000,2.070000,2.070000,167600
2023-03-31,2.120000,2.120000,1.920000,2.000000,2.000000,287100
2023-04-03,2.000000,2.028000,1.840000,1.870000,1.870000,229500
2023-04-04,1.860000,1.910000,1.770000,1.810000,1.810000,141500
2023-04-05,1.790000,1.970000,1.780000,1.920000,1.920000,200000
2023-04-06,1.910000,1.940000,1.850000,1.880000,1.880000,256300
