Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.000000,2.040000,1.940000,1.980000,1.980000,316200
2022-12-28,1.960000,2.010000,1.950000,1.970000,1.970000,247300
2022-12-29,2.010000,2.100000,1.980000,2.060000,2.060000,260600
2022-12-30,2.030000,2.090000,2.000000,2.090000,2.090000,182500
2023-01-03,2.110000,2.140000,2.020000,2.070000,2.070000,242700
2023-01-04,2.060000,2.110000,2.020000,2.100000,2.100000,221100
2023-01-05,2.030000,2.100000,2.030000,2.070000,2.070000,197600
2023-01-06,2.100000,2.100000,2.060000,2.080000,2.080000,168200
2023-01-09,2.080000,2.140000,2.070000,2.070000,2.070000,187600
2023-01-10,2.070000,2.110000,2.060000,2.060000,2.060000,207500
2023-01-11,2.080000,2.250000,2.060000,2.230000,2.230000,370400
2023-01-12,2.250000,2.320000,2.220000,2.310000,2.310000,305100
2023-01-13,2.320000,2.390000,2.310000,2.380000,2.380000,290600
2023-01-17,2.400000,2.450000,2.310000,2.370000,2.370000,277500
2023-01-18,2.390000,2.440000,2.360000,2.370000,2.370000,222300
2023-01-19,2.330000,2.380000,2.330000,2.340000,2.340000,117200
2023-01-20,2.350000,2.380000,2.340000,2.380000,2.380000,347200
2023-01-23,2.410000,2.580000,2.370000,2.580000,2.580000,1032900
2023-01-24,2.580000,2.600000,2.470000,2.480000,2.480000,442600
2023-01-25,2.430000,2.500000,2.400000,2.420000,2.420000,347900
2023-01-26,2.420000,2.460000,2.400000,2.440000,2.440000,235700
2023-01-27,2.440000,2.480000,2.430000,2.480000,2.480000,161700
2023-01-30,2.490000,2.490000,2.390000,2.390000,2.390000,209800
2023-01-31,2.390000,2.540000,2.370000,2.520000,2.520000,351300
2023-02-01,2.510000,2.540000,2.400000,2.450000,2.450000,649200
2023-02-02,2.580000,2.910000,2.550000,2.880000,2.880000,1027200
2023-02-03,2.870000,3.070000,2.820000,3.000000,3.000000,811900
2023-02-06,2.950000,3.010000,2.930000,2.980000,2.980000,545100
2023-02-07,2.950000,3.130000,2.920000,3.100000,3.100000,595200
2023-02-08,3.090000,3.140000,3.030000,3.120000,3.120000,514000
2023-02-09,3.110000,3.130000,3.040000,3.060000,3.060000,394300
2023-02-10,3.040000,3.100000,3.040000,3.090000,3.090000,364000
2023-02-13,3.090000,3.180000,3.040000,3.180000,3.180000,414800
2023-02-14,3.190000,3.190000,3.030000,3.040000,3.040000,574500
2023-02-15,3.030000,3.160000,2.920000,3.160000,3.160000,353300
2023-02-16,3.140000,3.200000,3.090000,3.180000,3.180000,244300
2023-02-17,3.190000,3.190000,3.010000,3.100000,3.100000,361300
2023-02-21,3.080000,3.110000,2.950000,2.950000,2.950000,343500
2023-02-22,2.970000,3.070000,2.950000,2.950000,2.950000,211900
2023-02-23,2.870000,3.040000,2.870000,2.990000,2.990000,241700
2023-02-24,2.930000,2.960000,2.850000,2.850000,2.850000,293000
2023-02-27,2.890000,2.960000,2.860000,2.930000,2.930000,249100
2023-02-28,2.930000,2.990000,2.890000,2.900000,2.900000,142200
2023-03-01,2.890000,2.950000,2.870000,2.870000,2.870000,227200
2023-03-02,2.850000,2.970000,2.850000,2.950000,2.950000,232600
2023-03-03,2.950000,3.030000,2.910000,3.010000,3.010000,295400
2023-03-06,3.020000,3.080000,3.000000,3.020000,3.020000,206300
2023-03-07,3.010000,3.060000,2.920000,2.960000,2.960000,246500
2023-03-08,2.950000,3.000000,2.930000,2.950000,2.950000,218900
2023-03-09,2.970000,3.020000,2.790000,2.820000,2.820000,547800
2023-03-10,2.760000,2.850000,2.740000,2.780000,2.780000,343700
2023-03-13,2.740000,2.780000,2.690000,2.710000,2.710000,255200
2023-03-14,2.800000,2.870000,2.770000,2.850000,2.850000,374100
2023-03-15,2.770000,2.840000,2.640000,2.720000,2.720000,499600
2023-03-16,2.700000,2.860000,2.640000,2.850000,2.850000,245000
2023-03-17,2.780000,2.840000,2.780000,2.800000,2.800000,336700
2023-03-20,2.800000,2.850000,2.780000,2.780000,2.780000,328900
2023-03-21,2.810000,2.950000,2.790000,2.910000,2.910000,331400
2023-03-22,2.880000,2.950000,2.820000,2.820000,2.820000,202400
2023-03-23,2.840000,2.870000,2.760000,2.780000,2.780000,179800
2023-03-24,2.750000,2.830000,2.750000,2.810000,2.810000,165500
2023-03-27,2.830000,2.870000,2.780000,2.830000,2.830000,215200
2023-03-28,2.820000,2.870000,2.820000,2.850000,2.850000,161600
2023-03-29,2.870000,2.870000,2.830000,2.870000,2.870000,201300
2023-03-30,2.870000,2.920000,2.810000,2.910000,2.910000,220800
2023-03-31,2.940000,2.980000,2.920000,2.970000,2.970000,222100
2023-04-03,2.980000,3.050000,2.920000,2.940000,2.940000,415900
2023-04-04,2.930000,2.980000,2.840000,2.840000,2.840000,244500
2023-04-05,2.800000,2.870000,2.710000,2.730000,2.730000,420500
2023-04-06,2.730000,2.860000,2.700000,2.860000,2.860000,161500
2023-04-10,2.840000,3.010000,2.830000,2.980000,2.980000,445400
2023-04-11,2.980000,3.100000,2.910000,3.040000,3.040000,434700
2023-04-12,3.040000,3.130000,3.030000,3.070000,3.070000,465700
2023-04-13,3.070000,3.100000,2.880000,2.960000,2.960000,599500
2023-04-14,2.960000,3.030000,2.890000,3.000000,3.000000,799600
2023-04-17,2.990000,2.990000,2.880000,2.940000,2.940000,516800
2023-04-18,2.950000,3.060000,2.940000,2.970000,2.970000,516400
2023-04-19,2.920000,2.990000,2.910000,2.920000,2.920000,285700
2023-04-20,2.900000,2.990000,2.900000,2.970000,2.970000,151700
2023-04-21,2.970000,3.010000,2.910000,2.920000,2.920000,333100
2023-04-24,2.950000,3.010000,2.940000,2.960000,2.960000,211700
2023-04-25,2.910000,2.940000,2.770000,2.770000,2.770000,353500
2023-04-26,2.730000,2.800000,2.400000,2.700000,2.700000,287700
2023-04-27,2.860000,3.200000,2.860000,3.170000,3.170000,1000000
2023-04-28,3.200000,3.380000,3.190000,3.340000,3.340000,1001800
2023-05-01,3.420000,3.540000,3.380000,3.460000,3.460000,989400
2023-05-02,3.420000,3.420000,3.220000,3.260000,3.260000,584300
2023-05-03,3.240000,3.580000,3.240000,3.550000,3.550000,654100
2023-05-04,3.490000,3.650000,3.360000,3.510000,3.510000,972400
2023-05-05,3.550000,3.590000,3.460000,3.540000,3.540000,444300
2023-05-08,3.550000,3.580000,3.490000,3.580000,3.580000,223200
2023-05-09,3.530000,3.590000,3.500000,3.560000,3.560000,231100
2023-05-10,3.580000,3.740000,3.550000,3.720000,3.720000,513600
2023-05-11,3.660000,3.690000,3.580000,3.640000,3.640000,284300
2023-05-12,3.620000,3.650000,3.510000,3.530000,3.530000,287200
2023-05-15,3.530000,3.660000,3.500000,3.610000,3.610000,362900
2023-05-16,3.560000,3.630000,3.450000,3.580000,3.580000,353900
2023-05-17,3.580000,3.740000,3.550000,3.640000,3.640000,371900
2023-05-18,3.640000,3.710000,3.580000,3.600000,3.600000,433300
2023-05-19,3.610000,3.710000,3.610000,3.690000,3.690000,270500
2023-05-22,3.710000,3.800000,3.650000,3.780000,3.780000,556400
2023-05-23,3.780000,3.860000,3.640000,3.680000,3.680000,389400
2023-05-24,3.650000,3.690000,3.570000,3.670000,3.670000,320000
2023-05-25,3.640000,3.680000,3.540000,3.580000,3.580000,247400
2023-05-26,3.540000,3.650000,3.540000,3.630000,3.630000,332200
2023-05-30,3.620000,3.740000,3.550000,3.610000,3.610000,316600
2023-05-31,3.560000,3.730000,3.550000,3.690000,3.690000,327900
2023-06-01,3.500000,3.620000,3.490000,3.580000,3.580000,561200
2023-06-02,3.560000,3.800000,3.540000,3.790000,3.790000,472400
2023-06-05,3.750000,3.790000,3.650000,3.650000,3.650000,279500
2023-06-06,3.650000,3.750000,3.650000,3.720000,3.720000,225600
2023-06-07,3.720000,3.740000,3.620000,3.650000,3.650000,241200
2023-06-08,3.670000,3.710000,3.640000,3.680000,3.680000,307900
2023-06-09,3.710000,3.750000,3.680000,3.740000,3.740000,314700
2023-06-12,3.750000,3.990000,3.720000,3.910000,3.910000,1615000
2023-06-13,3.950000,3.950000,3.820000,3.880000,3.880000,887400
2023-06-14,3.900000,4.030000,3.890000,3.910000,3.910000,575700
2023-06-15,3.890000,3.970000,3.860000,3.920000,3.920000,517500
2023-06-16,3.930000,3.950000,3.850000,3.870000,3.870000,914300
2023-06-20,3.850000,4.030000,3.820000,3.970000,3.970000,992300
2023-06-21,3.960000,4.000000,3.760000,3.840000,3.840000,1330600
2023-06-22,3.850000,3.910000,3.810000,3.860000,3.860000,711900
2023-06-23,3.800000,3.860000,3.570000,3.650000,3.650000,12654600
2023-06-26,3.650000,3.850000,3.610000,3.790000,3.790000,894600
2023-06-27,3.770000,3.860000,3.710000,3.780000,3.780000,494800
2023-06-28,3.760000,3.850000,3.690000,3.830000,3.830000,492900
2023-06-29,3.810000,3.920000,3.810000,3.900000,3.900000,457600
2023-06-30,3.920000,3.940000,3.800000,3.870000,3.870000,728200
2023-07-03,3.820000,3.820000,3.740000,3.780000,3.780000,331600
2023-07-05,3.750000,3.750000,3.550000,3.590000,3.590000,1253700
2023-07-06,3.520000,3.620000,3.500000,3.580000,3.580000,529900
2023-07-07,3.590000,3.690000,3.570000,3.660000,3.660000,679400
2023-07-10,3.670000,3.820000,3.670000,3.790000,3.790000,374800
2023-07-11,3.820000,3.840000,3.730000,3.760000,3.760000,400300
2023-07-12,3.820000,3.880000,3.810000,3.860000,3.860000,324300
2023-07-13,3.870000,3.920000,3.860000,3.870000,3.870000,285200
2023-07-14,3.830000,3.890000,3.790000,3.800000,3.800000,318500
2023-07-17,3.800000,3.850000,3.760000,3.820000,3.820000,251000
2023-07-18,3.830000,3.970000,3.810000,3.920000,3.920000,507800
2023-07-19,3.920000,3.980000,3.890000,3.900000,3.900000,292900
2023-07-20,3.910000,3.960000,3.860000,3.900000,3.900000,286600
2023-07-21,3.940000,3.980000,3.900000,3.950000,3.950000,423300
2023-07-24,3.950000,3.980000,3.910000,3.940000,3.940000,278000
2023-07-25,3.900000,3.950000,3.880000,3.890000,3.890000,278400
2023-07-26,3.890000,3.980000,3.890000,3.970000,3.970000,290400
2023-07-27,3.980000,4.070000,3.980000,4.030000,4.030000,468700
2023-07-28,4.070000,4.260000,4.030000,4.200000,4.200000,1471300
2023-07-31,4.220000,4.300000,4.160000,4.260000,4.260000,600400
2023-08-01,4.240000,4.260000,4.140000,4.210000,4.210000,315300
2023-08-02,4.210000,4.210000,4.140000,4.160000,4.160000,293100
2023-08-03,4.140000,4.170000,4.110000,4.140000,4.140000,396000
2023-08-04,4.150000,4.270000,4.140000,4.200000,4.200000,469700
2023-08-07,4.200000,4.220000,4.120000,4.200000,4.200000,356100
2023-08-08,4.160000,4.220000,4.060000,4.100000,4.100000,1020100
2023-08-09,4.000000,4.030000,3.550000,3.600000,3.600000,2104600
2023-08-10,3.710000,3.710000,3.120000,3.150000,3.150000,1743500
2023-08-11,3.120000,3.220000,3.010000,3.080000,3.080000,2572600
2023-08-14,3.030000,3.160000,3.020000,3.150000,3.150000,717700
2023-08-15,3.160000,3.200000,3.080000,3.080000,3.080000,629000
2023-08-16,3.050000,3.060000,2.910000,2.910000,2.910000,861400
2023-08-17,2.900000,2.920000,2.840000,2.870000,2.870000,627400
2023-08-18,2.840000,2.930000,2.820000,2.900000,2.900000,434600
2023-08-21,2.890000,2.920000,2.820000,2.900000,2.900000,433500
2023-08-22,2.930000,2.980000,2.830000,2.830000,2.830000,410700
2023-08-23,2.820000,2.890000,2.820000,2.850000,2.850000,296400
2023-08-24,2.840000,2.870000,2.800000,2.810000,2.810000,287400
2023-08-25,2.800000,2.830000,2.770000,2.810000,2.810000,324600
2023-08-28,2.870000,2.910000,2.830000,2.840000,2.840000,286700
2023-08-29,2.850000,2.860000,2.770000,2.810000,2.810000,787500
2023-08-30,2.810000,2.860000,2.810000,2.850000,2.850000,445100
2023-08-31,2.840000,2.950000,2.840000,2.850000,2.850000,432900
2023-09-01,2.850000,3.000000,2.850000,2.920000,2.920000,463600
2023-09-05,2.900000,2.920000,2.810000,2.850000,2.850000,459700
2023-09-06,2.840000,2.860000,2.750000,2.760000,2.760000,372600
2023-09-07,2.730000,2.740000,2.650000,2.670000,2.670000,599300
2023-09-08,2.660000,2.670000,2.630000,2.630000,2.630000,339700
2023-09-11,2.660000,2.720000,2.640000,2.720000,2.720000,357700
2023-09-12,2.680000,2.770000,2.680000,2.750000,2.750000,420500
2023-09-13,2.740000,2.770000,2.700000,2.710000,2.710000,347900
2023-09-14,2.750000,2.810000,2.740000,2.770000,2.770000,295400
2023-09-15,2.770000,2.800000,2.710000,2.730000,2.730000,465200
2023-09-18,2.720000,2.740000,2.690000,2.710000,2.710000,281300
2023-09-19,2.700000,2.840000,2.700000,2.830000,2.830000,416600
2023-09-20,2.830000,2.860000,2.730000,2.740000,2.740000,294800
2023-09-21,2.720000,2.720000,2.650000,2.700000,2.700000,268100
2023-09-22,2.720000,2.740000,2.690000,2.700000,2.700000,395500
2023-09-25,2.700000,2.800000,2.690000,2.800000,2.800000,329700
2023-09-26,2.790000,2.830000,2.770000,2.800000,2.800000,421400
2023-09-27,2.830000,2.850000,2.690000,2.730000,2.730000,593300
2023-09-28,2.740000,2.790000,2.720000,2.730000,2.730000,232000
2023-09-29,2.750000,2.760000,2.690000,2.720000,2.720000,305400
2023-10-02,2.740000,2.750000,2.650000,2.670000,2.670000,309700
2023-10-03,2.640000,2.660000,2.580000,2.600000,2.600000,412200
2023-10-04,2.650000,2.930000,2.620000,2.890000,2.890000,770900
2023-10-05,2.880000,3.100000,2.880000,3.080000,3.080000,933700
2023-10-06,3.070000,3.100000,2.970000,2.990000,2.990000,495400
2023-10-09,2.960000,2.990000,2.830000,2.880000,2.880000,279200
2023-10-10,2.870000,2.960000,2.860000,2.920000,2.920000,230300
2023-10-11,2.930000,2.930000,2.800000,2.870000,2.870000,321200
2023-10-12,2.860000,2.860000,2.770000,2.820000,2.820000,390500
2023-10-13,2.810000,2.860000,2.800000,2.840000,2.840000,232400
2023-10-16,2.860000,2.910000,2.810000,2.880000,2.880000,256400
