Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.120000,3.140000,3.070000,3.070000,3.070000,36900
2022-12-28,3.110000,3.145000,3.071000,3.140000,3.140000,38200
2022-12-29,3.160000,3.340000,3.110000,3.300000,3.300000,92100
2022-12-30,3.300000,3.410000,3.250000,3.410000,3.410000,23800
2023-01-03,3.500000,3.597000,3.370000,3.500000,3.500000,25200
2023-01-04,3.500000,3.550000,3.300000,3.505000,3.505000,40800
2023-01-05,3.580000,3.580000,3.420000,3.450000,3.450000,23800
2023-01-06,3.450000,3.540000,3.430000,3.500000,3.500000,12300
2023-01-09,3.520000,4.150000,3.450000,4.150000,4.150000,84800
2023-01-10,4.180000,4.180000,3.900000,4.010000,4.010000,26000
2023-01-11,4.100000,4.100000,3.900000,4.000000,4.000000,34800
2023-01-12,3.990000,4.420000,3.950000,4.190000,4.190000,39700
2023-01-13,4.470000,4.750000,4.325000,4.540000,4.540000,70700
2023-01-17,4.810000,5.400000,4.710000,4.780000,4.780000,213800
2023-01-18,4.670000,4.748000,4.330000,4.380000,4.380000,60100
2023-01-19,4.340000,4.610000,4.340000,4.420000,4.420000,29100
2023-01-20,4.360000,4.440000,4.300000,4.300000,4.300000,22100
2023-01-23,4.250000,4.324000,4.112000,4.150000,4.150000,25300
2023-01-24,4.212000,4.250000,4.140000,4.170000,4.170000,11000
2023-01-25,4.305000,4.500000,4.170000,4.220000,4.220000,35700
2023-01-26,4.250000,4.300000,3.840000,3.980000,3.980000,29300
2023-01-27,3.880000,4.020000,3.740000,3.770000,3.770000,47700
2023-01-30,3.770000,3.870000,3.400000,3.480000,3.480000,42700
2023-01-31,3.400000,3.660000,3.310000,3.570000,3.570000,275700
2023-02-01,3.490000,3.650000,3.490000,3.600000,3.600000,10800
2023-02-02,3.750000,3.780000,3.630000,3.750000,3.750000,51900
2023-02-03,3.790000,3.890000,3.650000,3.790000,3.790000,21800
2023-02-06,3.900000,4.060000,3.650000,3.700000,3.700000,37800
2023-02-07,3.740000,3.850000,3.500000,3.660000,3.660000,18900
2023-02-08,3.690000,3.690000,3.550000,3.610000,3.610000,7900
2023-02-09,3.600000,3.600000,3.500000,3.560000,3.560000,8600
2023-02-10,3.500000,3.550000,3.310000,3.420000,3.420000,34700
2023-02-13,3.480000,3.480000,3.175000,3.300000,3.300000,100700
2023-02-14,3.280000,3.340000,3.130000,3.180000,3.180000,76200
2023-02-15,3.240000,3.300000,3.170000,3.290000,3.290000,32300
2023-02-16,3.440000,3.880000,3.300000,3.880000,3.880000,133700
2023-02-17,3.920000,4.430000,3.920000,4.350000,4.350000,149100
2023-02-21,6.530000,7.610000,6.060000,6.400000,6.400000,40559300
2023-02-22,6.580000,6.580000,5.910000,5.950000,5.950000,3777100
2023-02-23,6.090000,6.290000,5.510000,6.220000,6.220000,1496500
2023-02-24,6.220000,6.300000,5.898000,6.270000,6.270000,666700
2023-02-27,6.400000,7.180000,6.340000,6.940000,6.940000,3449500
2023-02-28,7.100000,7.450000,6.400000,6.980000,6.980000,1737200
2023-03-01,6.980000,6.980000,5.690000,5.930000,5.930000,1948800
2023-03-02,4.950000,5.280000,4.610000,4.650000,4.650000,1648200
2023-03-03,4.770000,4.890000,4.400000,4.520000,4.520000,1159100
2023-03-06,4.390000,4.390000,3.590000,3.640000,3.640000,2180100
2023-03-07,3.650000,4.050000,3.586000,3.740000,3.740000,1168700
2023-03-08,3.670000,4.010000,3.661000,3.870000,3.870000,424600
2023-03-09,3.880000,3.920000,3.550000,3.550000,3.550000,504600
2023-03-10,3.470000,3.500000,3.245000,3.270000,3.270000,748600
2023-03-13,3.200000,3.430000,3.123000,3.380000,3.380000,303300
2023-03-14,3.390000,3.497000,3.180000,3.220000,3.220000,337000
2023-03-15,3.200000,3.330000,3.150000,3.250000,3.250000,159700
2023-03-16,3.320000,3.810000,3.320000,3.730000,3.730000,420400
