Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.539000,0.539000,0.539000,0.539000,0.539000,0
2022-12-28,0.677000,0.734000,0.542000,0.734000,0.734000,4529600
2022-12-29,0.660000,0.920000,0.633000,0.904000,0.904000,997400
2022-12-30,0.790000,1.386000,0.760000,1.080000,1.080000,1966900
2023-01-03,0.909000,1.180000,0.832000,1.160000,1.160000,1143600
2023-01-04,1.230000,1.400000,1.180000,1.200000,1.200000,900900
2023-01-05,1.430000,1.790000,1.336000,1.600000,1.600000,2997900
2023-01-06,1.450000,1.478000,1.260000,1.420000,1.420000,572900
2023-01-09,1.400000,1.530000,1.350000,1.420000,1.420000,263500
2023-01-10,1.290000,1.350000,1.200000,1.270000,1.270000,316600
2023-01-11,1.120000,1.160000,0.990000,1.040000,1.040000,704800
2023-01-12,1.250000,1.480000,1.120000,1.420000,1.420000,1129800
2023-01-13,1.400000,1.590000,1.400000,1.470000,1.470000,426100
2023-01-17,1.870000,1.870000,1.650000,1.820000,1.820000,962600
2023-01-18,1.800000,1.850000,1.600000,1.660000,1.660000,486300
2023-01-19,1.570000,1.820000,1.540000,1.720000,1.720000,272600
2023-01-20,1.770000,1.830000,1.610000,1.730000,1.730000,432900
2023-01-23,1.890000,2.030000,1.831000,1.940000,1.940000,550100
2023-01-24,2.050000,2.070000,1.940000,2.060000,2.060000,338900
2023-01-25,1.940000,2.000000,1.750000,1.960000,1.960000,505300
2023-01-26,2.000000,2.040000,1.900000,2.030000,2.030000,277200
2023-01-27,1.960000,2.010000,1.870000,1.900000,1.900000,278900
2023-01-30,1.870000,1.910000,1.710000,1.790000,1.790000,203000
2023-01-31,1.790000,1.960000,1.773000,1.920000,1.920000,182200
2023-02-01,1.880000,1.950000,1.790000,1.900000,1.900000,210300
2023-02-02,1.980000,2.200000,1.950000,2.120000,2.120000,451900
2023-02-03,2.010000,2.100000,1.880000,1.970000,1.970000,260100
2023-02-06,1.900000,3.200000,1.900000,2.660000,2.660000,3032600
2023-02-07,2.560000,2.750000,2.420000,2.720000,2.720000,1029600
2023-02-08,2.450000,2.510000,2.100000,2.180000,2.180000,416200
2023-02-09,2.050000,2.170000,1.750000,1.890000,1.890000,371000
2023-02-10,1.870000,2.100000,1.860000,1.900000,1.900000,149100
2023-02-13,1.880000,1.900000,1.705000,1.830000,1.830000,180800
2023-02-14,1.760000,1.940000,1.300000,1.350000,1.350000,1834600
2023-02-15,1.540000,1.640000,1.360000,1.610000,1.610000,1595200
2023-02-16,1.670000,1.980000,1.640000,1.800000,1.800000,998400
2023-02-17,1.750000,1.870000,1.600000,1.850000,1.850000,293400
