Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.850000,0.850000,0.850000,0.850000,0.584568,0
2022-12-28,2.310000,2.787000,1.610000,2.050000,1.409842,440400
2022-12-29,2.150000,3.250000,2.025000,3.160000,2.173219,131900
2022-12-30,3.400000,3.400000,2.810000,3.050000,2.097569,53000
2023-01-03,3.390000,3.400000,3.050000,3.240000,2.228237,37900
2023-01-04,3.245000,3.600000,3.245000,3.550000,2.441433,81200
2023-01-05,3.600000,3.700000,3.372000,3.580000,2.462065,48300
2023-01-06,3.490000,3.560000,3.190000,3.470000,2.386415,24000
2023-01-09,3.430000,3.850000,3.430000,3.850000,2.647751,25900
2023-01-10,3.880000,4.150000,3.690000,4.140000,2.847193,80000
2023-01-11,4.150000,4.150000,3.710000,3.930000,2.702770,62700
2023-01-12,3.680000,4.148000,3.610000,4.010000,3.203697,35300
2023-01-13,4.000000,4.250000,4.000000,4.030000,3.219675,21800
2023-01-17,4.190000,5.378000,4.190000,5.030000,4.018602,71800
2023-01-18,5.400000,5.400000,4.600000,4.790000,3.826859,27000
2023-01-19,4.700000,4.800000,4.250000,4.780000,3.818870,23800
2023-01-20,5.260000,5.260000,4.650000,4.680000,3.738977,9700
2023-01-23,5.000000,5.000000,4.750000,4.800000,3.834849,34800
2023-01-24,4.900000,4.900000,4.500000,4.730000,3.778924,18500
2023-01-25,4.580000,5.050000,4.580000,4.650000,3.715010,14400
2023-01-26,4.800000,4.810000,4.500000,4.550000,3.635117,11000
2023-01-27,4.550000,4.798000,4.040000,4.620000,3.691042,37100
2023-01-30,4.232000,4.500000,4.232000,4.490000,3.587181,15200
2023-01-31,4.440000,4.500000,4.100000,4.490000,3.587181,18500
2023-02-01,4.550000,4.750000,4.200000,4.750000,3.794902,18400
2023-02-02,4.750000,5.867000,4.710000,5.330000,4.258280,67300
2023-02-03,4.860000,5.370000,4.860000,5.280000,4.218334,44300
2023-02-06,5.290000,6.030000,5.110000,5.300000,4.234312,64400
2023-02-07,5.470000,5.590000,5.220000,5.440000,4.346162,11400
2023-02-08,5.330000,5.390000,5.050000,5.180000,4.138441,10800
2023-02-09,5.000000,5.000000,4.160000,4.390000,3.507289,50100
2023-02-10,4.400000,4.990000,4.400000,4.800000,3.834849,17100
2023-02-13,4.640000,4.680000,4.550000,4.590000,3.667074,8600
2023-02-14,4.580000,4.600000,4.287000,4.390000,3.507289,13200
2023-02-15,4.410000,4.609000,4.390000,4.480000,3.579192,6800
2023-02-16,4.230000,4.920000,4.230000,4.520000,3.611150,25900
2023-02-17,4.250000,4.690000,4.250000,4.650000,3.715010,14800
2023-02-21,4.750000,4.850000,4.360000,4.760000,3.802892,13600
2023-02-22,4.750000,4.950000,4.550000,4.950000,3.954688,3300
2023-02-23,4.890000,5.000000,4.544000,5.000000,3.994634,4400
2023-02-24,5.000000,5.000000,4.670000,4.900000,3.914742,8600
2023-02-27,4.950000,5.100000,4.660000,4.980000,3.978656,7500
2023-02-28,4.980000,5.300000,4.980000,5.160000,4.122463,11100
2023-03-01,5.105000,5.150000,5.105000,5.150000,4.114473,500
2023-03-02,5.150000,5.290000,5.000000,5.200000,4.154419,7000
2023-03-03,5.100000,5.180000,5.020000,5.170000,4.130452,800
2023-03-06,5.030000,5.170000,5.000000,5.150000,4.114473,2300
2023-03-07,5.021000,5.150000,4.950000,5.150000,4.114473,2000
2023-03-08,5.100000,5.200000,5.100000,5.180000,4.138441,1600
2023-03-09,4.970000,4.970000,4.890000,4.890000,3.906752,900
2023-03-10,4.800000,4.800000,3.900000,4.250000,3.395439,11500
2023-03-13,4.200000,4.680000,4.150000,4.680000,3.738977,9200
2023-03-14,4.730000,5.270000,4.730000,5.270000,4.210345,19400
2023-03-15,4.900000,5.053000,4.435000,4.950000,3.954688,9700
2023-03-16,4.940000,5.000000,4.570000,5.000000,3.994634,4700
2023-03-17,5.300000,5.300000,4.905000,5.250000,4.194366,4700
2023-03-20,5.500000,5.670000,5.120000,5.360000,4.282248,7200
2023-03-21,5.310000,5.620000,5.011000,5.590000,4.466001,10800
2023-03-22,5.140000,5.600000,5.050000,5.560000,4.442034,16800
2023-03-23,5.400000,5.967000,5.170000,5.920000,4.729647,11600
2023-03-24,5.350000,5.490000,5.310000,5.450000,4.354151,4500
2023-03-27,5.446000,5.850000,5.160000,5.790000,4.625786,25200
