Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.420000,2.550000,2.280000,2.390000,2.390000,10185200
2022-12-28,2.370000,2.565000,2.260000,2.510000,2.510000,6603400
2022-12-29,2.500000,2.670000,2.140000,2.530000,2.530000,35214900
2022-12-30,2.590000,2.860000,2.530000,2.850000,2.850000,13779500
2023-01-03,2.870000,2.900000,2.630000,2.680000,2.680000,10977300
2023-01-04,2.650000,2.860000,2.630000,2.810000,2.810000,6998300
2023-01-05,2.800000,2.850000,2.710000,2.750000,2.750000,4563000
2023-01-06,2.750000,2.970000,2.670000,2.870000,2.870000,6714700
2023-01-09,2.930000,3.050000,2.710000,2.720000,2.720000,6903700
2023-01-10,2.740000,2.980000,2.700000,2.960000,2.960000,7049800
2023-01-11,2.910000,3.109000,2.855000,2.900000,2.900000,6571800
2023-01-12,2.900000,2.990000,2.822000,2.970000,2.970000,3410800
2023-01-13,2.920000,3.170000,2.920000,3.160000,3.160000,6179700
2023-01-17,3.160000,3.430000,3.095000,3.310000,3.310000,7835800
2023-01-18,3.360000,3.401000,3.200000,3.220000,3.220000,5885300
2023-01-19,2.850000,3.080000,2.675000,2.750000,2.750000,15219300
2023-01-20,2.800000,3.220000,2.760000,3.140000,3.140000,10264600
2023-01-23,3.170000,3.270000,3.062000,3.180000,3.180000,5667000
2023-01-24,3.200000,3.350000,3.150000,3.250000,3.250000,5071800
2023-01-25,3.250000,3.330000,3.170000,3.200000,3.200000,5265000
2023-01-26,3.220000,3.230000,2.850000,2.930000,2.930000,10035200
2023-01-27,2.950000,2.985000,2.820000,2.850000,2.850000,5646300
2023-01-30,2.850000,2.930000,2.780000,2.780000,2.780000,3524100
2023-01-31,2.780000,3.017000,2.780000,2.930000,2.930000,5271000
2023-02-01,2.930000,3.035000,2.890000,3.010000,3.010000,3853000
2023-02-02,3.000000,3.110000,2.900000,3.070000,3.070000,4677800
2023-02-03,2.980000,3.290000,2.970000,3.080000,3.080000,8122000
2023-02-06,3.080000,3.365000,3.070000,3.220000,3.220000,5922000
2023-02-07,3.250000,3.350000,3.120000,3.350000,3.350000,4949700
2023-02-08,3.300000,3.420000,3.280000,3.280000,3.280000,3788900
2023-02-09,3.350000,3.390000,3.260000,3.310000,3.310000,4570900
2023-02-10,3.270000,3.295000,3.185000,3.210000,3.210000,3192600
2023-02-13,3.220000,3.240000,3.100000,3.140000,3.140000,3407200
2023-02-14,3.160000,3.255000,2.990000,3.070000,3.070000,6885000
2023-02-15,3.090000,3.090000,2.931000,3.020000,3.020000,3128200
2023-02-16,3.000000,3.060000,2.900000,3.010000,3.010000,4100100
2023-02-17,3.000000,3.090000,2.990000,3.040000,3.040000,2267800
2023-02-21,3.040000,3.065000,2.910000,2.940000,2.940000,4149000
2023-02-22,2.920000,3.010000,2.920000,2.950000,2.950000,3349300
2023-02-23,2.990000,3.090000,2.980000,3.070000,3.070000,5623200
2023-02-24,3.050000,3.100000,2.930000,2.950000,2.950000,3428500
2023-02-27,2.970000,3.040000,2.850000,2.870000,2.870000,5138400
2023-02-28,2.890000,2.960000,2.870000,2.880000,2.880000,7591200
2023-03-01,2.910000,3.010000,2.895000,2.920000,2.920000,5113100
2023-03-02,2.900000,2.960000,2.820000,2.890000,2.890000,6534500
2023-03-03,3.400000,3.980000,3.390000,3.820000,3.820000,53178000
2023-03-06,3.830000,4.160000,3.810000,3.900000,3.900000,15111100
2023-03-07,4.040000,4.090000,3.915000,3.940000,3.940000,9935700
2023-03-08,3.900000,4.110000,3.820000,4.070000,4.070000,6384800
2023-03-09,4.090000,4.140000,3.790000,3.820000,3.820000,7510200
2023-03-10,3.830000,3.830000,3.480000,3.560000,3.560000,8995600
2023-03-13,3.510000,3.850000,3.480000,3.730000,3.730000,10079300
2023-03-14,3.760000,3.970000,3.760000,3.950000,3.950000,7828200
2023-03-15,3.870000,4.010000,3.825000,3.990000,3.990000,7469100
2023-03-16,3.970000,4.150000,3.915000,4.030000,4.030000,5967800
2023-03-17,3.985000,4.080000,3.870000,4.050000,4.050000,29121000
2023-03-20,4.050000,4.060000,3.770000,3.880000,3.880000,7403600
2023-03-21,3.900000,4.220000,3.890000,4.140000,4.140000,7808600
2023-03-22,4.110000,4.130000,3.900000,3.920000,3.920000,5741800
2023-03-23,4.010000,4.230000,3.940000,4.060000,4.060000,6653500
2023-03-24,4.030000,4.070000,3.900000,4.000000,4.000000,4428000
2023-03-27,4.025000,4.420000,4.010000,4.320000,4.320000,14475300
2023-03-28,4.310000,4.470000,4.150000,4.220000,4.220000,6684300
2023-03-29,4.270000,4.720000,4.255000,4.680000,4.680000,10453700
2023-03-30,4.750000,4.780000,4.550000,4.590000,4.590000,5835100
2023-03-31,4.660000,4.940000,4.615000,4.790000,4.790000,7697500
2023-04-03,4.910000,4.910000,4.580000,4.720000,4.720000,6420700
2023-04-04,4.800000,4.890000,4.480000,4.510000,4.510000,5526700
2023-04-05,4.520000,4.630000,4.380000,4.430000,4.430000,3608900
2023-04-06,4.420000,4.460000,4.310000,4.400000,4.400000,3022200
2023-04-10,4.400000,4.400000,4.190000,4.260000,4.260000,6090200
2023-04-11,4.290000,4.680000,4.270000,4.600000,4.600000,6634600
2023-04-12,4.670000,4.690000,4.450000,4.500000,4.500000,4467800
2023-04-13,4.540000,4.855000,4.510000,4.780000,4.780000,5946000
2023-04-14,4.730000,4.810000,4.560000,4.710000,4.710000,3630000
2023-04-17,4.670000,5.125000,4.630000,4.920000,4.920000,8089000
2023-04-18,5.040000,5.040000,4.790000,4.890000,4.890000,5180200
2023-04-19,4.820000,4.960000,4.750000,4.900000,4.900000,3739200
2023-04-20,4.850000,4.890000,4.770000,4.780000,4.780000,3536900
2023-04-21,4.820000,4.995000,4.785000,4.950000,4.950000,5879600
2023-04-24,5.000000,5.000000,4.660000,4.720000,4.720000,4002100
2023-04-25,4.700000,4.790000,4.580000,4.610000,4.610000,2774400
2023-04-26,4.650000,4.760000,4.570000,4.660000,4.660000,3078200
2023-04-27,4.680000,4.710000,4.370000,4.520000,4.520000,5372500
2023-04-28,4.570000,4.570000,4.400000,4.460000,4.460000,3702200
2023-05-01,4.510000,4.725000,4.466000,4.650000,4.650000,4650400
2023-05-02,4.760000,4.760000,4.360000,4.440000,4.440000,6125800
2023-05-03,4.500000,4.690000,4.440000,4.680000,4.680000,5498500
2023-05-04,4.430000,4.755000,4.230000,4.700000,4.700000,8028400
2023-05-05,4.740000,4.920000,4.590000,4.610000,4.610000,5379200
2023-05-08,4.610000,4.680000,4.165000,4.190000,4.190000,7779900
2023-05-09,4.120000,4.230000,3.970000,4.170000,4.170000,5678500
2023-05-10,4.220000,4.405000,4.150000,4.360000,4.360000,4213300
2023-05-11,4.360000,4.450000,4.240000,4.290000,4.290000,3474500
2023-05-12,4.320000,4.360000,4.250000,4.290000,4.290000,2938300
2023-05-15,4.310000,4.625000,4.280000,4.460000,4.460000,4816400
2023-05-16,4.410000,4.515000,4.320000,4.460000,4.460000,4227400
2023-05-17,4.170000,4.216000,3.850000,3.930000,3.930000,13194900
2023-05-18,3.960000,4.020000,3.553000,3.640000,3.640000,10541500
2023-05-19,3.650000,3.750000,3.410000,3.550000,3.550000,9794200
2023-05-22,3.510000,3.680000,3.490000,3.560000,3.560000,6137100
2023-05-23,3.520000,3.740000,3.520000,3.570000,3.570000,4330900
2023-05-24,3.540000,3.550000,3.430000,3.510000,3.510000,4255100
2023-05-25,3.520000,3.570000,3.230000,3.290000,3.290000,8445900
2023-05-26,3.205000,3.390000,3.190000,3.270000,3.270000,4476700
2023-05-30,3.240000,3.470000,3.185000,3.230000,3.230000,3903400
2023-05-31,3.240000,3.365000,3.195000,3.340000,3.340000,4468200
2023-06-01,3.330000,3.560000,3.230000,3.500000,3.500000,3478300
2023-06-02,3.540000,3.555000,3.400000,3.520000,3.520000,2948100
2023-06-05,3.500000,3.655000,3.460000,3.630000,3.630000,2857200
2023-06-06,3.650000,3.730000,3.600000,3.730000,3.730000,2773200
2023-06-07,3.760000,3.800000,3.662000,3.760000,3.760000,3282400
2023-06-08,3.780000,4.000000,3.740000,3.930000,3.930000,5137400
2023-06-09,3.950000,4.025000,3.880000,3.980000,3.980000,4596600
2023-06-12,4.050000,4.260000,3.930000,3.990000,3.990000,6508600
2023-06-13,4.050000,4.180000,3.960000,4.060000,4.060000,4327300
2023-06-14,4.070000,4.100000,3.940000,4.020000,4.020000,3268800
2023-06-15,3.950000,3.980000,3.795000,3.920000,3.920000,4131800
2023-06-16,3.950000,3.950000,3.660000,3.730000,3.730000,18000300
2023-06-20,3.690000,3.890000,3.670000,3.870000,3.870000,5114500
2023-06-21,3.840000,3.920000,3.785000,3.880000,3.880000,3602800
2023-06-22,3.840000,3.840000,3.660000,3.680000,3.680000,3710100
2023-06-23,3.700000,3.700000,3.500000,3.600000,3.600000,32978600
2023-06-26,3.580000,3.580000,3.332000,3.390000,3.390000,5898400
2023-06-27,3.410000,3.420000,3.300000,3.360000,3.360000,4499200
2023-06-28,3.400000,3.460000,3.335000,3.390000,3.390000,4032400
2023-06-29,3.380000,3.440000,3.310000,3.330000,3.330000,3592900
2023-06-30,3.340000,3.470000,3.290000,3.390000,3.390000,4344600
2023-07-03,3.400000,3.410000,3.290000,3.300000,3.300000,2775400
2023-07-05,3.330000,3.460000,3.290000,3.400000,3.400000,3603600
2023-07-06,3.390000,3.390000,3.260000,3.310000,3.310000,4167700
2023-07-07,3.280000,3.420000,3.280000,3.380000,3.380000,3451200
2023-07-10,3.370000,3.630000,3.360000,3.520000,3.520000,4307300
2023-07-11,3.510000,3.520000,3.390000,3.500000,3.500000,3109500
2023-07-12,3.540000,3.540000,3.440000,3.470000,3.470000,2100800
2023-07-13,3.510000,3.550000,3.435000,3.450000,3.450000,1855400
2023-07-14,3.460000,3.460000,3.370000,3.400000,3.400000,2682700
2023-07-17,3.450000,3.580000,3.430000,3.540000,3.540000,3299000
2023-07-18,3.530000,3.580000,3.490000,3.500000,3.500000,2366000
2023-07-19,3.530000,3.570000,3.430000,3.480000,3.480000,2941500
2023-07-20,3.460000,3.480000,3.390000,3.420000,3.420000,2304000
2023-07-21,3.430000,3.565000,3.410000,3.510000,3.510000,2443400
2023-07-24,3.500000,3.520000,3.400000,3.490000,3.490000,3367200
2023-07-25,3.490000,3.535000,3.435000,3.440000,3.440000,2960700
2023-07-26,3.430000,3.525000,3.420000,3.490000,3.490000,2176700
2023-07-27,3.540000,3.635000,3.500000,3.600000,3.600000,2962800
2023-07-28,3.670000,3.880000,3.650000,3.860000,3.860000,4374700
2023-07-31,3.910000,3.950000,3.840000,3.940000,3.940000,3270600
2023-08-01,3.960000,3.970000,3.790000,3.840000,3.840000,3273900
2023-08-02,4.020000,4.220000,3.840000,4.040000,4.040000,10269600
2023-08-03,4.040000,4.190000,3.960000,4.000000,4.000000,4755600
2023-08-04,4.020000,4.070000,3.895000,3.910000,3.910000,4028100
2023-08-07,3.930000,3.930000,3.730000,3.750000,3.750000,4974500
2023-08-08,3.770000,3.920000,3.730000,3.880000,3.880000,5445500
2023-08-09,3.890000,3.965000,3.840000,3.960000,3.960000,3899700
2023-08-10,3.940000,4.125000,3.900000,4.040000,4.040000,5611300
2023-08-11,4.040000,4.120000,3.960000,4.010000,4.010000,2451600
2023-08-14,3.970000,4.000000,3.830000,3.970000,3.970000,2587600
2023-08-15,3.930000,4.000000,3.830000,3.850000,3.850000,3613300
2023-08-16,3.880000,3.950000,3.710000,3.720000,3.720000,4174700
2023-08-17,3.750000,3.760000,3.495000,3.510000,3.510000,5111300
2023-08-18,3.460000,3.670000,3.420000,3.610000,3.610000,3795300
2023-08-21,3.660000,3.700000,3.470000,3.580000,3.580000,3106600
2023-08-22,3.650000,3.650000,3.480000,3.510000,3.510000,2514200
2023-08-23,3.500000,3.750000,3.500000,3.670000,3.670000,3373500
2023-08-24,3.670000,3.670000,3.495000,3.510000,3.510000,2742000
2023-08-25,3.690000,3.980000,3.690000,3.940000,3.940000,10342700
2023-08-28,3.960000,4.260000,3.950000,4.250000,4.250000,7743100
