Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,4.750000,5.250000,4.025000,5.000000,5.000000,49296
2022-12-28,4.925000,4.925000,4.175000,4.625000,4.625000,30244
2022-12-29,4.650000,5.000000,4.450000,4.750000,4.750000,13852
2022-12-30,4.850000,4.950000,4.500000,4.825000,4.825000,10284
2023-01-03,4.725000,5.000000,4.300000,4.625000,4.625000,10224
2023-01-04,4.800000,5.525000,4.625000,5.500000,5.500000,60496
2023-01-05,4.975000,6.225000,4.900000,5.950000,5.950000,30988
2023-01-06,6.250000,6.250000,5.000000,5.450000,5.450000,12412
2023-01-09,5.750000,6.000000,5.275000,5.425000,5.425000,11736
2023-01-10,5.750000,5.875000,5.250000,5.650000,5.650000,8488
2023-01-11,6.000000,6.400000,5.750000,5.775000,5.775000,24748
2023-01-12,6.000000,6.175000,5.250000,5.700000,5.700000,15300
2023-01-13,5.725000,5.800000,5.275000,5.750000,5.750000,15308
2023-01-17,5.500000,5.750000,5.250000,5.550000,5.550000,13560
2023-01-18,5.750000,5.825000,5.000000,5.425000,5.425000,10940
2023-01-19,5.250000,5.350000,4.375000,4.825000,4.825000,26816
2023-01-20,5.075000,5.250000,4.800000,5.175000,5.175000,4956
2023-01-23,5.450000,5.450000,5.000000,5.225000,5.225000,14392
2023-01-24,5.175000,5.325000,5.000000,5.125000,5.125000,15024
2023-01-25,5.250000,6.075000,5.250000,6.000000,6.000000,179484
2023-01-26,6.750000,7.625000,5.750000,6.350000,6.350000,265456
2023-01-27,5.975000,5.975000,5.250000,5.525000,5.525000,59564
2023-01-30,5.675000,6.000000,5.525000,5.775000,5.775000,23584
2023-01-31,5.600000,5.825000,5.350000,5.500000,5.500000,16980
2023-02-01,5.625000,5.625000,5.000000,5.225000,5.225000,34880
2023-02-02,5.300000,5.775000,5.300000,5.700000,5.700000,36752
2023-02-03,5.525000,6.225000,5.375000,5.875000,5.875000,42452
2023-02-06,6.000000,6.350000,5.875000,6.150000,6.150000,38584
2023-02-07,6.025000,6.150000,5.550000,5.725000,5.725000,19860
2023-02-08,5.700000,6.000000,5.375000,5.525000,5.525000,13060
2023-02-09,5.575000,5.800000,5.375000,5.575000,5.575000,16908
2023-02-10,5.500000,5.775000,5.375000,5.625000,5.625000,8980
2023-02-13,5.825000,5.825000,5.375000,5.625000,5.625000,4516
2023-02-14,5.750000,5.750000,5.375000,5.500000,5.500000,7008
2023-02-15,5.375000,5.700000,5.250000,5.525000,5.525000,6644
2023-02-16,5.525000,5.550000,5.250000,5.300000,5.300000,8216
2023-02-17,5.325000,5.550000,5.250000,5.375000,5.375000,5392
2023-02-21,5.450000,5.525000,5.250000,5.350000,5.350000,6596
2023-02-22,5.375000,5.500000,5.250000,5.350000,5.350000,3552
2023-02-23,5.025000,5.375000,4.875000,5.200000,5.200000,14212
2023-02-24,5.225000,5.250000,4.875000,5.100000,5.100000,4108
2023-02-27,5.125000,5.250000,4.875000,5.200000,5.200000,5896
2023-02-28,5.250000,5.500000,5.000000,5.300000,5.300000,14376
2023-03-01,5.200000,5.225000,4.950000,5.225000,5.225000,7960
2023-03-02,5.050000,5.250000,4.750000,5.150000,5.150000,5812
2023-03-03,5.025000,5.150000,4.900000,5.150000,5.150000,6408
2023-03-06,5.000000,5.125000,4.900000,5.100000,5.100000,2408
2023-03-07,5.100000,5.100000,4.900000,4.950000,4.950000,3792
2023-03-08,4.875000,5.000000,4.375000,4.750000,4.750000,12688
2023-03-09,4.600000,4.725000,4.300000,4.425000,4.425000,9268
2023-03-10,4.500000,4.750000,4.275000,4.500000,4.500000,6064
2023-03-13,4.575000,4.675000,4.250000,4.475000,4.475000,5016
2023-03-14,4.475000,4.475000,4.125000,4.150000,4.150000,8088
2023-03-15,4.150000,4.200000,3.125000,3.550000,3.550000,34144
2023-03-16,3.525000,3.700000,3.375000,3.600000,3.600000,7192
2023-03-17,3.600000,3.600000,3.400000,3.425000,3.425000,7752
2023-03-20,3.425000,4.350000,3.325000,4.350000,4.350000,14932
2023-03-21,4.225000,4.250000,3.750000,3.925000,3.925000,4812
2023-03-22,4.000000,4.225000,3.875000,3.975000,3.975000,2544
2023-03-23,4.025000,4.125000,3.750000,3.825000,3.825000,3852
2023-03-24,3.975000,4.125000,3.625000,3.825000,3.825000,3988
2023-03-27,3.700000,3.875000,3.525000,3.800000,3.800000,5204
2023-03-28,3.525000,3.750000,3.500000,3.550000,3.550000,3084
2023-03-29,3.525000,3.750000,3.525000,3.675000,3.675000,6160
2023-03-30,3.750000,3.900000,3.525000,3.875000,3.875000,5448
2023-03-31,3.275000,3.750000,3.225000,3.550000,3.550000,21840
2023-04-03,3.450000,3.500000,3.300000,3.425000,3.425000,4092
2023-04-04,3.450000,3.625000,3.200000,3.550000,3.550000,8296
2023-04-05,3.500000,3.550000,3.275000,3.350000,3.350000,2368
2023-04-06,3.250000,4.750000,3.250000,3.675000,3.675000,85836
2023-04-10,4.250000,5.200000,3.975000,4.600000,4.600000,240252
2023-04-11,3.800000,4.425000,3.800000,4.050000,4.050000,32260
2023-04-12,4.000000,4.400000,3.950000,4.350000,4.350000,12372
2023-04-13,4.225000,4.350000,3.775000,3.900000,3.900000,15752
2023-04-14,4.000000,4.150000,3.875000,4.050000,4.050000,9344
2023-04-17,4.050000,4.050000,3.625000,3.750000,3.750000,19752
2023-04-18,4.000000,5.500000,3.975000,4.750000,4.750000,205928
2023-04-19,4.425000,4.425000,3.700000,3.875000,3.875000,33232
2023-04-20,3.825000,3.975000,3.750000,3.950000,3.950000,5632
2023-04-21,3.625000,3.975000,3.525000,3.525000,3.525000,14592
2023-04-24,3.300000,3.625000,3.250000,3.500000,3.500000,5648
2023-04-25,3.500000,3.500000,3.300000,3.400000,3.400000,7388
2023-04-26,3.425000,5.150000,3.300000,3.850000,3.850000,215036
2023-04-27,3.550000,3.750000,3.250000,3.625000,3.625000,31200
2023-04-28,3.650000,4.125000,3.125000,3.425000,3.425000,38076
2023-05-01,3.450000,3.650000,3.450000,3.475000,3.475000,10004
2023-05-02,3.600000,3.750000,3.425000,3.500000,3.500000,12088
2023-05-03,3.625000,3.625000,3.300000,3.325000,3.325000,13412
2023-05-04,3.575000,3.575000,3.400000,3.400000,3.400000,8484
2023-05-05,3.575000,3.575000,3.425000,3.500000,3.500000,6560
2023-05-08,3.500000,3.500000,3.275000,3.475000,3.475000,13244
2023-05-09,3.500000,4.250000,3.450000,4.100000,4.100000,293768
2023-05-10,4.475000,4.500000,3.525000,3.825000,3.825000,142772
2023-05-11,3.700000,3.800000,3.500000,3.650000,3.650000,25616
2023-05-12,3.625000,4.000000,3.275000,3.575000,3.575000,60180
2023-05-15,3.575000,3.625000,3.300000,3.625000,3.625000,96636
2023-05-16,3.975000,4.625000,3.675000,4.525000,4.525000,151876
2023-05-17,4.350000,4.350000,3.775000,4.050000,4.050000,58816
2023-05-18,4.000000,4.000000,3.700000,3.875000,3.875000,17592
2023-05-19,3.700000,3.850000,3.575000,3.750000,3.750000,27592
2023-05-22,3.925000,3.950000,3.650000,3.875000,3.875000,14176
2023-05-23,3.975000,4.100000,3.875000,3.950000,3.950000,36560
2023-05-24,4.150000,4.625000,4.025000,4.325000,4.325000,115316
2023-05-25,4.625000,5.425000,4.250000,4.575000,4.575000,117836
2023-05-26,4.975000,5.175000,4.600000,4.800000,4.800000,49920
2023-05-30,5.050000,5.050000,3.875000,4.200000,4.200000,45688
2023-05-31,4.000000,4.000000,3.675000,3.775000,3.775000,33044
2023-06-01,3.675000,4.500000,3.675000,4.075000,4.075000,38840
2023-06-02,4.150000,4.200000,3.250000,3.800000,3.800000,48744
2023-06-05,3.800000,3.875000,3.700000,3.800000,3.800000,11064
2023-06-06,3.825000,3.825000,3.625000,3.700000,3.700000,20316
2023-06-07,3.650000,4.250000,3.650000,3.850000,3.850000,54512
2023-06-08,3.750000,4.150000,3.675000,3.775000,3.775000,47796
2023-06-09,3.700000,3.975000,3.650000,3.750000,3.750000,19308
2023-06-12,3.850000,3.850000,3.650000,3.775000,3.775000,11896
2023-06-13,3.875000,3.875000,3.700000,3.775000,3.775000,15764
2023-06-14,3.850000,3.850000,3.575000,3.700000,3.700000,20192
2023-06-15,3.750000,3.750000,3.425000,3.600000,3.600000,25584
2023-06-16,3.750000,3.875000,3.575000,3.750000,3.750000,38528
2023-06-20,3.575000,3.725000,3.575000,3.625000,3.625000,12176
2023-06-21,3.625000,3.675000,3.500000,3.550000,3.550000,11964
2023-06-22,3.525000,3.650000,3.500000,3.575000,3.575000,10196
2023-06-23,3.675000,3.975000,3.575000,3.875000,3.875000,39400
2023-06-26,3.650000,5.125000,3.375000,4.700000,4.700000,462384
2023-06-27,5.230000,6.490000,4.730000,5.500000,5.500000,6907300
2023-06-28,3.570000,3.870000,3.320000,3.550000,3.550000,875700
2023-06-29,3.200000,3.420000,2.920000,3.040000,3.040000,385000
2023-06-30,3.000000,3.120000,2.650000,2.720000,2.720000,377100
2023-07-03,2.620000,2.680000,2.481000,2.530000,2.530000,162900
2023-07-05,2.590000,3.100000,2.530000,2.860000,2.860000,562400
2023-07-06,2.800000,2.810000,2.620000,2.730000,2.730000,112200
2023-07-07,2.670000,2.730000,2.590000,2.630000,2.630000,48800
2023-07-10,2.620000,2.870000,2.580000,2.750000,2.750000,95400
2023-07-11,2.400000,2.454000,2.090000,2.250000,2.250000,1082500
2023-07-12,2.180000,2.379000,2.100000,2.210000,2.210000,1030400
2023-07-13,2.170000,2.560000,2.170000,2.210000,2.210000,922700
2023-07-14,2.010000,2.035000,1.820000,1.820000,1.820000,735200
2023-07-17,1.830000,1.990000,1.810000,1.840000,1.840000,469700
2023-07-18,1.820000,2.000000,1.800000,1.900000,1.900000,535300
2023-07-19,1.910000,2.080000,1.871000,1.980000,1.980000,538200
2023-07-20,1.990000,2.130000,1.870000,2.100000,2.100000,419300
2023-07-21,2.080000,2.140000,1.950000,2.040000,2.040000,254400
2023-07-24,1.900000,1.990000,1.700000,1.710000,1.710000,442200
2023-07-25,1.710000,1.797000,1.611000,1.670000,1.670000,348600
2023-07-26,1.660000,1.730000,1.630000,1.690000,1.690000,109900
2023-07-27,1.630000,1.680000,1.470000,1.490000,1.490000,413300
2023-07-28,1.500000,1.790000,1.480000,1.610000,1.610000,630400
2023-07-31,1.590000,1.640000,1.490000,1.510000,1.510000,283100
2023-08-01,1.480000,1.500000,1.380000,1.410000,1.410000,260900
2023-08-02,1.420000,1.720000,1.410000,1.560000,1.560000,540000
2023-08-03,1.540000,1.630000,1.500000,1.610000,1.610000,419600
2023-08-04,1.650000,1.700000,1.510000,1.570000,1.570000,259400
2023-08-07,1.550000,1.580000,1.500000,1.520000,1.520000,137400
2023-08-08,1.550000,1.760000,1.503000,1.640000,1.640000,458700
2023-08-09,1.620000,1.660000,1.440000,1.480000,1.480000,338500
2023-08-10,1.451000,1.500000,1.380000,1.380000,1.380000,169100
2023-08-11,1.360000,1.429000,1.360000,1.360000,1.360000,155200
2023-08-14,1.400000,1.400000,1.360000,1.367000,1.367000,313300
2023-08-15,1.410000,1.470000,1.380000,1.390000,1.390000,206100
2023-08-16,1.380000,1.380000,1.260000,1.260000,1.260000,196800
2023-08-17,1.260000,1.290000,1.200000,1.220000,1.220000,88800
2023-08-18,1.190000,1.240000,1.130000,1.140000,1.140000,89100
2023-08-21,1.130000,1.210000,1.120000,1.160000,1.160000,121500
2023-08-22,1.150000,1.219000,1.150000,1.160000,1.160000,107600
2023-08-23,1.130000,1.170000,1.120000,1.160000,1.160000,42300
2023-08-24,1.180000,1.180000,1.120000,1.150000,1.150000,46700
2023-08-25,1.180000,1.180000,1.000000,1.000000,1.000000,237400
2023-08-28,1.040000,1.040000,0.940000,0.947000,0.947000,88900
2023-08-29,0.948000,0.960000,0.881000,0.935000,0.935000,123000
2023-08-30,0.912000,0.950000,0.912000,0.923000,0.923000,46200
2023-08-31,0.950000,0.960000,0.930000,0.958000,0.958000,36400
2023-09-01,0.934000,0.995000,0.934000,0.950000,0.950000,32500
2023-09-05,0.947000,0.987000,0.890000,0.914000,0.914000,88600
2023-09-06,0.900000,0.943000,0.880000,0.900000,0.900000,794500
2023-09-07,1.230000,2.170000,1.170000,1.250000,1.250000,110841100
2023-09-08,1.190000,1.290000,1.020000,1.050000,1.050000,3092400
2023-09-11,1.000000,1.000000,0.870000,0.930000,0.930000,1388300
2023-09-12,0.897000,0.930000,0.860000,0.860000,0.860000,386700
2023-09-13,0.872000,0.886000,0.790000,0.790000,0.790000,304900
2023-09-14,0.792000,0.870000,0.742000,0.760000,0.760000,518100
2023-09-15,0.850000,0.870000,0.770000,0.792000,0.792000,557700
