Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.280000,1.320000,1.200000,1.200000,1.200000,202700
2022-12-28,1.180000,1.250000,1.150000,1.160000,1.160000,377500
2022-12-29,1.160000,1.260000,1.150000,1.220000,1.220000,305700
2022-12-30,1.230000,1.330000,1.210000,1.320000,1.320000,355700
2023-01-03,1.340000,1.390000,1.210000,1.230000,1.230000,255300
2023-01-04,1.250000,1.260000,1.190000,1.230000,1.230000,322500
2023-01-05,1.230000,1.260000,1.210000,1.240000,1.240000,148900
2023-01-06,1.270000,1.360000,1.260000,1.340000,1.340000,342100
2023-01-09,1.350000,1.400000,1.340000,1.350000,1.350000,182400
2023-01-10,1.370000,1.480000,1.340000,1.440000,1.440000,212600
2023-01-11,1.460000,1.570000,1.408000,1.460000,1.460000,372600
2023-01-12,1.460000,1.545000,1.430000,1.540000,1.540000,184400
2023-01-13,1.530000,1.600000,1.460000,1.580000,1.580000,349200
2023-01-17,1.580000,1.640000,1.540000,1.590000,1.590000,204400
2023-01-18,1.640000,1.640000,1.480000,1.510000,1.510000,303400
2023-01-19,1.510000,1.510000,1.450000,1.460000,1.460000,168500
2023-01-20,1.490000,1.530000,1.460000,1.500000,1.500000,243000
2023-01-23,1.520000,1.530000,1.409000,1.460000,1.460000,449000
2023-01-24,1.510000,1.560000,1.440000,1.550000,1.550000,302700
2023-01-25,1.550000,1.710000,1.500000,1.690000,1.690000,589200
2023-01-26,1.770000,1.770000,1.645000,1.750000,1.750000,738900
2023-01-27,1.750000,1.750000,1.610000,1.670000,1.670000,416200
2023-01-30,1.680000,1.680000,1.510000,1.540000,1.540000,257400
2023-01-31,1.540000,1.620000,1.500000,1.550000,1.550000,272100
2023-02-01,1.520000,1.640000,1.520000,1.610000,1.610000,163500
2023-02-02,1.620000,1.710000,1.580000,1.670000,1.670000,435300
2023-02-03,1.650000,1.840000,1.650000,1.720000,1.720000,476100
2023-02-06,1.720000,1.730000,1.620000,1.660000,1.660000,259000
2023-02-07,1.660000,1.718000,1.630000,1.690000,1.690000,249200
2023-02-08,1.670000,1.720000,1.510000,1.520000,1.520000,420400
2023-02-09,1.570000,1.580000,1.500000,1.500000,1.500000,259100
2023-02-10,1.500000,1.570000,1.443000,1.530000,1.530000,160300
2023-02-13,1.510000,1.550000,1.450000,1.470000,1.470000,156200
2023-02-14,1.520000,1.620000,1.450000,1.610000,1.610000,206100
2023-02-15,1.600000,1.690000,1.600000,1.660000,1.660000,182600
2023-02-16,1.660000,1.870000,1.630000,1.720000,1.720000,484800
2023-02-17,1.730000,1.730000,1.660000,1.710000,1.710000,154600
2023-02-21,1.690000,1.690000,1.510000,1.555000,1.555000,245800
2023-02-22,1.550000,1.600000,1.520000,1.550000,1.550000,138000
2023-02-23,1.560000,1.610000,1.560000,1.600000,1.600000,203400
2023-02-24,1.550000,1.610000,1.550000,1.560000,1.560000,106600
2023-02-27,1.600000,1.650000,1.580000,1.625000,1.625000,175400
2023-02-28,1.640000,1.650000,1.580000,1.630000,1.630000,95500
2023-03-01,1.650000,1.690000,1.610000,1.670000,1.670000,132400
2023-03-02,1.650000,1.660000,1.560000,1.580000,1.580000,93600
2023-03-03,1.590000,1.650000,1.580000,1.640000,1.640000,87700
2023-03-06,1.670000,1.670000,1.560000,1.580000,1.580000,132900
2023-03-07,1.570000,1.570000,1.470000,1.470000,1.470000,189900
2023-03-08,1.460000,1.500000,1.420000,1.470000,1.470000,178100
2023-03-09,1.460000,1.540000,1.460000,1.465000,1.465000,128000
2023-03-10,1.490000,1.490000,1.390000,1.440000,1.440000,342700
2023-03-13,1.400000,1.420000,1.350000,1.360000,1.360000,166000
2023-03-14,1.430000,1.450000,1.370000,1.400000,1.400000,254700
2023-03-15,1.310000,1.380000,1.280000,1.330000,1.330000,352200
2023-03-16,1.330000,1.380000,1.330000,1.360000,1.360000,134400
2023-03-17,1.370000,1.390000,1.340000,1.340000,1.340000,163800
2023-03-20,1.350000,1.350000,1.250000,1.270000,1.270000,410600
2023-03-21,1.270000,1.350000,1.270000,1.290000,1.290000,146200
2023-03-22,1.290000,1.350000,1.270000,1.310000,1.310000,90700
2023-03-23,1.350000,1.360000,1.260000,1.290000,1.290000,112600
2023-03-24,1.300000,1.320000,1.260000,1.310000,1.310000,102200
2023-03-27,1.330000,1.340000,1.290000,1.340000,1.340000,44600
2023-03-28,1.340000,1.380000,1.310000,1.330000,1.330000,105500
2023-03-29,1.340000,1.350000,1.281000,1.340000,1.340000,108300
2023-03-30,1.340000,1.430000,1.340000,1.410000,1.410000,216900
2023-03-31,1.450000,1.576000,1.440000,1.500000,1.500000,424600
2023-04-03,1.500000,1.500000,1.350000,1.390000,1.390000,368600
2023-04-04,1.370000,1.380000,1.290000,1.360000,1.360000,170900
2023-04-05,1.340000,1.400000,1.300000,1.330000,1.330000,250100
2023-04-06,1.310000,1.340000,1.300000,1.330000,1.330000,167900
2023-04-10,1.330000,1.340000,1.260000,1.335000,1.335000,312600
2023-04-11,1.330000,1.350000,1.200000,1.240000,1.240000,794400
2023-04-12,1.280000,1.300000,1.240000,1.275000,1.275000,317500
2023-04-13,1.290000,1.300000,1.250000,1.300000,1.300000,170100
2023-04-14,1.300000,1.300000,1.202000,1.270000,1.270000,388900
2023-04-17,1.290000,1.330000,1.250000,1.290000,1.290000,160400
2023-04-18,1.290000,1.300000,1.230000,1.290000,1.290000,123300
2023-04-19,1.270000,1.290000,1.252000,1.290000,1.290000,53900
2023-04-20,1.270000,1.290000,1.260000,1.280000,1.280000,103900
2023-04-21,1.270000,1.270000,1.250000,1.250000,1.250000,107500
2023-04-24,1.260000,1.262000,1.150000,1.210000,1.210000,327900
2023-04-25,1.200000,1.210000,1.160000,1.210000,1.210000,167400
2023-04-26,1.200000,1.215000,1.170000,1.200000,1.200000,156700
2023-04-27,1.200000,1.200000,1.100000,1.150000,1.150000,370600
2023-04-28,1.150000,1.159000,1.090000,1.110000,1.110000,219000
2023-05-01,1.090000,1.170000,1.040000,1.140000,1.140000,415000
2023-05-02,1.150000,1.270000,1.100000,1.260000,1.260000,408500
2023-05-03,1.240000,1.350000,1.210000,1.330000,1.330000,543100
2023-05-04,1.320000,1.360000,1.260000,1.320000,1.320000,242500
2023-05-05,1.330000,1.460000,1.300000,1.440000,1.440000,236300
2023-05-08,1.410000,1.580000,1.370000,1.510000,1.510000,459500
2023-05-09,1.500000,1.500000,1.410000,1.460000,1.460000,170500
2023-05-10,1.470000,1.610000,1.448000,1.610000,1.610000,285200
2023-05-11,1.590000,1.593000,1.470000,1.530000,1.530000,173800
2023-05-12,1.510000,1.560000,1.450000,1.490000,1.490000,92400
2023-05-15,1.510000,1.530000,1.470000,1.510000,1.510000,89000
2023-05-16,1.420000,1.500000,1.420000,1.480000,1.480000,156000
2023-05-17,1.450000,1.530000,1.440000,1.490000,1.490000,182300
2023-05-18,1.490000,1.530000,1.460000,1.530000,1.530000,108000
2023-05-19,1.550000,1.550000,1.430000,1.450000,1.450000,92100
2023-05-22,1.450000,1.580000,1.420000,1.560000,1.560000,266800
2023-05-23,1.550000,1.610000,1.540000,1.550000,1.550000,167700
2023-05-24,1.570000,1.590000,1.520000,1.590000,1.590000,137300
2023-05-25,1.600000,1.600000,1.480000,1.510000,1.510000,233500
2023-05-26,1.510000,1.560000,1.450000,1.450000,1.450000,194300
2023-05-30,1.440000,1.490000,1.360000,1.400000,1.400000,241600
2023-05-31,1.380000,1.490000,1.380000,1.420000,1.420000,163900
2023-06-01,1.450000,1.570000,1.440000,1.540000,1.540000,216300
2023-06-02,1.550000,1.630000,1.540000,1.620000,1.620000,221200
2023-06-05,1.590000,1.700000,1.540000,1.660000,1.660000,230300
2023-06-06,1.660000,1.740000,1.660000,1.720000,1.720000,198200
2023-06-07,1.720000,1.810000,1.680000,1.740000,1.740000,265200
2023-06-08,1.710000,1.780000,1.690000,1.710000,1.710000,121100
2023-06-09,1.710000,1.740000,1.660000,1.725000,1.725000,119700
2023-06-12,1.710000,1.780000,1.660000,1.770000,1.770000,186600
2023-06-13,1.760000,1.850000,1.750000,1.780000,1.780000,240000
2023-06-14,1.790000,1.800000,1.720000,1.720000,1.720000,210400
2023-06-15,1.710000,1.849000,1.710000,1.760000,1.760000,253500
2023-06-16,1.740000,1.900000,1.740000,1.870000,1.870000,476900
2023-06-20,1.940000,2.160000,1.880000,1.970000,1.970000,612900
2023-06-21,1.980000,2.070000,1.880000,2.030000,2.030000,386200
2023-06-22,2.050000,2.050000,1.970000,1.980000,1.980000,243100
2023-06-23,1.920000,2.050000,1.900000,2.030000,2.030000,369800
2023-06-26,2.030000,2.110000,2.020000,2.050000,2.050000,287700
2023-06-27,2.020000,2.026000,1.668000,1.830000,1.830000,786400
2023-06-28,1.870000,1.980000,1.800000,1.935000,1.935000,378900
2023-06-29,1.940000,2.090000,1.890000,2.050000,2.050000,336100
2023-06-30,2.090000,2.092000,1.939000,1.960000,1.960000,281900
2023-07-03,2.000000,2.040000,1.905000,2.040000,2.040000,174200
2023-07-05,2.100000,2.100000,1.870000,1.900000,1.900000,207400
2023-07-06,1.890000,1.950000,1.815000,1.910000,1.910000,200000
2023-07-07,1.880000,1.917000,1.840000,1.860000,1.860000,118700
2023-07-10,1.840000,1.880000,1.820000,1.860000,1.860000,159900
2023-07-11,1.850000,1.950000,1.830000,1.930000,1.930000,131500
2023-07-12,1.990000,2.090000,1.935000,2.060000,2.060000,400300
2023-07-13,2.090000,2.120000,1.870000,1.890000,1.890000,367700
2023-07-14,1.900000,1.990000,1.850000,1.960000,1.960000,225200
2023-07-17,1.980000,2.040000,1.940000,1.970000,1.970000,136600
2023-07-18,1.960000,2.000000,1.920000,1.950000,1.950000,126800
2023-07-19,1.930000,2.000000,1.880000,1.930000,1.930000,155500
2023-07-20,1.900000,1.930000,1.890000,1.900000,1.900000,125600
2023-07-21,1.940000,2.050000,1.870000,2.040000,2.040000,265100
2023-07-24,2.040000,2.040000,1.920000,1.940000,1.940000,193900
2023-07-25,1.960000,2.000000,1.940000,1.970000,1.970000,115800
2023-07-26,1.970000,1.970000,1.770000,1.850000,1.850000,316100
2023-07-27,1.850000,1.886000,1.800000,1.810000,1.810000,149000
2023-07-28,1.800000,1.880000,1.800000,1.850000,1.850000,115400
2023-07-31,1.850000,1.940000,1.850000,1.920000,1.920000,103900
2023-08-01,1.920000,1.940000,1.870000,1.890000,1.890000,91300
2023-08-02,1.910000,1.910000,1.830000,1.860000,1.860000,68700
2023-08-03,1.860000,1.880000,1.820000,1.860000,1.860000,102600
2023-08-04,1.840000,1.870000,1.790000,1.790000,1.790000,131200
2023-08-07,1.780000,1.850000,1.780000,1.830000,1.830000,119100
2023-08-08,1.800000,1.840000,1.760000,1.800000,1.800000,146500
2023-08-09,1.800000,1.830000,1.700000,1.760000,1.760000,183200
2023-08-10,1.790000,1.820000,1.710000,1.730000,1.730000,93900
2023-08-11,1.750000,1.770000,1.724000,1.750000,1.750000,99900
2023-08-14,1.720000,1.800000,1.720000,1.740000,1.740000,158900
2023-08-15,1.700000,1.740000,1.270000,1.350000,1.350000,614300
2023-08-16,1.370000,1.650000,1.330000,1.510000,1.510000,654800
2023-08-17,1.510000,1.520000,1.350000,1.360000,1.360000,210700
2023-08-18,1.360000,1.390000,1.355000,1.370000,1.370000,153700
2023-08-21,1.360000,1.432000,1.360000,1.390000,1.390000,135300
2023-08-22,1.410000,1.440000,1.380000,1.380000,1.380000,262500
2023-08-23,1.370000,1.420000,1.350000,1.360000,1.360000,105200
2023-08-24,1.340000,1.360000,1.310000,1.330000,1.330000,113100
2023-08-25,1.330000,1.360000,1.290000,1.300000,1.300000,114000
2023-08-28,1.310000,1.379000,1.260000,1.260000,1.260000,133100
2023-08-29,1.280000,1.410000,1.280000,1.360000,1.360000,235200
2023-08-30,1.330000,1.370000,1.300000,1.300000,1.300000,142200
2023-08-31,1.320000,1.340000,1.320000,1.320000,1.320000,121800
2023-09-01,1.350000,1.370000,1.350000,1.360000,1.360000,140900
2023-09-05,1.380000,1.380000,1.290000,1.310000,1.310000,193300
2023-09-06,1.305000,1.320000,1.290000,1.300000,1.300000,111500
2023-09-07,1.300000,1.300000,1.230000,1.240000,1.240000,146000
2023-09-08,1.270000,1.270000,1.230000,1.260000,1.260000,112600
2023-09-11,1.260000,1.285000,1.200000,1.230000,1.230000,247700
