Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,9.270000,9.480000,9.100000,9.440000,9.440000,258000
2022-12-28,9.450000,9.690000,9.215000,9.500000,9.500000,236100
2022-12-29,9.570000,9.950000,9.540000,9.750000,9.750000,274300
2022-12-30,9.650000,9.809000,9.280000,9.750000,9.750000,438500
2023-01-03,9.760000,10.160000,9.350000,9.400000,9.400000,611700
2023-01-04,9.520000,10.160000,9.500000,10.090000,10.090000,922600
2023-01-05,10.050000,10.580000,9.960000,10.300000,10.300000,791700
2023-01-06,10.300000,10.450000,10.020000,10.240000,10.240000,421400
2023-01-09,11.550000,12.230000,10.940000,11.640000,11.640000,2383100
2023-01-10,11.830000,12.087000,11.480000,11.950000,11.950000,1034100
2023-01-11,12.100000,12.490000,11.810000,12.210000,12.210000,978100
2023-01-12,12.340000,13.060000,12.110000,12.870000,12.870000,1435200
2023-01-13,12.880000,13.130000,12.460000,12.600000,12.600000,1024600
2023-01-17,12.580000,13.330000,12.260000,13.130000,13.130000,1405100
2023-01-18,13.360000,13.410000,12.315000,12.520000,12.520000,1422300
2023-01-19,12.120000,12.630000,12.010000,12.320000,12.320000,851200
2023-01-20,12.400000,13.050000,12.200000,12.920000,12.920000,984400
2023-01-23,13.050000,14.100000,12.930000,13.920000,13.920000,2327100
2023-01-24,13.900000,14.188000,13.460000,13.830000,13.830000,850500
2023-01-25,13.550000,13.670000,13.030000,13.540000,13.540000,876600
2023-01-26,13.650000,13.910000,12.800000,13.350000,13.350000,1280600
2023-01-27,13.280000,13.650000,13.100000,13.420000,13.420000,843400
2023-01-30,13.300000,14.055000,13.050000,13.900000,13.900000,2145600
2023-01-31,14.000000,14.460000,13.810000,14.150000,14.150000,1190400
2023-02-01,14.290000,14.590000,13.880000,14.440000,14.440000,1325600
2023-02-02,14.580000,14.950000,14.010000,14.580000,14.580000,1237300
2023-02-03,14.270000,15.060000,14.150000,14.540000,14.540000,892400
2023-02-06,14.710000,14.950000,14.160000,14.530000,14.530000,1062600
2023-02-07,14.430000,15.010000,14.285000,14.820000,14.820000,977400
2023-02-08,14.960000,14.990000,13.830000,14.490000,14.490000,1131500
2023-02-09,14.630000,14.640000,14.025000,14.070000,14.070000,1046600
2023-02-10,14.000000,14.170000,13.670000,13.880000,13.880000,733700
2023-02-13,13.960000,14.300000,13.740000,14.260000,14.260000,779800
2023-02-14,14.210000,14.530000,13.909000,14.380000,14.380000,924300
2023-02-15,14.390000,15.000000,14.300000,14.900000,14.900000,502300
2023-02-16,14.690000,15.270000,14.460000,14.580000,14.580000,1125900
2023-02-17,14.470000,14.530000,14.010000,14.310000,14.310000,688800
2023-02-21,14.270000,14.270000,13.350000,13.400000,13.400000,1277700
2023-02-22,13.400000,13.950000,13.095000,13.710000,13.710000,1552200
2023-02-23,13.840000,14.341000,13.550000,14.300000,14.300000,1406500
2023-02-24,14.100000,14.490000,13.920000,14.030000,14.030000,591800
2023-02-27,14.200000,14.640000,14.174000,14.410000,14.410000,594200
2023-02-28,14.450000,15.130000,14.430000,14.510000,14.510000,1448600
2023-03-01,14.645000,14.800000,13.970000,13.980000,13.980000,786000
2023-03-02,13.980000,14.050000,13.085000,13.940000,13.940000,1002100
2023-03-03,13.980000,14.400000,13.720000,14.180000,14.180000,666600
