Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,10.030000,10.030000,10.020000,10.030000,10.030000,1700
2022-12-28,10.040000,10.040000,10.040000,10.040000,10.040000,600
2022-12-29,10.140000,10.140000,10.100000,10.100000,10.100000,300
2022-12-30,10.100000,10.100000,10.100000,10.100000,10.100000,0
2023-01-03,10.120000,10.120000,10.120000,10.120000,10.120000,100
2023-01-04,10.110000,10.190000,10.110000,10.190000,10.190000,16200
2023-01-05,10.190000,10.190000,10.190000,10.190000,10.190000,0
2023-01-06,10.190000,10.190000,10.190000,10.190000,10.190000,0
2023-01-09,10.110000,10.120000,10.105000,10.120000,10.120000,27300
2023-01-10,10.120000,10.125000,10.120000,10.125000,10.125000,9400
2023-01-11,10.130000,10.130000,10.130000,10.130000,10.130000,5900
2023-01-12,10.130000,10.130000,10.130000,10.130000,10.130000,0
2023-01-13,10.150000,10.150000,10.150000,10.150000,10.150000,11600
2023-01-17,10.170000,10.170000,10.170000,10.170000,10.170000,1000
2023-01-18,10.160000,10.165000,10.160000,10.165000,10.165000,23500
2023-01-19,10.160000,10.170000,10.160000,10.170000,10.170000,300600
2023-01-20,10.170000,10.170000,10.170000,10.170000,10.170000,300
2023-01-23,10.170000,10.180000,10.160000,10.170000,10.170000,4700
2023-01-24,10.170000,10.180000,10.160000,10.180000,10.180000,52400
2023-01-25,10.180000,10.200000,10.180000,10.200000,10.200000,23500
2023-01-26,10.200000,10.200000,10.200000,10.200000,10.200000,300
2023-01-27,10.190000,10.200000,10.190000,10.200000,10.200000,700
2023-01-30,10.200000,10.200000,10.180000,10.180000,10.180000,5900
2023-01-31,10.200000,10.200000,10.190000,10.190000,10.190000,600
2023-02-01,10.190000,10.190000,10.190000,10.190000,10.190000,0
2023-02-02,10.190000,10.190000,10.190000,10.190000,10.190000,400
2023-02-03,10.190000,10.190000,10.190000,10.190000,10.190000,0
2023-02-06,10.190000,10.190000,10.190000,10.190000,10.190000,300
2023-02-07,10.200000,10.200000,10.200000,10.200000,10.200000,3300
2023-02-08,10.205000,10.240000,10.205000,10.230000,10.230000,41200
2023-02-09,10.230000,10.230000,10.230000,10.230000,10.230000,0
2023-02-10,10.210000,10.220000,10.210000,10.210000,10.210000,38100
2023-02-13,10.210000,10.210000,10.210000,10.210000,10.210000,0
2023-02-14,10.220000,10.220000,10.220000,10.220000,10.220000,1900
2023-02-15,10.220000,10.220000,10.220000,10.220000,10.220000,0
2023-02-16,10.220000,10.220000,10.220000,10.220000,10.220000,0
2023-02-17,10.250000,10.250000,10.220000,10.220000,10.220000,1200
2023-02-21,10.225000,10.240000,10.220000,10.240000,10.240000,21300
2023-02-22,10.240000,10.260000,10.240000,10.255000,10.255000,9800
2023-02-23,10.250000,10.270000,10.250000,10.270000,10.270000,3400
2023-02-24,10.270000,10.270000,10.270000,10.270000,10.270000,1800
2023-02-27,10.270000,10.270000,10.270000,10.270000,10.270000,0
2023-02-28,10.270000,10.270000,10.270000,10.270000,10.270000,0
2023-03-01,10.270000,10.270000,10.270000,10.270000,10.270000,0
2023-03-02,10.280000,10.290000,10.280000,10.290000,10.290000,1500
2023-03-03,10.290000,10.290000,10.290000,10.290000,10.290000,0
2023-03-06,10.290000,10.290000,10.290000,10.290000,10.290000,0
2023-03-07,10.290000,10.290000,10.290000,10.290000,10.290000,0
2023-03-08,10.300000,10.300000,10.300000,10.300000,10.300000,3000
2023-03-09,10.300000,10.300000,10.300000,10.300000,10.300000,0
2023-03-10,10.300000,10.300000,10.300000,10.300000,10.300000,0
2023-03-13,10.290000,10.290000,10.290000,10.290000,10.290000,1200
2023-03-14,10.290000,10.290000,10.290000,10.290000,10.290000,0
2023-03-15,10.290000,10.290000,10.290000,10.290000,10.290000,0
2023-03-16,10.290000,10.290000,10.290000,10.290000,10.290000,0
2023-03-17,10.330000,10.330000,10.330000,10.330000,10.330000,100
2023-03-20,10.330000,10.330000,10.330000,10.330000,10.330000,0
2023-03-21,10.330000,10.330000,10.330000,10.330000,10.330000,100
2023-03-22,10.330000,10.330000,10.330000,10.330000,10.330000,0
2023-03-23,10.340000,10.340000,10.340000,10.340000,10.340000,300
2023-03-24,10.340000,10.340000,10.325000,10.340000,10.340000,67300
2023-03-27,10.340000,10.340000,10.340000,10.340000,10.340000,0
2023-03-28,10.340000,10.340000,10.340000,10.340000,10.340000,0
2023-03-29,10.300000,10.300000,10.300000,10.300000,10.300000,100
2023-03-30,10.300000,10.300000,10.300000,10.300000,10.300000,0
2023-03-31,10.300000,10.300000,10.300000,10.300000,10.300000,0
2023-04-03,10.300000,10.300000,10.300000,10.300000,10.300000,200
2023-04-04,10.300000,10.300000,10.300000,10.300000,10.300000,0
2023-04-05,10.300000,10.300000,10.300000,10.300000,10.300000,0
2023-04-06,10.300000,10.300000,10.300000,10.300000,10.300000,0
2023-04-10,10.300000,10.300000,10.300000,10.300000,10.300000,0
2023-04-11,10.340000,10.350000,10.330000,10.330000,10.330000,5000
2023-04-12,10.330000,10.330000,10.330000,10.330000,10.330000,0
2023-04-13,10.360000,10.360000,10.360000,10.360000,10.360000,2700
2023-04-14,10.370000,10.370000,10.370000,10.370000,10.370000,45900
2023-04-17,10.390000,10.390000,10.380000,10.390000,10.390000,3400
2023-04-18,10.370000,10.380000,10.370000,10.380000,10.380000,1300
2023-04-19,10.380000,10.490000,10.380000,10.490000,10.490000,300
2023-04-20,10.410000,10.430000,10.400000,10.420000,10.420000,450500
2023-04-21,10.410000,10.420000,10.410000,10.410000,10.410000,8700
2023-04-24,10.410000,10.415000,10.405000,10.410000,10.410000,163000
2023-04-25,10.410000,10.415000,10.410000,10.415000,10.415000,34800
2023-04-26,10.420000,10.420000,10.420000,10.420000,10.420000,6400
2023-04-27,10.450000,10.450000,10.410000,10.410000,10.410000,300
2023-04-28,10.410000,10.430000,10.410000,10.425000,10.425000,357600
2023-05-01,10.425000,10.435000,10.420000,10.430000,10.430000,9600
2023-05-02,10.430000,10.440000,10.430000,10.440000,10.440000,5600
2023-05-03,10.440000,10.450000,10.440000,10.450000,10.450000,600100
2023-05-04,10.440000,10.456000,10.440000,10.450000,10.450000,4500
2023-05-05,10.455000,10.470000,10.450000,10.470000,10.470000,504500
2023-05-08,10.460000,10.470000,10.450000,10.450000,10.450000,74900
2023-05-09,10.450000,10.468000,10.450000,10.468000,10.468000,3800
2023-05-10,10.460000,10.695000,10.460000,10.622000,10.622000,8900
2023-05-11,10.622000,10.622000,10.622000,10.622000,10.622000,0
2023-05-12,10.495000,10.495000,10.460000,10.460000,10.460000,4300
2023-05-15,10.500000,10.500000,10.460000,10.460000,10.460000,1100
2023-05-16,10.460000,10.550000,10.460000,10.480000,10.480000,474300
2023-05-17,10.490000,10.506000,10.490000,10.506000,10.506000,4700
2023-05-18,10.520000,10.540000,10.510000,10.520000,10.520000,258900
2023-05-19,10.800000,10.800000,10.530000,10.540000,10.540000,356900
2023-05-22,10.590000,11.120000,10.550000,11.120000,11.120000,9100
2023-05-23,10.500000,11.025000,10.500000,10.680000,10.680000,2900
2023-05-24,10.800000,10.880000,10.560000,10.609000,10.609000,18300
2023-05-25,11.084000,11.084000,10.500000,10.500000,10.500000,800
2023-05-26,10.510000,10.580000,10.500000,10.575000,10.575000,6300
2023-05-30,10.510000,11.145000,10.460000,10.575000,10.575000,4300
2023-05-31,10.550000,11.527000,10.500000,10.560000,10.560000,8500
2023-06-01,10.510000,11.065000,10.510000,10.630000,10.630000,11400
2023-06-02,10.630000,10.630000,10.630000,10.630000,10.630000,0
2023-06-05,11.206000,11.206000,10.510000,10.620000,10.620000,5800
2023-06-06,10.965000,10.980000,10.602000,10.620000,10.620000,6100
