Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,14.340000,14.360000,13.960000,14.050000,14.050000,684500
2022-12-28,14.130000,14.300000,13.740000,14.060000,14.060000,490600
2022-12-29,14.110000,14.840000,13.950000,14.590000,14.590000,665300
2022-12-30,14.440000,14.810000,14.090000,14.800000,14.800000,460000
2023-01-03,15.100000,15.100000,14.460000,14.770000,14.770000,642000
2023-01-04,14.750000,15.710000,14.750000,15.690000,15.690000,628300
2023-01-05,15.480000,15.690000,14.512000,15.100000,15.100000,718500
2023-01-06,15.150000,15.370000,14.700000,15.010000,15.010000,570800
2023-01-09,14.930000,15.180000,14.330000,14.480000,14.480000,878300
2023-01-10,14.460000,14.820000,13.600000,13.790000,13.790000,765400
2023-01-11,13.710000,13.890000,13.110000,13.530000,13.530000,1175000
2023-01-12,13.590000,13.840000,12.810000,13.810000,13.810000,1469400
2023-01-13,13.630000,14.140000,13.630000,14.120000,14.120000,812100
2023-01-17,14.200000,14.730000,13.570000,14.670000,14.670000,1262800
2023-01-18,14.790000,14.995000,14.115000,14.170000,14.170000,630000
2023-01-19,14.000000,15.760000,13.900000,15.550000,15.550000,1227200
2023-01-20,15.900000,16.350000,15.440000,16.240000,16.240000,1185900
2023-01-23,16.290001,16.850000,16.035999,16.320000,16.320000,889300
2023-01-24,16.320000,16.632999,16.020000,16.040001,16.040001,663900
2023-01-25,15.940000,16.129999,15.499000,16.129999,16.129999,587200
2023-01-26,16.270000,16.562000,15.630000,16.100000,16.100000,479900
2023-01-27,16.129999,16.650000,15.830000,16.559999,16.559999,584200
2023-01-30,16.190001,16.370001,15.935000,16.049999,16.049999,540100
2023-01-31,16.160000,16.629999,16.145000,16.570000,16.570000,615500
2023-02-01,16.590000,17.139999,16.197001,16.840000,16.840000,892100
2023-02-02,17.190001,17.290001,16.160000,16.350000,16.350000,1100400
2023-02-03,16.150000,16.799999,16.010000,16.670000,16.670000,834700
2023-02-06,16.690001,16.860001,16.309999,16.520000,16.520000,872200
2023-02-07,16.590000,16.889999,16.365000,16.730000,16.730000,679700
2023-02-08,16.740000,16.799999,16.309999,16.389999,16.389999,722000
2023-02-09,16.440001,16.945000,16.340000,16.530001,16.530001,438900
2023-02-10,16.490000,16.719999,16.320000,16.660000,16.660000,705200
2023-02-13,16.760000,17.000000,16.490000,16.830000,16.830000,391100
2023-02-14,16.770000,17.290001,16.600000,17.000000,17.000000,530100
2023-02-15,17.180000,17.180000,16.840000,17.139999,17.139999,474300
