Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.810000,2.860000,2.700000,2.745000,2.745000,23400
2022-12-28,2.780000,2.830000,2.710000,2.790000,2.790000,29500
2022-12-29,2.792000,2.846000,2.770000,2.810000,2.810000,14900
2022-12-30,2.770000,2.910000,2.750000,2.890000,2.890000,15800
2023-01-03,2.980000,3.149000,2.900000,2.970000,2.970000,26600
2023-01-04,3.020000,3.090000,2.883000,2.980000,2.980000,22700
2023-01-05,3.010000,3.050000,2.930000,2.960000,2.960000,12200
2023-01-06,2.920000,3.192000,2.910000,3.140000,3.140000,60700
2023-01-09,3.130000,3.482000,3.031000,3.410000,3.410000,82100
2023-01-10,3.380000,3.410000,3.270000,3.360000,3.360000,19200
2023-01-11,3.410000,3.410000,3.270000,3.350000,3.350000,23700
2023-01-12,3.300000,3.300000,3.166000,3.200000,3.200000,38400
2023-01-13,3.200000,3.270000,3.160000,3.260000,3.260000,11900
2023-01-17,3.232000,3.490000,3.225000,3.380000,3.380000,26000
2023-01-18,3.500000,3.500000,3.160000,3.250000,3.250000,55800
2023-01-19,3.160000,3.214000,3.011000,3.036000,3.036000,9500
2023-01-20,3.140000,3.140000,2.966000,3.000000,3.000000,22300
2023-01-23,3.000000,3.150000,3.000000,3.100000,3.100000,11300
2023-01-24,3.100000,3.150000,3.060000,3.060000,3.060000,7600
2023-01-25,3.060000,3.160000,3.060000,3.110000,3.110000,7000
2023-01-26,3.090000,3.212000,3.060000,3.210000,3.210000,5900
2023-01-27,3.160000,3.220000,3.140000,3.200000,3.200000,7600
2023-01-30,3.150000,3.150000,3.120000,3.150000,3.150000,8600
2023-01-31,3.120000,3.230000,3.100000,3.220000,3.220000,20000
2023-02-01,3.205000,3.205000,3.060000,3.150000,3.150000,11500
2023-02-02,3.110000,3.162000,2.910000,3.080000,3.080000,107300
2023-02-03,3.130000,3.190000,3.010000,3.070000,3.070000,36200
2023-02-06,3.000000,3.076000,2.950000,3.060000,3.060000,29300
2023-02-07,3.000000,3.050000,2.920000,3.000000,3.000000,16000
2023-02-08,3.020000,3.097000,2.955000,3.040000,3.040000,16800
2023-02-09,3.005000,3.005000,2.920000,2.960000,2.960000,10100
2023-02-10,2.930000,3.030000,2.910000,3.020000,3.020000,49900
2023-02-13,2.967000,2.990000,2.910000,2.990000,2.990000,7300
2023-02-14,2.910000,2.940000,2.850000,2.880000,2.880000,25000
2023-02-15,2.800000,3.010000,2.800000,3.010000,3.010000,9800
2023-02-16,2.890000,3.010000,2.890000,3.000000,3.000000,4200
2023-02-17,2.960000,3.080000,2.950000,3.010000,3.010000,16400
2023-02-21,3.070000,3.070000,2.930000,3.050000,3.050000,17400
2023-02-22,3.020000,3.070000,2.955000,3.020000,3.020000,16500
