Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.900000,1.940000,1.850000,1.890000,1.890000,35800
2022-12-28,1.890000,1.900000,1.850000,1.850000,1.850000,36500
2022-12-29,1.850000,1.920000,1.850000,1.900000,1.900000,1500
2022-12-30,1.960000,1.960000,1.820000,1.930000,1.930000,16100
2023-01-03,2.000000,2.000000,1.880000,1.910000,1.910000,9300
2023-01-04,1.890000,1.940000,1.890000,1.940000,1.940000,5800
2023-01-05,1.910000,2.000000,1.900000,2.000000,2.000000,20800
2023-01-06,1.980000,2.000000,1.950000,1.990000,1.990000,10400
2023-01-09,2.000000,2.080000,1.930000,2.070000,2.070000,65800
2023-01-10,2.090000,2.210000,2.040000,2.100000,2.100000,13300
2023-01-11,2.170000,2.270000,2.140000,2.200000,2.200000,88100
2023-01-12,2.270000,2.300000,2.210000,2.230000,2.230000,7700
2023-01-13,2.240000,2.250000,2.210000,2.250000,2.250000,4200
2023-01-17,2.320000,2.430000,2.270000,2.400000,2.400000,109600
2023-01-18,2.450000,2.560000,2.380000,2.530000,2.530000,55300
2023-01-19,2.530000,2.530000,2.460000,2.500000,2.500000,16600
2023-01-20,2.500000,2.540000,2.470000,2.500000,2.500000,26700
2023-01-23,2.590000,2.600000,2.500000,2.520000,2.520000,17300
2023-01-24,2.500000,2.610000,2.500000,2.600000,2.600000,28200
2023-01-25,2.520000,2.580000,2.520000,2.580000,2.580000,4300
2023-01-26,2.550000,2.570000,2.540000,2.570000,2.570000,2100
2023-01-27,2.530000,2.600000,2.500000,2.520000,2.520000,21000
2023-01-30,2.500000,2.530000,2.400000,2.400000,2.400000,14900
2023-01-31,2.430000,2.500000,2.430000,2.500000,2.500000,5200
2023-02-01,2.650000,2.660000,2.550000,2.610000,2.610000,26600
2023-02-02,2.640000,2.640000,2.520000,2.630000,2.630000,20200
2023-02-03,2.630000,2.630000,2.520000,2.620000,2.620000,4600
2023-02-06,2.610000,2.680000,2.600000,2.600000,2.600000,5100
2023-02-07,2.650000,2.670000,2.560000,2.650000,2.650000,7400
2023-02-08,2.650000,2.650000,2.580000,2.610000,2.610000,9600
2023-02-09,2.620000,2.620000,2.550000,2.580000,2.580000,3300
2023-02-10,2.550000,2.570000,2.500000,2.500000,2.500000,4500
2023-02-13,2.500000,2.560000,2.500000,2.560000,2.560000,7000
2023-02-14,2.580000,2.590000,2.510000,2.560000,2.560000,5600
2023-02-15,2.500000,2.550000,2.140000,2.260000,2.260000,145000
2023-02-16,2.260000,2.270000,2.180000,2.250000,2.250000,6900
2023-02-17,2.240000,2.240000,2.220000,2.230000,2.230000,5100
2023-02-21,2.230000,2.230000,2.180000,2.180000,2.180000,12400
2023-02-22,2.180000,2.210000,2.170000,2.210000,2.210000,4600
2023-02-23,2.230000,2.230000,2.230000,2.230000,2.230000,500
2023-02-24,2.240000,2.320000,2.160000,2.200000,2.200000,23100
2023-02-27,2.230000,2.290000,2.060000,2.080000,2.080000,37300
2023-02-28,2.080000,2.180000,2.070000,2.130000,2.130000,34500
2023-03-01,2.120000,2.250000,2.120000,2.130000,2.130000,7800
2023-03-02,2.030000,2.150000,2.030000,2.060000,2.060000,12600
2023-03-03,2.050000,2.130000,2.050000,2.060000,2.060000,10900
2023-03-06,2.090000,2.440000,2.090000,2.100000,2.100000,9100
2023-03-07,2.100000,2.110000,2.100000,2.110000,2.110000,1400
2023-03-08,2.120000,2.130000,2.040000,2.070000,2.070000,8600
2023-03-09,2.060000,2.110000,2.050000,2.060000,2.060000,2800
2023-03-10,2.100000,2.130000,2.020000,2.030000,2.030000,6500
2023-03-13,2.000000,2.110000,2.000000,2.060000,2.060000,9700
2023-03-14,2.090000,2.090000,2.010000,2.010000,2.010000,3400
2023-03-15,2.020000,2.040000,2.000000,2.000000,2.000000,3800
2023-03-16,2.060000,2.060000,2.000000,2.000000,2.000000,6800
2023-03-17,2.030000,2.030000,1.990000,1.990000,1.990000,6800
2023-03-20,2.020000,2.020000,1.980000,1.980000,1.980000,1900
2023-03-21,2.060000,2.140000,2.010000,2.030000,2.030000,5200
2023-03-22,2.030000,2.030000,2.030000,2.030000,2.030000,100
