Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.925000,2.050000,1.905000,1.950000,1.950000,29020
2022-12-28,1.925000,2.025000,1.900000,1.940000,1.940000,23800
2022-12-29,1.910000,2.015000,1.875000,1.925000,1.925000,76500
2022-12-30,1.925000,1.975000,1.750000,1.800000,1.800000,127480
2023-01-03,1.940000,2.220000,1.850000,2.175000,2.175000,135040
2023-01-04,2.240000,3.250000,2.240000,2.990000,2.990000,150420
2023-01-05,3.175000,3.200000,3.000000,3.100000,3.100000,60240
2023-01-06,3.100000,3.300000,3.000000,3.300000,3.300000,44300
2023-01-09,3.250000,3.500000,3.150000,3.300000,3.300000,34960
2023-01-10,3.255000,3.400000,3.255000,3.385000,3.385000,23980
2023-01-11,3.400000,3.400000,3.000000,3.025000,3.025000,42660
2023-01-12,3.250000,3.250000,3.055000,3.150000,3.150000,13720
2023-01-13,3.150000,3.200000,3.050000,3.200000,3.200000,8800
2023-01-17,3.050000,3.325000,3.050000,3.250000,3.250000,44200
2023-01-18,3.350000,3.350000,3.100000,3.170000,3.170000,10380
2023-01-19,3.150000,3.350000,3.150000,3.350000,3.350000,10260
2023-01-20,3.295000,3.350000,3.250000,3.315000,3.315000,19180
2023-01-23,3.335000,3.700000,3.335000,3.520000,3.520000,45080
2023-01-24,3.700000,4.000000,3.600000,3.900000,3.900000,67420
2023-01-25,3.980000,3.980000,3.725000,3.750000,3.750000,16260
2023-01-26,3.750000,3.750000,3.650000,3.650000,3.650000,14420
2023-01-27,3.550000,3.725000,3.550000,3.725000,3.725000,10520
2023-01-30,3.650000,3.700000,3.400000,3.400000,3.400000,42080
2023-01-31,3.400000,3.650000,3.400000,3.440000,3.440000,9360
2023-02-01,3.440000,3.560000,3.000000,3.550000,3.550000,41380
2023-02-02,3.500000,3.800000,3.500000,3.710000,3.710000,80100
2023-02-03,3.700000,3.710000,3.550000,3.635000,3.635000,21660
2023-02-06,3.650000,3.900000,3.620000,3.740000,3.740000,45100
2023-02-07,3.750000,4.400000,3.750000,4.090000,4.090000,121420
2023-02-08,3.875000,4.175000,3.875000,4.000000,4.000000,29860
2023-02-09,4.050000,4.150000,3.925000,3.925000,3.925000,19560
2023-02-10,4.000000,4.000000,3.900000,3.950000,3.950000,6380
2023-02-13,4.000000,4.100000,3.850000,4.000000,4.000000,14100
2023-02-14,3.925000,4.100000,3.900000,4.000000,4.000000,10160
2023-02-15,4.000000,4.100000,3.900000,3.955000,3.955000,23240
2023-02-16,4.000000,4.000000,3.850000,4.000000,4.000000,11480
2023-02-17,3.950000,4.050000,3.920000,4.025000,4.025000,19700
2023-02-21,4.000000,4.000000,3.500000,3.650000,3.650000,26720
2023-02-22,3.650000,3.650000,3.325000,3.500000,3.500000,29080
2023-02-23,3.500000,3.550000,3.425000,3.500000,3.500000,7140
2023-02-24,4.200000,4.250000,3.900000,4.185000,4.185000,123500
2023-02-27,4.105000,4.185000,3.760000,3.945000,3.945000,36020
2023-02-28,4.000000,4.000000,3.680000,3.775000,3.775000,21680
2023-03-01,3.775000,3.800000,3.550000,3.575000,3.575000,26380
2023-03-02,3.500000,3.750000,3.500000,3.690000,3.690000,11340
2023-03-03,3.650000,3.790000,3.640000,3.790000,3.790000,14940
2023-03-06,3.600000,3.750000,3.210000,3.425000,3.425000,113200
2023-03-07,3.595000,3.595000,3.300000,3.390000,3.390000,19020
2023-03-08,3.450000,3.450000,3.355000,3.425000,3.425000,11320
2023-03-09,3.360000,3.425000,3.325000,3.365000,3.365000,18840
2023-03-10,3.325000,3.325000,2.750000,2.850000,2.850000,122060
2023-03-13,2.580000,2.819000,2.350000,2.560000,2.560000,48700
2023-03-14,2.560000,2.800000,2.400000,2.780000,2.780000,74400
