Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.250000,1.280000,1.200000,1.220000,1.220000,157300
2022-12-28,1.200000,1.260000,1.190000,1.230000,1.230000,238700
2022-12-29,1.250000,1.320000,1.250000,1.300000,1.300000,342100
2022-12-30,1.300000,1.320000,1.200000,1.300000,1.300000,372400
2023-01-03,1.350000,1.380000,1.280000,1.340000,1.340000,384700
2023-01-04,1.350000,1.400000,1.330000,1.370000,1.370000,365800
2023-01-05,1.380000,1.420000,1.360000,1.400000,1.400000,419500
2023-01-06,1.450000,1.460000,1.370000,1.380000,1.380000,576000
2023-01-09,1.510000,1.650000,1.430000,1.590000,1.590000,989600
2023-01-10,1.610000,1.610000,1.500000,1.540000,1.540000,336800
2023-01-11,1.530000,1.560000,1.460000,1.510000,1.510000,352200
2023-01-12,1.500000,1.520000,1.460000,1.500000,1.500000,274000
2023-01-13,1.510000,1.570000,1.480000,1.540000,1.540000,398600
2023-01-17,1.590000,1.610000,1.550000,1.570000,1.570000,376400
2023-01-18,1.550000,1.590000,1.520000,1.520000,1.520000,74300
2023-01-19,1.520000,1.530000,1.480000,1.500000,1.500000,101700
2023-01-20,1.480000,1.520000,1.470000,1.490000,1.490000,182200
2023-01-23,1.520000,1.540000,1.460000,1.500000,1.500000,239700
2023-01-24,1.490000,1.610000,1.450000,1.540000,1.540000,447300
2023-01-25,1.550000,1.690000,1.550000,1.650000,1.650000,818800
2023-01-26,1.680000,1.700000,1.610000,1.680000,1.680000,430600
2023-01-27,1.740000,1.740000,1.690000,1.710000,1.710000,365700
2023-01-30,1.700000,1.730000,1.660000,1.690000,1.690000,285300
2023-01-31,1.700000,1.760000,1.680000,1.740000,1.740000,325600
2023-02-01,1.780000,1.780000,1.720000,1.720000,1.720000,193400
2023-02-02,1.720000,1.780000,1.690000,1.700000,1.700000,226100
2023-02-03,1.690000,1.720000,1.660000,1.680000,1.680000,312100
2023-02-06,1.650000,1.710000,1.650000,1.660000,1.660000,184800
2023-02-07,1.700000,1.700000,1.630000,1.650000,1.650000,132500
2023-02-08,1.640000,1.650000,1.600000,1.610000,1.610000,142000
2023-02-09,1.620000,1.620000,1.520000,1.540000,1.540000,183000
2023-02-10,1.530000,1.550000,1.500000,1.500000,1.500000,86700
2023-02-13,1.510000,1.570000,1.510000,1.560000,1.560000,115700
2023-02-14,1.540000,1.590000,1.520000,1.540000,1.540000,49200
2023-02-15,1.530000,1.620000,1.530000,1.530000,1.530000,132000
2023-02-16,1.550000,1.570000,1.470000,1.530000,1.530000,288800
2023-02-17,1.540000,1.540000,1.490000,1.500000,1.500000,46100
2023-02-21,1.500000,1.510000,1.390000,1.430000,1.430000,113800
2023-02-22,1.420000,1.500000,1.380000,1.410000,1.410000,161400
2023-02-23,1.450000,1.480000,1.400000,1.430000,1.430000,112100
2023-02-24,1.400000,1.460000,1.350000,1.350000,1.350000,138300
2023-02-27,1.370000,1.470000,1.340000,1.380000,1.380000,112300
2023-02-28,1.390000,1.420000,1.350000,1.360000,1.360000,39700
2023-03-01,1.350000,1.440000,1.350000,1.380000,1.380000,66500
2023-03-02,1.370000,1.400000,1.360000,1.360000,1.360000,110500
2023-03-03,1.400000,1.450000,1.350000,1.370000,1.370000,193900
2023-03-06,1.410000,1.490000,1.350000,1.390000,1.390000,207200
2023-03-07,1.400000,1.440000,1.340000,1.340000,1.340000,227700
2023-03-08,1.410000,1.480000,1.350000,1.430000,1.430000,608300
2023-03-09,1.460000,1.460000,1.310000,1.320000,1.320000,381400
2023-03-10,1.380000,1.380000,1.230000,1.250000,1.250000,342400
2023-03-13,1.210000,1.340000,1.140000,1.260000,1.260000,397300
2023-03-14,1.240000,1.400000,1.220000,1.300000,1.300000,103700
2023-03-15,1.320000,1.370000,1.220000,1.320000,1.320000,120500
2023-03-16,1.290000,1.300000,1.210000,1.230000,1.230000,164500
2023-03-17,1.210000,1.300000,1.200000,1.230000,1.230000,159000
2023-03-20,1.240000,1.250000,1.200000,1.230000,1.230000,160000
2023-03-21,1.230000,1.290000,1.200000,1.200000,1.200000,149000
2023-03-22,1.200000,1.240000,1.150000,1.170000,1.170000,105700
2023-03-23,1.200000,1.200000,1.020000,1.070000,1.070000,596200
2023-03-24,1.060000,1.060000,1.010000,1.040000,1.040000,111100
2023-03-27,1.060000,1.060000,0.980000,0.980000,0.980000,239300
2023-03-28,0.930000,0.940000,0.870000,0.920000,0.920000,463100
2023-03-29,0.920000,0.950000,0.870000,0.890000,0.890000,301100
2023-03-30,0.880000,0.900000,0.770000,0.800000,0.800000,652200
2023-03-31,0.810000,0.900000,0.800000,0.840000,0.840000,252800
2023-04-03,0.850000,0.860000,0.810000,0.840000,0.840000,105600
2023-04-04,0.840000,0.850000,0.800000,0.810000,0.810000,127200
2023-04-05,0.820000,0.840000,0.800000,0.820000,0.820000,242700
2023-04-06,0.850000,0.860000,0.840000,0.850000,0.850000,354000
2023-04-10,0.850000,0.850000,0.810000,0.830000,0.830000,71100
2023-04-11,0.840000,0.870000,0.820000,0.850000,0.850000,208200
2023-04-12,0.850000,0.850000,0.800000,0.820000,0.820000,190700
2023-04-13,0.890000,1.020000,0.870000,0.950000,0.950000,844900
2023-04-14,1.050000,1.100000,0.980000,0.990000,0.990000,362500
2023-04-17,1.010000,1.130000,1.010000,1.130000,1.130000,364400
2023-04-18,1.110000,1.210000,1.070000,1.090000,1.090000,1006000
2023-04-19,1.070000,1.190000,1.060000,1.120000,1.120000,104500
2023-04-20,1.120000,1.190000,0.960000,0.980000,0.980000,576900
2023-04-21,0.980000,1.000000,0.960000,0.980000,0.980000,182000
2023-04-24,0.970000,1.000000,0.950000,0.990000,0.990000,110500
2023-04-25,0.990000,1.050000,0.960000,0.990000,0.990000,209700
2023-04-26,0.960000,1.010000,0.960000,0.990000,0.990000,69900
2023-04-27,0.970000,1.040000,0.970000,1.040000,1.040000,59800
2023-04-28,1.040000,1.040000,1.010000,1.040000,1.040000,63000
2023-05-01,1.010000,1.050000,1.010000,1.030000,1.030000,60900
2023-05-02,0.960000,1.040000,0.920000,1.030000,1.030000,126800
2023-05-03,1.000000,1.040000,1.000000,1.000000,1.000000,54300
2023-05-04,1.000000,1.050000,1.000000,1.040000,1.040000,31000
2023-05-05,1.000000,1.080000,0.970000,1.030000,1.030000,250900
2023-05-08,1.010000,1.080000,1.000000,1.040000,1.040000,64200
2023-05-09,1.050000,1.090000,1.020000,1.070000,1.070000,97600
2023-05-10,1.070000,1.110000,1.040000,1.100000,1.100000,122500
2023-05-11,1.080000,1.100000,1.010000,1.060000,1.060000,141000
2023-05-12,1.060000,1.080000,1.000000,1.050000,1.050000,138200
2023-05-15,1.040000,1.060000,1.010000,1.040000,1.040000,31600
2023-05-16,1.020000,1.050000,0.960000,1.020000,1.020000,126300
2023-05-17,1.000000,1.020000,0.960000,1.020000,1.020000,116800
2023-05-18,1.010000,1.020000,0.970000,1.010000,1.010000,32400
2023-05-19,1.010000,1.050000,1.010000,1.040000,1.040000,100900
2023-05-22,1.010000,1.100000,1.010000,1.090000,1.090000,113700
2023-05-23,1.040000,1.100000,1.020000,1.070000,1.070000,312900
2023-05-24,1.070000,1.090000,1.010000,1.020000,1.020000,92600
2023-05-25,1.020000,1.050000,0.960000,0.970000,0.970000,179900
2023-05-26,1.000000,1.000000,0.960000,0.980000,0.980000,70600
2023-05-30,0.970000,1.020000,0.950000,0.950000,0.950000,104800
2023-05-31,0.950000,1.000000,0.950000,0.960000,0.960000,14900
2023-06-01,0.940000,0.980000,0.930000,0.960000,0.960000,57400
2023-06-02,0.970000,1.160000,0.930000,1.110000,1.110000,431500
2023-06-05,1.090000,1.190000,1.070000,1.100000,1.100000,313000
2023-06-06,1.080000,1.150000,1.060000,1.100000,1.100000,66000
2023-06-07,1.090000,1.120000,1.070000,1.110000,1.110000,66000
2023-06-08,1.120000,1.130000,1.110000,1.120000,1.120000,75400
2023-06-09,1.110000,1.120000,1.050000,1.080000,1.080000,121400
2023-06-12,1.100000,1.100000,1.020000,1.060000,1.060000,56400
2023-06-13,1.060000,1.090000,1.050000,1.080000,1.080000,42300
2023-06-14,1.080000,1.100000,1.040000,1.040000,1.040000,55700
2023-06-15,1.100000,1.100000,1.060000,1.080000,1.080000,55500
2023-06-16,1.060000,1.140000,1.060000,1.090000,1.090000,162400
2023-06-20,1.080000,1.090000,1.040000,1.070000,1.070000,85700
2023-06-21,1.090000,1.160000,1.060000,1.120000,1.120000,117400
2023-06-22,1.090000,1.110000,1.080000,1.090000,1.090000,32800
2023-06-23,1.070000,1.100000,1.060000,1.090000,1.090000,63000
2023-06-26,1.080000,1.100000,1.060000,1.080000,1.080000,73300
2023-06-27,1.060000,1.080000,1.060000,1.070000,1.070000,22700
2023-06-28,1.080000,1.100000,1.040000,1.050000,1.050000,97300
2023-06-29,1.070000,1.080000,1.050000,1.080000,1.080000,131100
2023-06-30,1.070000,1.180000,1.050000,1.150000,1.150000,178000
2023-07-03,1.140000,1.140000,1.040000,1.070000,1.070000,182300
2023-07-05,1.100000,1.100000,1.050000,1.070000,1.070000,71500
2023-07-06,1.080000,1.080000,1.040000,1.070000,1.070000,96700
2023-07-07,1.060000,1.080000,1.050000,1.080000,1.080000,23700
2023-07-10,1.070000,1.080000,1.060000,1.070000,1.070000,36100
2023-07-11,1.080000,1.100000,1.060000,1.090000,1.090000,98300
2023-07-12,1.100000,1.100000,1.060000,1.090000,1.090000,41300
2023-07-13,1.110000,1.120000,1.090000,1.120000,1.120000,65600
2023-07-14,1.120000,1.120000,1.070000,1.080000,1.080000,138100
2023-07-17,1.080000,1.140000,1.030000,1.130000,1.130000,358300
2023-07-18,1.130000,1.140000,1.080000,1.100000,1.100000,149600
2023-07-19,1.080000,1.120000,1.070000,1.110000,1.110000,36800
2023-07-20,1.100000,1.120000,1.060000,1.090000,1.090000,61600
2023-07-21,1.070000,1.110000,1.070000,1.090000,1.090000,43300
2023-07-24,1.090000,1.100000,1.050000,1.100000,1.100000,100600
2023-07-25,1.090000,1.100000,1.060000,1.070000,1.070000,47300
2023-07-26,1.060000,1.100000,1.060000,1.090000,1.090000,61700
2023-07-27,1.080000,1.150000,1.000000,1.100000,1.100000,152400
2023-07-28,1.080000,1.130000,1.080000,1.120000,1.120000,54200
2023-07-31,1.150000,1.170000,1.100000,1.110000,1.110000,118000
2023-08-01,1.080000,1.110000,1.060000,1.090000,1.090000,41600
2023-08-02,1.060000,1.110000,1.060000,1.110000,1.110000,75700
2023-08-03,1.130000,1.140000,1.100000,1.110000,1.110000,112100
2023-08-04,1.110000,1.140000,1.100000,1.100000,1.100000,67500
2023-08-07,1.110000,1.150000,1.060000,1.090000,1.090000,98000
2023-08-08,1.110000,1.110000,1.040000,1.080000,1.080000,95000
2023-08-09,1.040000,1.120000,1.040000,1.060000,1.060000,149900
2023-08-10,1.040000,1.080000,1.030000,1.070000,1.070000,48500
2023-08-11,1.060000,1.070000,1.000000,1.050000,1.050000,119600
