Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,10.370000,10.850000,10.200000,10.580000,10.580000,167200
2022-12-28,10.530000,10.670000,9.800000,9.980000,9.980000,190000
2022-12-29,9.970000,10.110000,9.700000,9.960000,9.960000,123400
2022-12-30,10.000000,10.070000,9.120000,9.460000,9.460000,305200
2023-01-03,9.690000,9.820000,8.550000,8.730000,8.730000,291800
2023-01-04,8.700000,9.120000,8.590000,8.650000,8.650000,204800
2023-01-05,8.650000,8.900000,7.860000,8.250000,8.250000,269200
2023-01-06,8.100000,8.380000,7.660000,8.110000,8.110000,263600
2023-01-09,8.050000,8.060000,7.670000,7.780000,7.780000,247300
2023-01-10,7.730000,7.900000,7.650000,7.800000,7.800000,122200
2023-01-11,7.780000,8.330000,7.780000,8.150000,8.150000,119000
2023-01-12,8.160000,8.480000,8.120000,8.330000,8.330000,125700
2023-01-13,8.320000,8.320000,7.740000,7.740000,7.740000,125700
2023-01-17,7.910000,8.000000,7.490000,7.560000,7.560000,183900
2023-01-18,7.510000,7.750000,7.390000,7.540000,7.540000,132200
2023-01-19,7.500000,7.540000,7.280000,7.480000,7.480000,120600
2023-01-20,7.480000,7.990000,7.470000,7.700000,7.700000,105800
2023-01-23,7.710000,7.960000,7.610000,7.870000,7.870000,114000
2023-01-24,8.010000,8.010000,7.700000,7.710000,7.710000,111800
2023-01-25,7.660000,7.750000,7.450000,7.520000,7.520000,80400
2023-01-26,7.490000,7.490000,5.680000,5.750000,5.750000,1225800
2023-01-27,5.850000,6.270000,5.520000,6.170000,6.170000,663600
2023-01-30,6.140000,6.300000,5.600000,5.640000,5.640000,331900
2023-01-31,5.640000,5.950000,5.530000,5.950000,5.950000,153800
2023-02-01,5.880000,6.020000,5.630000,5.850000,5.850000,164600
2023-02-02,5.960000,6.090000,5.800000,5.810000,5.810000,96300
2023-02-03,5.710000,7.370000,5.710000,7.230000,7.230000,735800
2023-02-06,7.270000,7.550000,6.520000,6.580000,6.580000,342300
2023-02-07,6.560000,6.610000,6.250000,6.390000,6.390000,102000
2023-02-08,6.650000,6.990000,6.360000,6.900000,6.900000,172100
2023-02-09,6.830000,6.890000,6.280000,6.340000,6.340000,193100
2023-02-10,4.480000,5.540000,4.250000,5.530000,5.530000,1663700
