Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,4.140000,4.140000,3.870000,3.890000,3.890000,1350500
2022-12-28,3.900000,3.920000,3.750000,3.900000,3.900000,693600
2022-12-29,3.900000,4.100000,3.850000,4.080000,4.080000,687500
2022-12-30,4.060000,4.310000,4.040000,4.300000,4.300000,1232900
2023-01-03,4.330000,4.390000,4.120000,4.170000,4.170000,1097800
2023-01-04,4.160000,4.290000,4.120000,4.260000,4.260000,769400
2023-01-05,4.250000,4.390000,4.170000,4.370000,4.370000,628400
2023-01-06,4.390000,4.440000,4.260000,4.360000,4.360000,822200
2023-01-09,4.400000,4.400000,4.070000,4.080000,4.080000,1460600
2023-01-10,4.080000,4.350000,4.080000,4.270000,4.270000,756300
2023-01-11,4.300000,4.310000,4.080000,4.160000,4.160000,705200
2023-01-12,4.180000,4.290000,4.140000,4.220000,4.220000,549400
2023-01-13,4.220000,4.330000,4.170000,4.190000,4.190000,1190500
2023-01-17,4.190000,4.190000,3.780000,3.800000,3.800000,1613200
2023-01-18,3.800000,3.840000,3.520000,3.540000,3.540000,1607800
2023-01-19,3.560000,3.750000,3.500000,3.730000,3.730000,1284600
2023-01-20,3.640000,4.090000,3.640000,4.010000,4.010000,1869600
2023-01-23,4.030000,4.220000,4.020000,4.060000,4.060000,1163900
2023-01-24,4.040000,4.370000,4.010000,4.220000,4.220000,1738600
2023-01-25,4.220000,4.370000,4.180000,4.290000,4.290000,1194300
2023-01-26,4.330000,4.340000,4.080000,4.120000,4.120000,967700
2023-01-27,4.140000,4.200000,3.980000,4.010000,4.010000,1117800
2023-01-30,4.010000,4.150000,3.930000,4.020000,4.020000,1012500
2023-01-31,4.020000,4.120000,3.890000,4.110000,4.110000,749700
2023-02-01,4.160000,4.210000,4.020000,4.030000,4.030000,709300
2023-02-02,4.050000,4.240000,4.010000,4.150000,4.150000,1963000
2023-02-03,4.140000,4.200000,4.020000,4.100000,4.100000,856800
2023-02-06,4.060000,4.250000,4.040000,4.180000,4.180000,1068000
2023-02-07,4.200000,4.570000,4.160000,4.440000,4.440000,2623000
2023-02-08,4.560000,4.730000,4.460000,4.610000,4.610000,2494500
2023-02-09,4.660000,4.820000,4.560000,4.650000,4.650000,1454000
2023-02-10,4.600000,4.640000,4.330000,4.590000,4.590000,1058100
2023-02-13,4.610000,4.890000,4.560000,4.850000,4.850000,1903700
2023-02-14,4.950000,5.150000,4.860000,5.070000,5.070000,2330200
2023-02-15,5.130000,5.170000,4.900000,5.100000,5.100000,2654700
2023-02-16,5.060000,5.220000,4.950000,5.140000,5.140000,1544200
2023-02-17,5.140000,5.150000,4.870000,4.960000,4.960000,1273400
2023-02-21,5.030000,5.290000,4.980000,5.180000,5.180000,2352000
2023-02-22,5.170000,5.560000,5.120000,5.350000,5.350000,2191500
2023-02-23,5.070000,5.210000,4.770000,5.060000,5.060000,4315200
2023-02-24,5.000000,5.150000,4.890000,5.120000,5.120000,1639200
2023-02-27,5.200000,5.300000,5.100000,5.260000,5.260000,1973200
2023-02-28,5.220000,5.630000,5.200000,5.530000,5.530000,4415300
2023-03-01,5.630000,6.000000,5.610000,5.970000,5.970000,3678300
2023-03-02,5.940000,5.970000,5.730000,5.750000,5.750000,2535700
2023-03-03,5.840000,6.340000,5.720000,6.210000,6.210000,3454500
2023-03-06,6.470000,6.510000,6.020000,6.110000,6.110000,4148600
2023-03-07,6.070000,6.280000,5.950000,6.170000,6.170000,2298200
2023-03-08,6.140000,6.180000,5.810000,5.960000,5.960000,3134400
2023-03-09,5.940000,7.000000,5.940000,6.660000,6.660000,5590700
2023-03-10,6.580000,6.580000,5.640000,5.740000,5.740000,4008900
2023-03-13,5.640000,5.640000,5.230000,5.240000,5.240000,3591700
2023-03-14,5.380000,6.080000,5.370000,5.920000,5.920000,4118100
2023-03-15,5.800000,5.870000,5.600000,5.680000,5.680000,2152500
2023-03-16,5.670000,6.320000,5.580000,6.240000,6.240000,2478300
2023-03-17,6.200000,6.200000,5.820000,5.830000,5.830000,1816300
2023-03-20,5.830000,5.960000,5.740000,5.780000,5.780000,1097600
2023-03-21,5.870000,6.050000,5.860000,5.930000,5.930000,1347700
2023-03-22,5.980000,6.120000,5.800000,5.820000,5.820000,1615500
2023-03-23,5.900000,6.060000,5.750000,5.790000,5.790000,1105100
2023-03-24,5.690000,5.970000,5.600000,5.860000,5.860000,1268300
2023-03-27,6.020000,6.140000,5.930000,6.000000,6.000000,1596500
2023-03-28,5.980000,6.370000,5.980000,6.260000,6.260000,2241900
2023-03-29,6.400000,6.430000,6.150000,6.300000,6.300000,1468800
2023-03-30,6.360000,6.480000,6.330000,6.410000,6.410000,1248600
2023-03-31,6.460000,6.520000,6.290000,6.370000,6.370000,2436700
2023-04-03,6.370000,6.370000,6.070000,6.110000,6.110000,1957400
2023-04-04,6.110000,6.220000,5.740000,5.950000,5.950000,2133000
2023-04-05,5.900000,6.060000,5.710000,6.010000,6.010000,2075900
2023-04-06,6.040000,6.270000,6.010000,6.130000,6.130000,1727700
2023-04-10,6.140000,6.140000,5.870000,5.930000,5.930000,1120900
2023-04-11,5.910000,6.040000,5.830000,5.830000,5.830000,1079700
2023-04-12,5.860000,6.050000,5.660000,5.930000,5.930000,1968900
2023-04-13,5.970000,6.240000,5.970000,6.130000,6.130000,1625900
2023-04-14,6.130000,6.320000,6.100000,6.290000,6.290000,1565500
2023-04-17,6.300000,6.320000,6.100000,6.210000,6.210000,1259400
2023-04-18,6.160000,6.170000,5.940000,6.070000,6.070000,1549300
2023-04-19,6.040000,6.080000,5.940000,6.040000,6.040000,1298900
2023-04-20,5.980000,6.180000,5.880000,6.000000,6.000000,1529500
2023-04-21,6.010000,6.180000,5.940000,6.170000,6.170000,1507000
2023-04-24,6.130000,6.520000,6.050000,6.400000,6.400000,3044000
2023-04-25,5.240000,5.550000,4.480000,5.370000,5.370000,9099300
2023-04-26,5.370000,5.430000,4.750000,5.000000,5.000000,5259300
2023-04-27,5.000000,5.180000,4.860000,5.080000,5.080000,2108600
2023-04-28,5.060000,5.620000,4.980000,5.510000,5.510000,2576400
2023-05-01,5.510000,5.840000,5.460000,5.750000,5.750000,2582400
2023-05-02,5.820000,5.980000,5.670000,5.790000,5.790000,2489700
2023-05-03,5.860000,5.990000,5.770000,5.940000,5.940000,1505400
2023-05-04,5.880000,6.050000,5.790000,5.900000,5.900000,1388700
2023-05-05,6.000000,6.240000,5.880000,6.150000,6.150000,1895200
2023-05-08,6.200000,6.350000,6.050000,6.260000,6.260000,1614700
2023-05-09,6.750000,7.330000,6.330000,6.980000,6.980000,7134300
2023-05-10,7.030000,7.830000,7.030000,7.550000,7.550000,4579500
2023-05-11,7.550000,8.010000,7.490000,7.660000,7.660000,3068500
2023-05-12,7.680000,7.820000,7.520000,7.650000,7.650000,2116500
2023-05-15,7.490000,7.580000,7.180000,7.320000,7.320000,2222600
2023-05-16,7.240000,7.250000,6.800000,6.810000,6.810000,2040200
2023-05-17,6.790000,7.130000,6.720000,7.110000,7.110000,1649000
2023-05-18,7.110000,7.190000,6.970000,7.080000,7.080000,1004500
2023-05-19,7.180000,7.400000,7.060000,7.300000,7.300000,1572400
2023-05-22,7.200000,7.390000,6.850000,7.040000,7.040000,1606900
2023-05-23,7.040000,7.120000,6.570000,6.600000,6.600000,1553000
2023-05-24,6.560000,6.640000,6.390000,6.570000,6.570000,1332900
2023-05-25,6.510000,6.560000,6.290000,6.390000,6.390000,994500
