Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,41.189999,41.779999,40.880001,41.580002,41.050957,63700
2022-12-28,41.619999,42.080002,39.970001,39.980000,39.471313,45000
2022-12-29,40.380001,41.169998,40.369999,41.110001,40.586937,51300
2022-12-30,40.759998,40.799999,40.349998,40.660000,40.142666,46000
2023-01-03,41.160000,41.360001,40.389999,41.209999,40.685661,80400
2023-01-04,41.560001,42.220001,41.369999,42.070000,41.534721,78400
2023-01-05,42.119999,42.119999,41.029999,41.779999,41.248409,63600
2023-01-06,40.799999,41.439999,35.730000,36.730000,36.262661,370100
2023-01-09,37.290001,37.830002,36.590000,37.400002,36.924141,248200
2023-01-10,37.500000,38.180000,36.919998,37.230000,36.756298,261000
2023-01-11,37.639999,38.779999,37.639999,38.549999,38.059505,192400
2023-01-12,39.200001,39.520000,38.410000,38.849998,38.355690,172300
2023-01-13,38.380001,39.029999,37.590000,38.820000,38.326069,111000
2023-01-17,38.840000,39.000000,38.290001,38.580002,38.089127,67400
2023-01-18,38.730000,39.049999,38.439999,38.520000,38.029892,109700
2023-01-19,38.189999,38.230000,37.290001,37.619999,37.141342,130000
2023-01-20,38.070000,38.750000,37.500000,38.560001,38.069382,118000
2023-01-23,38.669998,39.540001,38.360001,39.290001,38.790092,232800
2023-01-24,39.130001,40.730000,38.919998,40.470001,39.955082,124900
2023-01-25,40.330002,42.110001,40.060001,42.090000,41.554466,96800
2023-01-26,42.349998,42.549999,41.770000,42.509998,41.969124,56200
2023-01-27,42.340000,43.770000,42.340000,43.669998,43.114361,74800
2023-01-30,43.459999,44.200001,43.080002,43.110001,42.561485,94800
2023-01-31,43.299999,44.860001,42.779999,44.139999,43.578384,315800
2023-02-01,44.150002,44.980000,43.230000,44.330002,43.765968,114300
2023-02-02,44.500000,45.330002,44.150002,45.330002,44.753246,95400
2023-02-03,44.619999,45.650002,44.599998,45.520000,44.940826,127100
2023-02-06,45.160000,45.639999,44.080002,44.669998,44.101639,64800
2023-02-07,44.400002,45.330002,43.759998,45.250000,44.674259,72800
2023-02-08,45.099998,45.250000,44.439999,44.930000,44.358337,87700
2023-02-09,45.279999,45.639999,43.340000,43.599998,43.045254,81100
2023-02-10,43.230000,43.970001,42.459999,43.740002,43.183475,57000
2023-02-13,43.939999,45.060001,43.490002,44.869999,44.299095,60400
2023-02-14,44.430000,44.990002,43.889999,44.680000,44.111511,88800
2023-02-15,44.380001,45.480000,44.320000,45.279999,44.703880,63600
2023-02-16,44.709999,45.400002,44.520000,44.919998,44.348457,96500
2023-02-17,45.209999,46.139999,44.919998,45.869999,45.286373,83600
2023-02-21,45.450001,45.549999,44.029999,44.040001,43.479656,74600
2023-02-22,44.290001,45.349998,43.820000,44.340000,43.775841,103500
