Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,6.460000,6.460000,6.260000,6.320000,6.153119,786600
2022-12-28,6.320000,6.400000,5.985000,6.090000,5.929192,2381900
2022-12-29,6.110000,6.380000,6.110000,6.350000,6.182326,1345600
2022-12-30,6.320000,6.380000,6.200000,6.340000,6.172590,861900
2023-01-03,6.330000,6.470000,6.220000,6.260000,6.094703,978300
2023-01-04,6.350000,6.350000,6.100000,6.130000,5.968135,948800
2023-01-05,6.120000,6.200000,5.985000,6.050000,5.890248,1332100
2023-01-06,6.100000,6.450000,6.100000,6.330000,6.162854,979300
2023-01-09,6.340000,6.580000,6.330000,6.350000,6.182326,903300
2023-01-10,6.090000,6.100000,5.785000,5.960000,5.802624,3655300
2023-01-11,6.030000,6.205000,5.930000,6.180000,6.016815,2169100
2023-01-12,6.320000,6.410000,6.115000,6.380000,6.211534,1179600
2023-01-13,6.290000,6.390000,6.275000,6.380000,6.211534,565700
2023-01-17,6.370000,6.565000,6.370000,6.450000,6.279685,871900
2023-01-18,6.740000,6.990000,6.660000,6.740000,6.562028,2204200
2023-01-19,6.780000,6.890000,6.590000,6.890000,6.708067,1169400
2023-01-20,6.900000,7.270000,6.860000,7.260000,7.068297,925100
2023-01-23,7.270000,7.440000,7.220000,7.440000,7.243545,963100
2023-01-24,7.360000,7.430000,7.265000,7.380000,7.185129,800200
2023-01-25,7.350000,7.420000,7.180000,7.400000,7.204601,884200
2023-01-26,7.490000,7.790000,7.480000,7.760000,7.555095,1384300
2023-01-27,7.700000,8.000000,7.690000,7.960000,7.749814,1992300
2023-01-30,7.900000,8.210000,7.850000,8.190000,7.973740,1643500
2023-01-31,8.130000,8.420000,8.080000,8.410000,8.187931,1484000
2023-02-01,8.320000,8.390000,8.070000,8.360000,8.139252,1497600
2023-02-02,8.420000,8.550000,8.340000,8.420000,8.197667,1066600
2023-02-03,8.320000,8.650000,8.320000,8.540000,8.314498,757700
2023-02-06,8.400000,8.490000,8.230000,8.320000,8.100308,1085000
2023-02-07,8.330000,8.470000,8.270000,8.420000,8.197667,1076500
2023-02-08,8.420000,8.420000,8.090000,8.160000,7.944533,934500
2023-02-09,8.220000,8.280000,8.050000,8.160000,7.944533,1716100
2023-02-10,8.110000,8.305000,8.070000,8.270000,8.051628,1619800
2023-02-13,8.280000,8.310000,8.090000,8.130000,7.915325,1755100
