Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,4.000000,4.050000,3.630000,3.650000,3.650000,2056500
2022-12-28,3.680000,3.820000,3.550000,3.760000,3.760000,1545900
2022-12-29,3.760000,4.400000,3.760000,4.330000,4.330000,2474000
2022-12-30,4.400000,4.835000,4.200000,4.820000,4.820000,2616700
2023-01-03,4.870000,4.980000,4.330000,4.460000,4.460000,2021600
2023-01-04,4.470000,4.695000,4.360000,4.600000,4.600000,1136300
2023-01-05,4.530000,4.610000,4.325000,4.540000,4.540000,932800
2023-01-06,4.590000,4.770000,4.425000,4.750000,4.750000,1091000
2023-01-09,4.900000,4.990000,4.740000,4.780000,4.780000,1220700
2023-01-10,4.840000,4.935000,4.690000,4.880000,4.880000,1056600
2023-01-11,4.880000,5.120000,4.771000,5.020000,5.020000,1805000
2023-01-12,5.110000,5.350000,4.830000,5.330000,5.330000,2569900
2023-01-13,5.200000,5.280000,5.030000,5.190000,5.190000,1101100
2023-01-17,5.200000,5.595000,5.145000,5.500000,5.500000,1690700
2023-01-18,5.540000,5.615000,5.050000,5.100000,5.100000,1463800
2023-01-19,4.930000,5.130000,4.860000,5.020000,5.020000,853600
2023-01-20,5.030000,5.170000,4.920000,5.150000,5.150000,1024900
2023-01-23,5.210000,5.359000,5.030000,5.320000,5.320000,1007700
2023-01-24,5.250000,5.360000,5.085000,5.170000,5.170000,711100
2023-01-25,5.030000,5.260000,4.900000,5.220000,5.220000,743900
2023-01-26,5.370000,5.390000,5.020000,5.090000,5.090000,682100
2023-01-27,5.050000,5.390000,5.020000,5.350000,5.350000,1196700
2023-01-30,5.210000,5.350000,5.049000,5.110000,5.110000,825600
2023-01-31,5.100000,5.430000,5.100000,5.385000,5.385000,973700
2023-02-01,5.460000,5.710000,5.235000,5.570000,5.570000,1850800
2023-02-02,5.680000,6.240000,5.630000,5.870000,5.870000,2519400
2023-02-03,5.910000,6.605000,5.670000,6.090000,6.090000,2657700
2023-02-06,6.140000,6.200000,5.800000,6.040000,6.040000,1973900
2023-02-07,6.090000,6.380000,5.830000,6.050000,6.050000,1322100
2023-02-08,6.000000,6.158000,5.840000,5.910000,5.910000,861600
2023-02-09,5.930000,6.190000,5.865000,5.950000,5.950000,1585200
2023-02-10,6.200000,6.490000,5.710000,5.870000,5.870000,2905000
2023-02-13,5.970000,5.995000,5.570000,5.990000,5.990000,1476500
2023-02-14,5.820000,6.230000,5.720000,6.200000,6.200000,1812400
2023-02-15,6.165000,6.535000,6.140000,6.490000,6.490000,1652100
2023-02-16,6.380000,6.430000,6.230000,6.260000,6.260000,1416400
2023-02-17,6.300000,6.500000,6.110000,6.470000,6.470000,1124600
2023-02-21,6.400000,6.431000,5.880000,5.880000,5.880000,1304700
2023-02-22,5.890000,6.240000,5.850000,6.105000,6.105000,1201100
2023-02-23,6.260000,6.280000,6.011000,6.070000,6.070000,1268000
2023-02-24,5.900000,6.210000,5.850000,5.960000,5.960000,1420700
2023-02-27,6.085000,6.440000,6.010000,6.340000,6.340000,1723100
2023-02-28,6.430000,6.730000,6.340000,6.440000,6.440000,1758700
2023-03-01,6.430000,6.490000,5.820000,5.990000,5.990000,2718400
2023-03-02,5.850000,5.920000,5.572000,5.880000,5.880000,1712300
2023-03-03,5.960000,6.350000,5.830000,6.240000,6.240000,1582000
2023-03-06,6.350000,7.140000,6.317000,6.980000,6.980000,3209900
2023-03-07,7.020000,7.070000,6.520000,6.800000,6.800000,1910800
2023-03-08,6.840000,6.960000,6.770000,6.900000,6.900000,1033600
2023-03-09,6.965000,7.000000,6.400000,6.400000,6.400000,1558700
2023-03-10,6.350000,6.570000,5.740000,6.010000,6.010000,3092500
2023-03-13,5.730000,6.040000,5.581000,5.940000,5.940000,1396500
2023-03-14,6.080000,6.400000,6.020000,6.170000,6.170000,1669600
2023-03-15,5.940000,6.160000,5.850000,6.050000,6.050000,1353800
2023-03-16,6.000000,6.330000,5.912000,6.290000,6.290000,1280800
2023-03-17,6.250000,6.324000,5.990000,6.130000,6.130000,2182200
2023-03-20,6.110000,6.190000,5.969000,6.040000,6.040000,949100
2023-03-21,6.160000,6.290000,6.000000,6.200000,6.200000,1102400
2023-03-22,6.220000,6.306000,5.910000,5.910000,5.910000,2338200
2023-03-23,5.990000,6.140000,5.757000,5.810000,5.810000,1061600
2023-03-24,5.750000,6.015000,5.675000,5.940000,5.940000,1269700
2023-03-27,5.950000,6.020000,5.740000,5.840000,5.840000,675000
2023-03-28,5.800000,6.040000,5.510000,5.620000,5.620000,2110400
2023-03-29,5.800000,6.370000,5.770000,6.350000,6.350000,1624300
2023-03-30,6.490000,6.520000,6.292000,6.420000,6.420000,1852100
2023-03-31,4.890000,5.549000,4.641000,5.080000,5.080000,8363300
2023-04-03,5.110000,5.110000,4.660000,4.830000,4.830000,3442900
2023-04-04,4.720000,4.835000,4.280000,4.490000,4.490000,3970700
2023-04-05,4.490000,4.490000,4.160000,4.250000,4.250000,1598600
2023-04-06,4.140000,4.470000,4.100000,4.360000,4.360000,1584800
2023-04-10,4.290000,4.500000,4.290000,4.480000,4.480000,1037700
2023-04-11,4.460000,4.610000,4.450000,4.480000,4.480000,1375500
2023-04-12,4.480000,4.559000,4.250000,4.370000,4.370000,1603000
2023-04-13,4.400000,4.450000,4.040000,4.070000,4.070000,2774900
2023-04-14,4.050000,4.050000,3.820000,3.870000,3.870000,2865600
2023-04-17,4.090000,4.530000,4.050000,4.300000,4.300000,3342600
2023-04-18,4.410000,4.470000,4.230000,4.440000,4.440000,1267700
2023-04-19,4.400000,4.550000,4.330000,4.530000,4.530000,1380700
2023-04-20,4.490000,4.630000,4.380000,4.430000,4.430000,720200
2023-04-21,4.440000,4.450000,4.255000,4.290000,4.290000,885600
2023-04-24,4.280000,4.480000,4.085000,4.360000,4.360000,1813200
2023-04-25,5.130000,5.170000,4.280000,4.440000,4.440000,12784700
2023-04-26,4.550000,5.270000,4.510000,5.150000,5.150000,6223100
2023-04-27,5.220000,5.570000,4.970000,5.170000,5.170000,3492200
2023-04-28,5.170000,5.380000,5.100000,5.310000,5.310000,2312000
2023-05-01,5.300000,5.300000,4.690000,4.700000,4.700000,2771500
2023-05-02,4.720000,4.763000,4.430000,4.640000,4.640000,1750000
2023-05-03,4.640000,4.860000,4.600000,4.740000,4.740000,1248800
2023-05-04,4.710000,4.790000,4.595000,4.780000,4.780000,785000
2023-05-05,4.850000,5.060000,4.770000,5.060000,5.060000,1081900
2023-05-08,5.040000,5.250000,4.931000,5.050000,5.050000,1394800
2023-05-09,5.030000,5.160000,4.890000,5.160000,5.160000,845900
2023-05-10,5.200000,5.270000,5.080000,5.140000,5.140000,1028900
2023-05-11,5.060000,5.220000,4.920000,5.130000,5.130000,1743800
2023-05-12,5.230000,5.450000,5.095000,5.140000,5.140000,1790000
2023-05-15,5.190000,5.190000,4.935000,4.970000,4.970000,1517600
2023-05-16,5.000000,5.300000,4.860000,4.930000,4.930000,1750400
2023-05-17,4.980000,5.290000,4.970000,5.260000,5.260000,1987100
2023-05-18,5.220000,5.340000,5.100000,5.260000,5.260000,997700
2023-05-19,5.360000,5.410000,5.190000,5.280000,5.280000,1525000
2023-05-22,5.310000,5.815000,5.280000,5.700000,5.700000,2119800
2023-05-23,5.750000,6.060000,5.390000,5.450000,5.450000,2440200
2023-05-24,5.410000,5.410000,5.135000,5.250000,5.250000,1385500
2023-05-25,5.300000,5.350000,5.130000,5.150000,5.150000,981000
2023-05-26,5.130000,5.510000,5.130000,5.470000,5.470000,1084200
2023-05-30,5.500000,5.560000,5.250000,5.440000,5.440000,956600
2023-05-31,5.400000,5.440000,5.280000,5.420000,5.420000,645400
2023-06-01,5.390000,5.680000,5.330000,5.600000,5.600000,862700
2023-06-02,5.600000,5.719000,5.455000,5.620000,5.620000,1142600
2023-06-05,5.640000,5.730000,5.460000,5.670000,5.670000,780500
2023-06-06,5.550000,5.900000,5.531000,5.830000,5.830000,1023100
2023-06-07,5.930000,5.990000,5.770000,5.790000,5.790000,993700
2023-06-08,5.780000,5.850000,5.595000,5.800000,5.800000,917300
2023-06-09,5.830000,5.910000,5.640000,5.750000,5.750000,972000
2023-06-12,5.770000,5.910000,5.725000,5.870000,5.870000,798000
2023-06-13,5.900000,6.135000,5.830000,5.940000,5.940000,1157200
2023-06-14,5.980000,6.135000,5.830000,5.920000,5.920000,936600
2023-06-15,5.900000,6.011000,5.650000,5.760000,5.760000,1387300
2023-06-16,5.850000,6.030000,5.820000,5.920000,5.920000,1312700
2023-06-20,5.900000,6.190000,5.840000,6.120000,6.120000,1096700
2023-06-21,6.540000,6.568000,5.970000,6.290000,6.290000,6057500
2023-06-22,6.280000,6.875000,6.100000,6.830000,6.830000,2912400
2023-06-23,6.810000,7.100000,6.730000,6.850000,6.850000,10874000
2023-06-26,6.750000,6.940000,6.400000,6.730000,6.730000,2306300
2023-06-27,6.770000,6.770000,6.210000,6.370000,6.370000,3095600
2023-06-28,4.580000,4.760000,4.485000,4.640000,4.640000,18235500
2023-06-29,4.730000,4.750000,4.580000,4.680000,4.680000,3226600
2023-06-30,4.700000,4.770000,4.660000,4.700000,4.700000,2570200
2023-07-03,4.700000,4.700000,4.550000,4.660000,4.660000,1309900
2023-07-05,4.650000,4.650000,4.330000,4.370000,4.370000,3442500
2023-07-06,4.300000,4.308000,4.075000,4.200000,4.200000,2138000
2023-07-07,4.150000,4.250000,4.110000,4.150000,4.150000,1717700
2023-07-10,4.230000,4.420000,4.140000,4.400000,4.400000,1996300
2023-07-11,4.450000,4.515000,4.350000,4.450000,4.450000,1852400
2023-07-12,4.530000,4.550000,4.355000,4.390000,4.390000,2189200
2023-07-13,4.390000,4.470000,4.290000,4.430000,4.430000,2004100
2023-07-14,4.450000,4.490000,4.220000,4.240000,4.240000,1908400
2023-07-17,4.230000,4.250000,3.970000,4.030000,4.030000,3464200
2023-07-18,4.030000,4.230000,4.000000,4.140000,4.140000,1928900
2023-07-19,4.150000,4.240000,4.040000,4.100000,4.100000,2794500
