Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,7.670000,8.010000,7.500000,7.580000,7.580000,45900
2022-12-28,7.510000,7.830000,7.500000,7.540000,7.540000,39700
2022-12-29,7.590000,8.090000,7.590000,7.970000,7.970000,68100
2022-12-30,7.840000,7.970000,7.560000,7.600000,7.600000,62300
2023-01-03,7.840000,8.100000,7.810000,7.980000,7.980000,53300
2023-01-04,8.110000,8.490000,8.050000,8.140000,8.140000,25000
2023-01-05,8.030000,8.730000,7.930000,8.300000,8.300000,7800
2023-01-06,8.360000,8.880000,8.360000,8.600000,8.600000,17400
2023-01-09,8.760000,8.760000,8.270000,8.410000,8.410000,29300
2023-01-10,8.470000,8.970000,8.230000,8.880000,8.880000,40300
2023-01-11,8.950000,9.170000,8.560000,9.110000,9.110000,19700
2023-01-12,9.200000,9.250000,9.040000,9.250000,9.250000,42200
2023-01-13,9.240000,9.620000,9.240000,9.610000,9.610000,25700
2023-01-17,9.610000,9.810000,9.160000,9.350000,9.350000,47500
2023-01-18,9.250000,9.250000,8.780000,9.030000,9.030000,19800
2023-01-19,8.930000,9.220000,8.760000,8.820000,8.820000,17100
2023-01-20,8.810000,9.040000,8.600000,8.910000,8.910000,24300
2023-01-23,9.020000,9.410000,9.020000,9.280000,9.280000,36200
2023-01-24,9.180000,9.520000,9.060000,9.340000,9.340000,13500
2023-01-25,9.220000,9.800000,9.060000,9.620000,9.620000,22200
2023-01-26,9.800000,10.890000,9.500000,10.550000,10.550000,98600
2023-01-27,10.650000,11.100000,10.230000,10.860000,10.860000,102400
2023-01-30,11.100000,11.240000,10.530000,10.700000,10.700000,40600
2023-01-31,10.750000,11.110000,10.700000,10.830000,10.830000,51600
2023-02-01,10.720000,10.790000,10.250000,10.540000,10.540000,49400
2023-02-02,10.600000,11.320000,10.540000,11.180000,11.180000,101800
2023-02-03,11.000000,11.440000,10.760000,10.930000,10.930000,58100
2023-02-06,10.950000,11.380000,10.760000,11.020000,11.020000,44100
2023-02-07,11.010000,11.250000,10.790000,11.030000,11.030000,28400
2023-02-08,11.120000,11.240000,10.660000,10.790000,10.790000,45500
2023-02-09,10.360000,10.790000,8.780000,9.060000,9.060000,208500
2023-02-10,8.900000,10.120000,8.900000,9.780000,9.780000,270200
2023-02-13,9.820000,9.820000,9.280000,9.450000,9.450000,152000
2023-02-14,9.500000,10.000000,9.290000,9.440000,9.440000,222500
2023-02-15,9.440000,9.630000,9.310000,9.520000,9.520000,69200
2023-02-16,9.360000,10.140000,9.320000,9.740000,9.740000,35000
2023-02-17,9.630000,9.640000,9.350000,9.500000,9.500000,28200
2023-02-21,9.390000,9.640000,9.260000,9.360000,9.360000,59000
2023-02-22,9.400000,9.590000,9.250000,9.450000,9.450000,24300
2023-02-23,9.500000,9.700000,9.470000,9.700000,9.700000,15100
2023-02-24,9.500000,9.570000,9.410000,9.450000,9.450000,14400
2023-02-27,9.530000,9.820000,9.390000,9.530000,9.530000,28400
2023-02-28,9.500000,9.770000,9.500000,9.580000,9.580000,16300
2023-03-01,9.550000,9.670000,9.470000,9.550000,9.550000,32200
2023-03-02,9.430000,9.690000,9.260000,9.550000,9.550000,27100
2023-03-03,9.600000,9.700000,9.450000,9.640000,9.640000,11000
2023-03-06,9.540000,9.730000,9.540000,9.620000,9.620000,29000
2023-03-07,9.590000,9.760000,9.540000,9.670000,9.670000,32800
2023-03-08,9.630000,9.750000,9.520000,9.580000,9.580000,50300
2023-03-09,9.610000,9.720000,9.400000,9.530000,9.530000,30300
2023-03-10,9.510000,9.550000,8.800000,9.000000,9.000000,88300
2023-03-13,8.890000,9.460000,8.830000,9.010000,9.010000,36300
2023-03-14,9.000000,9.370000,8.860000,8.950000,8.950000,21200
2023-03-15,9.000000,9.020000,8.600000,8.850000,8.850000,32700
2023-03-16,8.810000,9.360000,8.700000,8.770000,8.770000,31000
2023-03-17,8.870000,9.040000,8.560000,8.590000,8.590000,28400
2023-03-20,8.610000,8.710000,8.320000,8.340000,8.340000,20300
2023-03-21,8.490000,8.720000,8.420000,8.460000,8.460000,37700
2023-03-22,8.590000,9.100000,8.430000,8.780000,8.780000,50700
2023-03-23,8.790000,8.890000,8.590000,8.740000,8.740000,33100
2023-03-24,8.690000,8.870000,8.510000,8.650000,8.650000,18100
