Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.640000,2.640000,2.360000,2.390000,2.390000,2403800
2022-12-28,2.450000,2.568000,2.340000,2.380000,2.380000,999500
2022-12-29,2.380000,2.620000,2.360000,2.570000,2.570000,825700
2022-12-30,2.520000,2.660000,2.520000,2.660000,2.660000,968800
2023-01-03,2.710000,2.750000,2.580000,2.650000,2.650000,731800
2023-01-04,2.660000,2.755000,2.520000,2.700000,2.700000,842000
2023-01-05,2.700000,2.715000,2.560000,2.630000,2.630000,505600
2023-01-06,1.500000,2.000000,1.450000,1.820000,1.820000,7928200
2023-01-09,1.850000,1.860000,1.625000,1.650000,1.650000,3388400
2023-01-10,1.710000,1.805000,1.630000,1.750000,1.750000,3961900
2023-01-11,1.800000,1.800000,1.650000,1.720000,1.720000,1642200
2023-01-12,1.750000,1.860000,1.680000,1.830000,1.830000,3699600
2023-01-13,1.800000,1.810000,1.730000,1.800000,1.800000,1692200
2023-01-17,1.900000,1.980000,1.755000,1.940000,1.940000,2409400
2023-01-18,1.970000,2.030000,1.880000,2.010000,2.010000,2208400
2023-01-19,1.970000,2.035000,1.900000,1.950000,1.950000,1048400
2023-01-20,1.950000,1.960000,1.880000,1.900000,1.900000,1225700
2023-01-23,1.930000,1.960000,1.850000,1.890000,1.890000,2284100
2023-01-24,1.890000,1.955000,1.880000,1.910000,1.910000,1560600
2023-01-25,1.930000,1.930000,1.830000,1.870000,1.870000,1030300
2023-01-26,1.890000,1.900000,1.800000,1.820000,1.820000,839200
2023-01-27,1.810000,1.840000,1.770000,1.790000,1.790000,1213800
2023-01-30,1.820000,1.870000,1.720000,1.740000,1.740000,1158100
2023-01-31,1.730000,1.790000,1.715000,1.780000,1.780000,778900
2023-02-01,1.770000,1.870000,1.733000,1.840000,1.840000,1098800
2023-02-02,1.870000,2.000000,1.860000,1.960000,1.960000,1938400
2023-02-03,1.980000,1.980000,1.820000,1.870000,1.870000,1549700
2023-02-06,1.880000,2.040000,1.870000,1.930000,1.930000,2300600
2023-02-07,1.950000,1.950000,1.810000,1.880000,1.880000,1220500
2023-02-08,1.890000,1.905000,1.790000,1.810000,1.810000,1151900
2023-02-09,1.840000,1.895000,1.740000,1.760000,1.760000,1364300
