Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,31.000000,31.663000,30.290001,30.570000,30.570000,51100
2022-12-28,30.590000,31.120001,30.275000,30.750000,30.750000,61300
2022-12-29,30.980000,32.660000,30.900000,32.220001,32.220001,71800
2022-12-30,32.000000,32.349998,31.563999,32.169998,32.169998,58200
2023-01-03,32.419998,34.060001,32.410000,33.779999,33.779999,99600
2023-01-04,34.119999,34.430000,33.000000,33.490002,33.490002,48300
2023-01-05,33.590000,33.590000,32.630001,33.020000,33.020000,36500
2023-01-06,33.439999,34.564999,32.930000,34.340000,34.340000,48700
2023-01-09,34.599998,34.799999,33.470001,33.529999,33.529999,49600
2023-01-10,33.549999,34.849998,33.230000,34.799999,34.799999,46400
2023-01-11,34.810001,36.189999,34.599998,35.470001,35.470001,46200
2023-01-12,35.869999,37.314999,35.410000,37.000000,37.000000,68800
2023-01-13,36.849998,37.080002,36.459999,36.560001,36.560001,35100
2023-01-17,36.619999,36.709999,35.849998,36.369999,36.369999,55000
2023-01-18,36.369999,36.830002,34.470001,34.860001,34.860001,119200
2023-01-19,34.730000,36.735001,34.180000,36.250000,36.250000,116600
2023-01-20,36.650002,36.910000,35.591999,36.580002,36.580002,70600
2023-01-23,36.470001,37.639999,35.900002,37.169998,37.169998,56700
2023-01-24,37.209999,37.669998,36.650002,36.900002,36.900002,36300
2023-01-25,36.790001,37.500000,36.000000,36.880001,36.880001,58100
2023-01-26,37.000000,37.009998,35.869999,36.910000,36.910000,53400
2023-01-27,36.770000,38.200001,36.080002,36.250000,36.250000,132500
2023-01-30,35.959999,37.174999,34.520000,34.619999,34.619999,105800
2023-01-31,34.700001,36.195000,34.119999,36.070000,36.070000,151400
2023-02-01,35.810001,37.049999,35.430000,36.639999,36.639999,65200
2023-02-02,36.889999,37.924000,36.342999,37.400002,37.400002,136600
2023-02-03,37.189999,39.160000,36.500000,36.939999,36.939999,96800
2023-02-06,36.939999,37.000000,35.779999,36.759998,36.759998,94400
2023-02-07,36.720001,36.720001,35.290001,36.459999,36.459999,105500
2023-02-08,36.400002,36.509998,35.860001,36.220001,36.220001,88800
2023-02-09,36.160000,36.509998,34.580002,34.919998,34.919998,115600
2023-02-10,35.320000,35.439999,33.770000,34.290001,34.290001,99000
2023-02-13,34.110001,35.560001,34.110001,35.360001,35.360001,76100
2023-02-14,35.110001,35.529999,33.919998,34.110001,34.110001,107400
2023-02-15,33.869999,33.915001,32.610001,32.730000,32.730000,119800
2023-02-16,32.250000,32.700001,30.500000,30.760000,30.760000,139000
2023-02-17,31.010000,31.990000,30.889999,31.480000,31.480000,95200
2023-02-21,31.250000,31.350000,29.965000,30.340000,30.340000,232100
2023-02-22,30.629999,31.059999,30.129999,30.170000,30.170000,194200
2023-02-23,30.430000,30.680000,28.219999,28.760000,28.760000,232100
2023-02-24,28.610001,29.610001,28.389999,29.330000,29.330000,317400
2023-02-27,29.580000,30.469999,29.049999,29.049999,29.049999,134400
2023-02-28,29.139999,30.950001,29.094999,30.200001,30.200001,215700
2023-03-01,30.200001,30.840000,29.850000,30.110001,30.110001,156400
2023-03-02,29.820000,30.570000,29.799999,29.990000,29.990000,176100
2023-03-03,30.010000,30.969999,30.010000,30.480000,30.480000,168800
2023-03-06,30.379999,30.490000,29.510000,29.750000,29.750000,87300
2023-03-07,29.690001,30.110001,29.305000,29.580000,29.580000,64000
2023-03-08,29.559999,30.340000,29.180000,29.260000,29.260000,151400
2023-03-09,29.340000,30.245001,28.990000,29.150000,29.150000,149000
2023-03-10,29.100000,29.910000,28.760000,29.309999,29.309999,155800
2023-03-13,29.110001,30.650000,29.080000,30.389999,30.389999,247300
2023-03-14,31.049999,31.850000,29.865000,31.730000,31.730000,137100
2023-03-15,31.299999,32.250000,30.260000,31.240000,31.240000,160900
2023-03-16,30.830000,31.639999,30.600000,30.700001,30.700001,187300
2023-03-17,30.410000,30.900000,29.809999,29.920000,29.920000,280900
2023-03-20,30.200001,30.510000,29.760000,30.120001,30.120001,201800
2023-03-21,30.400000,30.780001,29.969999,30.080000,30.080000,107500
2023-03-22,30.080000,30.379999,28.940001,28.969999,28.969999,165700
2023-03-23,29.100000,29.520000,28.299999,28.360001,28.360001,220500
2023-03-24,28.120001,28.549999,27.590000,28.139999,28.139999,146800
2023-03-27,28.280001,29.559999,28.180000,28.750000,28.750000,185800
2023-03-28,28.740000,30.480000,28.690001,29.870001,29.870001,182700
2023-03-29,30.040001,30.639999,29.680000,29.700001,29.700001,174600
2023-03-30,29.870001,30.480000,29.570000,30.090000,30.090000,117400
2023-03-31,30.330000,33.090000,30.330000,33.040001,33.040001,641200
2023-04-03,33.000000,33.680000,32.279999,32.450001,32.450001,107800
2023-04-04,32.570000,33.470001,32.099998,33.459999,33.459999,93700
2023-04-05,33.419998,34.209999,33.250000,33.660000,33.660000,191300
2023-04-06,33.820000,34.160000,33.320000,34.090000,34.090000,102300
2023-04-10,33.950001,34.154999,33.094002,33.540001,33.540001,197100
2023-04-11,33.209999,33.959999,32.880001,33.259998,33.259998,155000
2023-04-12,33.389999,33.430000,32.790001,32.830002,32.830002,77900
2023-04-13,32.900002,33.455002,32.290001,32.619999,32.619999,55500
2023-04-14,32.610001,32.799999,31.805000,31.910000,31.910000,54200
2023-04-17,32.080002,32.139999,31.445000,31.930000,31.930000,86100
2023-04-18,32.009998,32.009998,30.940001,31.020000,31.020000,59000
2023-04-19,31.030001,31.730000,31.030001,31.309999,31.309999,65800
2023-04-20,31.150000,31.290001,30.715000,31.209999,31.209999,60100
2023-04-21,31.150000,31.629999,31.129999,31.590000,31.590000,64600
2023-04-24,32.070000,34.060001,32.070000,33.630001,33.630001,126300
2023-04-25,33.570000,34.354000,31.780001,32.419998,32.419998,89700
2023-04-26,32.119999,33.049999,31.700001,32.000000,32.000000,102300
2023-04-27,32.430000,32.449001,31.875000,32.090000,32.090000,126000
2023-04-28,31.990000,32.619999,31.330000,31.580000,31.580000,128600
2023-05-01,31.480000,33.220001,31.450001,32.150002,32.150002,145800
2023-05-02,32.099998,32.130001,31.040001,31.209999,31.209999,113400
2023-05-03,31.400000,32.080002,31.020000,31.250000,31.250000,141100
2023-05-04,31.150000,31.573000,30.510000,30.580000,30.580000,84400
2023-05-05,30.930000,32.029999,30.700001,31.030001,31.030001,239100
2023-05-08,31.160000,31.920000,30.420000,31.690001,31.690001,275900
2023-05-09,31.500000,32.709999,30.948999,32.160000,32.160000,134500
2023-05-10,32.650002,32.994999,32.209999,32.250000,32.250000,180000
2023-05-11,32.119999,32.150002,31.059999,31.260000,31.260000,149400
2023-05-12,31.190001,31.650000,30.700001,30.910000,30.910000,130400
2023-05-15,31.139999,31.155001,30.730000,30.850000,30.850000,95800
2023-05-16,30.850000,31.080000,30.330000,30.549999,30.549999,121000
2023-05-17,30.680000,31.070000,30.059999,30.350000,30.350000,216900
2023-05-18,30.150000,31.315001,29.660000,31.110001,31.110001,277400
2023-05-19,31.500000,33.389999,31.420000,32.060001,32.060001,344900
2023-05-22,32.139999,33.459999,31.700001,32.860001,32.860001,295100
2023-05-23,32.669998,33.230000,32.439999,32.590000,32.590000,159900
2023-05-24,32.459999,32.709999,31.670000,32.610001,32.610001,149200
2023-05-25,32.459999,32.720001,32.000000,32.400002,32.400002,107200
2023-05-26,32.279999,33.119999,32.220001,32.310001,32.310001,75800
2023-05-30,32.310001,33.474998,32.279999,32.700001,32.700001,115600
2023-05-31,32.770000,33.150002,32.410000,32.650002,32.650002,149600
2023-06-01,32.650002,32.740002,32.119999,32.349998,32.349998,71200
2023-06-02,32.389999,32.860001,31.920000,32.599998,32.599998,184800
2023-06-05,32.700001,33.654999,32.450001,32.970001,32.970001,85800
2023-06-06,32.619999,33.610001,32.470001,33.270000,33.270000,145800
2023-06-07,33.549999,34.200001,33.445000,34.020000,34.020000,168400
2023-06-08,33.970001,34.209999,32.490002,33.610001,33.610001,105400
2023-06-09,33.650002,34.090000,33.340000,33.340000,33.340000,84400
2023-06-12,33.389999,33.480000,33.040001,33.220001,33.220001,162500
2023-06-13,33.139999,33.750000,32.870998,32.950001,32.950001,185900
2023-06-14,36.090000,36.090000,33.790001,34.950001,34.950001,312500
2023-06-15,34.950001,36.970001,34.779999,35.919998,35.919998,228000
2023-06-16,36.070000,36.080002,33.869999,34.080002,34.080002,159500
2023-06-20,33.820000,34.020000,32.509998,32.750000,32.750000,115100
2023-06-21,32.560001,32.560001,31.860001,31.910000,31.910000,97900
2023-06-22,31.790001,32.389999,31.270000,32.189999,32.189999,109600
2023-06-23,31.850000,32.470001,31.139999,31.670000,31.670000,552200
2023-06-26,31.459999,31.910000,31.160000,31.590000,31.590000,105700
2023-06-27,31.790001,32.169998,31.480000,31.480000,31.480000,102300
2023-06-28,31.480000,31.480000,30.450001,31.260000,31.260000,436500
2023-06-29,31.330000,32.209999,31.330000,31.719999,31.719999,96800
2023-06-30,31.930000,32.259998,31.629999,31.690001,31.690001,106500
2023-07-03,31.709999,32.084999,31.580000,31.740000,31.740000,30500
2023-07-05,31.799999,32.200001,31.305000,31.510000,31.510000,133300
2023-07-06,31.270000,31.270000,30.059999,30.360001,30.360001,131700
2023-07-07,30.350000,30.610001,30.150000,30.200001,30.200001,103500
2023-07-10,30.120001,30.900000,30.000000,30.230000,30.230000,110300
2023-07-11,30.350000,31.014999,29.500000,30.980000,30.980000,439500
2023-07-12,31.430000,31.799999,30.840000,30.889999,30.889999,112600
2023-07-13,30.920000,31.469999,30.770000,30.879999,30.879999,97800
2023-07-14,30.790001,31.250000,30.260000,30.290001,30.290001,143500
2023-07-17,30.309999,30.440001,29.059999,29.299999,29.299999,165200
2023-07-18,29.170000,29.700001,28.629999,28.719999,28.719999,122500
