Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.100000,3.200000,2.900000,3.100000,3.100000,5410
2022-12-28,3.000000,3.100000,2.900000,3.000000,3.000000,3740
2022-12-29,3.000000,3.500000,3.000000,3.500000,3.500000,109700
2022-12-30,3.500000,3.600000,3.100000,3.500000,3.500000,43950
2023-01-03,3.500000,3.800000,3.400000,3.600000,3.600000,33100
2023-01-04,3.700000,3.800000,3.400000,3.600000,3.600000,35120
2023-01-05,3.600000,3.800000,3.500000,3.700000,3.700000,12590
2023-01-06,3.500000,3.700000,3.400000,3.500000,3.500000,22940
2023-01-09,3.550000,3.630000,3.210000,3.450000,3.450000,59000
2023-01-10,3.550000,3.950000,3.550000,3.760000,3.760000,47700
2023-01-11,3.960000,4.230000,3.810000,3.960000,3.960000,39900
2023-01-12,3.960000,4.170000,3.950000,4.050000,4.050000,15900
2023-01-13,4.000000,4.310000,3.980000,4.150000,4.150000,18800
2023-01-17,4.390000,4.440000,4.220000,4.290000,4.290000,16000
2023-01-18,4.410000,4.430000,4.070000,4.070000,4.070000,24600
2023-01-19,4.080000,4.160000,4.060000,4.090000,4.090000,4500
2023-01-20,4.070000,4.170000,3.920000,3.950000,3.950000,27500
2023-01-23,3.970000,3.990000,3.880000,3.980000,3.980000,7700
2023-01-24,3.960000,4.000000,3.860000,3.880000,3.880000,8800
2023-01-25,3.800000,4.010000,3.800000,3.900000,3.900000,10500
2023-01-26,3.870000,3.890000,3.750000,3.810000,3.810000,11700
2023-01-27,3.880000,3.970000,3.800000,3.910000,3.910000,25900
2023-01-30,4.050000,4.450000,4.010000,4.150000,4.150000,178700
2023-01-31,4.090000,4.180000,3.900000,3.910000,3.910000,37000
2023-02-01,3.970000,4.040000,3.860000,3.870000,3.870000,5800
2023-02-02,3.880000,4.000000,3.870000,3.940000,3.940000,14500
2023-02-03,3.940000,3.990000,3.910000,3.950000,3.950000,8900
2023-02-06,3.940000,3.950000,3.650000,3.950000,3.950000,85700
2023-02-07,3.940000,3.950000,3.810000,3.810000,3.810000,14800
2023-02-08,3.870000,3.900000,3.770000,3.820000,3.820000,5500
2023-02-09,3.820000,3.820000,3.430000,3.510000,3.510000,30100
2023-02-10,3.690000,3.800000,3.530000,3.700000,3.700000,18900
2023-02-13,3.510000,3.600000,3.410000,3.600000,3.600000,4600
2023-02-14,3.530000,3.640000,3.350000,3.350000,3.350000,10300
2023-02-15,3.480000,3.530000,3.010000,3.010000,3.010000,65400
2023-02-16,3.150000,3.270000,3.140000,3.240000,3.240000,10500
2023-02-17,3.290000,3.420000,3.050000,3.250000,3.250000,19500
2023-02-21,3.350000,3.360000,3.160000,3.290000,3.290000,4000
2023-02-22,3.340000,3.340000,3.150000,3.170000,3.170000,5800
2023-02-23,3.130000,3.320000,3.130000,3.220000,3.220000,11600
2023-02-24,3.160000,3.180000,3.150000,3.170000,3.170000,2900
2023-02-27,3.150000,3.280000,3.010000,3.270000,3.270000,9400
2023-02-28,3.290000,3.300000,3.110000,3.210000,3.210000,4700
2023-03-01,3.180000,3.340000,3.180000,3.300000,3.300000,10100
2023-03-02,3.010000,3.310000,3.010000,3.160000,3.160000,6900
2023-03-03,3.110000,3.290000,3.050000,3.110000,3.110000,4100
2023-03-06,3.130000,3.250000,3.050000,3.190000,3.190000,4900
2023-03-07,3.230000,3.360000,3.200000,3.250000,3.250000,4300
2023-03-08,3.330000,3.350000,3.150000,3.300000,3.300000,8700
2023-03-09,3.240000,3.330000,3.150000,3.210000,3.210000,3200
2023-03-10,3.360000,3.360000,3.070000,3.280000,3.280000,4800
2023-03-13,3.130000,3.220000,3.020000,3.220000,3.220000,8900
2023-03-14,3.220000,3.300000,2.860000,2.990000,2.990000,468700
2023-03-15,2.810000,2.860000,2.610000,2.610000,2.610000,48400
2023-03-16,2.800000,2.940000,2.610000,2.790000,2.790000,43100
2023-03-17,2.890000,2.970000,2.680000,2.730000,2.730000,13300
2023-03-20,2.740000,3.130000,2.700000,2.730000,2.730000,43400
2023-03-21,2.680000,2.770000,2.660000,2.700000,2.700000,5500
2023-03-22,2.970000,2.980000,2.700000,2.710000,2.710000,1600
2023-03-23,2.800000,2.860000,2.530000,2.530000,2.530000,36300
2023-03-24,2.870000,2.870000,2.670000,2.670000,2.670000,2000
2023-03-27,2.750000,2.750000,2.750000,2.750000,2.750000,1200
2023-03-28,2.790000,3.000000,2.680000,2.750000,2.750000,155900
2023-03-29,2.800000,2.850000,2.630000,2.720000,2.720000,11100
2023-03-30,2.560000,2.840000,2.550000,2.680000,2.680000,15600
2023-03-31,2.600000,2.800000,2.560000,2.780000,2.780000,2200
2023-04-03,2.680000,2.800000,2.680000,2.750000,2.750000,3800
2023-04-04,2.700000,2.800000,2.670000,2.800000,2.800000,2100
2023-04-05,2.750000,2.870000,2.660000,2.820000,2.820000,2900
2023-04-06,2.760000,2.820000,2.640000,2.810000,2.810000,4300
2023-04-10,2.730000,2.850000,2.730000,2.820000,2.820000,10100
2023-04-11,2.860000,2.940000,2.830000,2.870000,2.870000,3700
2023-04-12,2.840000,3.000000,2.660000,2.670000,2.670000,8800
2023-04-13,2.670000,2.940000,2.670000,2.940000,2.940000,5700
2023-04-14,2.860000,2.980000,2.750000,2.880000,2.880000,5900
2023-04-17,2.940000,2.950000,2.790000,2.890000,2.890000,5800
2023-04-18,2.830000,2.910000,2.700000,2.910000,2.910000,4300
2023-04-19,2.910000,2.910000,2.910000,2.910000,2.910000,0
2023-04-20,2.710000,2.990000,2.710000,2.850000,2.850000,3700
