Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.798400,0.799400,0.730000,0.750000,0.750000,225430
2022-12-28,0.750000,0.750000,0.701000,0.725000,0.725000,156535
2022-12-29,0.730900,0.770000,0.710000,0.770000,0.770000,110236
2022-12-30,0.750000,0.880000,0.732000,0.840000,0.840000,242092
2023-01-03,0.818300,0.850500,0.750000,0.808000,0.808000,238758
2023-01-04,0.830000,0.859800,0.809700,0.850000,0.850000,189785
2023-01-05,0.826200,0.890000,0.820000,0.845100,0.845100,113757
2023-01-06,0.850000,0.968000,0.845000,0.960000,0.960000,505221
2023-01-09,0.987000,1.120000,0.980000,1.090000,1.090000,641337
2023-01-10,1.110000,1.370000,1.090000,1.360000,1.360000,1015019
2023-01-11,1.350000,1.500000,1.040000,1.120000,1.120000,1281203
2023-01-12,1.190000,1.210000,1.120000,1.210000,1.210000,308145
2023-01-13,1.190000,1.280000,1.160000,1.240000,1.240000,289896
2023-01-17,1.210000,1.330000,1.200000,1.320000,1.320000,244009
2023-01-18,1.330000,1.350000,1.250000,1.260000,1.260000,182381
2023-01-19,1.260000,1.311600,1.260000,1.280000,1.280000,109433
2023-01-20,1.260000,1.320000,1.240000,1.310000,1.310000,97245
2023-01-23,1.300000,1.420000,1.300000,1.390000,1.390000,267348
2023-01-24,1.400000,1.409900,1.320000,1.350000,1.350000,106894
2023-01-25,1.300000,1.339900,1.220000,1.320000,1.320000,191897
2023-01-26,1.350000,1.430000,1.340000,1.390000,1.390000,238267
2023-01-27,1.390000,1.570000,1.390000,1.570000,1.570000,500340
2023-01-30,1.550000,1.650000,1.530000,1.560000,1.560000,303803
2023-01-31,1.550000,1.610000,1.470000,1.510000,1.510000,180325
2023-02-01,1.560000,1.560000,1.430000,1.490000,1.490000,192418
2023-02-02,1.480000,1.620000,1.455800,1.600000,1.600000,250423
2023-02-03,1.620000,1.790000,1.580000,1.700000,1.700000,524920
2023-02-06,1.720000,1.840000,1.680000,1.820000,1.820000,586020
2023-02-07,1.900000,1.990000,1.590000,1.750000,1.750000,959857
2023-02-08,1.780000,1.910000,1.710000,1.820000,1.820000,604392
2023-02-09,1.880000,1.960000,1.800000,1.870000,1.870000,344027
2023-02-10,1.880000,1.950000,1.460000,1.900000,1.900000,431764
2023-02-13,1.910000,1.921200,1.710000,1.770000,1.770000,397328
2023-02-14,1.800000,1.820000,1.460000,1.485000,1.485000,919420
2023-02-15,1.490000,1.730000,1.480000,1.670000,1.670000,471535
2023-02-16,1.670000,1.750000,1.620000,1.710000,1.710000,186890
2023-02-17,1.690000,1.698000,1.600000,1.660000,1.660000,127682
2023-02-21,1.650000,1.650000,1.500000,1.510000,1.510000,287924
2023-02-22,1.550000,1.620000,1.471600,1.560000,1.560000,217567
2023-02-23,1.550000,1.550000,1.500000,1.530000,1.530000,54012
2023-02-24,1.530000,1.530000,1.460000,1.500000,1.500000,86416
2023-02-27,1.500000,1.570000,1.500000,1.570000,1.570000,31796
2023-02-28,1.570000,1.620000,1.540000,1.590000,1.590000,91117
2023-03-01,1.570000,1.592800,1.510000,1.520000,1.520000,60564
2023-03-02,1.520000,1.549900,1.430000,1.450000,1.450000,119640
2023-03-03,1.460000,1.530000,1.370000,1.530000,1.530000,122095
2023-03-06,1.620000,1.640000,1.460000,1.480000,1.480000,173446
2023-03-07,1.530000,1.600000,1.500000,1.540000,1.540000,97690
2023-03-08,1.510000,1.540000,1.500000,1.530000,1.530000,52970
2023-03-09,1.520000,1.639900,1.500000,1.600000,1.600000,210748
2023-03-10,1.560000,1.560000,1.440000,1.470000,1.470000,251749
2023-03-13,1.420000,1.560000,1.420000,1.490000,1.490000,91966
2023-03-14,1.480000,1.570000,1.450000,1.450000,1.450000,97059
2023-03-15,1.420000,1.450000,1.362700,1.420000,1.420000,129139
2023-03-16,1.480000,1.481600,1.380000,1.410000,1.410000,92521
2023-03-17,1.380000,1.406200,1.283300,1.310000,1.310000,115612
2023-03-20,1.300000,1.310000,1.170000,1.170000,1.170000,146044
2023-03-21,1.240000,1.260000,1.170000,1.180000,1.180000,74690
2023-03-22,1.250000,1.510000,1.250000,1.430000,1.430000,763037
2023-03-23,1.410000,1.590000,1.360000,1.450000,1.450000,428151
2023-03-24,1.460000,1.537100,1.280000,1.350000,1.350000,221465
2023-03-27,1.340000,1.410000,1.260000,1.335000,1.335000,131901
2023-03-28,1.320000,1.340000,1.270000,1.270000,1.270000,82876
2023-03-29,1.270000,1.310000,1.180000,1.210000,1.210000,160716
2023-03-30,1.260000,1.290000,1.200000,1.220000,1.220000,105743
2023-03-31,1.240000,1.280000,1.180000,1.230000,1.230000,140865
2023-04-03,1.250000,1.250100,0.948200,1.040000,1.040000,578614
2023-04-04,1.040000,1.060000,0.891300,1.000000,1.000000,278073
2023-04-05,0.980000,0.997340,0.941300,0.960000,0.960000,114987
2023-04-06,0.960000,0.990000,0.940000,0.970000,0.970000,152773
2023-04-10,1.100000,1.100000,0.940000,0.978000,0.978000,245793
2023-04-11,0.980000,1.000000,0.930000,0.930000,0.930000,171015
2023-04-12,0.930000,0.939800,0.830000,0.830000,0.830000,335869
2023-04-13,0.830000,0.983700,0.810000,0.940000,0.940000,220931
2023-04-14,0.910000,1.000000,0.901100,0.940300,0.940300,69194
2023-04-17,0.956900,1.120000,0.940100,1.120000,1.120000,175800
2023-04-18,0.990000,1.050000,0.930000,0.993100,0.993100,392249
2023-04-19,0.960000,1.030000,0.960000,1.030000,1.030000,178896
2023-04-20,1.040000,1.079300,0.901200,0.930000,0.930000,229330
2023-04-21,0.950000,0.950000,0.880200,0.907500,0.907500,57942
2023-04-24,0.880000,0.907400,0.850000,0.861900,0.861900,109503
