Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,2.280000,2.289000,1.760000,2.210000,2.210000,12900
2022-12-28,2.240000,2.300000,2.060000,2.246000,2.246000,19200
2022-12-29,2.220000,2.340000,2.100000,2.340000,2.340000,22100
2022-12-30,2.140000,2.300000,2.140000,2.240000,2.240000,9700
2023-01-03,2.230000,2.360000,2.010000,2.360000,2.360000,29000
2023-01-04,2.370000,2.500000,2.210000,2.500000,2.500000,18400
2023-01-05,2.670000,2.680000,2.381000,2.600000,2.600000,19000
2023-01-06,2.790000,2.870000,2.658000,2.731000,2.731000,7700
2023-01-09,2.680000,2.700000,2.520000,2.560000,2.560000,5400
2023-01-10,2.560000,2.700000,2.560000,2.680000,2.680000,6000
2023-01-11,2.330000,2.700000,2.330000,2.690000,2.690000,5200
2023-01-12,2.685000,2.700000,2.461000,2.700000,2.700000,28500
2023-01-13,2.660000,2.673000,2.460000,2.673000,2.673000,8200
2023-01-17,2.520000,2.700000,2.520000,2.680000,2.680000,10700
2023-01-18,2.660000,2.660000,2.480000,2.640000,2.640000,3100
2023-01-19,2.510000,2.510000,2.320000,2.510000,2.510000,9300
2023-01-20,2.400000,2.680000,2.400000,2.637000,2.637000,11800
2023-01-23,2.700000,2.700000,2.320000,2.595000,2.595000,9800
2023-01-24,2.568000,2.590000,2.567000,2.576000,2.576000,7500
2023-01-25,2.330000,2.550000,2.110000,2.550000,2.550000,3200
2023-01-26,2.540000,2.540000,2.260000,2.490000,2.490000,5700
2023-01-27,2.330000,2.560000,2.330000,2.560000,2.560000,4000
2023-01-30,2.503000,2.510000,2.500000,2.509000,2.509000,1500
2023-01-31,2.500000,2.560000,2.498000,2.560000,2.560000,5500
2023-02-01,2.560000,2.560000,2.530000,2.550000,2.550000,3500
2023-02-02,2.560000,2.620000,2.520000,2.620000,2.620000,8700
2023-02-03,2.621000,2.680000,2.621000,2.680000,2.680000,3000
2023-02-06,2.680000,2.680000,2.620000,2.620000,2.620000,2300
2023-02-07,2.595000,2.650000,2.595000,2.650000,2.650000,2700
2023-02-08,2.170000,2.610000,2.167000,2.500000,2.500000,7600
2023-02-09,2.180000,2.570000,2.180000,2.570000,2.570000,600
2023-02-10,2.440000,2.610000,2.440000,2.587000,2.587000,900
2023-02-13,2.405000,2.600000,2.225000,2.510000,2.510000,5900
2023-02-14,2.510000,2.510000,2.510000,2.510000,2.510000,0
2023-02-15,2.220000,2.556000,2.220000,2.556000,2.556000,1100
2023-02-16,2.480000,2.600000,2.330000,2.600000,2.600000,2900
2023-02-17,2.370000,2.536000,2.310000,2.536000,2.536000,2000
2023-02-21,2.350000,2.500000,2.270000,2.500000,2.500000,1400
2023-02-22,2.227000,2.480000,2.227000,2.470000,2.470000,1200
2023-02-23,2.350000,2.500000,2.300000,2.500000,2.500000,1400
2023-02-24,2.390000,2.490000,2.305000,2.490000,2.490000,1100
2023-02-27,2.400000,2.400000,2.230000,2.370000,2.370000,1900
2023-02-28,2.300000,2.380000,2.240000,2.380000,2.380000,1200
2023-03-01,2.250000,2.400000,2.130000,2.400000,2.400000,1400
2023-03-02,2.140000,2.500000,2.140000,2.220000,2.220000,2200
2023-03-03,2.250000,2.250000,2.250000,2.250000,2.250000,300
2023-03-06,2.250000,2.250000,2.250000,2.250000,2.250000,0
2023-03-07,2.250000,2.250000,2.250000,2.250000,2.250000,100
2023-03-08,2.360000,2.500000,2.360000,2.500000,2.500000,400
2023-03-09,2.210000,2.480000,2.210000,2.480000,2.480000,600
2023-03-10,2.257000,2.405000,2.040000,2.110000,2.110000,5100
2023-03-13,2.200000,2.200000,2.000000,2.200000,2.200000,2600
2023-03-14,2.000000,2.200000,2.000000,2.020000,2.020000,500
2023-03-15,2.060000,2.400000,2.060000,2.400000,2.400000,4500
2023-03-16,2.220000,2.230000,1.930000,2.200000,2.200000,3800
2023-03-17,2.200000,2.200000,2.200000,2.200000,2.200000,0
2023-03-20,1.850000,2.170000,1.810000,2.170000,2.170000,3400
2023-03-21,1.830000,2.030000,1.790000,2.030000,2.030000,5400
2023-03-22,1.890000,2.246000,1.840000,2.246000,2.246000,1900
2023-03-23,1.870000,2.020000,1.750000,2.020000,2.020000,9900
2023-03-24,1.900000,2.080000,1.900000,2.080000,2.080000,1800
2023-03-27,2.080000,2.080000,2.080000,2.080000,2.080000,0
2023-03-28,2.060000,2.060000,2.060000,2.060000,2.060000,400
2023-03-29,1.910000,2.010000,1.910000,2.010000,2.010000,1900
2023-03-30,1.896000,2.000000,1.790000,1.790000,1.790000,4100
2023-03-31,1.720000,2.150000,1.720000,2.150000,2.150000,1700
2023-04-03,1.950000,2.035000,1.790000,2.035000,2.035000,2300
2023-04-04,1.850000,1.970000,1.850000,1.970000,1.970000,700
2023-04-05,2.100000,2.100000,2.100000,2.100000,2.100000,300
2023-04-06,2.010000,2.070000,1.985000,2.040000,2.040000,2400
2023-04-10,1.810000,1.810000,1.800000,1.800000,1.800000,700
2023-04-11,1.800000,2.070000,1.800000,2.070000,2.070000,5300
2023-04-12,2.070000,2.070000,1.830000,2.040000,2.040000,16700
2023-04-13,1.950000,2.040000,1.810000,2.000000,2.000000,2700
2023-04-14,1.890000,1.890000,1.890000,1.890000,1.890000,1100
2023-04-17,1.840000,1.965000,1.840000,1.965000,1.965000,1300
2023-04-18,1.870000,1.950000,1.810000,1.900000,1.900000,1300
2023-04-19,1.800000,1.870000,1.750000,1.810000,1.810000,2200
2023-04-20,1.896000,1.896000,1.600000,1.890000,1.890000,2700
2023-04-21,1.641000,1.880000,1.641000,1.790000,1.790000,3100
2023-04-24,1.660000,1.820000,1.640000,1.820000,1.820000,1100
2023-04-25,1.660000,1.859000,1.310000,1.646000,1.646000,27100
2023-04-26,1.550000,1.587000,1.350000,1.587000,1.587000,4300
2023-04-27,1.520000,1.570000,1.510000,1.570000,1.570000,1100
2023-04-28,1.630000,1.740000,1.624000,1.640000,1.640000,2700
2023-05-01,1.690000,1.690000,1.690000,1.690000,1.690000,900
2023-05-02,1.689000,1.727000,1.680000,1.680000,1.680000,2200
2023-05-03,1.650000,1.810000,1.650000,1.750000,1.750000,4300
2023-05-04,1.652000,1.652000,1.652000,1.652000,1.652000,200
2023-05-05,1.681000,1.681000,1.681000,1.681000,1.681000,200
2023-05-08,1.760000,1.790000,1.760000,1.790000,1.790000,700
2023-05-09,1.810000,1.810000,1.700000,1.770000,1.770000,2400
2023-05-10,1.710000,1.825000,1.710000,1.825000,1.825000,700
2023-05-11,1.800000,1.820000,1.800000,1.820000,1.820000,2000
2023-05-12,1.700000,1.730000,1.650000,1.730000,1.730000,3500
2023-05-15,1.650000,1.665000,1.650000,1.665000,1.665000,1000
2023-05-16,1.670000,1.959000,1.670000,1.959000,1.959000,600
2023-05-17,1.900000,1.900000,1.704000,1.710000,1.710000,1200
2023-05-18,1.710000,1.710000,1.710000,1.710000,1.710000,400
2023-05-19,1.790000,1.790000,1.530000,1.530000,1.530000,2000
2023-05-22,1.540000,1.766000,1.540000,1.748000,1.748000,2200
2023-05-23,1.650000,1.650000,1.640000,1.640000,1.640000,500
2023-05-24,1.480000,1.760000,1.480000,1.760000,1.760000,1300
2023-05-25,1.524000,1.710000,1.510000,1.700000,1.700000,6500
2023-05-26,1.510000,1.700000,1.510000,1.700000,1.700000,2000
2023-05-30,1.630000,1.630000,1.606000,1.606000,1.606000,500
