Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,20.500000,20.879999,20.000000,20.350000,19.007154,4600
2022-12-28,20.695000,20.799999,20.500000,20.799999,19.427460,2500
2022-12-29,20.889999,20.985001,20.500000,20.559999,19.203297,8400
2022-12-30,20.760000,21.510000,20.750000,21.309999,19.903805,5800
2023-01-03,21.000000,21.000000,20.518000,20.750000,19.380758,6500
2023-01-04,20.570000,21.350000,20.530001,21.350000,19.941166,2700
2023-01-05,20.631001,21.708000,20.631001,21.708000,20.275543,1500
2023-01-06,21.000000,21.570000,21.000000,21.570000,20.146648,1400
2023-01-09,21.750000,22.090000,21.750000,22.080000,20.622995,3700
2023-01-10,22.379999,22.400000,21.820000,22.344999,20.870508,2200
2023-01-11,21.815001,22.379999,21.250000,21.820000,20.380154,13900
2023-01-12,21.150000,22.330000,21.150000,21.200001,20.154837,8300
2023-01-13,20.760000,22.000000,20.760000,21.221001,20.174803,9000
2023-01-17,21.500000,21.610001,21.500000,21.500000,20.440048,4200
2023-01-18,22.250000,22.250000,21.070000,21.299999,20.249907,5200
2023-01-19,21.600000,21.600000,21.070000,21.110001,20.069273,5600
2023-01-20,21.129999,22.150000,21.129999,21.700001,20.630186,8200
2023-01-23,22.090000,22.129999,21.825001,22.129999,21.038986,4200
2023-01-24,22.139999,22.923000,21.950001,22.780001,21.656942,9000
2023-01-25,22.600000,22.799999,22.200001,22.500000,21.390747,8400
2023-01-26,22.799999,22.820000,22.799999,22.809999,21.685463,1500
2023-01-27,22.799999,22.900000,22.450001,22.555000,21.443037,2500
2023-01-30,22.600000,22.900000,22.600000,22.799999,21.675957,3100
2023-01-31,22.900000,24.000000,22.750000,22.750000,21.628422,20400
2023-02-01,22.900000,23.100000,22.750000,23.100000,21.961168,2900
2023-02-02,23.230000,23.230000,23.035999,23.200001,22.056238,2000
2023-02-03,23.101999,23.181000,22.790001,22.900000,21.771027,1200
2023-02-06,22.760000,23.007000,22.100000,22.850000,21.723492,6200
2023-02-07,22.969999,22.990000,22.100000,22.200001,21.105537,6000
2023-02-08,22.120001,22.120001,22.120001,22.120001,21.029484,300
2023-02-09,22.257999,22.466000,22.257999,22.466000,21.358423,1600
2023-02-10,22.090000,22.903999,21.937000,22.400000,21.295677,3200
2023-02-13,22.500000,22.860001,22.500000,22.844000,21.717787,1000
2023-02-14,22.700001,23.025000,22.700001,22.959999,21.828068,3500
2023-02-15,22.959999,23.000000,22.799999,22.820000,21.694971,1200
2023-02-16,22.900000,22.950001,22.830000,22.950001,21.818563,2300
2023-02-17,23.219999,23.219999,22.840000,23.010000,21.875603,2100
2023-02-21,22.853001,23.000000,22.650000,22.718000,21.598000,4000
2023-02-22,22.580000,23.100000,22.530001,23.100000,21.961168,2400
2023-02-23,23.000000,23.000000,22.270000,22.620001,21.504831,6100
2023-02-24,22.625999,23.000000,22.010000,22.799999,21.675957,17300
2023-02-27,22.500000,22.530001,22.299999,22.469999,21.362226,4200
2023-02-28,22.450001,23.219999,22.450001,23.190001,22.046730,12600
2023-03-01,23.080000,23.080000,22.561001,22.799999,21.675957,2700
2023-03-02,22.778999,22.778999,22.590000,22.600000,21.485819,1300
2023-03-03,22.799999,22.799999,22.610001,22.730000,21.609407,3900
2023-03-06,22.799999,23.200001,22.799999,23.170000,22.027718,1900
2023-03-07,23.219999,23.219999,22.709999,22.785000,21.661695,9000
2023-03-08,22.847000,22.908001,22.700001,22.700001,21.580887,1000
2023-03-09,22.900000,22.900000,22.650000,22.791000,21.667400,3300
2023-03-10,22.790001,22.790001,22.150000,22.240000,21.143564,5100
2023-03-13,22.150000,22.725000,21.120001,21.260000,20.211880,9900
2023-03-14,21.000000,21.870001,21.000000,21.799999,20.725256,1000
2023-03-15,21.429001,21.429001,20.709999,20.900000,19.869627,20700
2023-03-16,20.990000,22.190001,20.990000,22.190001,21.096031,1900
2023-03-17,21.969999,22.118999,21.049999,21.200001,20.154837,5500
2023-03-20,21.690001,21.690001,20.620001,20.980000,19.945681,5500
2023-03-21,20.500000,21.299999,20.500000,21.070000,20.031246,3300
2023-03-22,20.500000,20.500000,20.500000,20.500000,19.489346,400
2023-03-23,21.700001,21.740000,20.500000,20.500000,19.489346,6000
2023-03-24,21.010000,21.187000,20.750000,21.187000,20.142479,6800
2023-03-27,21.531000,21.531000,20.500000,20.500000,19.489346,400
2023-03-28,20.500000,20.500000,20.500000,20.500000,19.489346,400
2023-03-29,21.555000,21.555000,20.980000,21.424000,20.367792,2400
2023-03-30,21.504999,21.610001,21.504999,21.610001,20.544624,700
2023-03-31,21.500000,23.030001,21.500000,23.030001,21.894619,16300
2023-04-03,22.510000,22.900000,22.510000,22.900000,21.771027,1300
2023-04-04,22.920000,23.120001,22.879999,23.120001,21.980183,1500
2023-04-05,23.040001,23.040001,23.000000,23.010000,21.875603,1700
2023-04-06,22.743999,22.799000,22.260000,22.799000,21.675007,1900
2023-04-10,22.500000,23.059999,22.500000,23.059999,21.923140,800
2023-04-11,22.999001,22.999001,22.405001,22.405001,21.300430,4800
2023-04-12,23.150000,23.150000,23.059999,23.059999,21.923140,1400
2023-04-13,22.850000,22.950001,22.850000,22.889999,22.129057,900
2023-04-14,22.900000,22.900000,22.500000,22.500000,21.752022,5300
2023-04-17,22.500000,22.825001,22.500000,22.590000,21.839031,1500
2023-04-18,22.615000,22.615000,22.264000,22.264000,21.523867,3300
2023-04-19,22.299999,22.690001,21.400000,21.400000,20.688591,3600
2023-04-20,21.410000,21.410000,21.080000,21.209999,20.504906,3200
2023-04-21,21.430000,22.000000,21.110001,22.000000,21.268644,800
2023-04-24,21.990000,22.200001,21.754999,21.860001,21.133301,4200
2023-04-25,21.510000,21.510000,21.510000,21.510000,20.794933,1100
2023-04-26,21.361000,22.000000,21.361000,22.000000,21.268644,2600
2023-04-27,21.750000,21.990000,21.639999,21.805000,21.080128,3700
2023-04-28,21.920000,22.750000,21.601999,22.750000,21.993711,22600
2023-05-01,21.990000,22.000000,21.990000,22.000000,21.268644,3600
2023-05-02,21.691000,22.299999,21.615000,22.299999,21.558670,2900
2023-05-03,22.000000,22.000000,21.250000,21.250000,20.543577,7500
2023-05-04,21.139999,21.139999,20.500000,20.600000,19.915186,9900
2023-05-05,21.200001,21.969999,20.650000,21.177000,20.473005,2500
2023-05-08,21.200001,21.738001,21.200001,21.350000,20.640253,10900
2023-05-09,21.360001,21.889999,20.540001,21.160000,20.456570,9700
2023-05-10,21.010000,21.250000,21.010000,21.250000,20.543577,2600
2023-05-11,21.250000,21.250000,21.250000,21.250000,20.543577,600
2023-05-12,21.323999,21.643999,21.000000,21.068001,20.367628,4000
2023-05-15,21.000000,21.000000,20.709999,20.973000,20.275785,2400
2023-05-16,20.763000,21.330000,20.709999,20.770000,20.079535,4600
2023-05-17,21.889999,21.889999,21.700001,21.700001,20.978617,1400
2023-05-18,21.650000,21.700001,21.650000,21.700001,20.978617,600
2023-05-19,21.049999,21.049999,21.020000,21.020000,20.321222,1000
2023-05-22,21.547001,21.850000,21.500999,21.850000,21.123632,1800
2023-05-23,21.840000,21.896000,21.700001,21.780001,21.055958,3300
2023-05-24,21.120001,22.000000,21.120001,21.900000,21.171968,5400
2023-05-25,21.840000,22.100000,21.360001,22.049999,21.316982,9700
2023-05-26,21.809999,22.290001,21.620001,22.100000,21.365320,2000
2023-05-30,21.750000,22.100000,21.500000,22.000000,21.268644,2600
2023-05-31,21.667000,22.500000,20.750000,21.379999,20.669254,27400
2023-06-01,21.469999,21.799999,21.469999,21.520000,20.804602,5900
2023-06-02,22.063999,22.450001,21.629999,21.840000,21.113964,6700
2023-06-05,21.840000,22.000000,21.840000,22.000000,21.268644,2100
2023-06-06,21.719999,22.202000,21.709999,22.000000,21.268644,7700
2023-06-07,21.820000,21.910000,21.799999,21.820000,21.094627,5100
2023-06-08,21.820000,22.030001,21.820000,21.983999,21.253176,3900
