Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.920000,2.370000,1.730000,1.950000,1.950000,51842000
2022-12-28,1.720000,1.940000,1.561000,1.660000,1.660000,2273700
2022-12-29,1.630000,1.900000,1.550000,1.890000,1.890000,1420300
2022-12-30,1.810000,3.980000,1.710000,3.390000,3.390000,40624600
2023-01-03,3.930000,5.980000,3.650000,5.300000,5.300000,47392100
2023-01-04,4.400000,4.640000,3.550000,4.380000,4.380000,6949400
2023-01-05,4.130000,7.150000,4.050000,4.920000,4.920000,23729000
2023-01-06,4.610000,6.300000,4.430000,5.270000,5.270000,15171600
2023-01-09,5.100000,6.050000,4.900000,4.900000,4.900000,4117900
2023-01-10,4.960000,5.050000,4.180000,4.300000,4.300000,1838900
2023-01-11,4.190000,4.200000,3.470000,3.480000,3.480000,1158300
2023-01-12,3.610000,4.200000,3.550000,4.100000,4.100000,1198400
2023-01-13,3.890000,4.000000,3.600000,3.710000,3.710000,472000
2023-01-17,3.580000,4.250000,3.570000,3.720000,3.720000,694500
2023-01-18,3.770000,3.820000,3.410000,3.560000,3.560000,339200
2023-01-19,3.510000,3.616000,3.100000,3.210000,3.210000,404300
2023-01-20,3.240000,3.700000,3.150000,3.630000,3.630000,551500
2023-01-23,3.400000,3.530000,3.230000,3.360000,3.360000,457000
2023-01-24,3.320000,3.390000,3.140000,3.170000,3.170000,198400
2023-01-25,3.670000,5.350000,3.320000,4.240000,4.240000,23945600
2023-01-26,4.040000,4.370000,3.600000,3.620000,3.620000,1469200
2023-01-27,3.670000,3.890000,3.090000,3.240000,3.240000,954600
2023-01-30,3.210000,3.620000,3.210000,3.300000,3.300000,364900
2023-01-31,3.270000,3.400000,3.250000,3.330000,3.330000,194500
2023-02-01,3.360000,3.360000,3.170000,3.270000,3.270000,251800
2023-02-02,3.300000,4.390000,3.220000,3.730000,3.730000,2971700
2023-02-03,3.550000,3.700000,3.350000,3.530000,3.530000,346300
2023-02-06,3.500000,3.580000,3.350000,3.400000,3.400000,270400
2023-02-07,3.380000,3.530000,3.230000,3.310000,3.310000,207700
2023-02-08,3.310000,3.380000,3.200000,3.310000,3.310000,199200
2023-02-09,3.240000,3.420000,3.090000,3.120000,3.120000,211400
2023-02-10,3.120000,3.150000,2.860000,2.970000,2.970000,162700
2023-02-13,2.920000,3.210000,2.920000,3.100000,3.100000,162500
2023-02-14,3.070000,3.130000,2.950000,3.110000,3.110000,91600
