Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,47.520000,47.880001,46.590000,46.740002,45.707005,25700
2022-12-28,46.680000,47.860001,45.430000,45.560001,44.553085,41200
2022-12-29,45.540001,46.599998,45.540001,46.110001,45.299725,57700
2022-12-30,45.619999,46.400002,44.939999,45.310001,44.513786,24000
2023-01-03,45.639999,48.049999,45.639999,47.240002,46.409870,42500
2023-01-04,46.950001,47.200001,45.130001,45.270000,44.474491,53000
2023-01-05,44.540001,46.419998,44.540001,45.590000,44.788864,41800
2023-01-06,46.200001,46.919998,45.869999,46.570000,45.751644,22700
2023-01-09,46.110001,46.570000,45.389999,45.509998,44.710270,41200
2023-01-10,45.459999,46.240002,44.939999,45.970001,45.162193,31300
2023-01-11,45.700001,46.049999,45.160000,45.560001,44.759392,35900
2023-01-12,45.959999,46.930000,45.680000,46.740002,45.918659,20900
2023-01-13,46.720001,47.820000,46.549999,47.590000,46.753719,33000
2023-01-17,47.419998,48.080002,46.709999,47.410000,46.576881,35400
2023-01-18,47.450001,47.740002,46.500000,46.970001,46.144615,21700
2023-01-19,46.919998,47.730000,46.130001,46.939999,46.115139,21300
2023-01-20,47.310001,48.279999,46.410000,47.639999,46.802837,33400
2023-01-23,47.590000,48.040001,46.360001,46.570000,45.751644,22300
2023-01-24,46.209999,47.470001,46.209999,47.470001,46.635830,13900
2023-01-25,47.049999,48.000000,47.049999,47.810001,46.969856,14400
2023-01-26,47.939999,48.360001,47.650002,48.110001,47.264580,20700
2023-01-27,47.830002,48.230000,46.799999,47.810001,46.969856,25700
2023-01-30,47.779999,48.259998,47.040001,47.200001,46.370575,24600
2023-01-31,47.169998,49.139999,46.700001,48.880001,48.021049,26900
2023-02-01,48.810001,50.270000,48.779999,49.439999,48.571209,38300
2023-02-02,49.250000,49.900002,48.049999,48.970001,48.109470,39600
2023-02-03,48.540001,49.290001,47.660000,48.099998,47.254753,57700
2023-02-06,47.419998,48.279999,47.000000,47.970001,47.127045,39800
2023-02-07,47.299999,48.840000,47.029999,47.529999,46.694775,25700
2023-02-08,46.930000,47.150002,46.299999,46.860001,46.036549,26600
2023-02-09,46.709999,47.340000,45.470001,46.240002,45.427444,32500
2023-02-10,46.180000,47.290001,45.900002,47.029999,46.203556,32400
2023-02-13,47.009998,47.610001,46.560001,47.389999,46.557236,24200
2023-02-14,46.799999,47.939999,46.799999,47.220001,46.390224,38700
2023-02-15,46.700001,47.200001,44.220001,46.439999,45.623928,37200
2023-02-16,46.049999,46.049999,44.810001,45.439999,44.641502,39100
2023-02-17,45.689999,48.060001,45.549999,47.750000,46.910908,35400
2023-02-21,47.430000,47.580002,46.750000,47.200001,46.370575,32500
2023-02-22,46.880001,47.820000,45.540001,47.419998,46.586704,49000
2023-02-23,45.529999,45.529999,40.349998,40.860001,40.141983,56600
2023-02-24,40.509998,43.110001,40.509998,42.650002,41.900528,36200
2023-02-27,42.490002,43.410000,41.500000,41.790001,41.055641,44300
2023-02-28,42.169998,42.389999,41.270000,42.049999,41.311073,73500
2023-03-01,41.669998,42.230000,41.570000,41.730000,40.996693,39200
2023-03-02,41.250000,41.520000,40.180000,40.759998,40.043739,48900
2023-03-03,40.669998,41.009998,40.029999,40.130001,39.424812,46500
2023-03-06,39.770000,40.340000,39.270000,39.959999,39.257793,73400
2023-03-07,39.610001,39.939999,39.200001,39.939999,39.238148,36300
2023-03-08,39.650002,41.410000,39.090000,41.020000,40.299171,55800
2023-03-09,40.709999,41.209999,40.480000,40.689999,39.974968,32500
2023-03-10,40.320000,40.849998,40.150002,40.490002,39.778484,38500
2023-03-13,39.820000,41.060001,39.820000,40.099998,39.395336,31300
2023-03-14,40.849998,41.459999,40.150002,41.139999,40.417065,45300
2023-03-15,40.360001,40.860001,39.990002,40.419998,39.709713,45800
2023-03-16,39.900002,41.040001,39.820000,40.820000,40.102684,30700
2023-03-17,40.380001,40.900002,39.029999,39.259998,38.570095,208400
2023-03-20,39.259998,40.189999,36.860001,39.520000,38.825531,61200
2023-03-21,39.810001,40.490002,39.369999,39.770000,39.071140,59300
2023-03-22,39.520000,40.480000,38.540001,38.700001,38.019939,42300
2023-03-23,38.669998,39.119999,38.450001,38.639999,37.960995,33100
2023-03-24,38.220001,39.160000,37.990002,38.740002,38.059238,38700
2023-03-27,39.299999,40.000000,38.730000,39.139999,38.452209,26200
2023-03-28,38.849998,39.599998,38.849998,39.470001,38.776409,33200
2023-03-29,39.840000,40.209999,39.400002,39.689999,38.992538,37300
2023-03-30,39.770000,40.130001,39.259998,40.049999,39.555504,49600
2023-03-31,40.369999,41.200001,40.180000,40.919998,40.414761,55000
2023-04-03,40.840000,41.189999,40.320000,41.189999,40.681427,35100
2023-04-04,41.230000,41.230000,40.349998,41.080002,40.572788,36800
2023-04-05,40.810001,42.110001,40.689999,42.060001,41.540688,30700
2023-04-06,42.220001,42.220001,40.759998,41.689999,41.175255,39100
2023-04-10,41.770000,42.160000,41.000000,41.099998,40.592537,54500
2023-04-11,41.029999,41.450001,40.930000,41.160000,40.651798,23100
2023-04-12,41.250000,41.250000,40.540001,40.570000,40.069084,26100
2023-04-13,40.709999,40.950001,40.040001,40.410000,39.911057,23600
2023-04-14,40.689999,40.849998,39.660000,39.770000,39.278961,25900
2023-04-17,40.009998,40.820000,39.750000,40.270000,39.772789,34100
2023-04-18,40.160000,43.049999,38.990002,39.450001,38.962914,55900
2023-04-19,39.160000,39.160000,38.689999,38.779999,38.301186,26100
2023-04-20,38.570000,39.139999,37.830002,39.000000,38.518471,45100
2023-04-21,38.950001,39.459999,38.759998,39.130001,38.646866,30000
2023-04-24,39.009998,39.939999,38.619999,38.770000,38.291309,61000
2023-04-25,38.340000,38.950001,38.340000,38.830002,38.350567,35300
2023-04-26,38.549999,39.090000,38.049999,38.400002,37.925877,28700
2023-04-27,38.009998,39.340000,37.560001,37.689999,37.224640,57800
2023-04-28,37.299999,37.380001,35.910000,36.169998,35.723408,70700
2023-05-01,36.209999,37.509998,36.160000,36.560001,36.108597,39800
2023-05-02,36.549999,37.060001,36.540001,36.830002,36.375263,43200
2023-05-03,36.630001,37.759998,36.450001,36.529999,36.078964,52900
2023-05-04,36.480000,36.529999,35.029999,36.060001,35.614773,48600
