Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,6.080000,6.130000,5.750000,5.940000,5.940000,217500
2022-12-28,5.890000,6.075000,5.800000,5.930000,5.930000,141000
2022-12-29,6.000000,6.360000,6.000000,6.310000,6.310000,164500
2022-12-30,6.150000,6.270000,6.000000,6.220000,6.220000,162500
2023-01-03,6.340000,6.640000,6.120000,6.200000,6.200000,126900
2023-01-04,6.280000,6.280000,6.050000,6.130000,6.130000,77200
2023-01-05,5.990000,6.010000,5.770000,5.900000,5.900000,151100
2023-01-06,6.050000,6.270000,5.760000,6.240000,6.240000,172100
2023-01-09,6.370000,6.900000,6.350000,6.620000,6.620000,127600
2023-01-10,6.510000,7.035000,6.510000,6.950000,6.950000,110200
2023-01-11,7.140000,7.230000,6.920000,7.010000,7.010000,108800
2023-01-12,7.130000,7.150000,6.770000,7.110000,7.110000,196000
2023-01-13,7.100000,7.420000,7.030000,7.210000,7.210000,258600
2023-01-17,7.230000,7.290000,6.610000,6.640000,6.640000,204000
2023-01-18,6.790000,6.881000,6.520000,6.650000,6.650000,130400
2023-01-19,6.600000,6.665000,6.250000,6.300000,6.300000,121800
2023-01-20,6.400000,6.570000,6.270000,6.550000,6.550000,117100
2023-01-23,6.560000,7.130000,6.500000,6.930000,6.930000,154600
2023-01-24,6.890000,7.080000,6.470000,6.580000,6.580000,256800
2023-01-25,6.350000,6.560000,5.920000,6.520000,6.520000,169000
2023-01-26,6.560000,6.670000,6.470000,6.605000,6.605000,68300
2023-01-27,6.500000,7.110000,6.410000,7.090000,7.090000,146000
2023-01-30,6.940000,7.120000,6.800000,6.820000,6.820000,86800
2023-01-31,6.920000,7.370000,6.830000,7.300000,7.300000,118700
2023-02-01,7.400000,7.979000,7.280000,7.780000,7.780000,246300
2023-02-02,7.940000,8.445000,7.880000,8.280000,8.280000,256100
2023-02-03,8.030000,8.595000,8.000000,8.240000,8.240000,151000
2023-02-06,8.180000,8.630000,7.880000,8.150000,8.150000,247000
2023-02-07,8.100000,8.560000,8.010000,8.420000,8.420000,141400
2023-02-08,8.390000,9.000000,8.360000,8.680000,8.680000,200800
2023-02-09,8.800000,8.990000,8.600000,8.670000,8.670000,183800
2023-02-10,8.310000,8.460000,7.510000,7.570000,7.570000,332900
2023-02-13,7.640000,7.793000,7.433000,7.520000,7.520000,88300
2023-02-14,7.440000,7.920000,7.250000,7.800000,7.800000,132300
2023-02-15,7.590000,7.810000,7.541000,7.600000,7.600000,129900
2023-02-16,7.680000,7.680000,6.380000,6.385000,6.385000,559500
2023-02-17,6.360000,6.600000,6.130000,6.480000,6.480000,224900
2023-02-21,6.350000,6.470000,6.220000,6.230000,6.230000,158400
2023-02-22,6.200000,6.515000,6.200000,6.515000,6.515000,111900
2023-02-23,6.630000,6.690000,6.370000,6.560000,6.560000,113600
2023-02-24,6.460000,6.460000,6.010000,6.050000,6.050000,156800
2023-02-27,6.120000,6.499000,6.050000,6.360000,6.360000,122300
2023-02-28,6.330000,6.719000,6.330000,6.630000,6.630000,87400
2023-03-01,6.490000,6.630000,6.110000,6.150000,6.150000,157100
2023-03-02,6.100000,6.320000,5.930000,6.290000,6.290000,148600
2023-03-03,6.380000,6.775000,6.320000,6.720000,6.720000,113600
2023-03-06,6.680000,6.880000,6.360000,6.510000,6.510000,117400
2023-03-07,6.510000,6.580000,6.300000,6.370000,6.370000,65900
2023-03-08,6.360000,6.500000,6.270000,6.450000,6.450000,82800
2023-03-09,6.470000,6.550000,5.840000,5.860000,5.860000,215400
2023-03-10,5.960000,6.000000,5.505000,5.590000,5.590000,239600
2023-03-13,5.580000,6.320000,5.440000,6.250000,6.250000,247200
2023-03-14,6.530000,7.070000,6.430000,6.730000,6.730000,332400
2023-03-15,6.530000,6.790000,6.390000,6.770000,6.770000,156200
2023-03-16,6.670000,6.720000,6.410000,6.490000,6.490000,137300
2023-03-17,6.490000,6.490000,6.040000,6.350000,6.350000,181100
2023-03-20,6.300000,6.345000,6.070000,6.300000,6.300000,119800
2023-03-21,6.470000,6.705000,6.320000,6.600000,6.600000,117600
2023-03-22,6.510000,6.770000,6.310000,6.350000,6.350000,114200
2023-03-23,6.440000,6.665000,6.280000,6.460000,6.460000,118300
