Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.580000,0.580000,0.510000,0.520000,0.520000,754800
2022-12-28,0.510000,0.520000,0.500000,0.500000,0.500000,588800
2022-12-29,0.500000,0.550000,0.500000,0.520000,0.520000,829900
2022-12-30,0.510000,0.550000,0.500000,0.530000,0.530000,903400
2023-01-03,0.560000,0.630000,0.550000,0.590000,0.590000,691900
2023-01-04,0.620000,0.630000,0.610000,0.620000,0.620000,497200
2023-01-05,0.630000,0.720000,0.590000,0.710000,0.710000,886000
2023-01-06,0.720000,0.730000,0.680000,0.720000,0.720000,636000
2023-01-09,0.710000,0.740000,0.700000,0.700000,0.700000,467600
2023-01-10,0.700000,0.720000,0.670000,0.670000,0.670000,582000
2023-01-11,0.670000,0.720000,0.660000,0.720000,0.720000,584600
2023-01-12,0.720000,0.780000,0.700000,0.750000,0.750000,628100
2023-01-13,0.770000,0.890000,0.750000,0.850000,0.850000,1275200
2023-01-17,0.850000,0.940000,0.840000,0.910000,0.910000,1046000
2023-01-18,0.920000,1.000000,0.900000,0.910000,0.910000,1897200
2023-01-19,0.860000,0.910000,0.780000,0.840000,0.840000,1579400
2023-01-20,0.830000,0.870000,0.800000,0.810000,0.810000,679900
2023-01-23,0.810000,0.820000,0.750000,0.780000,0.780000,645700
2023-01-24,0.800000,0.800000,0.750000,0.760000,0.760000,221300
2023-01-25,0.750000,0.850000,0.720000,0.840000,0.840000,710800
2023-01-26,0.850000,0.850000,0.800000,0.810000,0.810000,352500
2023-01-27,0.820000,0.840000,0.790000,0.820000,0.820000,354900
2023-01-30,0.830000,0.840000,0.800000,0.800000,0.800000,335000
2023-01-31,0.830000,0.850000,0.780000,0.800000,0.800000,312800
2023-02-01,0.820000,0.820000,0.780000,0.800000,0.800000,423600
2023-02-02,0.810000,0.850000,0.810000,0.830000,0.830000,554600
2023-02-03,0.810000,0.870000,0.810000,0.830000,0.830000,534800
2023-02-06,0.830000,0.850000,0.810000,0.820000,0.820000,590000
2023-02-07,0.820000,0.840000,0.810000,0.830000,0.830000,335500
2023-02-08,0.800000,0.820000,0.760000,0.770000,0.770000,875600
2023-02-09,0.780000,0.800000,0.740000,0.760000,0.760000,295600
2023-02-10,0.760000,0.760000,0.720000,0.730000,0.730000,303500
