Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,3.050000,3.060000,2.830000,2.850000,2.850000,1637800
2022-12-28,2.870000,3.065000,2.850000,2.990000,2.990000,1793900
2022-12-29,3.090000,3.280000,2.959000,3.140000,3.140000,1754300
2022-12-30,3.110000,3.280000,3.060000,3.280000,3.280000,1564400
2023-01-03,3.310000,3.430000,3.250000,3.280000,3.280000,1042900
2023-01-04,3.290000,3.370000,3.220000,3.350000,3.350000,1279900
2023-01-05,3.410000,3.565000,3.360000,3.560000,3.560000,1546800
2023-01-06,3.590000,3.610000,3.400000,3.500000,3.500000,1198400
2023-01-09,3.560000,3.625000,3.460000,3.510000,3.510000,1037600
2023-01-10,3.520000,3.715000,3.480000,3.620000,3.620000,943200
2023-01-11,3.620000,3.699000,3.515000,3.660000,3.660000,988800
2023-01-12,3.670000,3.870000,3.600000,3.860000,3.860000,1214100
2023-01-13,3.750000,4.060000,3.750000,3.890000,3.890000,1140600
2023-01-17,3.990000,3.990000,3.745000,3.780000,3.780000,1452700
2023-01-18,3.820000,3.955000,3.660000,3.670000,3.670000,992000
2023-01-19,3.600000,3.640000,3.505000,3.550000,3.550000,783900
2023-01-20,3.620000,3.920000,3.570000,3.890000,3.890000,1140000
2023-01-23,3.900000,4.180000,3.800000,4.160000,4.160000,1190000
2023-01-24,4.160000,4.785000,4.105000,4.720000,4.720000,1685600
2023-01-25,4.675000,4.855000,4.505000,4.820000,4.820000,879900
2023-01-26,4.860000,4.995000,4.724000,4.940000,4.940000,892700
2023-01-27,4.940000,5.300000,4.930000,5.270000,5.270000,786000
2023-01-30,5.200000,5.225000,4.780000,4.890000,4.890000,893700
2023-01-31,4.930000,5.110000,4.930000,5.070000,5.070000,895400
2023-02-01,5.080000,5.210000,4.910000,5.130000,5.130000,800500
2023-02-02,5.240000,5.544000,5.195000,5.460000,5.460000,914000
2023-02-03,5.270000,5.380000,5.165000,5.170000,5.170000,783100
2023-02-06,5.140000,5.640000,5.105000,5.400000,5.400000,929300
2023-02-07,5.460000,5.545000,5.335000,5.460000,5.460000,996600
2023-02-08,5.460000,5.509000,4.975000,5.040000,5.040000,1095300
2023-02-09,4.770000,5.240000,4.600000,4.770000,4.770000,1377600
2023-02-10,4.620000,4.620000,4.060000,4.260000,4.260000,1633600
2023-02-13,4.230000,4.440000,4.160000,4.440000,4.440000,674500
2023-02-14,4.390000,4.670000,4.300000,4.640000,4.640000,699700
2023-02-15,4.570000,4.680000,4.350000,4.530000,4.530000,846500
2023-02-16,4.450000,4.486000,4.310000,4.340000,4.340000,821000
2023-02-17,4.370000,4.555000,4.230000,4.520000,4.520000,606000
2023-02-21,4.380000,4.420000,4.040000,4.070000,4.070000,956900
2023-02-22,4.090000,4.270000,4.090000,4.230000,4.230000,674700
2023-02-23,4.250000,4.305000,4.170000,4.270000,4.270000,524800
2023-02-24,4.190000,4.190000,4.025000,4.060000,4.060000,714700
2023-02-27,4.130000,4.150000,4.000000,4.080000,4.080000,901300
2023-02-28,4.090000,4.205000,4.040000,4.050000,4.050000,548100
2023-03-01,4.040000,4.065000,3.810000,3.910000,3.910000,881000
2023-03-02,3.800000,3.800000,3.570000,3.580000,3.580000,988400
2023-03-03,3.700000,3.700000,3.505000,3.610000,3.610000,1183100
2023-03-06,3.610000,3.610000,3.360000,3.430000,3.430000,1438700
2023-03-07,3.420000,3.490000,3.270000,3.270000,3.270000,1110900
2023-03-08,3.270000,3.430000,3.205000,3.280000,3.280000,1103100
2023-03-09,3.310000,3.430000,3.070000,3.120000,3.120000,1512700
2023-03-10,3.120000,3.150000,2.660000,2.830000,2.830000,2136700
2023-03-13,2.810000,3.120000,2.750000,3.120000,3.120000,2886200
2023-03-14,3.120000,3.240000,3.015000,3.180000,3.180000,1522600
2023-03-15,3.060000,3.160000,2.940000,3.080000,3.080000,1351100
2023-03-16,3.050000,3.160000,2.940000,3.090000,3.090000,1108200
2023-03-17,3.060000,3.080000,2.920000,3.020000,3.020000,3585400
2023-03-20,3.020000,3.020000,2.815000,2.980000,2.980000,1317100
2023-03-21,3.020000,3.170000,3.000000,3.020000,3.020000,2026400
2023-03-22,3.010000,3.015000,2.840000,2.870000,2.870000,2820100
2023-03-23,2.920000,2.970000,2.770000,2.860000,2.860000,1122600
2023-03-24,2.790000,2.895000,2.760000,2.870000,2.870000,1704400
2023-03-27,2.890000,3.030000,2.840000,2.970000,2.970000,908200
2023-03-28,2.960000,3.000000,2.850000,2.860000,2.860000,935900
2023-03-29,2.960000,3.000000,2.860000,2.980000,2.980000,811400
2023-03-30,2.980000,3.040000,2.755000,2.800000,2.800000,936800
2023-03-31,2.850000,2.930000,2.810000,2.900000,2.900000,854200
2023-04-03,2.860000,2.990000,2.845000,2.940000,2.940000,809600
2023-04-04,2.970000,2.970000,2.790000,2.850000,2.850000,1762900
2023-04-05,2.830000,2.860000,2.730000,2.780000,2.780000,957800
2023-04-06,2.810000,2.820000,2.710000,2.770000,2.770000,920900
2023-04-10,2.750000,2.760000,2.625000,2.730000,2.730000,1113300
2023-04-11,2.740000,2.778000,2.590000,2.590000,2.590000,985100
2023-04-12,2.610000,2.619000,2.320000,2.360000,2.360000,1776700
2023-04-13,2.370000,2.730000,2.340000,2.710000,2.710000,1308900
2023-04-14,2.610000,2.755000,2.580000,2.690000,2.690000,1090800
2023-04-17,2.700000,3.040000,2.670000,3.030000,3.030000,1334600
2023-04-18,3.060000,3.080000,2.920000,2.960000,2.960000,1309800
2023-04-19,2.900000,3.050000,2.850000,2.980000,2.980000,1902300
2023-04-20,2.940000,2.950000,2.795000,2.840000,2.840000,1812000
2023-04-21,2.840000,3.060000,2.830000,3.040000,3.040000,1056000
2023-04-24,3.000000,3.010000,2.860000,2.940000,2.940000,1213500
2023-04-25,2.900000,2.990000,2.850000,2.860000,2.860000,1050700
2023-04-26,2.870000,2.895000,2.675000,2.730000,2.730000,757100
2023-04-27,2.760000,2.760000,2.560000,2.580000,2.580000,1223000
2023-04-28,2.570000,2.825000,2.460000,2.710000,2.710000,1205400
2023-05-01,2.700000,2.860000,2.650000,2.810000,2.810000,949400
2023-05-02,2.810000,2.810000,2.430000,2.580000,2.580000,2485600
2023-05-03,2.590000,2.755000,2.555000,2.700000,2.700000,1571300
2023-05-04,2.670000,2.780000,2.545000,2.750000,2.750000,1860600
2023-05-05,2.780000,2.965000,2.750000,2.910000,2.910000,970400
2023-05-08,2.910000,3.015000,2.860000,2.970000,2.970000,724400
2023-05-09,2.860000,2.900000,2.190000,2.440000,2.440000,3272400
2023-05-10,2.470000,2.475000,2.210000,2.430000,2.430000,2063200
2023-05-11,2.390000,2.449000,2.270000,2.300000,2.300000,1765500
2023-05-12,2.330000,2.350000,2.100000,2.140000,2.140000,2471000
2023-05-15,2.140000,2.310000,2.140000,2.200000,2.200000,1981000
2023-05-16,2.120000,2.160000,1.950000,2.080000,2.080000,1705400
2023-05-17,2.070000,2.070000,1.970000,2.060000,2.060000,1823300
2023-05-18,2.050000,2.135000,1.940000,2.040000,2.040000,1991900
