Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.200000,1.330000,1.200000,1.220000,1.220000,102700
2022-12-28,1.200000,1.263000,1.120000,1.160000,1.160000,314900
2022-12-29,1.170000,1.209000,1.150000,1.200000,1.200000,149600
2022-12-30,1.210000,1.222000,1.090000,1.160000,1.160000,204400
2023-01-03,1.160000,1.200000,1.130000,1.170000,1.170000,215100
2023-01-04,1.180000,1.230000,1.170000,1.200000,1.200000,162800
2023-01-05,1.180000,1.270000,1.170000,1.270000,1.270000,188200
2023-01-06,1.230000,1.250000,1.140000,1.160000,1.160000,197100
2023-01-09,1.200000,1.200000,1.090000,1.140000,1.140000,140700
2023-01-10,1.130000,1.220000,1.120000,1.130000,1.130000,143700
2023-01-11,1.160000,1.220000,1.120000,1.170000,1.170000,234900
2023-01-12,1.190000,1.190000,1.150000,1.170000,1.170000,102800
2023-01-13,1.200000,1.250000,1.166000,1.220000,1.220000,165000
2023-01-17,1.250000,2.290000,1.250000,1.990000,1.990000,21007300
2023-01-18,2.160000,2.350000,1.570000,1.570000,1.570000,12894700
2023-01-19,1.560000,1.660000,1.440000,1.490000,1.490000,1282100
2023-01-20,1.420000,1.580000,1.345000,1.500000,1.500000,599100
2023-01-23,1.380000,1.700000,1.350000,1.590000,1.590000,693700
2023-01-24,1.610000,1.690000,1.510000,1.590000,1.590000,264300
2023-01-25,1.470000,1.590000,1.470000,1.570000,1.570000,206700
2023-01-26,1.520000,1.590000,1.520000,1.550000,1.550000,107500
2023-01-27,1.540000,1.600000,1.330000,1.380000,1.380000,1027100
2023-01-30,1.380000,1.380000,1.320000,1.320000,1.320000,271500
2023-01-31,1.320000,1.380000,1.300000,1.380000,1.380000,335400
2023-02-01,1.370000,1.374000,1.310000,1.340000,1.340000,196300
2023-02-02,1.350000,1.380000,1.330000,1.370000,1.370000,176000
2023-02-03,1.360000,1.435000,1.340000,1.380000,1.380000,249300
2023-02-06,1.360000,1.390000,1.300000,1.340000,1.340000,189100
2023-02-07,1.340000,1.340000,1.300000,1.310000,1.310000,90200
2023-02-08,1.330000,1.360000,1.280000,1.290000,1.290000,172200
2023-02-09,1.270000,1.320000,1.160000,1.210000,1.210000,290500
2023-02-10,1.200000,1.240000,1.180000,1.210000,1.210000,98400
2023-02-13,1.230000,1.237000,1.180000,1.200000,1.200000,70500
2023-02-14,1.181000,1.230000,1.180000,1.200000,1.200000,81600
2023-02-15,1.200000,1.270000,1.190000,1.240000,1.240000,82100
2023-02-16,1.240000,1.290000,1.220000,1.270000,1.270000,35200
2023-02-17,1.250000,1.257000,1.221000,1.240000,1.240000,29100
2023-02-21,1.230000,1.300000,1.185000,1.200000,1.200000,112100
