Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,14.800000,15.200000,14.680000,14.750000,14.750000,258500
2022-12-28,14.780000,15.040000,13.545000,13.700000,13.700000,204300
2022-12-29,13.620000,14.370000,12.910000,13.950000,13.950000,375700
2022-12-30,13.860000,14.960000,13.710000,14.890000,14.890000,223800
2023-01-03,15.140000,15.480000,14.120000,15.040000,15.040000,364700
2023-01-04,15.070000,15.120000,14.510000,15.010000,15.010000,237300
2023-01-05,14.950000,15.895000,14.440000,15.790000,15.790000,303600
2023-01-06,15.880000,16.280001,15.210000,15.360000,15.360000,125200
2023-01-09,15.360000,15.775000,14.910000,15.110000,15.110000,227300
2023-01-10,15.080000,15.640000,14.800000,15.300000,15.300000,163600
2023-01-11,15.320000,15.320000,14.580000,14.600000,14.600000,92200
2023-01-12,14.630000,14.900000,14.061000,14.580000,14.580000,266600
2023-01-13,14.550000,14.760000,14.025000,14.240000,14.240000,147400
2023-01-17,14.240000,14.265000,13.900000,14.170000,14.170000,234900
2023-01-18,14.240000,14.910000,14.075000,14.430000,14.430000,110400
2023-01-19,14.590000,14.820000,14.030000,14.780000,14.780000,115700
2023-01-20,14.850000,15.480000,14.760000,15.000000,15.000000,135600
2023-01-23,14.970000,14.970000,14.070000,14.610000,14.610000,157400
2023-01-24,14.610000,15.140000,14.300000,14.920000,14.920000,234300
2023-01-25,14.950000,14.950000,13.440000,14.150000,14.150000,180900
2023-01-26,14.200000,14.360000,13.910000,14.000000,14.000000,62900
2023-01-27,13.980000,14.350000,13.500000,13.670000,13.670000,114800
2023-01-30,13.360000,13.640000,13.000000,13.490000,13.490000,84700
2023-01-31,13.290000,14.030000,13.290000,13.750000,13.750000,86700
2023-02-01,13.840000,14.045000,13.260000,13.360000,13.360000,91600
2023-02-02,13.540000,14.170000,13.030000,14.130000,14.130000,151100
2023-02-03,13.980000,14.275000,13.640000,14.270000,14.270000,121600
2023-02-06,14.300000,15.060000,14.200000,14.810000,14.810000,136700
2023-02-07,14.900000,15.565000,14.510000,15.520000,15.520000,268000
2023-02-08,15.700000,15.700000,14.090000,14.460000,14.460000,272800
2023-02-09,14.470000,14.780000,14.470000,14.710000,14.710000,49700
2023-02-10,14.540000,15.075000,14.310000,14.830000,14.830000,99800
2023-02-13,14.830000,15.050000,14.110000,14.330000,14.330000,70900
2023-02-14,14.270000,14.687000,13.680000,14.080000,14.080000,86400
2023-02-15,14.010000,14.065000,13.560000,13.560000,13.560000,54600
2023-02-16,13.510000,13.580000,12.784000,12.950000,12.950000,149900
2023-02-17,12.950000,13.690000,12.800000,13.540000,13.540000,60300
2023-02-21,13.410000,13.577000,12.700000,12.750000,12.750000,73500
2023-02-22,12.750000,13.340000,12.630000,13.100000,13.100000,63100
2023-02-23,13.140000,13.140000,12.635000,12.800000,12.800000,83700
2023-02-24,12.800000,12.980000,12.455000,12.520000,12.520000,127100
2023-02-27,12.490000,13.010000,12.400000,12.750000,12.750000,205300
2023-02-28,12.820000,12.940000,12.050000,12.180000,12.180000,371900
2023-03-01,12.240000,13.460000,12.100000,12.800000,12.800000,1865900
2023-03-02,13.000000,14.800000,12.800000,14.360000,14.360000,1061400
2023-03-03,14.390000,14.630000,13.590000,13.840000,13.840000,103200
2023-03-06,13.930000,14.350000,13.560000,13.960000,13.960000,124000
2023-03-07,14.040000,15.000000,13.900000,14.060000,14.060000,253100
2023-03-08,14.020000,14.300000,13.510000,13.580000,13.580000,146100
2023-03-09,13.710000,13.945000,12.750000,13.010000,13.010000,323400
2023-03-10,13.050000,13.050000,11.280000,11.670000,11.670000,277200
2023-03-13,11.510000,12.010000,11.260000,11.940000,11.940000,226800
2023-03-14,12.180000,12.520000,11.720000,12.080000,12.080000,245500
2023-03-15,11.750000,12.150000,11.175000,11.480000,11.480000,309900
2023-03-16,11.240000,11.500000,10.990000,11.200000,11.200000,270900
2023-03-17,11.130000,11.680000,10.950000,11.400000,11.400000,919200
