Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.150000,1.240000,1.100000,1.240000,1.240000,59500
2022-12-28,1.200000,1.340000,1.090000,1.340000,1.340000,275800
2022-12-29,1.230000,1.525000,1.220000,1.460000,1.460000,117700
2022-12-30,1.450000,1.580000,1.290000,1.560000,1.560000,64100
2023-01-03,1.650000,1.730000,1.530000,1.555000,1.555000,24400
2023-01-04,1.490000,1.690000,1.320000,1.690000,1.690000,32500
2023-01-05,1.605000,1.650000,1.500000,1.650000,1.650000,16700
2023-01-06,1.650000,1.650000,1.650000,1.650000,1.650000,300
2023-01-09,1.540000,1.710000,1.540000,1.690000,1.690000,6800
2023-01-10,1.630000,1.640000,1.490000,1.640000,1.640000,40100
2023-01-11,1.580000,1.620000,1.500000,1.600000,1.600000,29300
2023-01-12,1.680000,1.680000,1.580000,1.650000,1.650000,11900
2023-01-13,1.580000,1.680000,1.440000,1.480000,1.480000,88100
2023-01-17,1.540000,1.640000,1.535000,1.600000,1.600000,12100
2023-01-18,1.530000,1.610000,1.470000,1.560000,1.560000,54800
2023-01-19,1.520000,1.700000,1.500000,1.660000,1.660000,18800
2023-01-20,1.600000,1.730000,1.490000,1.650000,1.650000,1593800
2023-01-23,1.735000,1.780000,1.650000,1.650000,1.650000,15700
2023-01-24,1.780000,1.780000,1.540000,1.575000,1.575000,59600
2023-01-25,1.590000,1.750000,1.470000,1.470000,1.470000,115600
2023-01-26,1.480000,1.690000,1.480000,1.650000,1.650000,46800
2023-01-27,1.650000,1.715000,1.550000,1.650000,1.650000,56200
2023-01-30,1.550000,1.640000,1.460000,1.520000,1.520000,39000
2023-01-31,1.500000,1.595000,1.460000,1.540000,1.540000,44800
2023-02-01,1.610000,1.690000,1.500000,1.580000,1.580000,107500
2023-02-02,1.620000,1.760000,1.580000,1.680000,1.680000,53800
2023-02-03,1.740000,1.740000,1.420000,1.590000,1.590000,112500
2023-02-06,1.580000,1.630000,1.500000,1.570000,1.570000,23400
2023-02-07,1.590000,1.620000,1.491000,1.600000,1.600000,50400
2023-02-08,1.599000,1.698000,1.524000,1.600000,1.600000,92200
2023-02-09,1.640000,1.640000,1.497000,1.540000,1.540000,51200
2023-02-10,1.525000,1.660000,1.490000,1.630000,1.630000,27900
2023-02-13,1.560000,1.840000,1.560000,1.830000,1.830000,83700
2023-02-14,1.830000,1.830000,1.710000,1.780000,1.780000,55400
2023-02-15,1.780000,1.780000,1.640000,1.700000,1.700000,68600
2023-02-16,1.650000,1.790000,1.650000,1.770000,1.770000,9100
2023-02-17,1.740000,1.840000,1.720000,1.790000,1.790000,25500
2023-02-21,1.790000,1.980000,1.750000,1.800000,1.800000,43500
2023-02-22,1.780000,1.780000,1.680000,1.680000,1.680000,36500
2023-02-23,1.725000,1.760000,1.660000,1.730000,1.730000,47100
2023-02-24,1.730000,1.740000,1.690000,1.690000,1.690000,59100
2023-02-27,1.770000,1.799000,1.690000,1.699000,1.699000,21700
2023-02-28,1.670000,1.700000,1.620000,1.620000,1.620000,29200
2023-03-01,1.650000,1.818000,1.650000,1.680000,1.680000,29000
2023-03-02,1.700000,1.840000,1.620000,1.690000,1.690000,38000
2023-03-03,1.690000,1.750000,1.631000,1.720000,1.720000,29300
2023-03-06,1.780000,1.780000,1.680000,1.720000,1.720000,38700
2023-03-07,1.780000,1.780000,1.693000,1.700000,1.700000,15600
2023-03-08,1.700000,1.730000,1.620000,1.620000,1.620000,51000
2023-03-09,1.690000,1.700000,1.630000,1.630000,1.630000,9800
2023-03-10,1.670000,1.670000,1.570000,1.600000,1.600000,2400
2023-03-13,1.614000,1.650000,1.580000,1.600000,1.600000,6000
2023-03-14,1.620000,1.710000,1.540000,1.540000,1.540000,16400
2023-03-15,1.650000,1.650000,1.340000,1.360000,1.360000,23300
2023-03-16,1.450000,1.460000,1.380000,1.400000,1.400000,12500
2023-03-17,1.439000,1.640000,1.370000,1.640000,1.640000,57500
2023-03-20,1.650000,1.650000,1.530000,1.530000,1.530000,23200
2023-03-21,1.605000,1.649000,1.540000,1.540000,1.540000,10300
2023-03-22,1.640000,1.640000,1.505000,1.580000,1.580000,6500
2023-03-23,1.580000,1.600000,1.530000,1.550000,1.550000,7200
2023-03-24,1.605000,1.640000,1.490000,1.500000,1.500000,10900
2023-03-27,1.550000,1.780000,1.340000,1.720000,1.720000,200600
2023-03-28,1.770000,1.770000,1.670000,1.690000,1.690000,51000
2023-03-29,1.620000,1.720000,1.620000,1.720000,1.720000,65300
2023-03-30,1.690000,1.720000,1.690000,1.710000,1.710000,35300
2023-03-31,1.720000,1.740000,1.700000,1.740000,1.740000,39700
2023-04-03,1.750000,1.750000,1.690000,1.730000,1.730000,8600
2023-04-04,1.740000,1.910000,1.690000,1.710000,1.710000,40500
2023-04-05,1.700000,1.727000,1.650000,1.690000,1.690000,19900
2023-04-06,1.670000,1.710000,1.640000,1.710000,1.710000,44900
2023-04-10,1.630000,1.750000,1.590000,1.730000,1.730000,89700
2023-04-11,1.710000,1.790000,1.570000,1.780000,1.780000,72000
2023-04-12,1.730000,1.730000,1.570000,1.700000,1.700000,95900
2023-04-13,1.700000,1.720000,1.630000,1.650000,1.650000,35000
2023-04-14,1.600000,1.760000,1.500000,1.760000,1.760000,118700
2023-04-17,1.820000,1.840000,1.560000,1.840000,1.840000,24200
2023-04-18,1.840000,1.840000,1.740000,1.800000,1.800000,26900
2023-04-19,1.760000,1.840000,1.750000,1.800000,1.800000,33600
2023-04-20,3.370000,3.430000,2.770000,3.400000,3.400000,49779200
2023-04-21,3.250000,3.290000,3.050000,3.050000,3.050000,2742700
2023-04-24,3.090000,3.100000,2.790000,3.000000,3.000000,1363000
2023-04-25,3.000000,3.000000,2.620000,2.950000,2.950000,491500
2023-04-26,2.840000,2.940000,2.760000,2.870000,2.870000,388300
2023-04-27,2.780000,3.060000,2.780000,3.050000,3.050000,191900
2023-04-28,2.790000,3.050000,2.790000,3.010000,3.010000,130300
2023-05-01,3.050000,3.050000,2.700000,3.000000,3.000000,260400
2023-05-02,3.000000,3.000000,2.850000,2.890000,2.890000,7546500
