Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,4.480000,4.520000,4.090000,4.110000,4.110000,2322700
2022-12-28,4.090000,4.180000,4.070000,4.150000,4.150000,1254200
2022-12-29,4.160000,4.470000,4.160000,4.370000,4.370000,1624100
2022-12-30,4.350000,4.395000,4.220000,4.320000,4.320000,990500
2023-01-03,5.640000,6.210000,5.310000,5.940000,5.940000,18506800
2023-01-04,6.055000,6.920000,5.830000,6.720000,6.720000,10264200
2023-01-05,6.630000,6.970000,6.510000,6.890000,6.890000,3508800
2023-01-06,7.250000,7.800000,7.030000,7.550000,7.550000,6536000
2023-01-09,7.800000,7.800000,7.342000,7.530000,7.530000,3721900
2023-01-10,7.450000,7.880000,7.370000,7.740000,7.740000,7692500
2023-01-11,7.810000,8.380000,7.520000,8.330000,8.330000,4909600
2023-01-12,8.380000,8.945000,8.170000,8.770000,8.770000,4029100
2023-01-13,8.730000,9.550000,8.725000,9.110000,9.110000,3605600
2023-01-17,9.100000,9.210000,8.620000,8.640000,8.640000,2614200
2023-01-18,8.730000,8.940000,8.220000,8.230000,8.230000,2870500
2023-01-19,8.182000,8.260000,7.835000,7.930000,7.930000,2605200
2023-01-20,8.080000,8.580000,7.860000,8.330000,8.330000,2854200
2023-01-23,8.340000,8.465000,8.140000,8.290000,8.290000,1713400
2023-01-24,8.300000,8.750000,8.130000,8.210000,8.210000,2147500
2023-01-25,8.880000,9.085000,8.290000,9.050000,9.050000,5270700
2023-01-26,9.230000,9.304000,8.950000,9.210000,9.210000,3134100
2023-01-27,9.180000,9.700000,9.130000,9.370000,9.370000,2982200
2023-01-30,9.250000,9.289000,8.875000,8.940000,8.940000,1900400
2023-01-31,8.980000,9.120000,8.870000,9.050000,9.050000,1500500
2023-02-01,9.100000,9.270000,8.871000,9.270000,9.270000,2403400
2023-02-02,9.500000,9.590000,9.165000,9.320000,9.320000,2956500
2023-02-03,9.250000,9.310000,8.950000,9.050000,9.050000,2217400
2023-02-06,8.862000,9.435000,8.862000,9.100000,9.100000,1933000
2023-02-07,9.100000,9.100000,8.640000,8.990000,8.990000,2472900
2023-02-08,9.010000,9.010000,8.470000,8.480000,8.480000,1857800
2023-02-09,8.580000,8.780000,8.300000,8.330000,8.330000,1467100
2023-02-10,8.260000,8.560000,8.120000,8.400000,8.400000,1970800
2023-02-13,8.400000,8.400000,7.940000,8.120000,8.120000,2083000
2023-02-14,8.070000,8.170000,7.745000,7.900000,7.900000,3258700
2023-02-15,7.870000,7.990000,7.700000,7.840000,7.840000,1995800
2023-02-16,7.690000,7.870000,7.550000,7.610000,7.610000,2110600
2023-02-17,7.650000,8.260000,7.570000,8.190000,8.190000,2220100
2023-02-21,8.000000,8.160000,7.630000,7.780000,7.780000,2226900
2023-02-22,7.750000,7.990000,7.740000,7.910000,7.910000,1858100
2023-02-23,8.000000,8.450000,7.861000,8.400000,8.400000,4097800
2023-02-24,8.210000,8.340000,7.970000,8.190000,8.190000,2366900
2023-02-27,8.280000,8.430000,8.105000,8.330000,8.330000,2945300
2023-02-28,8.200000,9.660000,8.160000,9.090000,9.090000,5665500
2023-03-01,9.160000,9.309000,8.630000,8.990000,8.990000,2999400
2023-03-02,8.970000,9.025000,8.670000,8.940000,8.940000,1866400
2023-03-03,8.990000,9.055000,8.730000,8.990000,8.990000,1883100
2023-03-06,9.040000,9.390000,8.890000,9.170000,9.170000,2551500
2023-03-07,9.260000,9.480000,9.010000,9.040000,9.040000,2352600
2023-03-08,9.100000,10.015000,8.930000,9.940000,9.940000,6571500
2023-03-09,9.930000,10.430000,9.505000,9.530000,9.530000,5249900
2023-03-10,9.500000,9.550000,8.600000,8.790000,8.790000,3996800
2023-03-13,8.600000,9.410000,8.570000,8.900000,8.900000,3114200
2023-03-14,9.180000,9.440000,8.950000,9.430000,9.430000,2321700
2023-03-15,9.140000,9.500000,9.075000,9.500000,9.500000,1984700
2023-03-16,9.480000,9.760000,9.280000,9.570000,9.570000,1823600
2023-03-17,9.480000,9.780000,9.360000,9.510000,9.510000,2532900
2023-03-20,9.470000,9.510000,9.100000,9.220000,9.220000,1901700
2023-03-21,9.330000,9.431000,9.040000,9.210000,9.210000,1977300
2023-03-22,9.200000,9.200000,8.700000,8.740000,8.740000,2385300
2023-03-23,8.950000,9.400000,8.805000,9.290000,9.290000,4752000
2023-03-24,9.220000,10.660000,9.220000,10.310000,10.310000,8313300
2023-03-27,10.200000,11.045000,10.005000,10.820000,10.820000,4612300
2023-03-28,10.720000,11.740000,10.720000,10.990000,10.990000,7701900
2023-03-29,11.020000,11.510000,11.020000,11.270000,11.270000,4990500
2023-03-30,11.310000,11.490000,10.965000,10.980000,10.980000,2474100
2023-03-31,11.040000,11.300000,10.880000,10.960000,10.960000,2117700
2023-04-03,10.940000,11.195000,10.230000,10.320000,10.320000,2835500
2023-04-04,10.360000,10.400000,9.920000,10.150000,10.150000,2194000
2023-04-05,10.350000,10.740000,9.905000,9.980000,9.980000,3471700
2023-04-06,10.000000,10.060000,9.820000,9.860000,9.860000,2001900
2023-04-10,9.760000,9.920000,9.200000,9.870000,9.870000,2709600
2023-04-11,9.970000,11.080000,9.950000,10.940000,10.940000,3590400
2023-04-12,11.000000,11.200000,10.770000,11.030000,11.030000,2105300
2023-04-13,11.100000,11.485000,11.040000,11.250000,11.250000,2968800
2023-04-14,11.260000,11.270000,10.860000,11.220000,11.220000,1602700
2023-04-17,11.360000,11.360000,10.640000,10.760000,10.760000,2646700
2023-04-18,10.740000,11.085000,10.258000,11.000000,11.000000,2859900
2023-04-19,10.940000,11.120000,10.770000,11.030000,11.030000,1691700
2023-04-20,10.900000,10.980000,10.335000,10.620000,10.620000,2796800
2023-04-21,10.630000,11.018000,10.390000,10.710000,10.710000,2251000
2023-04-24,10.880000,11.405000,10.575000,10.750000,10.750000,4258100
2023-04-25,10.660000,11.500000,10.660000,11.070000,11.070000,6594900
2023-04-26,11.070000,11.240000,10.884000,11.170000,11.170000,2033300
2023-04-27,11.220000,11.290000,10.945000,11.120000,11.120000,1833700
2023-04-28,11.100000,11.270000,10.800000,11.250000,11.250000,2648300
2023-05-01,11.210000,11.310000,10.750000,11.200000,11.200000,2654100
2023-05-02,11.210000,11.740000,10.855000,11.580000,11.580000,4323800
2023-05-03,11.650000,11.945000,11.500000,11.690000,11.690000,3682400
2023-05-04,11.850000,11.900000,10.730000,11.340000,11.340000,5112600
2023-05-05,11.525000,12.125000,11.250000,11.560000,11.560000,4146900
2023-05-08,11.440000,11.475000,11.035000,11.190000,11.190000,2386500
2023-05-09,11.230000,11.570000,11.090000,11.200000,11.200000,2133800
2023-05-10,11.290000,11.390000,11.050000,11.240000,11.240000,2413400
2023-05-11,11.200000,11.240000,10.745000,10.980000,10.980000,1751100
2023-05-12,11.100000,11.150000,10.630000,10.740000,10.740000,1690300
2023-05-15,10.760000,10.990000,10.550000,10.880000,10.880000,2079400
2023-05-16,10.680000,10.680000,10.080000,10.210000,10.210000,3777700
2023-05-17,10.250000,10.805000,10.020000,10.710000,10.710000,2674800
