Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.860000,1.900000,1.720000,1.760000,1.760000,402300
2022-12-28,1.770000,1.830000,1.740000,1.800000,1.800000,341500
2022-12-29,1.840000,1.910000,1.780000,1.810000,1.810000,596700
2022-12-30,1.770000,1.920000,1.730000,1.900000,1.900000,447400
2023-01-03,2.000000,2.080000,1.855000,1.870000,1.870000,450500
2023-01-04,1.880000,1.920000,1.815000,1.860000,1.860000,330000
2023-01-05,1.810000,1.860000,1.805000,1.845000,1.845000,206700
2023-01-06,1.850000,1.970000,1.782000,1.800000,1.800000,970400
2023-01-09,1.870000,1.900000,1.770000,1.800000,1.800000,1040800
2023-01-10,1.810000,1.900000,1.780000,1.870000,1.870000,373000
2023-01-11,1.840000,1.900000,1.805000,1.820000,1.820000,433900
2023-01-12,1.870000,2.020000,1.800000,1.990000,1.990000,578000
2023-01-13,2.040000,2.100000,1.920000,2.100000,2.100000,843900
2023-01-17,2.100000,2.125000,1.940000,2.010000,2.010000,506300
2023-01-18,2.070000,2.100000,1.850000,1.885000,1.885000,587300
2023-01-19,1.860000,1.950000,1.830000,1.900000,1.900000,162500
2023-01-20,1.880000,2.040000,1.850000,2.000000,2.000000,375900
2023-01-23,2.000000,2.030000,1.910000,1.980000,1.980000,374600
2023-01-24,1.980000,2.060000,1.950000,2.060000,2.060000,334300
2023-01-25,2.060000,2.060000,1.850000,1.910000,1.910000,706700
2023-01-26,1.940000,1.940000,1.850000,1.860000,1.860000,216400
2023-01-27,1.850000,1.890000,1.850000,1.880000,1.880000,251600
2023-01-30,1.940000,2.010000,1.830000,1.990000,1.990000,655400
2023-01-31,2.020000,2.150000,1.960000,2.150000,2.150000,1260900
2023-02-01,2.120000,2.120000,1.930000,2.070000,2.070000,515700
2023-02-02,2.110000,2.140000,2.020000,2.070000,2.070000,370000
2023-02-03,2.070000,2.140000,1.950000,2.030000,2.030000,412700
2023-02-06,1.990000,2.058000,1.940000,1.980000,1.980000,296800
2023-02-07,1.970000,2.010000,1.950000,2.000000,2.000000,211300
2023-02-08,1.970000,2.310000,1.970000,2.230000,2.230000,3027500
2023-02-09,2.330000,2.410000,2.120000,2.250000,2.250000,2477500
2023-02-10,2.280000,2.340000,2.120000,2.180000,2.180000,983900
2023-02-13,2.220000,2.220000,1.960000,2.000000,2.000000,883300
