Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,0.750000,0.794000,0.715000,0.718000,0.718000,235200
2022-12-28,0.701000,0.750000,0.701000,0.723000,0.723000,388500
2022-12-29,0.720000,0.742000,0.676000,0.676000,0.676000,331400
2022-12-30,0.666000,0.790000,0.666000,0.780000,0.780000,434600
2023-01-03,0.740000,0.843000,0.710000,0.710000,0.710000,126200
2023-01-04,0.700000,0.770000,0.700000,0.754000,0.754000,231600
2023-01-05,0.730000,0.806000,0.715000,0.769000,0.769000,184300
2023-01-06,0.790000,0.854000,0.748000,0.832000,0.832000,290500
2023-01-09,0.850000,1.040000,0.803000,0.960000,0.960000,634600
2023-01-10,0.970000,1.010000,0.950000,0.998000,0.998000,245800
2023-01-11,1.010000,1.110000,0.960000,1.000000,1.000000,233600
2023-01-12,1.000000,1.040000,0.933000,1.010000,1.010000,101200
2023-01-13,1.020000,1.650000,1.004000,1.250000,1.250000,3246000
2023-01-17,1.260000,1.280000,1.090000,1.200000,1.200000,446500
2023-01-18,1.210000,1.340000,1.150000,1.180000,1.180000,418400
2023-01-19,1.170000,1.170000,1.062000,1.110000,1.110000,267800
2023-01-20,1.130000,1.200000,1.080000,1.160000,1.160000,255100
2023-01-23,1.150000,1.250000,1.080000,1.220000,1.220000,408800
2023-01-24,1.210000,1.300000,1.160000,1.270000,1.270000,227000
2023-01-25,1.250000,1.390000,1.161000,1.340000,1.340000,374900
2023-01-26,1.300000,1.350000,1.300000,1.310000,1.310000,139300
2023-01-27,1.300000,1.360000,1.240000,1.270000,1.270000,742400
2023-01-30,1.270000,1.270000,1.130000,1.200000,1.200000,412100
2023-01-31,1.200000,1.270000,1.140000,1.220000,1.220000,218300
2023-02-01,1.250000,1.279000,1.200000,1.210000,1.210000,112700
2023-02-02,1.220000,1.270000,1.210000,1.220000,1.220000,401600
2023-02-03,1.200000,1.290000,1.190000,1.260000,1.260000,293900
2023-02-06,1.230000,1.240000,1.100000,1.115000,1.115000,366800
2023-02-07,1.130000,1.190000,1.050000,1.180000,1.180000,326700
2023-02-08,1.180000,1.230000,1.130000,1.140000,1.140000,131600
2023-02-09,1.180000,1.220000,1.130000,1.170000,1.170000,193800
2023-02-10,1.140000,1.210000,1.100000,1.210000,1.210000,166700
2023-02-13,1.210000,1.280000,1.152000,1.250000,1.250000,322600
2023-02-14,1.250000,1.270000,1.210000,1.260000,1.260000,114100
2023-02-15,1.240000,1.290000,1.240000,1.250000,1.250000,152200
2023-02-16,1.220000,1.260000,1.180000,1.190000,1.190000,169600
2023-02-17,1.230000,1.250000,1.190000,1.230000,1.230000,157100
2023-02-21,1.220000,1.220000,1.141000,1.200000,1.200000,405900
2023-02-22,1.200000,1.230000,1.190000,1.210000,1.210000,149500
2023-02-23,1.210000,1.300000,1.210000,1.290000,1.290000,224700
2023-02-24,1.280000,1.310000,1.210000,1.280000,1.280000,169100
2023-02-27,1.270000,1.330000,1.210000,1.220000,1.220000,212600
2023-02-28,1.230000,1.270000,1.190000,1.220000,1.220000,164000
2023-03-01,1.230000,1.260000,1.200000,1.210000,1.210000,109100
2023-03-02,1.180000,1.260000,1.160000,1.250000,1.250000,206700
2023-03-03,1.270000,1.480000,1.235000,1.450000,1.450000,341000
2023-03-06,1.470000,1.470000,1.380000,1.400000,1.400000,165900
2023-03-07,1.380000,1.500000,1.350000,1.450000,1.450000,356300
2023-03-08,1.480000,2.050000,1.420000,1.590000,1.590000,3494100
2023-03-09,1.540000,1.580000,1.330000,1.400000,1.400000,678700
2023-03-10,1.350000,1.390000,1.220000,1.310000,1.310000,438800
2023-03-13,1.250000,1.630000,1.230000,1.550000,1.550000,623900
2023-03-14,1.560000,1.610000,1.420000,1.460000,1.460000,700700
2023-03-15,1.450000,1.510000,1.310000,1.490000,1.490000,405800
2023-03-16,1.290000,1.490000,1.230000,1.390000,1.390000,600900
2023-03-17,1.340000,1.410000,1.250000,1.300000,1.300000,881700
2023-03-20,1.290000,1.290000,1.055000,1.140000,1.140000,608500
2023-03-21,1.180000,1.230000,1.120000,1.140000,1.140000,535300
2023-03-22,1.140000,1.150000,0.996000,0.996000,0.996000,756200
2023-03-23,0.995000,1.100000,0.980000,1.010000,1.010000,645500
2023-03-24,0.970000,1.080000,0.950000,1.060000,1.060000,558700
2023-03-27,1.060000,1.120000,0.950000,1.020000,1.020000,583000
2023-03-28,1.000000,1.080000,0.950000,1.040000,1.040000,641200
2023-03-29,1.040000,1.105000,1.010000,1.070000,1.070000,695400
2023-03-30,1.070000,1.090000,0.990000,1.050000,1.050000,504000
2023-03-31,1.050000,1.080000,1.010000,1.040000,1.040000,545700
2023-04-03,1.010000,1.050000,0.970000,1.010000,1.010000,535200
2023-04-04,1.010000,1.080000,0.950000,1.080000,1.080000,696300
2023-04-05,1.060000,1.070000,0.985000,1.000000,1.000000,522100
2023-04-06,1.010000,1.051000,0.960000,1.030000,1.030000,620900
2023-04-10,1.040000,1.150000,1.000000,1.100000,1.100000,574700
2023-04-11,1.090000,1.270000,1.060000,1.140000,1.140000,774900
2023-04-12,1.130000,1.220000,1.070000,1.180000,1.180000,528500
2023-04-13,1.220000,1.290000,1.140000,1.270000,1.270000,739100
2023-04-14,1.280000,1.305000,1.160000,1.250000,1.250000,899300
2023-04-17,1.250000,1.299000,1.120000,1.170000,1.170000,628100
2023-04-18,1.150000,1.200000,1.060000,1.100000,1.100000,687600
2023-04-19,1.100000,1.110000,1.030000,1.050000,1.050000,677400
2023-04-20,1.050000,1.080000,1.025000,1.050000,1.050000,602600
2023-04-21,1.030000,1.120000,1.030000,1.090000,1.090000,722700
2023-04-24,1.100000,1.140000,1.099000,1.110000,1.110000,308400
2023-04-25,1.100000,1.170000,1.080000,1.170000,1.170000,81200
2023-04-26,1.140000,1.290000,1.120000,1.140000,1.140000,442700
2023-04-27,1.140000,1.190000,1.100000,1.170000,1.170000,83100
2023-04-28,1.150000,1.250000,1.150000,1.230000,1.230000,228500
2023-05-01,1.230000,1.263000,1.160000,1.170000,1.170000,245700
2023-05-02,1.170000,1.170000,1.050000,1.090000,1.090000,141200
2023-05-03,1.170000,1.170000,1.040000,1.140000,1.140000,183300
2023-05-04,1.140000,1.140000,1.060000,1.090000,1.090000,307600
2023-05-05,1.110000,1.110000,1.050000,1.080000,1.080000,172200
2023-05-08,1.060000,1.080000,1.000000,1.020000,1.020000,139500
2023-05-09,1.010000,1.029000,0.965000,1.010000,1.010000,147400
2023-05-10,1.030000,1.070000,0.990000,1.050000,1.050000,148500
2023-05-11,0.980000,1.130000,0.980000,1.090000,1.090000,130700
2023-05-12,1.060000,1.170000,1.050000,1.120000,1.120000,114800
2023-05-15,1.130000,1.160000,1.010000,1.070000,1.070000,274800
2023-05-16,1.060000,1.149000,1.040000,1.110000,1.110000,71200
2023-05-17,1.120000,1.250000,1.090000,1.220000,1.220000,144000
2023-05-18,1.220000,1.260000,1.145000,1.240000,1.240000,111500
2023-05-19,1.270000,1.270000,1.190000,1.230000,1.230000,68600
2023-05-22,1.230000,1.270000,1.200000,1.260000,1.260000,216300
2023-05-23,1.260000,1.300000,1.235000,1.270000,1.270000,146300
2023-05-24,1.280000,1.295000,1.200000,1.210000,1.210000,243100
2023-05-25,1.180000,1.190000,1.030000,1.115000,1.115000,141300
2023-05-26,1.150000,1.245000,0.961000,0.975000,0.975000,742000
2023-05-30,1.060000,1.250000,1.060000,1.190000,1.190000,552500
2023-05-31,1.150000,1.220000,1.051000,1.180000,1.180000,333900
2023-06-01,1.190000,1.240000,1.140000,1.240000,1.240000,97800
2023-06-02,1.270000,1.330000,1.250000,1.310000,1.310000,183900
2023-06-05,1.300000,1.340000,1.250000,1.250000,1.250000,113000
2023-06-06,1.250000,1.385000,1.212000,1.370000,1.370000,122700
2023-06-07,1.390000,1.480000,1.360000,1.380000,1.380000,151400
2023-06-08,1.400000,1.439000,1.315000,1.370000,1.370000,61100
2023-06-09,1.360000,1.380000,1.320000,1.330000,1.330000,33600
2023-06-12,1.310000,1.350000,1.270000,1.280000,1.280000,56300
2023-06-13,1.290000,1.405000,1.290000,1.370000,1.370000,103600
2023-06-14,1.380000,1.430000,1.320000,1.320000,1.320000,79000
2023-06-15,1.340000,1.540000,1.340000,1.490000,1.490000,181400
2023-06-16,1.520000,1.640000,1.460000,1.580000,1.580000,393900
2023-06-20,1.550000,1.560000,1.420000,1.480000,1.480000,114100
2023-06-21,1.490000,1.530000,1.404000,1.480000,1.480000,95200
2023-06-22,1.460000,1.540000,1.435000,1.460000,1.460000,61500
2023-06-23,1.460000,1.980000,1.440000,1.850000,1.850000,1511100
2023-06-26,1.810000,1.960000,1.760000,1.860000,1.860000,552200
2023-06-27,1.810000,1.900000,1.697000,1.860000,1.860000,147300
2023-06-28,1.850000,1.860000,1.730000,1.730000,1.730000,139700
2023-06-29,1.730000,1.811000,1.680000,1.780000,1.780000,77300
2023-06-30,1.740000,1.870000,1.670000,1.690000,1.690000,221200
2023-07-03,1.630000,1.750000,1.550000,1.570000,1.570000,215900
2023-07-05,1.520000,1.630000,1.490000,1.570000,1.570000,91000
2023-07-06,1.530000,1.540000,1.410000,1.490000,1.490000,101000
2023-07-07,1.500000,1.600000,1.471000,1.550000,1.550000,75100
2023-07-10,1.530000,1.670000,1.510000,1.570000,1.570000,62200
2023-07-11,1.560000,1.650000,1.535000,1.620000,1.620000,32600
2023-07-12,1.600000,1.620000,1.470000,1.530000,1.530000,69200
2023-07-13,1.500000,1.690000,1.500000,1.640000,1.640000,116700
2023-07-14,1.660000,1.730000,1.560000,1.560000,1.560000,104600
2023-07-17,1.540000,1.650000,1.530000,1.620000,1.620000,42000
2023-07-18,1.590000,1.720000,1.590000,1.660000,1.660000,51000
2023-07-19,1.640000,1.870000,1.620000,1.760000,1.760000,172000
2023-07-20,1.730000,1.790000,1.700000,1.780000,1.780000,75700
2023-07-21,1.770000,1.850000,1.740000,1.770000,1.770000,86100
2023-07-24,1.740000,1.860000,1.740000,1.810000,1.810000,60200
2023-07-25,1.790000,1.880000,1.740000,1.790000,1.790000,86800
2023-07-26,1.780000,1.880000,1.780000,1.830000,1.830000,46900
2023-07-27,1.810000,1.855000,1.665000,1.730000,1.730000,121100
2023-07-28,1.730000,1.790000,1.670000,1.730000,1.730000,85200
2023-07-31,1.710000,1.800000,1.660000,1.730000,1.730000,132600
2023-08-01,1.690000,1.720000,1.630000,1.680000,1.680000,49800
2023-08-02,1.680000,1.740000,1.560000,1.600000,1.600000,79900
2023-08-03,1.580000,1.845000,1.520000,1.820000,1.820000,112800
2023-08-04,1.810000,1.860000,1.720000,1.730000,1.730000,89900
2023-08-07,1.700000,1.720000,1.600000,1.670000,1.670000,72000
2023-08-08,1.630000,1.730000,1.610000,1.700000,1.700000,35900
2023-08-09,1.700000,1.790000,1.651000,1.760000,1.760000,67600
2023-08-10,1.660000,2.050000,1.660000,1.820000,1.820000,750500
2023-08-11,1.800000,1.910000,1.732000,1.840000,1.840000,131500
2023-08-14,1.800000,1.840000,1.730000,1.790000,1.790000,66200
2023-08-15,1.730000,1.850000,1.660000,1.770000,1.770000,115100
2023-08-16,1.750000,1.798000,1.690000,1.700000,1.700000,51900
2023-08-17,1.720000,1.748000,1.630000,1.650000,1.650000,90200
2023-08-18,1.620000,1.740000,1.620000,1.660000,1.660000,111000
2023-08-21,1.630000,1.660000,1.540000,1.610000,1.610000,87600
2023-08-22,1.590000,1.624000,1.530000,1.570000,1.570000,54900
2023-08-23,1.550000,1.650000,1.540000,1.560000,1.560000,50900
2023-08-24,1.520000,1.560000,1.450000,1.480000,1.480000,50700
2023-08-25,1.450000,1.522000,1.410000,1.425000,1.425000,81100
2023-08-28,1.480000,1.538000,1.415000,1.450000,1.450000,63400
2023-08-29,1.470000,1.540000,1.410000,1.440000,1.440000,83800
2023-08-30,1.420000,1.560000,1.420000,1.540000,1.540000,50000
2023-08-31,1.540000,1.587000,1.440000,1.440000,1.440000,63000
2023-09-01,1.440000,1.500000,1.250000,1.430000,1.430000,58400
2023-09-05,1.360000,1.480000,1.360000,1.430000,1.430000,79900
2023-09-06,1.430000,1.500000,1.380000,1.390000,1.390000,85500
2023-09-07,1.420000,1.420000,1.355000,1.390000,1.390000,52500
2023-09-08,1.380000,1.410000,1.310000,1.390000,1.390000,51000
2023-09-11,1.370000,1.480000,1.356000,1.420000,1.420000,54800
2023-09-12,1.400000,1.480000,1.380000,1.410000,1.410000,60900
2023-09-13,1.380000,1.480000,1.340000,1.410000,1.410000,123100
2023-09-14,1.420000,1.440000,1.350000,1.430000,1.430000,77800
2023-09-15,1.430000,1.460000,1.350000,1.400000,1.400000,287800
2023-09-18,1.370000,1.440000,1.350000,1.370000,1.370000,203700
2023-09-19,1.380000,1.410000,1.310000,1.350000,1.350000,97700
