Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,6.960000,7.040000,6.620000,6.630000,6.630000,171600
2022-12-28,6.640000,6.670000,6.290000,6.600000,6.600000,440700
2022-12-29,6.850000,7.250000,6.650000,6.900000,6.900000,467300
2022-12-30,6.900000,7.200000,6.830000,7.160000,7.160000,305600
2023-01-03,6.910000,7.160000,6.880000,7.000000,7.000000,221000
2023-01-04,7.080000,7.230000,6.960000,7.150000,7.150000,220500
2023-01-05,7.020000,7.130000,6.880000,6.970000,6.970000,162900
2023-01-06,7.020000,7.020000,6.710000,6.850000,6.850000,261000
2023-01-09,6.920000,7.070000,6.720000,6.990000,6.990000,645800
2023-01-10,6.910000,7.120000,6.860000,7.080000,7.080000,404800
2023-01-11,7.130000,7.720000,6.870000,7.230000,7.230000,547900
2023-01-12,7.230000,7.290000,6.990000,7.150000,7.150000,423800
2023-01-13,7.100000,7.140000,6.750000,6.880000,6.880000,361100
2023-01-17,6.890000,7.070000,6.660000,6.850000,6.850000,641700
2023-01-18,6.800000,6.920000,6.620000,6.760000,6.760000,422400
2023-01-19,6.750000,6.780000,6.350000,6.410000,6.410000,437700
2023-01-20,6.540000,6.930000,6.350000,6.920000,6.920000,336100
2023-01-23,6.870000,7.050000,6.810000,6.990000,6.990000,400500
2023-01-24,6.950000,7.420000,6.930000,7.330000,7.330000,474800
2023-01-25,7.320000,7.820000,7.250000,7.480000,7.480000,1112600
2023-01-26,7.550000,7.610000,7.310000,7.470000,7.470000,228900
2023-01-27,7.440000,7.610000,7.310000,7.380000,7.380000,134100
2023-01-30,7.300000,7.440000,7.020000,7.110000,7.110000,216900
2023-01-31,7.190000,7.570000,7.190000,7.530000,7.530000,291200
2023-02-01,7.520000,7.620000,7.120000,7.350000,7.350000,363100
2023-02-02,7.390000,7.810000,7.390000,7.660000,7.660000,265400
2023-02-03,7.650000,7.880000,7.610000,7.690000,7.690000,237800
2023-02-06,7.540000,7.730000,7.250000,7.460000,7.460000,328500
2023-02-07,7.410000,7.790000,7.400000,7.710000,7.710000,285100
2023-02-08,7.640000,7.860000,7.480000,7.730000,7.730000,421300
2023-02-09,7.800000,7.880000,7.560000,7.570000,7.570000,241200
2023-02-10,7.550000,7.840000,7.410000,7.760000,7.760000,292300
2023-02-13,7.720000,8.180000,7.600000,8.090000,8.090000,406800
2023-02-14,8.180000,8.550000,7.690000,8.450000,8.450000,1149000
2023-02-15,8.440000,8.640000,8.200000,8.500000,8.500000,285000
2023-02-16,8.290000,8.640000,8.200000,8.200000,8.200000,342300
2023-02-17,8.140000,8.520000,7.910000,8.380000,8.380000,407300
2023-02-21,8.240000,8.460000,8.050000,8.080000,8.080000,241600
2023-02-22,8.100000,9.350000,8.100000,9.190000,9.190000,1040600
2023-02-23,9.110000,9.280000,8.760000,8.790000,8.790000,291000
2023-02-24,8.950000,9.950000,8.600000,9.470000,9.470000,1861900
2023-02-27,9.950000,9.980000,9.560000,9.770000,9.770000,843400
2023-02-28,9.850000,10.080000,9.500000,9.950000,9.950000,462300
2023-03-01,10.040000,10.200000,9.370000,9.480000,9.480000,840200
2023-03-02,9.520000,9.850000,9.290000,9.450000,9.450000,571200
2023-03-03,9.450000,9.750000,9.400000,9.710000,9.710000,256700
2023-03-06,9.780000,10.120000,9.660000,9.900000,9.900000,450600
2023-03-07,9.900000,9.980000,9.690000,9.850000,9.850000,274700
2023-03-08,9.950000,10.000000,9.420000,9.520000,9.520000,436900
2023-03-09,9.560000,9.680000,9.000000,9.230000,9.230000,564900
2023-03-10,9.120000,9.180000,8.390000,8.700000,8.700000,871700
2023-03-13,8.760000,9.490000,8.600000,9.220000,9.220000,474000
2023-03-14,9.450000,9.500000,9.260000,9.450000,9.450000,307000
2023-03-15,9.160000,9.340000,8.830000,9.180000,9.180000,369100
2023-03-16,9.010000,9.220000,8.850000,9.090000,9.090000,225800
2023-03-17,9.100000,9.480000,8.850000,8.910000,8.910000,167000
2023-03-20,8.910000,9.000000,8.000000,8.180000,8.180000,578600
2023-03-21,8.310000,8.550000,8.020000,8.030000,8.030000,385400
2023-03-22,8.630000,9.340000,8.600000,8.660000,8.660000,635500
2023-03-23,9.010000,9.220000,8.750000,9.140000,9.140000,346300
2023-03-24,9.100000,9.540000,8.810000,9.440000,9.440000,221400
2023-03-27,9.580000,9.630000,9.280000,9.450000,9.450000,247100
2023-03-28,9.400000,9.420000,9.120000,9.190000,9.190000,110200
2023-03-29,9.290000,9.320000,8.840000,8.890000,8.890000,363300
2023-03-30,8.110000,8.520000,8.000000,8.520000,8.520000,5402200
2023-03-31,8.640000,9.280000,8.570000,9.160000,9.160000,2198600
2023-04-03,8.970000,9.710000,8.970000,9.640000,9.640000,2330500
2023-04-04,9.720000,9.720000,8.660000,8.810000,8.810000,924400
2023-04-05,8.830000,8.830000,8.200000,8.480000,8.480000,995700
2023-04-06,8.500000,8.660000,8.400000,8.570000,8.570000,485600
2023-04-10,8.560000,9.310000,8.490000,9.190000,9.190000,352700
2023-04-11,9.220000,9.770000,9.200000,9.500000,9.500000,962800
2023-04-12,9.680000,9.980000,9.340000,9.740000,9.740000,556200
2023-04-13,9.760000,10.390000,9.750000,10.190000,10.190000,1153300
2023-04-14,10.170000,10.250000,9.560000,9.910000,9.910000,465300
2023-04-17,9.910000,10.420000,9.730000,10.080000,10.080000,1250900
2023-04-18,10.080000,10.220000,9.600000,10.070000,10.070000,585700
2023-04-19,10.070000,10.470000,9.970000,10.140000,10.140000,419300
2023-04-20,10.040000,10.180000,9.850000,9.880000,9.880000,304300
2023-04-21,9.840000,10.570000,9.840000,10.550000,10.550000,1078500
2023-04-24,10.500000,10.680000,10.230000,10.660000,10.660000,688400
2023-04-25,10.600000,10.850000,10.060000,10.190000,10.190000,423100
2023-04-26,10.340000,10.530000,9.980000,10.040000,10.040000,695300
2023-04-27,10.130000,10.230000,9.960000,10.090000,10.090000,415400
2023-04-28,10.100000,10.660000,9.920000,10.480000,10.480000,393600
2023-05-01,10.510000,12.210000,10.500000,11.730000,11.730000,4116900
2023-05-02,11.750000,13.950000,11.750000,13.330000,13.330000,4463000
2023-05-03,13.400000,14.660000,13.070000,14.200000,14.200000,2279300
2023-05-04,14.010000,14.390000,13.920000,14.250000,14.250000,876000
2023-05-05,14.160000,15.780000,14.100000,14.960000,14.960000,2070000
2023-05-08,15.150000,15.460000,14.360000,14.840000,14.840000,1723800
2023-05-09,14.850000,15.270000,14.660000,15.040000,15.040000,780200
2023-05-10,15.060000,15.760000,14.970000,15.500000,15.500000,916800
2023-05-11,15.670000,15.820000,14.530000,14.870000,14.870000,1124900
2023-05-12,14.770000,15.510000,14.390000,14.760000,14.760000,631800
2023-05-15,14.820000,15.080000,14.460000,14.510000,14.510000,546200
2023-05-16,14.500000,14.850000,14.330000,14.650000,14.650000,486100
2023-05-17,14.800000,15.090000,14.490000,14.810000,14.810000,662900
2023-05-18,14.740000,14.820000,13.590000,13.680000,13.680000,1350100
2023-05-19,13.350000,14.500000,13.270000,14.260000,14.260000,908600
2023-05-22,14.610000,14.810000,14.060000,14.250000,14.250000,675300
2023-05-23,14.230000,14.590000,14.040000,14.170000,14.170000,419800
2023-05-24,14.150000,14.150000,13.750000,13.900000,13.900000,589900
2023-05-25,13.930000,13.950000,13.080000,13.320000,13.320000,648100
2023-05-26,13.320000,14.150000,13.320000,13.840000,13.840000,388100
2023-05-30,13.890000,13.890000,13.090000,13.340000,13.340000,988700
2023-05-31,13.480000,14.190000,13.370000,13.850000,13.850000,1101500
2023-06-01,13.840000,14.130000,13.520000,14.000000,14.000000,1180200
2023-06-02,14.060000,14.500000,13.840000,14.100000,14.100000,585500
2023-06-05,14.040000,14.660000,13.750000,14.400000,14.400000,581000
2023-06-06,14.400000,14.930000,14.320000,14.840000,14.840000,495700
2023-06-07,14.720000,14.890000,14.180000,14.630000,14.630000,339100
2023-06-08,14.660000,15.190000,14.660000,15.090000,15.090000,566900
2023-06-09,15.140000,15.630000,14.940000,15.070000,15.070000,671900
2023-06-12,15.070000,15.560000,14.880000,15.340000,15.340000,403600
2023-06-13,15.450000,15.500000,15.040000,15.410000,15.410000,385300
2023-06-14,15.370000,15.690000,14.880000,15.060000,15.060000,558900
2023-06-15,15.000000,15.080000,14.740000,14.800000,14.800000,458700
2023-06-16,14.810000,14.960000,14.350000,14.490000,14.490000,378600
2023-06-20,14.300000,14.700000,14.000000,14.480000,14.480000,455000
2023-06-21,14.490000,14.750000,14.100000,14.370000,14.370000,1062200
2023-06-22,14.400000,15.550000,14.120000,15.250000,15.250000,1597300
2023-06-23,14.290000,14.540000,12.570000,13.510000,13.510000,4226100
2023-06-26,13.510000,13.920000,13.040000,13.780000,13.780000,1354800
2023-06-27,13.830000,14.000000,13.460000,13.790000,13.790000,1893300
2023-06-28,13.760000,14.100000,13.530000,13.990000,13.990000,448700
2023-06-29,14.020000,14.970000,13.910000,14.840000,14.840000,746000
2023-06-30,15.430000,16.520000,14.980000,16.480000,16.480000,1909600
2023-07-03,16.400000,16.400000,14.740000,15.120000,15.120000,1081900
2023-07-05,15.380000,15.410000,14.540000,15.050000,15.050000,1345900
2023-07-06,14.850000,15.230000,14.550000,14.880000,14.880000,392100
2023-07-07,14.900000,15.300000,14.720000,15.000000,15.000000,553600
2023-07-10,15.100000,16.320000,14.890000,15.990000,15.990000,1052900
2023-07-11,16.030001,16.030001,15.230000,15.500000,15.500000,423800
2023-07-12,15.710000,15.820000,15.150000,15.520000,15.520000,427100
2023-07-13,15.470000,15.740000,15.310000,15.460000,15.460000,328600
2023-07-14,15.640000,15.670000,15.210000,15.390000,15.390000,256000
2023-07-17,15.520000,16.850000,13.880000,15.200000,15.200000,2447100
2023-07-18,15.030000,15.060000,14.270000,14.390000,14.390000,961700
2023-07-19,14.390000,14.390000,13.680000,13.750000,13.750000,1163700
2023-07-20,13.800000,14.120000,13.730000,13.970000,13.970000,516400
2023-07-21,14.030000,14.500000,13.810000,13.870000,13.870000,814300
2023-07-24,14.110000,14.110000,13.410000,13.410000,13.410000,485000
2023-07-25,13.400000,14.240000,13.300000,13.800000,13.800000,828700
2023-07-26,13.790000,14.040000,13.650000,13.950000,13.950000,520300
2023-07-27,13.990000,14.110000,13.640000,13.740000,13.740000,449800
2023-07-28,13.760000,13.970000,13.540000,13.840000,13.840000,486700
2023-07-31,13.840000,14.120000,13.520000,14.100000,14.100000,652400
2023-08-01,14.070000,14.270000,13.800000,14.060000,14.060000,683600
2023-08-02,13.850000,14.090000,13.710000,13.910000,13.910000,702500
2023-08-03,13.840000,13.990000,13.410000,13.660000,13.660000,457500
2023-08-04,13.760000,13.960000,13.420000,13.600000,13.600000,340600
2023-08-07,13.580000,13.610000,13.180000,13.380000,13.380000,649100
2023-08-08,13.310000,13.650000,13.160000,13.510000,13.510000,932100
2023-08-09,13.510000,13.700000,11.950000,12.850000,12.850000,1668700
2023-08-10,13.000000,13.720000,12.850000,13.430000,13.430000,880600
2023-08-11,13.920000,15.300000,13.810000,14.550000,14.550000,1626600
2023-08-14,14.550000,14.750000,13.940000,13.950000,13.950000,460300
2023-08-15,13.900000,14.030000,13.650000,13.760000,13.760000,350500
2023-08-16,13.680000,13.680000,13.030000,13.080000,13.080000,585700
2023-08-17,13.110000,13.380000,12.440000,12.920000,12.920000,802400
2023-08-18,12.730000,13.120000,12.530000,12.720000,12.720000,440400
2023-08-21,12.720000,13.650000,12.620000,13.550000,13.550000,543900
2023-08-22,13.560000,13.820000,13.340000,13.510000,13.510000,429700
2023-08-23,13.610000,14.100000,13.610000,13.900000,13.900000,457400
2023-08-24,13.970000,14.170000,13.710000,13.800000,13.800000,318800
2023-08-25,13.880000,13.970000,13.650000,13.900000,13.900000,255400
2023-08-28,14.030000,14.240000,13.920000,14.130000,14.130000,280400
2023-08-29,14.110000,14.380000,13.810000,13.840000,13.840000,341600
2023-08-30,13.940000,14.080000,13.720000,13.890000,13.890000,276400
2023-08-31,13.790000,13.920000,13.470000,13.510000,13.510000,373400
2023-09-01,13.740000,13.970000,13.240000,13.380000,13.380000,703600
2023-09-05,13.130000,13.500000,12.710000,12.820000,12.820000,820200
2023-09-06,12.920000,13.280000,12.740000,13.210000,13.210000,339000
2023-09-07,13.170000,13.200000,12.860000,13.010000,13.010000,351600
2023-09-08,13.010000,13.140000,12.750000,12.900000,12.900000,318900
2023-09-11,12.970000,13.300000,12.880000,12.890000,12.890000,285700
2023-09-12,12.920000,13.180000,12.670000,12.700000,12.700000,373100
2023-09-13,12.730000,12.940000,12.100000,12.120000,12.120000,678400
2023-09-14,12.250000,12.530000,11.840000,12.260000,12.260000,512700
2023-09-15,12.260000,12.570000,11.900000,12.270000,12.270000,551000
2023-09-18,12.290000,12.300000,11.770000,11.850000,11.850000,394100
2023-09-19,11.850000,12.010000,11.340000,11.640000,11.640000,569400
2023-09-20,11.800000,11.850000,11.160000,11.240000,11.240000,433300
2023-09-21,11.130000,11.240000,10.740000,11.080000,11.080000,659200
2023-09-22,11.100000,11.420000,10.940000,11.340000,11.340000,712100
2023-09-25,11.330000,11.340000,10.970000,11.080000,11.080000,196200
2023-09-26,11.080000,11.400000,11.060000,11.170000,11.170000,211000
2023-09-27,11.200000,11.350000,10.650000,10.740000,10.740000,342900
2023-09-28,10.750000,10.750000,10.110000,10.440000,10.440000,685800
2023-09-29,10.530000,10.530000,10.020000,10.300000,10.300000,596700
2023-10-02,10.190000,10.290000,9.720000,9.930000,9.930000,721400
2023-10-03,9.900000,10.680000,9.780000,10.390000,10.390000,717300
2023-10-04,10.740000,10.840000,10.360000,10.400000,10.400000,389000
2023-10-05,10.370000,11.230000,10.370000,11.220000,11.220000,576300
2023-10-06,11.330000,11.340000,10.920000,11.120000,11.120000,439700
2023-10-09,11.050000,11.310000,11.020000,11.240000,11.240000,191100
2023-10-10,11.150000,11.350000,10.950000,10.960000,10.960000,240800
2023-10-11,10.990000,11.330000,10.330000,10.430000,10.430000,283500
2023-10-12,10.610000,10.680000,9.930000,10.120000,10.120000,486800
2023-10-13,10.120000,10.560000,9.780000,10.520000,10.520000,667200
2023-10-16,10.920000,11.400000,10.510000,11.400000,11.400000,855900
2023-10-17,11.340000,12.130000,10.940000,11.510000,11.510000,1344400
