Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,8.990000,9.080000,8.600000,8.940000,8.940000,653800
2022-12-28,8.890000,9.165000,8.850000,9.120000,9.120000,812800
2022-12-29,9.240000,9.690000,9.160000,9.670000,9.670000,890700
2022-12-30,9.520000,9.970000,9.490000,9.940000,9.940000,1208000
2023-01-03,10.130000,10.280000,9.085000,9.240000,9.240000,1575100
2023-01-04,9.350000,9.570000,9.150000,9.460000,9.460000,2028700
2023-01-05,9.470000,9.470000,9.160000,9.210000,9.210000,941000
2023-01-06,9.290000,9.390000,8.990000,9.290000,9.290000,917800
2023-01-09,9.390000,9.910000,9.390000,9.830000,9.830000,1857200
2023-01-10,9.780000,9.960000,9.510000,9.830000,9.830000,959500
2023-01-11,9.860000,10.350000,9.800000,10.270000,10.270000,1126200
2023-01-12,10.290000,10.560000,10.010000,10.530000,10.530000,1025000
2023-01-13,10.380000,10.585000,10.160000,10.570000,10.570000,831200
2023-01-17,10.540000,10.580000,10.320000,10.480000,10.480000,740400
2023-01-18,10.730000,10.970000,10.460000,10.520000,10.520000,2167100
2023-01-19,10.540000,10.710000,10.460000,10.580000,10.580000,576700
2023-01-20,10.760000,10.790000,10.520000,10.680000,10.680000,1588600
2023-01-23,10.660000,11.150000,10.605000,10.970000,10.970000,1388700
2023-01-24,10.910000,11.130000,10.850000,10.990000,10.990000,718900
2023-01-25,10.780000,10.985000,10.620000,10.890000,10.890000,1009800
2023-01-26,11.030000,11.320000,10.920000,11.170000,11.170000,1789200
2023-01-27,11.050000,11.560000,11.030000,11.400000,11.400000,808900
2023-01-30,11.180000,11.260000,10.850000,10.860000,10.860000,1290100
2023-01-31,10.890000,11.140000,10.890000,11.120000,11.120000,1332100
2023-02-01,11.150000,11.430000,10.860000,11.220000,11.220000,1241500
2023-02-02,11.450000,11.860000,11.380000,11.600000,11.600000,1267100
2023-02-03,11.150000,11.435000,10.910000,11.040000,11.040000,2060800
2023-02-06,10.900000,11.300000,10.830000,10.870000,10.870000,869800
2023-02-07,10.860000,11.220000,10.755000,11.190000,11.190000,1593000
2023-02-08,11.110000,11.235000,10.875000,10.880000,10.880000,693500
2023-02-09,11.040000,11.070000,10.720000,10.800000,10.800000,1094300
2023-02-10,10.690000,10.830000,10.640000,10.730000,10.730000,977300
2023-02-13,10.720000,10.780000,10.562000,10.650000,10.650000,1123000
2023-02-14,10.620000,10.805000,10.460000,10.580000,10.580000,1619900
2023-02-15,10.550000,10.880000,10.430000,10.790000,10.790000,2346900
2023-02-16,10.540000,10.540000,10.205000,10.270000,10.270000,899700
2023-02-17,10.270000,10.270000,10.000000,10.140000,10.140000,1438400
2023-02-21,9.980000,10.105000,9.935000,10.050000,10.050000,1306600
2023-02-22,10.040000,10.240000,10.015000,10.150000,10.150000,1531500
2023-02-23,10.210000,10.320000,10.080000,10.160000,10.160000,1429600
2023-02-24,9.960000,10.065000,9.900000,10.020000,10.020000,906900
2023-02-27,10.070000,10.200000,9.770000,9.780000,9.780000,1686700
2023-02-28,9.790000,10.035000,9.730000,9.950000,9.950000,3306200
2023-03-01,9.700000,9.715000,8.950000,8.990000,8.990000,3953800
2023-03-02,8.850000,9.130000,8.720000,8.820000,8.820000,2342800
2023-03-03,8.960000,10.030000,8.860000,9.970000,9.970000,5716000
2023-03-06,9.970000,9.990000,9.490000,9.570000,9.570000,2205700
2023-03-07,9.580000,9.630000,9.020000,9.110000,9.110000,1834200
2023-03-08,9.120000,9.120000,8.890000,9.000000,9.000000,3143400
2023-03-09,8.980000,8.990000,8.610000,8.650000,8.650000,1516000
2023-03-10,8.630000,8.630000,8.180000,8.240000,8.240000,2477500
2023-03-13,8.040000,8.080000,7.525000,7.720000,7.720000,5375400
2023-03-14,8.070000,8.150000,7.580000,7.760000,7.760000,1624900
2023-03-15,7.570000,7.870000,7.570000,7.670000,7.670000,2028000
2023-03-16,7.580000,7.780000,7.255000,7.720000,7.720000,3908800
2023-03-17,7.650000,7.715000,7.460000,7.540000,7.540000,2248100
2023-03-20,7.540000,7.625000,7.260000,7.390000,7.390000,5006400
2023-03-21,7.530000,7.975000,7.530000,7.830000,7.830000,2973100
2023-03-22,7.830000,8.040000,7.710000,7.780000,7.780000,2417600
2023-03-23,7.840000,7.927000,7.560000,7.700000,7.700000,1403200
2023-03-24,7.630000,7.725000,7.560000,7.590000,7.590000,1303200
2023-03-27,7.700000,7.910000,7.700000,7.800000,7.800000,1414600
2023-03-28,7.750000,7.820000,7.600000,7.660000,7.660000,856600
2023-03-29,7.740000,7.778000,7.605000,7.710000,7.710000,760800
2023-03-30,7.820000,7.940000,7.590000,7.630000,7.630000,834400
2023-03-31,7.670000,7.900000,7.630000,7.800000,7.800000,1395000
2023-04-03,7.770000,7.820000,7.515000,7.790000,7.790000,1822600
2023-04-04,7.730000,7.835000,7.690000,7.770000,7.770000,1115600
2023-04-05,7.700000,7.730000,7.390000,7.580000,7.580000,1351300
2023-04-06,7.530000,7.620000,7.440000,7.610000,7.610000,1106100
2023-04-10,7.530000,7.750000,7.490000,7.730000,7.730000,1531100
2023-04-11,7.800000,7.830000,7.620000,7.690000,7.690000,1260700
2023-04-12,7.810000,7.910000,7.380000,7.400000,7.400000,1953400
2023-04-13,7.480000,7.620000,7.370000,7.520000,7.520000,1065100
2023-04-14,7.520000,7.595000,7.390000,7.510000,7.510000,1106700
2023-04-17,7.470000,7.600000,7.360000,7.450000,7.450000,1664700
2023-04-18,7.420000,7.840000,7.420000,7.690000,7.690000,3032100
2023-04-19,7.710000,7.925000,7.600000,7.840000,7.840000,1637100
2023-04-20,7.750000,7.771000,7.530000,7.560000,7.560000,1135800
2023-04-21,7.550000,7.685000,7.450000,7.650000,7.650000,1159500
2023-04-24,7.640000,7.710000,7.410000,7.510000,7.510000,1293300
2023-04-25,7.400000,7.445000,7.180000,7.190000,7.190000,1619600
2023-04-26,7.190000,7.385000,7.160000,7.350000,7.350000,2691000
2023-04-27,7.450000,7.510000,7.200000,7.350000,7.350000,1287600
2023-04-28,7.300000,7.470000,7.250000,7.430000,7.430000,1541100
2023-05-01,7.410000,7.455000,7.115000,7.180000,7.180000,1216800
2023-05-02,7.140000,7.290000,7.020000,7.100000,7.100000,3030900
2023-05-03,7.280000,8.035000,7.280000,7.740000,7.740000,2846000
2023-05-04,7.790000,8.540000,7.790000,8.250000,8.250000,2539300
2023-05-05,8.190000,8.290000,7.895000,8.040000,8.040000,2959500
2023-05-08,8.040000,8.330000,7.990000,8.120000,8.120000,2480900
2023-05-09,8.000000,8.215000,7.920000,8.070000,8.070000,1125900
2023-05-10,8.230000,8.430000,8.080000,8.390000,8.390000,2523000
2023-05-11,8.400000,8.610000,8.330000,8.560000,8.560000,1574700
2023-05-12,8.590000,8.688000,8.430000,8.540000,8.540000,1205300
2023-05-15,8.570000,8.900000,8.470000,8.880000,8.880000,1853700
2023-05-16,8.800000,8.895000,8.685000,8.760000,8.760000,1127200
2023-05-17,8.780000,9.150000,8.760000,9.050000,9.050000,2060000
2023-05-18,9.030000,9.490000,8.890000,9.410000,9.410000,4537300
2023-05-19,9.470000,9.550000,9.205000,9.220000,9.220000,2105100
2023-05-22,9.230000,9.450000,9.080000,9.370000,9.370000,1328600
2023-05-23,9.330000,9.520000,9.205000,9.220000,9.220000,2013100
2023-05-24,9.140000,9.320000,8.950000,9.300000,9.300000,1675300
2023-05-25,9.350000,9.390000,9.130000,9.240000,9.240000,1165200
2023-05-26,9.240000,9.520000,9.180000,9.220000,9.220000,1355700
2023-05-30,9.320000,9.600000,9.270000,9.360000,9.360000,2161300
2023-05-31,9.330000,9.760000,9.120000,9.690000,9.690000,5910800
2023-06-01,9.750000,10.880000,9.720000,10.600000,10.600000,6974400
2023-06-02,10.970000,11.200000,10.550000,10.740000,10.740000,4367400
2023-06-05,10.840000,10.890000,10.605000,10.740000,10.740000,2415500
2023-06-06,10.700000,10.870000,10.640000,10.830000,10.830000,2607300
2023-06-07,10.930000,11.000000,10.575000,10.710000,10.710000,2109000
2023-06-08,10.700000,10.870000,10.620000,10.830000,10.830000,1666000
2023-06-09,10.890000,11.170000,10.850000,10.990000,10.990000,1550400
2023-06-12,11.130000,11.360000,11.130000,11.270000,11.270000,1967700
2023-06-13,11.350000,11.430000,11.080000,11.140000,11.140000,1732700
2023-06-14,11.150000,11.160000,10.820000,10.910000,10.910000,1680900
2023-06-15,10.840000,11.005000,10.750000,10.860000,10.860000,2024500
2023-06-16,10.960000,10.960000,10.665000,10.720000,10.720000,2019000
2023-06-20,10.670000,10.925000,10.625000,10.830000,10.830000,2939100
2023-06-21,10.730000,10.740000,10.170000,10.200000,10.200000,2211100
2023-06-22,10.080000,10.210000,9.935000,10.140000,10.140000,1655800
2023-06-23,10.010000,10.225000,9.980000,10.160000,10.160000,2638800
2023-06-26,10.050000,10.270000,10.030000,10.070000,10.070000,1346800
2023-06-27,10.090000,10.400000,10.075000,10.330000,10.330000,3191000
2023-06-28,10.320000,10.715000,10.310000,10.540000,10.540000,1572800
2023-06-29,10.570000,10.680000,10.365000,10.410000,10.410000,735200
2023-06-30,10.570000,10.580000,10.335000,10.380000,10.380000,1092800
2023-07-03,10.400000,10.450000,10.200000,10.210000,10.210000,459500
2023-07-05,10.150000,10.560000,10.105000,10.330000,10.330000,1259300
2023-07-06,10.180000,10.590000,10.032000,10.440000,10.440000,1524700
2023-07-07,10.490000,10.670000,10.320000,10.660000,10.660000,1480400
2023-07-10,10.610000,10.885000,10.465000,10.850000,10.850000,1756500
2023-07-11,10.910000,10.965000,10.630000,10.660000,10.660000,1631800
2023-07-12,10.850000,10.850000,10.600000,10.810000,10.810000,1314700
2023-07-13,10.870000,11.090000,10.585000,10.990000,10.990000,2455700
2023-07-14,11.020000,11.310000,10.965000,11.110000,11.110000,4478000
2023-07-17,11.090000,11.700000,11.020000,11.640000,11.640000,4440600
2023-07-18,11.840000,12.340000,11.835000,12.000000,12.000000,5256000
2023-07-19,12.060000,12.285000,11.790000,12.010000,12.010000,3699500
2023-07-20,11.970000,12.225000,11.930000,12.030000,12.030000,2403300
2023-07-21,12.100000,12.120000,11.800000,11.950000,11.950000,2459800
2023-07-24,11.924000,12.040000,11.730000,11.830000,11.830000,2190900
2023-07-25,11.830000,12.200000,11.830000,12.100000,12.100000,1768800
2023-07-26,12.030000,12.240000,11.965000,12.170000,12.170000,1521900
2023-07-27,12.350000,12.350000,11.980000,12.050000,12.050000,2882800
2023-07-28,12.160000,12.310000,12.060000,12.260000,12.260000,1770000
2023-07-31,12.350000,12.490000,12.280000,12.410000,12.410000,2887900
2023-08-01,12.420000,12.520000,12.330000,12.450000,12.450000,3735900
2023-08-02,12.550000,12.750000,11.050000,11.100000,11.100000,6827000
2023-08-03,11.400000,11.430000,10.640000,10.740000,10.740000,4150500
2023-08-04,10.760000,10.820000,10.445000,10.500000,10.500000,2756800
2023-08-07,10.420000,10.570000,10.240000,10.440000,10.440000,2861600
2023-08-08,10.310000,10.990000,10.250000,10.790000,10.790000,3333000
2023-08-09,10.750000,10.850000,10.450000,10.460000,10.460000,2761800
2023-08-10,10.570000,10.610000,10.250000,10.290000,10.290000,1392600
2023-08-11,10.210000,10.410000,10.170000,10.290000,10.290000,1287100
2023-08-14,10.230000,10.288000,10.085000,10.230000,10.230000,1034400
2023-08-15,10.220000,10.270000,10.020000,10.030000,10.030000,1445800
2023-08-16,10.030000,10.210000,9.950000,10.150000,10.150000,1160600
2023-08-17,10.150000,10.210000,9.940000,10.010000,10.010000,1979200
2023-08-18,9.840000,10.090000,9.590000,9.850000,9.850000,2634800
2023-08-21,9.860000,10.060000,9.720000,9.790000,9.790000,1814500
2023-08-22,9.910000,10.030000,9.695000,9.820000,9.820000,913700
2023-08-23,9.800000,10.030000,9.740000,10.010000,10.010000,938800
2023-08-24,10.040000,10.155000,9.825000,10.080000,10.080000,2360800
2023-08-25,10.080000,10.640000,10.070000,10.190000,10.190000,3295900
2023-08-28,10.250000,10.340000,9.885000,9.910000,9.910000,1365000
2023-08-29,9.910000,10.250000,9.860000,10.140000,10.140000,1058600
2023-08-30,10.140000,10.275000,10.040000,10.240000,10.240000,1072300
2023-08-31,10.230000,10.300000,10.135000,10.280000,10.280000,1482500
2023-09-01,10.370000,10.480000,10.270000,10.330000,10.330000,1214100
2023-09-05,10.290000,10.835000,10.270000,10.610000,10.610000,1332300
2023-09-06,10.600000,10.670000,10.230000,10.290000,10.290000,1254100
2023-09-07,10.190000,10.235000,9.980000,10.230000,10.230000,1463100
2023-09-08,10.210000,10.300000,10.000000,10.070000,10.070000,914500
2023-09-11,10.110000,10.190000,9.970000,10.010000,10.010000,1139300
2023-09-12,9.910000,10.115000,9.880000,9.970000,9.970000,1089500
2023-09-13,9.940000,10.110000,9.675000,9.740000,9.740000,1590600
2023-09-14,9.740000,9.890000,9.595000,9.680000,9.680000,1458500
2023-09-15,9.660000,9.850000,9.535000,9.770000,9.770000,3768500
2023-09-18,9.710000,9.810000,9.580000,9.660000,9.660000,1251100
2023-09-19,9.620000,9.690000,9.390000,9.400000,9.400000,1676400
2023-09-20,9.450000,9.635000,9.250000,9.280000,9.280000,1689000
2023-09-21,9.140000,9.220000,8.915000,9.160000,9.160000,1996300
2023-09-22,9.190000,9.580000,9.050000,9.120000,9.120000,1662100
2023-09-25,9.060000,9.250000,8.960000,9.150000,9.150000,771700
2023-09-26,9.120000,9.335000,8.935000,8.960000,8.960000,1084400
2023-09-27,9.020000,9.280000,9.000000,9.220000,9.220000,2038700
2023-09-28,9.220000,9.560000,9.100000,9.430000,9.430000,1878600
2023-09-29,9.520000,9.750000,9.425000,9.480000,9.480000,2205600
2023-10-02,9.430000,9.580000,9.260000,9.330000,9.330000,2494900
2023-10-03,9.260000,9.310000,8.730000,8.820000,8.820000,2186900
2023-10-04,8.900000,9.000000,8.815000,8.910000,8.910000,1536700
2023-10-05,8.870000,8.910000,8.735000,8.900000,8.900000,843400
2023-10-06,8.810000,9.240000,8.780000,9.140000,9.140000,1171300
2023-10-09,9.050000,9.165000,8.950000,9.100000,9.100000,664900
2023-10-10,9.110000,9.520000,9.110000,9.300000,9.300000,1210700
2023-10-11,9.330000,9.385000,9.120000,9.210000,9.210000,933300
2023-10-12,9.180000,9.280000,8.935000,9.090000,9.090000,1028800
2023-10-13,9.100000,9.105000,8.870000,9.000000,9.000000,1841100
2023-10-16,9.090000,9.420000,9.020000,9.310000,9.310000,1901000
2023-10-17,9.210000,9.440000,9.020000,9.360000,9.360000,2074700
2023-10-18,9.240000,9.290000,8.920000,8.950000,8.950000,2303200
2023-10-19,8.980000,9.240000,8.930000,9.040000,9.040000,1436900
2023-10-20,9.030000,9.145000,8.745000,8.930000,8.930000,1237400
2023-10-23,8.850000,9.145000,8.810000,8.970000,8.970000,1318300
2023-10-24,9.080000,9.325000,9.020000,9.150000,9.150000,911400
2023-10-25,9.040000,9.040000,8.325000,8.530000,8.530000,2637800
2023-10-26,8.540000,9.100000,8.375000,8.480000,8.480000,1606400
2023-10-27,8.550000,8.945000,8.500000,8.600000,8.600000,1417400
2023-10-30,8.700000,8.700000,8.370000,8.530000,8.530000,1506800
2023-10-31,8.500000,8.700000,8.300000,8.640000,8.640000,1676700
2023-11-01,8.640000,8.770000,8.420000,8.580000,8.580000,1346600
2023-11-02,8.780000,8.830000,8.480000,8.750000,8.750000,1691300
2023-11-03,8.280000,8.410000,6.880000,7.600000,7.600000,7788600
2023-11-06,7.620000,8.010000,7.620000,7.795000,7.795000,2906600
2023-11-07,7.790000,8.080000,7.710000,8.030000,8.030000,3325800
2023-11-08,9.460000,9.700000,8.990000,9.250000,9.250000,3298500
2023-11-09,9.140000,9.940000,9.100000,9.470000,9.470000,3350200
2023-11-10,9.520000,9.640000,9.200000,9.330000,9.330000,2445000
2023-11-13,9.240000,9.425000,9.145000,9.310000,9.310000,1176300
2023-11-14,9.600000,9.860000,9.460000,9.750000,9.750000,2527600
2023-11-15,9.800000,9.985000,9.640000,9.770000,9.770000,2556300
2023-11-16,9.760000,9.855000,9.645000,9.790000,9.790000,1662400
2023-11-17,9.830000,9.830000,9.630000,9.680000,9.680000,1636100
2023-11-20,9.650000,9.929000,9.630000,9.880000,9.880000,2044300
2023-11-21,9.800000,9.930000,9.735000,9.800000,9.800000,3705700
2023-11-22,9.870000,9.950000,9.800000,9.870000,9.870000,2044800
2023-11-24,9.840000,10.110000,9.840000,10.060000,10.060000,1786500
2023-11-27,10.060000,10.270000,9.920000,10.210000,10.210000,2338000
2023-11-28,10.210000,10.345000,10.025000,10.260000,10.260000,1767000
2023-11-29,10.420000,10.690000,10.410000,10.570000,10.570000,2337000
2023-11-30,10.570000,10.690000,10.400000,10.670000,10.670000,4812600
2023-12-01,10.710000,11.040000,10.560000,11.010000,11.010000,1954900
2023-12-04,10.970000,11.060000,10.865000,11.040000,11.040000,1309700
2023-12-05,11.000000,11.000000,10.675000,10.730000,10.730000,2422500
2023-12-06,11.100000,11.290000,10.935000,10.960000,10.960000,3718900
2023-12-07,11.020000,11.090000,10.851000,11.000000,11.000000,1157800
2023-12-08,10.910000,11.240000,10.880000,11.200000,11.200000,1913200
2023-12-11,11.220000,11.350000,11.070000,11.170000,11.170000,2224600
2023-12-12,11.220000,11.220000,10.980000,11.090000,11.090000,1467900
2023-12-13,11.140000,11.610000,11.020000,11.500000,11.500000,2421500
2023-12-14,11.750000,11.900000,11.530000,11.770000,11.770000,2497600
2023-12-15,11.880000,11.880000,11.640000,11.760000,11.760000,2187100
2023-12-18,11.790000,11.995000,11.670000,11.930000,11.930000,2078100
2023-12-19,12.000000,12.390000,12.000000,12.300000,12.300000,3407100
2023-12-20,12.350000,12.625000,11.970000,11.990000,11.990000,2845900
2023-12-21,12.090000,12.205000,11.950000,12.180000,12.180000,1507300
2023-12-22,12.230000,12.405000,12.190000,12.320000,12.320000,731100
