Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,4.610000,4.640000,4.365000,4.370000,4.370000,463300
2022-12-28,4.350000,4.400000,4.175000,4.350000,4.350000,444600
2022-12-29,4.370000,4.710000,4.330000,4.670000,4.670000,596300
2022-12-30,4.590000,4.840000,4.580000,4.810000,4.810000,423700
2023-01-03,4.950000,4.980000,4.750000,4.810000,4.810000,357200
2023-01-04,4.850000,4.910000,4.705000,4.780000,4.780000,196600
2023-01-05,4.710000,4.740000,4.620000,4.690000,4.690000,351500
2023-01-06,4.750000,4.790000,4.630000,4.700000,4.700000,453900
2023-01-09,4.720000,4.860000,4.610000,4.680000,4.680000,463400
2023-01-10,4.700000,4.980000,4.700000,4.970000,4.970000,321100
2023-01-11,4.950000,4.960000,4.750000,4.800000,4.800000,363700
2023-01-12,4.840000,4.915000,4.740000,4.900000,4.900000,278000
2023-01-13,4.900000,5.060000,4.875000,4.930000,4.930000,349100
2023-01-17,4.940000,4.995000,4.795000,4.920000,4.920000,307600
2023-01-18,4.960000,5.030000,4.700000,4.710000,4.710000,253900
2023-01-19,4.760000,4.850000,4.660000,4.830000,4.830000,284400
2023-01-20,4.890000,4.900000,4.790000,4.900000,4.900000,321200
2023-01-23,4.910000,4.910000,4.680000,4.750000,4.750000,468000
2023-01-24,4.640000,4.660000,4.545000,4.550000,4.550000,621800
2023-01-25,4.550000,4.600000,4.430000,4.500000,4.500000,329300
2023-01-26,4.530000,4.685000,4.455000,4.570000,4.570000,280500
2023-01-27,4.550000,4.640000,4.530000,4.600000,4.600000,292600
2023-01-30,4.550000,4.650000,4.525000,4.610000,4.610000,268400
2023-01-31,4.650000,4.710000,4.565000,4.630000,4.630000,455900
2023-02-01,4.600000,4.710000,4.490000,4.620000,4.620000,640000
2023-02-02,4.640000,4.770000,4.620000,4.740000,4.740000,338200
2023-02-03,4.680000,4.790000,4.495000,4.510000,4.510000,884000
2023-02-06,4.490000,4.645000,4.490000,4.550000,4.550000,419300
2023-02-07,4.570000,4.570000,4.360000,4.530000,4.530000,375400
2023-02-08,4.530000,4.545000,4.380000,4.380000,4.380000,328000
2023-02-09,4.400000,4.417000,4.180000,4.180000,4.180000,430000
2023-02-10,4.190000,4.245000,4.110000,4.210000,4.210000,370800
2023-02-13,4.190000,4.220000,4.120000,4.210000,4.210000,350000
2023-02-14,4.210000,4.220000,4.050000,4.070000,4.070000,338800
2023-02-15,4.090000,4.110000,4.020000,4.090000,4.090000,240200
2023-02-16,4.090000,4.190000,4.050000,4.110000,4.110000,325300
2023-02-17,4.110000,4.260000,4.040000,4.250000,4.250000,381900
2023-02-21,4.192000,4.240000,4.020000,4.020000,4.020000,382800
2023-02-22,4.020000,4.070000,3.960000,3.990000,3.990000,335200
2023-02-23,3.980000,4.020000,3.845000,3.870000,3.870000,413500
2023-02-24,3.830000,3.870000,3.650000,3.670000,3.670000,425300
2023-02-27,3.690000,3.690000,3.540000,3.560000,3.560000,385300
2023-02-28,3.560000,3.605000,3.465000,3.540000,3.540000,591900
2023-03-01,3.350000,3.500000,3.220000,3.250000,3.250000,591300
2023-03-02,3.280000,3.440000,3.240000,3.430000,3.430000,505000
2023-03-03,3.440000,3.595000,3.420000,3.530000,3.530000,447700
2023-03-06,3.530000,3.530000,3.270000,3.340000,3.340000,602800
2023-03-07,3.310000,3.365000,3.210000,3.350000,3.350000,510300
2023-03-08,3.360000,3.460000,3.300000,3.420000,3.420000,355900
2023-03-09,3.430000,3.485000,3.390000,3.410000,3.410000,413200
2023-03-10,3.410000,3.465000,3.295000,3.340000,3.340000,503600
2023-03-13,3.240000,3.395000,3.150000,3.370000,3.370000,955000
2023-03-14,3.460000,3.760000,3.350000,3.630000,3.630000,1045000
2023-03-15,3.490000,3.755000,3.470000,3.650000,3.650000,1414200
2023-03-16,3.650000,3.730000,3.367000,3.680000,3.680000,1021800
2023-03-17,3.680000,3.845000,3.650000,3.770000,3.770000,1368400
2023-03-20,3.770000,3.770000,3.360000,3.500000,3.500000,892700
2023-03-21,3.520000,3.540000,3.365000,3.420000,3.420000,1539900
2023-03-22,3.440000,3.490000,3.290000,3.300000,3.300000,756300
2023-03-23,3.310000,3.380000,3.020000,3.050000,3.050000,769900
2023-03-24,2.990000,3.075000,2.940000,3.000000,3.000000,857700
2023-03-27,2.980000,3.180000,2.980000,3.160000,3.160000,785000
2023-03-28,3.140000,3.180000,3.060000,3.120000,3.120000,574200
2023-03-29,3.140000,3.280000,3.128000,3.250000,3.250000,593000
2023-03-30,3.270000,3.305000,3.200000,3.270000,3.270000,470500
2023-03-31,3.280000,3.380000,3.270000,3.350000,3.350000,795000
2023-04-03,3.320000,3.435000,3.310000,3.430000,3.430000,327800
2023-04-04,3.430000,3.430000,3.275000,3.360000,3.360000,433900
2023-04-05,3.350000,3.390000,3.295000,3.310000,3.310000,387500
2023-04-06,3.340000,3.430000,3.300000,3.410000,3.410000,332400
2023-04-10,3.380000,3.538000,3.275000,3.490000,3.490000,468100
2023-04-11,3.510000,3.560000,3.425000,3.450000,3.450000,352000
2023-04-12,3.360000,3.440000,3.270000,3.280000,3.280000,253100
2023-04-13,3.290000,3.400000,3.290000,3.370000,3.370000,271700
2023-04-14,3.380000,3.380000,3.250000,3.280000,3.280000,471400
2023-04-17,3.310000,3.455000,3.230000,3.370000,3.370000,416200
2023-04-18,3.370000,3.370000,3.200000,3.250000,3.250000,509700
2023-04-19,3.230000,3.335000,3.220000,3.320000,3.320000,372000
2023-04-20,3.290000,3.310000,3.230000,3.260000,3.260000,495300
2023-04-21,3.250000,3.330000,3.250000,3.280000,3.280000,697200
2023-04-24,3.280000,3.320000,3.183000,3.210000,3.210000,437300
2023-04-25,3.230000,3.319000,3.220000,3.290000,3.290000,533800
2023-04-26,3.300000,3.330000,3.250000,3.310000,3.310000,308500
2023-04-27,3.310000,3.330000,3.250000,3.310000,3.310000,371700
2023-04-28,3.290000,3.316000,3.255000,3.270000,3.270000,462200
2023-05-01,3.290000,3.340000,3.210000,3.260000,3.260000,644400
2023-05-02,3.250000,3.300000,3.200000,3.250000,3.250000,478700
2023-05-03,3.270000,3.310000,3.210000,3.240000,3.240000,785500
2023-05-04,3.230000,3.380000,3.220000,3.330000,3.330000,651500
2023-05-05,3.350000,3.425000,3.320000,3.350000,3.350000,590300
2023-05-08,3.350000,3.465000,3.290000,3.400000,3.400000,567800
2023-05-09,3.300000,3.345000,3.200000,3.310000,3.310000,691400
2023-05-10,3.350000,3.370000,3.235000,3.320000,3.320000,816600
2023-05-11,3.320000,3.351000,3.275000,3.310000,3.310000,592200
2023-05-12,3.310000,3.310000,3.190000,3.250000,3.250000,733500
2023-05-15,3.240000,3.475000,3.240000,3.450000,3.450000,1111000
2023-05-16,3.410000,3.490000,3.360000,3.460000,3.460000,472100
2023-05-17,3.470000,3.780000,3.420000,3.780000,3.780000,563000
2023-05-18,3.750000,3.780000,3.540000,3.590000,3.590000,362500
2023-05-19,3.640000,3.730000,3.580000,3.700000,3.700000,328400
2023-05-22,4.690000,5.190000,4.570000,5.060000,5.060000,6698000
2023-05-23,5.040000,5.160000,4.845000,4.930000,4.930000,2592400
2023-05-24,4.980000,4.980000,4.770000,4.810000,4.810000,1257500
2023-05-25,4.820000,4.820000,4.450000,4.630000,4.630000,1881500
2023-05-26,4.605000,4.715000,4.530000,4.680000,4.680000,873400
2023-05-30,4.690000,4.694000,4.060000,4.120000,4.120000,1103700
2023-05-31,4.090000,4.197000,3.990000,3.990000,3.990000,2246700
2023-06-01,4.000000,4.160000,3.970000,4.080000,4.080000,651800
2023-06-02,4.150000,4.520000,4.100000,4.500000,4.500000,1290200
2023-06-05,4.460000,4.590000,4.240000,4.280000,4.280000,643300
2023-06-06,4.300000,4.440000,4.250000,4.390000,4.390000,415200
2023-06-07,4.370000,4.555000,4.370000,4.550000,4.550000,598200
2023-06-08,4.550000,4.550000,4.270000,4.270000,4.270000,355900
2023-06-09,4.260000,4.260000,4.100000,4.110000,4.110000,428800
2023-06-12,4.100000,4.250000,4.100000,4.140000,4.140000,426800
2023-06-13,4.140000,4.285000,4.120000,4.190000,4.190000,426900
2023-06-14,4.200000,4.240000,4.085000,4.090000,4.090000,355500
2023-06-15,4.080000,4.200000,4.004000,4.150000,4.150000,427700
2023-06-16,4.190000,4.205000,4.070000,4.120000,4.120000,689600
2023-06-20,4.120000,4.120000,4.030000,4.040000,4.040000,321700
2023-06-21,4.000000,4.060000,3.865000,4.000000,4.000000,408600
2023-06-22,4.000000,4.000000,3.890000,3.910000,3.910000,516000
2023-06-23,3.870000,3.990000,3.780000,3.960000,3.960000,1532800
2023-06-26,3.930000,3.945000,3.790000,3.790000,3.790000,354900
2023-06-27,3.810000,3.838000,3.710000,3.810000,3.810000,571100
2023-06-28,3.760000,3.800000,3.700000,3.770000,3.770000,932600
2023-06-29,3.750000,3.785000,3.715000,3.750000,3.750000,502700
2023-06-30,3.770000,3.815000,3.725000,3.740000,3.740000,404000
2023-07-03,3.720000,3.791000,3.610000,3.640000,3.640000,342200
2023-07-05,3.680000,3.785000,3.610000,3.720000,3.720000,515100
2023-07-06,3.690000,3.700000,3.585000,3.610000,3.610000,395800
2023-07-07,3.620000,3.680000,3.580000,3.640000,3.640000,325500
2023-07-10,3.650000,3.775000,3.640000,3.690000,3.690000,340200
2023-07-11,3.700000,3.770000,3.675000,3.690000,3.690000,265600
2023-07-12,3.720000,3.760000,3.655000,3.740000,3.740000,190700
2023-07-13,3.750000,3.830000,3.720000,3.750000,3.750000,368700
2023-07-14,3.750000,3.755000,3.600000,3.640000,3.640000,306600
2023-07-17,3.610000,3.840000,3.610000,3.790000,3.790000,279000
2023-07-18,3.800000,3.880000,3.685000,3.700000,3.700000,231500
2023-07-19,3.700000,3.785000,3.660000,3.670000,3.670000,241700
2023-07-20,3.690000,3.750000,3.660000,3.680000,3.680000,207700
2023-07-21,3.710000,3.710000,3.610000,3.660000,3.660000,307600
2023-07-24,3.650000,3.695000,3.540000,3.550000,3.550000,348700
2023-07-25,3.540000,3.550000,3.440000,3.440000,3.440000,308300
2023-07-26,3.450000,3.465000,3.380000,3.430000,3.430000,244100
2023-07-27,3.440000,3.450000,3.320000,3.330000,3.330000,401700
2023-07-28,3.360000,3.480000,3.330000,3.400000,3.400000,327800
2023-07-31,3.390000,3.470000,3.380000,3.430000,3.430000,184800
2023-08-01,3.450000,3.450000,3.315000,3.410000,3.410000,240200
2023-08-02,3.340000,3.410000,3.315000,3.400000,3.400000,268300
2023-08-03,3.400000,3.560000,3.400000,3.460000,3.460000,229700
2023-08-04,3.510000,3.590000,3.420000,3.470000,3.470000,173800
2023-08-07,3.450000,3.480000,3.320000,3.400000,3.400000,225900
2023-08-08,3.380000,3.460000,3.350000,3.410000,3.410000,236000
2023-08-09,3.500000,3.640000,3.455000,3.540000,3.540000,358500
2023-08-10,3.430000,3.430000,3.320000,3.390000,3.390000,502700
2023-08-11,3.400000,3.520000,3.380000,3.410000,3.410000,202200
2023-08-14,3.310000,3.410000,3.260000,3.380000,3.380000,293900
