Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,4.250000,4.250000,4.100000,4.150000,4.150000,469600
2022-12-28,4.110000,4.150000,3.995000,4.010000,4.010000,539500
2022-12-29,4.050000,4.180000,4.010000,4.170000,4.170000,384200
2022-12-30,4.130000,4.195000,4.085000,4.110000,4.110000,280300
2023-01-03,4.160000,4.380000,4.080000,4.220000,4.220000,380300
2023-01-04,4.220000,4.320000,4.180000,4.260000,4.260000,274900
2023-01-05,4.220000,4.220000,4.030000,4.050000,4.050000,292600
2023-01-06,4.110000,4.130000,3.990000,4.120000,4.120000,257700
2023-01-09,4.140000,4.320000,4.140000,4.220000,4.220000,244200
2023-01-10,4.220000,4.285000,4.190000,4.280000,4.280000,203800
2023-01-11,4.300000,4.345000,4.230000,4.330000,4.330000,273800
2023-01-12,4.380000,4.390000,4.240000,4.310000,4.310000,245200
2023-01-13,4.280000,4.350000,4.280000,4.350000,4.350000,152600
2023-01-17,4.340000,4.440000,4.295000,4.420000,4.420000,223500
2023-01-18,4.490000,4.550000,4.300000,4.300000,4.300000,300900
2023-01-19,4.290000,4.335000,4.265000,4.310000,4.310000,254600
2023-01-20,4.370000,4.370000,4.210000,4.290000,4.290000,327800
2023-01-23,4.300000,4.425000,4.250000,4.420000,4.420000,421600
2023-01-24,4.360000,4.481000,4.305000,4.390000,4.390000,244100
2023-01-25,4.320000,4.415000,4.240000,4.400000,4.400000,205900
2023-01-26,4.460000,4.580000,4.375000,4.490000,4.490000,298900
2023-01-27,4.460000,4.540000,4.400000,4.520000,4.520000,349300
2023-01-30,4.460000,4.520000,4.390000,4.390000,4.390000,373700
2023-01-31,4.400000,4.560000,4.400000,4.470000,4.470000,872500
2023-02-01,4.480000,4.810000,4.420000,4.790000,4.790000,612900
2023-02-02,4.830000,5.010000,4.800000,5.010000,5.010000,577200
2023-02-03,4.900000,5.115000,4.895000,4.980000,4.980000,378900
2023-02-06,4.860000,4.965000,4.815000,4.870000,4.870000,320500
2023-02-07,4.780000,5.000000,4.780000,4.990000,4.990000,398400
2023-02-08,4.980000,5.070000,4.850000,4.920000,4.920000,298100
2023-02-09,5.000000,5.030000,4.850000,4.890000,4.890000,228400
2023-02-10,4.830000,4.880000,4.725000,4.870000,4.870000,330600
2023-02-13,4.870000,5.010000,4.790000,4.900000,4.900000,335000
2023-02-14,4.820000,4.910000,4.720000,4.870000,4.870000,425800
2023-02-15,4.820000,4.890000,4.780000,4.860000,4.860000,491600
2023-02-16,4.760000,4.839000,4.690000,4.780000,4.780000,232300
2023-02-17,4.780000,4.900000,4.740000,4.890000,4.890000,260000
2023-02-21,4.790000,4.880000,4.703000,4.750000,4.750000,349600
2023-02-22,4.750000,4.820000,4.701000,4.710000,4.710000,260600
2023-02-23,4.770000,4.770000,4.675000,4.760000,4.760000,282100
2023-02-24,4.710000,4.850000,4.670000,4.830000,4.830000,437900
2023-02-27,4.870000,4.920000,4.780000,4.920000,4.920000,277100
2023-02-28,4.890000,5.000000,4.840000,5.000000,5.000000,378300
2023-03-01,4.970000,5.020000,4.900000,4.940000,4.940000,472600
2023-03-02,4.900000,5.040000,4.870000,5.030000,5.030000,332200
2023-03-03,5.050000,5.170000,5.025000,5.160000,5.160000,385700
2023-03-06,5.160000,5.160000,5.055000,5.090000,5.090000,327200
2023-03-07,5.090000,5.165000,5.020000,5.080000,5.080000,339000
2023-03-08,5.070000,5.160000,5.040000,5.100000,5.100000,371600
2023-03-09,5.100000,5.150000,4.980000,4.990000,4.990000,406600
2023-03-10,4.540000,4.660000,4.040000,4.260000,4.260000,1589000
2023-03-13,4.190000,4.359000,4.180000,4.220000,4.220000,632100
2023-03-14,4.360000,4.485000,4.165000,4.200000,4.200000,563600
2023-03-15,4.130000,4.300000,4.080000,4.210000,4.210000,694900
2023-03-16,4.130000,4.185000,4.050000,4.100000,4.100000,583000
2023-03-17,4.080000,4.140000,4.020000,4.040000,4.040000,894100
2023-03-20,4.070000,4.070000,4.005000,4.030000,4.030000,424500
2023-03-21,4.100000,4.195000,4.020000,4.150000,4.150000,363500
2023-03-22,4.150000,4.250000,4.070000,4.080000,4.080000,460200
2023-03-23,4.110000,4.160000,3.960000,3.990000,3.990000,709100
2023-03-24,3.960000,4.010000,3.905000,3.930000,3.930000,590500
2023-03-27,3.965000,4.070000,3.925000,4.040000,4.040000,415500
2023-03-28,4.020000,4.120000,3.890000,3.900000,3.900000,324400
2023-03-29,3.950000,4.010000,3.900000,4.000000,4.000000,346400
2023-03-30,4.030000,4.080000,3.950000,3.960000,3.960000,283700
2023-03-31,3.990000,4.140000,3.983000,4.120000,4.120000,465100
2023-04-03,4.090000,4.150000,4.050000,4.140000,4.140000,433200
2023-04-04,4.140000,4.160000,4.020000,4.060000,4.060000,248600
2023-04-05,4.060000,4.080000,3.900000,3.900000,3.900000,435200
2023-04-06,3.920000,4.065000,3.920000,4.010000,4.010000,386900
2023-04-10,3.960000,4.070000,3.960000,4.070000,4.070000,347000
2023-04-11,4.090000,4.095000,3.960000,4.020000,4.020000,228300
2023-04-12,4.040000,4.060000,3.920000,3.950000,3.950000,272300
2023-04-13,3.900000,4.045000,3.900000,4.020000,4.020000,270100
2023-04-14,3.980000,4.165000,3.930000,4.160000,4.160000,508900
2023-04-17,4.160000,4.240000,4.120000,4.240000,4.240000,262800
2023-04-18,4.240000,4.250000,4.110000,4.180000,4.180000,263700
2023-04-19,4.140000,4.230000,4.125000,4.220000,4.220000,183200
2023-04-20,4.190000,4.370000,4.170000,4.340000,4.340000,359900
2023-04-21,4.310000,4.385000,4.290000,4.380000,4.380000,321100
2023-04-24,4.360000,4.410000,4.220000,4.230000,4.230000,221500
2023-04-25,4.160000,4.170000,4.090000,4.100000,4.100000,250100
2023-04-26,4.070000,4.140000,4.010000,4.140000,4.140000,398200
2023-04-27,4.150000,4.400000,4.150000,4.400000,4.400000,528100
2023-04-28,4.360000,4.485000,4.280000,4.340000,4.340000,384600
2023-05-01,4.310000,4.440000,4.260000,4.390000,4.390000,544200
2023-05-02,4.370000,4.420000,4.285000,4.390000,4.390000,465200
2023-05-03,4.390000,4.490000,4.360000,4.400000,4.400000,333200
2023-05-04,4.360000,4.530000,4.360000,4.400000,4.400000,536800
2023-05-05,4.500000,4.560000,4.435000,4.480000,4.480000,354900
2023-05-08,4.430000,4.480000,4.380000,4.430000,4.430000,214400
2023-05-09,4.390000,4.525000,4.380000,4.460000,4.460000,650900
2023-05-10,4.530000,4.725000,4.485000,4.620000,4.620000,778400
2023-05-11,4.750000,5.270000,4.740000,5.160000,5.160000,1690400
2023-05-12,5.120000,5.350000,5.083000,5.320000,5.320000,761000
2023-05-15,5.300000,5.370000,5.210000,5.340000,5.340000,507600
2023-05-16,5.310000,5.360000,5.240000,5.310000,5.310000,338200
2023-05-17,5.320000,5.500000,5.320000,5.480000,5.480000,552400
2023-05-18,5.470000,5.750000,5.451000,5.720000,5.720000,579300
2023-05-19,5.780000,5.790000,5.600000,5.720000,5.720000,605300
2023-05-22,5.720000,6.110000,5.715000,6.090000,6.090000,981200
2023-05-23,6.060000,6.210000,6.030000,6.090000,6.090000,972400
2023-05-24,6.040000,6.220000,5.950000,6.100000,6.100000,587800
2023-05-25,6.130000,6.200000,6.061000,6.100000,6.100000,712800
2023-05-26,6.100000,6.420000,6.080000,6.350000,6.350000,1302700
2023-05-30,6.410000,6.465000,6.290000,6.430000,6.430000,786600
2023-05-31,6.430000,6.620000,6.410000,6.610000,6.610000,3706000
2023-06-01,6.610000,6.610000,6.470000,6.570000,6.570000,773400
2023-06-02,6.570000,6.725000,6.570000,6.710000,6.710000,964100
2023-06-05,6.670000,6.750000,6.600000,6.720000,6.720000,852200
2023-06-06,6.690000,6.930000,6.640000,6.860000,6.860000,690400
2023-06-07,6.860000,6.880000,6.535000,6.690000,6.690000,903300
2023-06-08,6.650000,6.670000,6.480000,6.620000,6.620000,1517500
2023-06-09,6.590000,6.650000,6.460000,6.510000,6.510000,955600
2023-06-12,6.500000,6.665000,6.480000,6.610000,6.610000,893600
2023-06-13,6.350000,6.360000,5.950000,6.040000,6.040000,2979200
2023-06-14,6.040000,6.245000,6.000000,6.110000,6.110000,1659500
2023-06-15,6.080000,6.200000,6.030000,6.190000,6.190000,1462500
2023-06-16,6.230000,6.240000,6.090000,6.180000,6.180000,2460000
2023-06-20,6.170000,6.170000,6.030000,6.030000,6.030000,1531800
2023-06-21,5.930000,6.080000,5.880000,6.010000,6.010000,1092100
2023-06-22,6.050000,6.110000,5.960000,6.100000,6.100000,701800
2023-06-23,6.020000,6.110000,6.010000,6.060000,6.060000,4280100
2023-06-26,6.030000,6.030000,5.620000,5.620000,5.620000,949900
2023-06-27,5.650000,5.650000,5.480000,5.490000,5.490000,891800
2023-06-28,5.490000,5.730000,5.460000,5.720000,5.720000,882400
2023-06-29,5.730000,5.800000,5.712000,5.740000,5.740000,580600
2023-06-30,5.780000,5.900000,5.740000,5.760000,5.760000,725900
2023-07-03,5.770000,5.770000,5.640000,5.700000,5.700000,323100
2023-07-05,5.690000,5.745000,5.520000,5.670000,5.670000,785300
2023-07-06,5.590000,5.625000,5.520000,5.560000,5.560000,912700
2023-07-07,5.570000,5.735000,5.570000,5.590000,5.590000,496500
2023-07-10,5.550000,5.670000,5.530000,5.660000,5.660000,329600
2023-07-11,5.600000,5.725000,5.600000,5.670000,5.670000,429200
2023-07-12,5.720000,5.865000,5.720000,5.840000,5.840000,637600
2023-07-13,5.850000,5.960000,5.840000,5.860000,5.860000,447400
2023-07-14,5.820000,5.950000,5.790000,5.840000,5.840000,702000
2023-07-17,5.830000,5.970000,5.670000,5.940000,5.940000,373200
2023-07-18,5.920000,6.070000,5.830000,6.040000,6.040000,510100
2023-07-19,6.040000,6.250000,6.040000,6.110000,6.110000,516100
2023-07-20,6.030000,6.170000,5.850000,5.900000,5.900000,619500
2023-07-21,5.990000,6.090000,5.948000,6.060000,6.060000,547100
2023-07-24,6.060000,6.080000,5.915000,5.960000,5.960000,251300
2023-07-25,5.960000,6.025000,5.895000,5.920000,5.920000,420600
2023-07-26,5.880000,5.960000,5.860000,5.940000,5.940000,619800
