Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,5.033000,5.280000,5.010000,5.065000,5.065000,4700
2022-12-28,5.020000,5.180000,4.798000,5.140000,5.140000,32500
2022-12-29,5.030000,5.090000,5.010000,5.055000,5.055000,14000
2022-12-30,4.960000,5.100000,4.850000,5.040000,5.040000,16800
2023-01-03,5.060000,5.100000,5.010000,5.010000,5.010000,3400
2023-01-04,5.055000,5.140000,5.010000,5.140000,5.140000,4000
2023-01-05,5.103000,5.240000,4.800000,5.015000,5.015000,22100
2023-01-06,5.000000,5.030000,4.900000,4.960000,4.960000,9900
2023-01-09,4.980000,5.000000,4.800000,4.940000,4.940000,3900
2023-01-10,4.900000,4.900000,4.860000,4.860000,4.860000,2500
2023-01-11,4.876000,5.000000,4.850000,5.000000,5.000000,3300
2023-01-12,4.900000,5.000000,4.900000,4.980000,4.980000,2700
2023-01-13,4.955000,4.960000,4.860000,4.860000,4.860000,1300
2023-01-17,4.900000,5.043000,4.900000,5.000000,5.000000,9400
2023-01-18,5.020000,5.400000,4.910000,5.000000,5.000000,51700
2023-01-19,4.920000,4.920000,4.920000,4.920000,4.920000,15900
2023-01-20,5.116000,5.116000,4.900000,4.900000,4.900000,3500
2023-01-23,4.900000,4.900000,3.821000,3.870000,3.870000,86200
2023-01-24,3.960000,3.991000,3.870000,3.926000,3.926000,11800
2023-01-25,3.920000,3.939000,3.850000,3.920000,3.920000,5600
2023-01-26,3.907000,4.095000,3.907000,4.030000,4.030000,6100
2023-01-27,3.950000,4.160000,3.900000,4.000000,4.000000,10800
2023-01-30,3.920000,3.973000,3.870000,3.900000,3.900000,4700
2023-01-31,3.850000,4.090000,3.850000,3.945000,3.945000,5400
2023-02-01,3.960000,4.016000,3.880000,3.900000,3.900000,3800
2023-02-02,4.020000,4.020000,3.880000,3.980000,3.980000,31900
2023-02-03,3.440000,4.025000,3.430000,3.890000,3.890000,45800
2023-02-06,3.910000,3.910000,3.070000,3.490000,3.490000,100300
2023-02-07,3.530000,3.820000,3.310000,3.460000,3.460000,63700
2023-02-08,3.370000,3.440000,3.138000,3.200000,3.200000,35400
2023-02-09,3.170000,3.445000,3.150000,3.200000,3.200000,7100
2023-02-10,3.300000,3.340000,3.000000,3.140000,3.140000,24200
2023-02-13,3.050000,3.110000,2.865000,2.980000,2.980000,17800
2023-02-14,3.000000,3.000000,2.935000,2.990000,2.990000,4500
2023-02-15,2.940000,3.300000,2.940000,2.960000,2.960000,59800
2023-02-16,2.990000,2.990000,2.940000,2.940000,2.940000,5400
2023-02-17,2.900000,3.250000,2.900000,3.110000,3.110000,15500
2023-02-21,3.150000,3.260000,3.150000,3.250000,3.250000,3200
2023-02-22,3.220000,3.220000,3.000000,3.020000,3.020000,13400
2023-02-23,3.050000,3.100000,3.010000,3.050000,3.050000,6200
2023-02-24,2.945000,2.960000,2.770000,2.870000,2.870000,11700
2023-02-27,2.950000,2.950000,2.600000,2.610000,2.610000,17100
2023-02-28,2.640000,2.910000,2.500000,2.520000,2.520000,10600
2023-03-01,2.520000,2.775000,2.520000,2.700000,2.700000,3000
2023-03-02,2.610000,2.668000,2.430000,2.450000,2.450000,12400
2023-03-03,2.590000,2.801000,2.590000,2.590000,2.590000,6500
2023-03-06,2.599000,2.658000,2.380000,2.440000,2.440000,19500
2023-03-07,2.480000,2.500000,2.450000,2.480000,2.480000,9900
2023-03-08,2.480000,2.490000,2.470000,2.470000,2.470000,3000
2023-03-09,2.500000,2.700000,2.222000,2.420000,2.420000,27100
2023-03-10,2.460000,2.540000,2.410000,2.460000,2.460000,9400
2023-03-13,2.370000,2.500000,2.142000,2.390000,2.390000,23500
2023-03-14,2.280000,2.510000,2.280000,2.500000,2.500000,17700
2023-03-15,2.500000,2.530000,2.285000,2.505000,2.505000,25400
2023-03-16,2.410000,2.540000,2.410000,2.540000,2.540000,5300
2023-03-17,2.560000,2.593000,2.170000,2.200000,2.200000,26700
2023-03-20,2.180000,2.210000,2.150000,2.160000,2.160000,12100
2023-03-21,2.070000,2.200000,2.070000,2.170000,2.170000,14600
2023-03-22,2.170000,2.170000,2.010000,2.010000,2.010000,10700
2023-03-23,2.080000,2.080000,1.810000,1.850000,1.850000,49000
2023-03-24,1.810000,1.849000,1.800000,1.810000,1.810000,6800
2023-03-27,1.850000,1.850000,1.670000,1.740000,1.740000,11200
2023-03-28,1.740000,1.820000,1.740000,1.740000,1.740000,20900
2023-03-29,1.740000,1.930000,1.410000,1.610000,1.610000,50300
2023-03-30,1.700000,1.750000,1.625000,1.750000,1.750000,5600
2023-03-31,1.800000,1.890000,1.750000,1.750000,1.750000,16400
2023-04-03,1.850000,1.850000,1.705000,1.800000,1.800000,74600
2023-04-04,1.800000,1.890000,1.800000,1.820000,1.820000,6300
2023-04-05,1.750000,1.890000,1.750000,1.840000,1.840000,93300
2023-04-06,1.870000,1.880000,1.820000,1.820000,1.820000,10900
2023-04-10,1.890000,2.650000,1.810000,2.380000,2.380000,215500
2023-04-11,2.380000,3.270000,2.380000,3.100000,3.100000,183600
2023-04-12,3.210000,3.258000,2.670000,2.750000,2.750000,46400
2023-04-13,2.810000,2.810000,2.500000,2.580000,2.580000,22000
2023-04-14,2.593000,2.770000,2.590000,2.600000,2.600000,9500
2023-04-17,2.600000,3.100000,2.600000,3.000000,3.000000,37100
2023-04-18,3.020000,3.020000,2.810000,2.820000,2.820000,96900
2023-04-19,2.870000,3.060000,2.690000,2.939000,2.939000,18100
2023-04-20,2.910000,3.180000,2.910000,2.965000,2.965000,25300
2023-04-21,3.000000,3.150000,2.880000,2.905000,2.905000,27700
2023-04-24,3.000000,3.150000,2.930000,3.090000,3.090000,22000
2023-04-25,3.140000,3.140000,2.948000,2.970000,2.970000,14800
2023-04-26,3.030000,3.100000,2.970000,3.020000,3.020000,51800
2023-04-27,3.010000,3.010000,2.820000,2.820000,2.820000,8300
2023-04-28,2.910000,3.120000,2.910000,2.910000,2.910000,28400
2023-05-01,2.960000,3.110000,2.880000,3.080000,3.080000,51200
2023-05-02,3.110000,3.135000,2.886000,3.100000,3.100000,43900
2023-05-03,3.100000,3.123000,2.970000,2.980000,2.980000,33700
2023-05-04,2.980000,3.098000,2.500000,2.820000,2.820000,63100
2023-05-05,2.740000,3.005000,2.580000,2.600000,2.600000,25100
2023-05-08,2.510000,2.700000,2.510000,2.640000,2.640000,19100
2023-05-09,2.600000,2.620000,2.512000,2.590000,2.590000,3700
2023-05-10,2.510000,2.570000,2.440000,2.465000,2.465000,10100
2023-05-11,2.440000,2.710000,2.380000,2.400000,2.400000,24000
2023-05-12,2.525000,2.540000,2.450000,2.460000,2.460000,6000
2023-05-15,2.450000,2.800000,2.450000,2.750000,2.750000,24800
2023-05-16,2.850000,2.850000,2.750000,2.760000,2.760000,5800
