Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,8.450000,8.550000,8.130000,8.160000,8.160000,1206500
2022-12-28,8.110000,8.340000,8.010000,8.190000,8.190000,1011500
2022-12-29,8.290000,9.280000,8.200000,9.130000,9.130000,1862800
2022-12-30,9.000000,9.260000,8.910000,9.260000,9.260000,1088600
2023-01-03,9.890000,9.890000,9.320000,9.680000,9.680000,1769000
2023-01-04,9.740000,10.090000,9.460000,9.970000,9.970000,1366400
2023-01-05,9.910000,9.970000,9.460000,9.870000,9.870000,1126900
2023-01-06,10.020000,10.200000,9.680000,10.000000,10.000000,1543800
2023-01-09,10.140000,10.170000,9.570000,9.850000,9.850000,1121500
2023-01-10,9.830000,10.390000,9.775000,10.390000,10.390000,1170300
2023-01-11,10.390000,10.820000,10.100000,10.800000,10.800000,1483100
2023-01-12,10.860000,11.240000,10.380000,11.210000,11.210000,1923900
2023-01-13,11.050000,11.335000,10.150000,10.580000,10.580000,2105400
2023-01-17,10.500000,10.630000,10.210000,10.460000,10.460000,1621900
2023-01-18,10.560000,10.750000,10.055000,10.130000,10.130000,1206500
2023-01-19,9.990000,10.240000,9.650000,10.100000,10.100000,1116600
2023-01-20,10.220000,10.410000,9.980000,10.300000,10.300000,981700
2023-01-23,10.330000,10.580000,10.130000,10.470000,10.470000,971000
2023-01-24,10.380000,10.910000,10.222000,10.720000,10.720000,1157900
2023-01-25,10.520000,10.830000,10.320000,10.790000,10.790000,872000
2023-01-26,10.910000,10.990000,10.390000,10.520000,10.520000,596000
2023-01-27,10.520000,10.690000,10.410000,10.560000,10.560000,615700
2023-01-30,10.740000,10.760000,9.840000,10.050000,10.050000,1927400
2023-01-31,10.130000,10.890000,10.060000,10.870000,10.870000,1377300
2023-02-01,10.890000,11.220000,10.570000,10.990000,10.990000,1188300
2023-02-02,11.090000,11.710000,10.970000,11.370000,11.370000,1438400
2023-02-03,11.110000,11.590000,11.050000,11.260000,11.260000,1073000
2023-02-06,11.240000,11.590000,11.110000,11.110000,11.110000,1313300
2023-02-07,11.000000,11.925000,10.780000,11.750000,11.750000,2043100
2023-02-08,11.510000,11.900000,10.923000,10.930000,10.930000,1419600
2023-02-09,11.040000,11.100000,10.400000,10.410000,10.410000,1177300
2023-02-10,10.390000,10.630000,10.180000,10.540000,10.540000,777400
2023-02-13,10.550000,10.671000,10.400000,10.500000,10.500000,727800
2023-02-14,10.430000,10.720000,10.270000,10.600000,10.600000,917600
2023-02-15,10.480000,10.625000,10.285000,10.470000,10.470000,745500
2023-02-16,10.330000,10.600000,10.250000,10.420000,10.420000,1004800
2023-02-17,10.410000,10.580000,10.250000,10.580000,10.580000,747500
2023-02-21,10.380000,10.450000,9.970000,10.000000,10.000000,1127500
2023-02-22,10.030000,10.220000,9.990000,10.110000,10.110000,756700
2023-02-23,10.150000,10.180000,9.840000,9.930000,9.930000,768700
2023-02-24,9.800000,9.830000,9.600000,9.720000,9.720000,857000
2023-02-27,9.790000,9.860000,9.565000,9.650000,9.650000,747700
2023-02-28,9.680000,9.820000,9.470000,9.520000,9.520000,810600
2023-03-01,9.520000,9.735000,9.440000,9.680000,9.680000,836700
2023-03-02,9.500000,9.740000,9.370000,9.670000,9.670000,745200
2023-03-03,9.770000,10.048000,9.590000,9.930000,9.930000,866200
2023-03-06,9.960000,10.010000,9.640000,9.870000,9.870000,816000
2023-03-07,9.880000,10.180000,9.694000,9.830000,9.830000,880200
2023-03-08,9.770000,10.130000,9.740000,10.110000,10.110000,905500
2023-03-09,10.150000,10.370000,9.570000,9.680000,9.680000,1052100
2023-03-10,9.660000,9.660000,8.535000,8.980000,8.980000,2219000
2023-03-13,8.590000,9.480000,8.590000,9.400000,9.400000,1829200
2023-03-14,9.630000,9.860000,9.210000,9.530000,9.530000,1323500
2023-03-15,9.250000,9.510000,9.150000,9.360000,9.360000,1471100
2023-03-16,9.310000,9.720000,9.050000,9.540000,9.540000,1018400
2023-03-17,9.400000,9.550000,9.210000,9.510000,9.510000,1908500
2023-03-20,9.490000,9.495000,9.190000,9.260000,9.260000,916800
2023-03-21,9.340000,9.450000,8.920000,9.100000,9.100000,1178900
2023-03-22,9.070000,9.070000,8.475000,8.520000,8.520000,1642300
2023-03-23,8.650000,8.920000,8.380000,8.680000,8.680000,1203600
2023-03-24,8.600000,8.790000,8.420000,8.720000,8.720000,1081900
2023-03-27,8.760000,8.800000,8.485000,8.510000,8.510000,858000
2023-03-28,8.500000,8.610000,8.270000,8.320000,8.320000,785100
2023-03-29,8.510000,8.590000,8.320000,8.560000,8.560000,1049900
2023-03-30,8.860000,8.980000,8.250000,8.320000,8.320000,2170700
2023-03-31,8.450000,8.700000,8.360000,8.570000,8.570000,1544300
2023-04-03,8.530000,8.620000,8.360000,8.510000,8.510000,835800
2023-04-04,8.500000,8.511000,7.943000,8.070000,8.070000,1265100
2023-04-05,7.970000,8.100000,7.795000,7.870000,7.870000,838300
2023-04-06,7.870000,7.870000,7.685000,7.790000,7.790000,910700
2023-04-10,7.780000,7.780000,7.440000,7.700000,7.700000,1250500
2023-04-11,7.700000,7.800000,7.600000,7.670000,7.670000,801800
2023-04-12,7.750000,7.880000,7.590000,7.660000,7.660000,696600
2023-04-13,7.690000,8.150000,7.690000,8.070000,8.070000,1391500
2023-04-14,8.020000,8.040000,7.645000,7.880000,7.880000,866300
2023-04-17,7.950000,8.260000,7.857000,8.130000,8.130000,1222700
2023-04-18,8.160000,8.160000,7.990000,8.120000,8.120000,703600
2023-04-19,8.060000,8.280000,8.000000,8.190000,8.190000,605500
2023-04-20,8.150000,8.150000,7.930000,7.970000,7.970000,857500
2023-04-21,7.970000,8.080000,7.930000,8.030000,8.030000,642200
2023-04-24,8.010000,8.040000,7.680000,7.850000,7.850000,621900
2023-04-25,7.810000,7.880000,7.650000,7.770000,7.770000,697900
2023-04-26,7.760000,8.290000,7.660000,8.240000,8.240000,1237900
2023-04-27,8.310000,8.370000,8.060000,8.190000,8.190000,727500
2023-04-28,8.200000,8.230000,8.050000,8.140000,8.140000,695200
2023-05-01,8.150000,8.270000,7.980000,8.220000,8.220000,853800
2023-05-02,8.280000,8.390000,7.950000,8.000000,8.000000,994300
2023-05-03,8.050000,8.500000,8.030000,8.340000,8.340000,1268200
2023-05-04,8.320000,8.485000,8.110000,8.400000,8.400000,798600
2023-05-05,8.500000,8.630000,8.410000,8.440000,8.440000,796300
2023-05-08,8.420000,8.450000,8.200000,8.410000,8.410000,880200
2023-05-09,8.150000,9.280000,8.020000,9.070000,9.070000,1230200
2023-05-10,9.320000,9.630000,9.040000,9.360000,9.360000,1250400
2023-05-11,9.370000,9.450000,9.030000,9.190000,9.190000,860400
2023-05-12,9.260000,9.320000,8.880000,9.100000,9.100000,533400
2023-05-15,9.140000,9.660000,9.070000,9.490000,9.490000,884300
2023-05-16,9.360000,9.380000,8.870000,9.010000,9.010000,954700
2023-05-17,9.090000,9.510000,8.940000,9.500000,9.500000,800900
2023-05-18,9.500000,9.500000,9.030000,9.290000,9.290000,734700
2023-05-19,9.450000,9.530000,9.270000,9.450000,9.450000,547900
2023-05-22,9.450000,9.590000,9.350000,9.500000,9.500000,665400
2023-05-23,9.440000,9.729000,9.200000,9.260000,9.260000,957700
2023-05-24,9.170000,9.270000,9.055000,9.210000,9.210000,762300
2023-05-25,9.220000,9.260000,8.880000,8.960000,8.960000,711700
2023-05-26,8.970000,9.355000,8.945000,9.320000,9.320000,960600
2023-05-30,9.450000,9.500000,9.070000,9.180000,9.180000,651100
2023-05-31,9.180000,9.470000,9.000000,9.240000,9.240000,684000
2023-06-01,9.220000,9.340000,9.050000,9.100000,9.100000,653800
2023-06-02,9.170000,9.240000,8.915000,9.140000,9.140000,811400
2023-06-05,9.050000,9.230000,9.030000,9.070000,9.070000,702300
2023-06-06,9.110000,9.215000,8.940000,9.110000,9.110000,715500
2023-06-07,9.070000,9.470000,9.014000,9.380000,9.380000,920600
2023-06-08,9.390000,9.500000,9.120000,9.240000,9.240000,892700
2023-06-09,9.280000,10.170000,8.910000,9.150000,9.150000,3978400
2023-06-12,9.200000,9.360000,8.490000,8.655000,8.655000,1656100
2023-06-13,8.750000,8.990000,8.510000,8.830000,8.830000,884500
2023-06-14,8.850000,8.935000,8.590000,8.750000,8.750000,796100
2023-06-15,8.760000,8.940000,8.580000,8.830000,8.830000,849100
2023-06-16,8.950000,8.960000,8.410000,8.570000,8.570000,4097300
2023-06-20,8.530000,8.580000,8.300000,8.410000,8.410000,963600
2023-06-21,8.360000,8.620000,8.220000,8.520000,8.520000,608500
2023-06-22,8.460000,8.460000,8.260000,8.300000,8.300000,590500
2023-06-23,8.250000,8.250000,8.080000,8.160000,8.160000,966300
2023-06-26,8.120000,8.280000,8.000000,8.200000,8.200000,704700
2023-06-27,8.200000,8.220000,8.010000,8.080000,8.080000,688100
2023-06-28,8.090000,8.090000,7.870000,7.980000,7.980000,1317500
2023-06-29,7.980000,8.200000,7.870000,7.910000,7.910000,874300
2023-06-30,8.010000,8.180000,7.900000,8.130000,8.130000,710700
2023-07-03,8.130000,8.181000,7.925000,8.010000,8.010000,570300
2023-07-05,8.010000,8.030000,7.800000,7.950000,7.950000,755500
2023-07-06,7.880000,7.918000,7.730000,7.880000,7.880000,645200
2023-07-07,7.910000,8.180000,7.900000,8.160000,8.160000,631600
2023-07-10,8.140000,8.680000,8.130000,8.660000,8.660000,1057400
2023-07-11,8.630000,8.740000,8.485000,8.610000,8.610000,537600
2023-07-12,8.710000,8.710000,8.440000,8.550000,8.550000,548300
2023-07-13,8.570000,8.620000,8.430000,8.450000,8.450000,398100
2023-07-14,8.460000,8.540000,8.340000,8.420000,8.420000,483800
2023-07-17,8.410000,8.560000,8.270000,8.370000,8.370000,1006900
2023-07-18,8.400000,8.570000,8.365000,8.380000,8.380000,426900
2023-07-19,8.380000,8.490000,8.292000,8.330000,8.330000,426000
2023-07-20,8.250000,8.290000,7.991000,8.000000,8.000000,555300
2023-07-21,8.080000,8.170000,7.920000,8.110000,8.110000,778000
2023-07-24,7.910000,8.210000,7.910000,8.170000,8.170000,718600
2023-07-25,8.140000,8.220000,7.930000,8.020000,8.020000,547500
2023-07-26,8.030000,8.100000,7.950000,7.990000,7.990000,481500
2023-07-27,8.040000,8.060000,7.620000,7.660000,7.660000,1040500
2023-07-28,7.700000,7.950000,7.660000,7.930000,7.930000,675300
2023-07-31,7.940000,8.270000,7.935000,8.250000,8.250000,745900
2023-08-01,8.210000,8.230000,7.970000,8.150000,8.150000,683000
2023-08-02,8.040000,8.310000,7.965000,8.220000,8.220000,624500
2023-08-03,8.160000,8.360000,8.100000,8.300000,8.300000,666200
2023-08-04,8.300000,8.500000,8.190000,8.220000,8.220000,650800
2023-08-07,8.180000,8.210000,7.630000,7.680000,7.680000,1072500
2023-08-08,8.000000,8.070000,7.581000,8.030000,8.030000,1131200
2023-08-09,8.130000,9.460000,8.080000,9.370000,9.370000,3091300
2023-08-10,9.300000,9.890000,8.940000,9.050000,9.050000,1983000
2023-08-11,8.940000,9.010000,8.680000,8.820000,8.820000,568300
2023-08-14,8.750000,9.150000,8.610000,9.150000,9.150000,710400
2023-08-15,9.060000,9.070000,8.690000,8.940000,8.940000,677100
2023-08-16,8.880000,8.885000,8.620000,8.620000,8.620000,667400
2023-08-17,8.600000,8.750000,8.100000,8.120000,8.120000,961700
2023-08-18,8.010000,8.330000,7.970000,8.160000,8.160000,461900
2023-08-21,8.160000,8.320000,8.010000,8.170000,8.170000,614100
2023-08-22,8.210000,8.280000,8.010000,8.140000,8.140000,492200
2023-08-23,8.180000,8.230000,8.000000,8.020000,8.020000,400200
2023-08-24,8.030000,8.080000,7.595000,7.750000,7.750000,1000700
2023-08-25,7.860000,8.080000,7.763000,8.040000,8.040000,603400
2023-08-28,8.070000,8.150000,7.874000,7.930000,7.930000,409000
2023-08-29,7.910000,7.980000,7.765000,7.950000,7.950000,598800
2023-08-30,7.940000,8.020000,7.822000,7.920000,7.920000,536300
2023-08-31,7.900000,8.020000,7.800000,7.900000,7.900000,715000
2023-09-01,7.920000,8.090000,7.875000,7.940000,7.940000,574100
2023-09-05,7.920000,8.020000,7.800000,7.870000,7.870000,573900
2023-09-06,7.840000,7.890000,7.710000,7.810000,7.810000,672600
2023-09-07,7.750000,7.830000,7.680000,7.710000,7.710000,798300
2023-09-08,7.720000,7.880000,7.640000,7.870000,7.870000,653400
2023-09-11,7.870000,7.900000,7.650000,7.750000,7.750000,626900
2023-09-12,7.750000,7.850000,7.670000,7.750000,7.750000,656500
2023-09-13,7.730000,8.020000,7.640000,7.660000,7.660000,738400
2023-09-14,7.980000,8.390000,7.570000,7.950000,7.950000,2770300
2023-09-15,8.000000,8.030000,7.550000,7.570000,7.570000,2938000
2023-09-18,7.790000,7.840000,7.065000,7.130000,7.130000,1660100
2023-09-19,7.120000,7.130000,6.810000,7.120000,7.120000,1119300
2023-09-20,7.120000,7.920000,7.070000,7.240000,7.240000,1467100
2023-09-21,7.130000,7.200000,6.860000,6.970000,6.970000,768800
2023-09-22,7.000000,7.000000,6.840000,6.890000,6.890000,668700
2023-09-25,6.850000,6.910000,6.750000,6.790000,6.790000,548900
2023-09-26,6.740000,7.040000,6.740000,6.800000,6.800000,606100
2023-09-27,6.830000,6.950000,6.665000,6.810000,6.810000,548000
2023-09-28,6.810000,6.820000,6.600000,6.720000,6.720000,607700
2023-09-29,6.810000,6.850000,6.515000,6.550000,6.550000,898100
2023-10-02,6.570000,6.630000,6.290000,6.360000,6.360000,828400
2023-10-03,6.300000,6.325000,6.095000,6.260000,6.260000,836700
2023-10-04,6.230000,6.395000,6.170000,6.350000,6.350000,693200
2023-10-05,6.340000,6.490000,6.295000,6.410000,6.410000,618500
2023-10-06,6.360000,6.390000,6.110000,6.140000,6.140000,697700
2023-10-09,6.060000,6.140000,5.975000,6.140000,6.140000,655900
2023-10-10,6.090000,6.375000,5.920000,6.320000,6.320000,745700
2023-10-11,6.330000,6.430000,6.145000,6.190000,6.190000,496400
2023-10-12,6.190000,6.250000,5.840000,5.890000,5.890000,900000
2023-10-13,5.890000,6.220000,5.800000,6.050000,6.050000,790500
2023-10-16,6.050000,6.130000,5.913000,6.060000,6.060000,490600
2023-10-17,6.020000,6.190000,5.990000,5.990000,5.990000,597600
2023-10-18,5.940000,5.950000,5.610000,5.650000,5.650000,657500
2023-10-19,5.660000,5.690000,5.530000,5.590000,5.590000,556900
2023-10-20,5.610000,5.660000,5.160000,5.200000,5.200000,1600300
2023-10-23,5.140000,5.240000,4.900000,5.040000,5.040000,1261700
2023-10-24,5.150000,5.360000,4.980000,5.130000,5.130000,1281700
2023-10-25,5.170000,5.700000,5.040000,5.590000,5.590000,1747400
2023-10-26,5.620000,5.910000,5.480000,5.620000,5.620000,1107400
2023-10-27,5.650000,5.780000,5.175000,5.200000,5.200000,1014000
2023-10-30,5.190000,5.550000,5.190000,5.500000,5.500000,722700
2023-10-31,5.450000,5.645000,5.320000,5.580000,5.580000,744200
2023-11-01,5.570000,5.690000,5.455000,5.620000,5.620000,620400
2023-11-02,5.620000,5.780000,5.525000,5.690000,5.690000,891200
2023-11-03,5.710000,6.180000,5.600000,6.040000,6.040000,1254600
2023-11-06,6.020000,6.140000,5.840000,5.930000,5.930000,773800
2023-11-07,5.970000,6.230000,5.870000,6.210000,6.210000,1360600
2023-11-08,6.210000,6.270000,5.870000,5.970000,5.970000,1150700
2023-11-09,5.980000,6.010000,5.650000,5.710000,5.710000,1210700
2023-11-10,5.800000,5.830000,5.550000,5.740000,5.740000,733200
2023-11-13,5.630000,5.770000,5.470000,5.750000,5.750000,712200
2023-11-14,6.040000,6.240000,5.980000,6.220000,6.220000,1182900
2023-11-15,6.250000,6.540000,6.170000,6.180000,6.180000,947000
2023-11-16,6.220000,6.220000,5.875000,6.010000,6.010000,866100
2023-11-17,6.090000,6.330000,6.011000,6.270000,6.270000,759800
2023-11-20,7.000000,7.075000,6.620000,7.000000,7.000000,2152700
2023-11-21,7.000000,7.540000,6.700000,6.720000,6.720000,2402900
2023-11-22,6.760000,6.887000,6.535000,6.700000,6.700000,948200
2023-11-24,6.850000,7.249000,6.810000,7.070000,7.070000,676600
2023-11-27,6.850000,7.000000,6.180000,6.360000,6.360000,2263000
