Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,4.800000,4.800000,4.500000,4.650000,4.650000,16553
2022-12-28,4.500000,4.650000,4.500000,4.500000,4.500000,11140
2022-12-29,4.650000,4.950000,4.500000,4.950000,4.950000,17313
2022-12-30,4.800000,5.250000,4.650000,4.950000,4.950000,28893
2023-01-03,5.250000,5.250000,4.800000,4.800000,4.800000,8907
2023-01-04,4.950000,5.400000,4.950000,5.400000,5.400000,8833
2023-01-05,5.100000,5.400000,5.100000,5.250000,5.250000,2993
2023-01-06,5.400000,6.450000,5.400000,6.000000,6.000000,35567
2023-01-09,6.150000,6.150000,6.000000,6.150000,6.150000,5513
2023-01-10,6.150000,6.450000,5.700000,6.000000,6.000000,20847
2023-01-11,6.000000,7.050000,6.000000,6.750000,6.750000,20147
2023-01-12,6.750000,7.800000,6.750000,7.200000,7.200000,37200
2023-01-13,7.500000,8.400000,7.350000,7.800000,7.800000,35193
2023-01-17,8.100000,8.250000,7.500000,7.650000,7.650000,21433
2023-01-18,8.250000,8.250000,7.350000,7.350000,7.350000,13513
2023-01-19,7.350000,8.250000,6.000000,7.500000,7.500000,11247
2023-01-20,7.500000,7.950000,7.350000,7.500000,7.500000,3213
2023-01-23,7.500000,7.650000,7.200000,7.500000,7.500000,5633
2023-01-24,7.350000,7.950000,7.350000,7.650000,7.650000,2853
2023-01-25,7.500000,7.800000,7.050000,7.650000,7.650000,9093
2023-01-26,7.500000,7.950000,7.200000,7.200000,7.200000,5987
2023-01-27,7.200000,7.650000,7.200000,7.650000,7.650000,5607
2023-01-30,7.650000,7.800000,7.050000,7.050000,7.050000,8333
2023-01-31,7.350000,7.950000,7.200000,7.500000,7.500000,13480
2023-02-01,7.500000,7.800000,7.200000,7.650000,7.650000,3940
2023-02-02,7.500000,9.600000,6.600000,6.600000,6.600000,141813
2023-02-03,7.350000,8.400000,7.350000,8.400000,8.400000,62420
2023-02-06,8.250000,8.550000,7.950000,8.250000,8.250000,23760
2023-02-07,8.250000,8.850000,8.250000,8.550000,8.550000,21387
2023-02-08,8.400000,9.000000,8.400000,8.700000,8.700000,18453
2023-02-09,8.700000,9.000000,8.400000,8.550000,8.550000,19720
2023-02-10,8.400000,8.850000,7.650000,7.650000,7.650000,11347
2023-02-13,8.100000,8.250000,7.500000,7.650000,7.650000,4927
2023-02-14,8.250000,8.400000,7.200000,7.500000,7.500000,3733
2023-02-15,7.350000,7.800000,7.050000,7.650000,7.650000,10327
2023-02-16,7.650000,8.250000,7.500000,7.650000,7.650000,11760
2023-02-17,7.200000,7.950000,7.200000,7.350000,7.350000,15213
2023-02-21,7.500000,7.800000,7.050000,7.800000,7.800000,11233
2023-02-22,7.950000,7.950000,7.200000,7.200000,7.200000,7487
2023-02-23,7.200000,7.500000,6.750000,6.900000,6.900000,14513
2023-02-24,7.200000,7.200000,6.000000,6.600000,6.600000,51953
2023-02-27,6.450000,6.600000,6.000000,6.150000,6.150000,6347
2023-02-28,6.150000,6.300000,5.550000,5.700000,5.700000,14480
2023-03-01,5.700000,5.850000,5.250000,5.250000,5.250000,24347
2023-03-02,5.400000,5.700000,5.100000,5.250000,5.250000,10560
2023-03-03,5.850000,6.300000,5.700000,6.300000,6.300000,36707
2023-03-06,6.300000,7.800000,5.850000,7.500000,7.500000,51600
2023-03-07,7.500000,7.500000,6.900000,6.900000,6.900000,3547
2023-03-08,6.900000,7.050000,6.600000,6.750000,6.750000,3760
2023-03-09,7.050000,7.500000,6.000000,6.300000,6.300000,13533
2023-03-10,6.300000,6.300000,5.100000,5.850000,5.850000,21193
2023-03-13,5.700000,6.000000,5.550000,6.000000,6.000000,5767
2023-03-14,6.150000,6.150000,5.700000,5.700000,5.700000,6600
2023-03-15,6.150000,6.150000,5.550000,5.850000,5.850000,7873
2023-03-16,5.550000,6.600000,5.550000,6.600000,6.600000,13473
2023-03-17,6.450000,6.600000,5.850000,6.000000,6.000000,5640
2023-03-20,6.000000,6.000000,5.850000,5.850000,5.850000,4953
2023-03-21,6.150000,7.350000,6.150000,7.200000,7.200000,14840
2023-03-22,7.050000,7.800000,6.900000,7.500000,7.500000,18680
2023-03-23,7.500000,7.500000,5.850000,6.300000,6.300000,30113
2023-03-24,6.300000,6.450000,5.700000,6.150000,6.150000,25120
2023-03-27,5.700000,6.150000,5.400000,5.400000,5.400000,22653
2023-03-28,5.400000,5.700000,5.400000,5.550000,5.550000,4433
2023-03-29,5.550000,5.700000,5.250000,5.400000,5.400000,23287
2023-03-30,6.150000,6.150000,5.400000,5.700000,5.700000,12313
2023-03-31,5.700000,6.000000,5.400000,5.550000,5.550000,11100
2023-04-03,5.700000,5.700000,5.400000,5.550000,5.550000,13613
2023-04-04,5.700000,6.300000,5.700000,6.150000,6.150000,18980
2023-04-05,6.000000,6.300000,5.550000,6.000000,6.000000,4567
2023-04-06,6.000000,6.300000,5.850000,6.000000,6.000000,7767
2023-04-10,6.000000,6.450000,6.000000,6.000000,6.000000,6433
2023-04-11,6.000000,6.300000,5.850000,6.000000,6.000000,2907
2023-04-12,6.000000,6.000000,5.400000,5.700000,5.700000,6653
2023-04-13,5.700000,6.000000,5.400000,5.700000,5.700000,8987
2023-04-14,5.550000,5.700000,5.250000,5.400000,5.400000,7507
2023-04-17,5.400000,5.850000,5.250000,5.850000,5.850000,8160
2023-04-18,5.550000,5.850000,5.400000,5.550000,5.550000,7960
2023-04-19,5.550000,5.850000,5.400000,5.700000,5.700000,2660
2023-04-20,5.400000,5.850000,5.400000,5.400000,5.400000,10173
2023-04-21,5.550000,5.550000,5.400000,5.400000,5.400000,5247
2023-04-24,5.400000,5.550000,5.400000,5.400000,5.400000,4633
2023-04-25,5.400000,5.550000,5.250000,5.250000,5.250000,7627
2023-04-26,5.400000,5.400000,4.800000,4.800000,4.800000,17280
2023-04-27,5.100000,5.250000,4.800000,4.950000,4.950000,15580
2023-04-28,5.250000,5.550000,5.100000,5.250000,5.250000,17620
2023-05-01,5.400000,5.550000,4.650000,4.650000,4.650000,25100
2023-05-02,4.650000,4.950000,4.650000,4.950000,4.950000,19433
2023-05-03,5.250000,5.250000,4.800000,4.950000,4.950000,7987
2023-05-04,5.100000,5.100000,4.500000,4.500000,4.500000,16033
2023-05-05,4.650000,4.650000,4.500000,4.650000,4.650000,12247
2023-05-08,4.500000,4.650000,4.500000,4.650000,4.650000,7913
2023-05-09,4.650000,4.650000,4.050000,4.500000,4.500000,41060
2023-05-10,4.500000,4.500000,4.500000,4.500000,4.500000,12200
2023-05-11,4.650000,4.800000,3.300000,3.900000,3.900000,176373
2023-05-12,3.800000,3.800000,3.260000,3.590000,3.590000,92800
2023-05-15,3.470000,4.410000,3.460000,4.160000,4.160000,72300
2023-05-16,4.220000,4.600000,4.030000,4.120000,4.120000,32000
2023-05-17,4.140000,4.340000,3.860000,4.020000,4.020000,62700
2023-05-18,4.020000,4.340000,4.020000,4.250000,4.250000,47500
2023-05-19,4.260000,4.410000,4.210000,4.240000,4.240000,17400
2023-05-22,4.260000,4.570000,4.050000,4.320000,4.320000,58500
2023-05-23,4.250000,4.470000,4.140000,4.470000,4.470000,26300
2023-05-24,4.410000,4.460000,4.220000,4.300000,4.300000,36000
2023-05-25,4.310000,4.310000,3.640000,3.740000,3.740000,42000
2023-05-26,4.020000,4.020000,3.400000,3.500000,3.500000,24100
2023-05-30,3.510000,3.590000,3.050000,3.290000,3.290000,41600
2023-05-31,3.290000,3.290000,3.110000,3.210000,3.210000,38300
2023-06-01,2.980000,3.110000,2.870000,2.990000,2.990000,40100
2023-06-02,3.080000,3.080000,2.880000,2.980000,2.980000,29500
2023-06-05,2.950000,3.060000,2.950000,2.990000,2.990000,12600
2023-06-06,2.880000,2.970000,2.690000,2.780000,2.780000,30900
2023-06-07,2.670000,3.060000,2.650000,2.980000,2.980000,17200
2023-06-08,2.900000,2.970000,2.850000,2.910000,2.910000,30500
2023-06-09,2.910000,3.060000,2.910000,3.060000,3.060000,17300
2023-06-12,3.060000,3.060000,2.850000,2.980000,2.980000,7900
2023-06-13,3.040000,3.050000,2.860000,3.020000,3.020000,37000
2023-06-14,3.040000,3.060000,2.920000,2.950000,2.950000,8300
2023-06-15,2.940000,3.020000,2.840000,3.020000,3.020000,12000
2023-06-16,3.030000,3.030000,2.870000,3.020000,3.020000,7300
2023-06-20,2.960000,2.980000,2.810000,2.930000,2.930000,34300
2023-06-21,2.910000,2.960000,2.910000,2.960000,2.960000,1100
2023-06-22,2.940000,3.000000,2.940000,3.000000,3.000000,1600
2023-06-23,2.880000,2.920000,2.770000,2.900000,2.900000,10000
2023-06-26,2.920000,2.980000,2.920000,2.980000,2.980000,7000
2023-06-27,2.980000,3.050000,2.980000,3.000000,3.000000,8600
2023-06-28,2.990000,3.300000,2.990000,3.250000,3.250000,22300
2023-06-29,3.200000,3.490000,3.120000,3.230000,3.230000,24200
2023-06-30,3.300000,3.370000,3.180000,3.310000,3.310000,12900
