Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.780000,1.790000,1.760000,1.760000,1.760000,4000
2022-12-28,1.810000,1.840000,1.770000,1.770000,1.770000,9500
2022-12-29,1.750000,1.860000,1.750000,1.820000,1.820000,12300
2022-12-30,1.840000,1.840000,1.710000,1.710000,1.710000,27400
2023-01-03,1.700000,1.740000,1.690000,1.710000,1.710000,6700
2023-01-04,1.710000,1.760000,1.630000,1.650000,1.650000,24900
2023-01-05,1.760000,1.760000,1.680000,1.720000,1.720000,15300
2023-01-06,1.730000,1.760000,1.700000,1.750000,1.750000,34300
2023-01-09,1.800000,1.800000,1.730000,1.800000,1.800000,7500
2023-01-10,1.700000,1.750000,1.700000,1.710000,1.710000,15400
2023-01-11,1.730000,1.750000,1.700000,1.700000,1.700000,11200
2023-01-12,1.840000,1.840000,1.720000,1.770000,1.770000,59700
2023-01-13,1.820000,1.820000,1.700000,1.700000,1.700000,41300
2023-01-17,1.740000,1.770000,1.740000,1.760000,1.760000,5800
2023-01-18,1.750000,1.820000,1.710000,1.710000,1.710000,20700
2023-01-19,1.780000,1.780000,1.660000,1.690000,1.690000,21100
2023-01-20,1.710000,1.720000,1.700000,1.720000,1.720000,3200
2023-01-23,1.750000,1.830000,1.670000,1.670000,1.670000,16200
2023-01-24,1.690000,1.790000,1.690000,1.730000,1.730000,13800
2023-01-25,1.700000,1.750000,1.690000,1.750000,1.750000,10600
2023-01-26,1.780000,1.780000,1.680000,1.720000,1.720000,56400
2023-01-27,1.720000,1.780000,1.720000,1.780000,1.780000,6200
2023-01-30,1.780000,1.790000,1.660000,1.700000,1.700000,15300
2023-01-31,1.750000,1.810000,1.750000,1.810000,1.810000,2400
2023-02-01,1.850000,1.900000,1.820000,1.820000,1.820000,18500
2023-02-02,1.890000,1.890000,1.700000,1.720000,1.720000,29100
2023-02-03,1.730000,1.820000,1.700000,1.720000,1.720000,35400
2023-02-06,1.700000,1.900000,1.700000,1.710000,1.710000,168900
2023-02-07,1.770000,1.770000,1.690000,1.700000,1.700000,31900
2023-02-08,1.740000,1.750000,1.680000,1.700000,1.700000,19700
2023-02-09,1.690000,1.760000,1.680000,1.700000,1.700000,12800
2023-02-10,1.670000,1.770000,1.670000,1.710000,1.710000,13500
2023-02-13,1.690000,1.740000,1.670000,1.670000,1.670000,17000
2023-02-14,1.670000,1.700000,1.670000,1.690000,1.690000,3200
2023-02-15,1.670000,1.730000,1.660000,1.670000,1.670000,26000
2023-02-16,1.650000,1.730000,1.650000,1.720000,1.720000,10200
2023-02-17,1.660000,1.770000,1.660000,1.770000,1.770000,12100
2023-02-21,1.700000,1.730000,1.700000,1.700000,1.700000,14600
2023-02-22,1.700000,1.740000,1.650000,1.650000,1.650000,15500
2023-02-23,1.650000,1.710000,1.580000,1.630000,1.630000,121600
2023-02-24,1.630000,1.650000,1.540000,1.540000,1.540000,35300
2023-02-27,1.620000,1.630000,1.570000,1.570000,1.570000,32700
2023-02-28,1.550000,1.640000,1.550000,1.610000,1.610000,90500
2023-03-01,1.570000,1.690000,1.570000,1.660000,1.660000,12800
2023-03-02,1.680000,1.690000,1.680000,1.690000,1.690000,4000
2023-03-03,1.700000,1.740000,1.700000,1.720000,1.720000,5000
2023-03-06,1.730000,1.770000,1.730000,1.750000,1.750000,15200
2023-03-07,1.770000,1.790000,1.760000,1.760000,1.760000,16600
2023-03-08,1.760000,1.810000,1.730000,1.740000,1.740000,37600
2023-03-09,1.700000,1.730000,1.700000,1.730000,1.730000,9800
2023-03-10,1.940000,1.940000,1.700000,1.730000,1.730000,29500
2023-03-13,1.830000,1.870000,1.660000,1.710000,1.710000,37900
2023-03-14,1.770000,1.870000,1.770000,1.830000,1.830000,14900
2023-03-15,1.840000,1.840000,1.750000,1.760000,1.760000,14100
2023-03-16,1.750000,1.830000,1.750000,1.820000,1.820000,12200
2023-03-17,1.810000,1.840000,1.660000,1.660000,1.660000,28000
2023-03-20,1.700000,1.850000,1.680000,1.700000,1.700000,29000
2023-03-21,1.720000,1.780000,1.720000,1.750000,1.750000,5100
2023-03-22,1.820000,1.880000,1.710000,1.760000,1.760000,14300
2023-03-23,1.770000,1.780000,1.690000,1.730000,1.730000,3300
2023-03-24,1.730000,1.730000,1.680000,1.710000,1.710000,4300
2023-03-27,1.710000,1.740000,1.690000,1.700000,1.700000,6100
2023-03-28,1.730000,1.750000,1.690000,1.690000,1.690000,4100
2023-03-29,1.680000,1.720000,1.670000,1.700000,1.700000,14600
2023-03-30,1.710000,1.710000,1.690000,1.690000,1.690000,4100
2023-03-31,1.680000,1.730000,1.680000,1.700000,1.700000,3100
2023-04-03,1.710000,1.770000,1.680000,1.770000,1.770000,28300
2023-04-04,1.730000,1.800000,1.730000,1.730000,1.730000,51300
2023-04-05,1.820000,1.860000,1.730000,1.850000,1.850000,7500
2023-04-06,1.850000,1.890000,1.800000,1.870000,1.870000,3700
2023-04-10,1.840000,1.840000,1.680000,1.720000,1.720000,36200
2023-04-11,1.720000,1.730000,1.680000,1.680000,1.680000,6300
