Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,9.970000,9.970000,9.260000,9.440000,9.440000,136500
2022-12-28,9.360000,9.890000,9.320000,9.800000,9.800000,258900
2022-12-29,9.900000,10.510000,9.660000,10.220000,10.220000,93500
2022-12-30,10.160000,10.200000,9.800000,9.980000,9.980000,84800
2023-01-03,10.070000,10.340000,9.810000,9.880000,9.880000,100000
2023-01-04,9.880000,10.010000,9.710000,9.770000,9.770000,65600
2023-01-05,9.640000,10.370000,9.640000,10.310000,10.310000,151000
2023-01-06,10.450000,10.880000,10.220000,10.770000,10.770000,183300
2023-01-09,10.800000,11.320000,10.650000,10.750000,10.750000,351900
2023-01-10,10.640000,11.020000,10.470000,10.540000,10.540000,177500
2023-01-11,10.530000,10.530000,9.540000,9.880000,9.880000,261200
2023-01-12,9.780000,9.820000,9.340000,9.490000,9.490000,168600
2023-01-13,9.380000,10.820000,9.380000,10.620000,10.620000,248700
2023-01-17,10.700000,10.880000,10.300000,10.410000,10.410000,114500
2023-01-18,10.410000,10.520000,9.580000,9.630000,9.630000,72900
2023-01-19,9.500000,10.220000,9.460000,10.150000,10.150000,229100
2023-01-20,10.350000,10.690000,10.060000,10.500000,10.500000,321100
2023-01-23,10.510000,11.050000,10.060000,10.950000,10.950000,317200
2023-01-24,10.960000,11.250000,10.830000,10.830000,10.830000,194600
2023-01-25,10.760000,10.760000,9.950000,10.320000,10.320000,148600
2023-01-26,10.340000,10.340000,9.600000,9.980000,9.980000,203300
2023-01-27,9.840000,10.360000,9.700000,10.210000,10.210000,244300
2023-01-30,9.950000,10.010000,9.300000,9.730000,9.730000,273600
2023-01-31,9.700000,9.820000,9.300000,9.470000,9.470000,357400
2023-02-01,9.420000,9.540000,9.200000,9.290000,9.290000,251200
2023-02-02,9.350000,9.760000,9.350000,9.720000,9.720000,255800
2023-02-03,9.650000,10.250000,9.650000,9.900000,9.900000,233500
2023-02-06,9.920000,10.020000,9.030000,9.320000,9.320000,320700
2023-02-07,9.290000,9.420000,9.060000,9.280000,9.280000,223900
2023-02-08,9.270000,9.340000,8.910000,9.000000,9.000000,157000
2023-02-09,9.090000,9.230000,8.630000,8.640000,8.640000,152400
2023-02-10,8.610000,9.110000,8.500000,9.070000,9.070000,374600
2023-02-13,9.120000,9.280000,8.770000,8.930000,8.930000,185700
2023-02-14,8.920000,9.150000,8.820000,8.960000,8.960000,284200
2023-02-15,8.910000,9.020000,8.710000,9.010000,9.010000,322300
2023-02-16,8.800000,8.950000,8.430000,8.480000,8.480000,358800
2023-02-17,8.500000,8.760000,8.290000,8.700000,8.700000,363700
2023-02-21,8.650000,8.650000,7.980000,7.990000,7.990000,170100
2023-02-22,7.990000,8.290000,7.900000,8.070000,8.070000,245100
2023-02-23,8.190000,8.190000,7.920000,8.140000,8.140000,175300
2023-02-24,8.070000,8.290000,7.960000,8.220000,8.220000,305000
2023-02-27,8.340000,8.470000,8.240000,8.330000,8.330000,209100
2023-02-28,8.290000,8.350000,8.140000,8.250000,8.250000,269800
2023-03-01,8.280000,8.340000,8.100000,8.160000,8.160000,119300
2023-03-02,8.080000,8.230000,7.990000,8.230000,8.230000,101800
2023-03-03,8.280000,8.500000,8.180000,8.460000,8.460000,107700
2023-03-06,8.410000,8.410000,7.820000,8.240000,8.240000,149800
2023-03-07,8.270000,8.350000,8.080000,8.090000,8.090000,119300
2023-03-08,8.060000,8.180000,7.940000,8.130000,8.130000,160800
2023-03-09,8.160000,8.300000,7.850000,7.880000,7.880000,144200
2023-03-10,7.760000,7.900000,7.330000,7.580000,7.580000,208000
2023-03-13,7.420000,7.710000,7.200000,7.530000,7.530000,462900
2023-03-14,7.350000,8.630000,7.350000,8.430000,8.430000,689300
2023-03-15,8.230000,8.700000,8.170000,8.400000,8.400000,391400
2023-03-16,8.290000,8.480000,8.190000,8.270000,8.270000,359600
2023-03-17,7.920000,8.340000,7.920000,8.220000,8.220000,826800
2023-03-20,8.270000,8.490000,8.180000,8.480000,8.480000,354900
2023-03-21,8.530000,9.040000,8.530000,8.910000,8.910000,395500
2023-03-22,8.880000,9.200000,8.690000,8.750000,8.750000,373400
2023-03-23,8.760000,8.920000,8.670000,8.760000,8.760000,245200
2023-03-24,8.740000,9.110000,8.600000,9.060000,9.060000,148600
2023-03-27,9.130000,9.420000,9.130000,9.220000,9.220000,160800
2023-03-28,9.160000,9.260000,8.950000,8.990000,8.990000,135600
2023-03-29,9.040000,9.180000,8.960000,9.110000,9.110000,138400
2023-03-30,9.150000,9.290000,9.030000,9.230000,9.230000,134900
2023-03-31,9.280000,9.570000,9.210000,9.450000,9.450000,245100
2023-04-03,9.500000,9.750000,9.270000,9.400000,9.400000,265700
2023-04-04,9.360000,9.740000,9.340000,9.690000,9.690000,171100
2023-04-05,9.690000,9.810000,9.530000,9.700000,9.700000,162700
2023-04-06,9.710000,9.910000,9.540000,9.860000,9.860000,109200
2023-04-10,9.840000,10.130000,9.750000,10.030000,10.030000,161000
2023-04-11,10.030000,10.490000,10.030000,10.340000,10.340000,143100
2023-04-12,10.450000,10.490000,10.060000,10.100000,10.100000,110700
2023-04-13,10.110000,10.500000,10.100000,10.380000,10.380000,195200
2023-04-14,10.350000,10.620000,9.990000,10.010000,10.010000,303400
2023-04-17,10.110000,10.440000,9.980000,10.350000,10.350000,164000
2023-04-18,10.350000,10.360000,9.810000,9.850000,9.850000,91400
2023-04-19,9.760000,10.160000,9.760000,10.100000,10.100000,130100
2023-04-20,10.040000,10.140000,9.740000,10.120000,10.120000,117600
2023-04-21,10.110000,10.460000,9.440000,9.520000,9.520000,134500
2023-04-24,9.510000,9.690000,9.320000,9.380000,9.380000,84000
2023-04-25,9.280000,9.460000,9.180000,9.240000,9.240000,82700
2023-04-26,9.210000,9.370000,9.080000,9.180000,9.180000,122600
2023-04-27,9.260000,9.260000,9.060000,9.100000,9.100000,111900
2023-04-28,9.090000,9.350000,8.990000,9.020000,9.020000,70800
2023-05-01,8.980000,9.290000,8.950000,9.270000,9.270000,99500
2023-05-02,9.210000,9.340000,8.760000,8.840000,8.840000,121200
2023-05-03,8.870000,9.180000,8.670000,8.860000,8.860000,323300
2023-05-04,8.840000,9.250000,8.650000,9.010000,9.010000,417100
2023-05-05,9.120000,9.780000,9.120000,9.420000,9.420000,300600
2023-05-08,9.470000,9.830000,9.390000,9.660000,9.660000,311500
2023-05-09,9.800000,10.000000,8.870000,9.320000,9.320000,284900
2023-05-10,9.440000,9.880000,9.160000,9.490000,9.490000,273400
2023-05-11,9.410000,9.660000,9.140000,9.170000,9.170000,178800
2023-05-12,9.170000,9.350000,8.930000,9.220000,9.220000,127600
2023-05-15,9.200000,9.390000,9.030000,9.230000,9.230000,217200
2023-05-16,9.180000,9.440000,9.100000,9.210000,9.210000,135200
2023-05-17,9.280000,9.380000,9.130000,9.220000,9.220000,142500
2023-05-18,9.250000,9.330000,9.060000,9.210000,9.210000,128500
2023-05-19,9.370000,9.510000,9.110000,9.270000,9.270000,112200
