Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,4.390000,4.410000,4.220000,4.250000,4.250000,123500
2022-12-28,4.240000,4.400000,4.230000,4.310000,4.310000,283800
2022-12-29,4.370000,4.530000,4.340000,4.450000,4.450000,259900
2022-12-30,4.380000,4.430000,4.320000,4.380000,4.380000,103000
2023-01-03,4.430000,4.530000,4.330000,4.370000,4.370000,126500
2023-01-04,4.400000,4.610000,4.400000,4.590000,4.590000,147100
2023-01-05,4.520000,4.610000,4.470000,4.530000,4.530000,106600
2023-01-06,4.550000,4.850000,4.530000,4.840000,4.840000,144900
2023-01-09,4.960000,5.080000,4.860000,4.900000,4.900000,172100
2023-01-10,4.920000,5.050000,4.920000,5.040000,5.040000,91500
2023-01-11,5.040000,5.170000,4.990000,5.170000,5.170000,91400
2023-01-12,5.190000,5.260000,5.080000,5.230000,5.230000,121100
2023-01-13,5.120000,5.290000,5.110000,5.280000,5.280000,161200
2023-01-17,5.240000,5.350000,5.160000,5.300000,5.300000,125700
2023-01-18,5.330000,5.480000,5.310000,5.360000,5.360000,195900
2023-01-19,5.300000,5.310000,5.220000,5.270000,5.270000,173400
2023-01-20,5.330000,5.480000,5.280000,5.480000,5.480000,137100
2023-01-23,5.480000,5.690000,5.460000,5.650000,5.650000,158400
2023-01-24,5.600000,5.640000,5.540000,5.590000,5.590000,76600
2023-01-25,5.540000,5.660000,5.510000,5.660000,5.660000,112900
2023-01-26,5.680000,5.870000,5.660000,5.870000,5.870000,112800
2023-01-27,5.840000,5.920000,5.780000,5.840000,5.840000,128400
2023-01-30,5.720000,5.810000,5.670000,5.710000,5.710000,112800
2023-01-31,5.680000,5.920000,5.670000,5.890000,5.890000,123300
2023-02-01,5.930000,6.340000,5.920000,6.250000,6.250000,188000
2023-02-02,6.330000,6.480000,6.320000,6.440000,6.440000,147100
2023-02-03,6.320000,6.550000,6.320000,6.480000,6.480000,214800
2023-02-06,6.360000,6.440000,6.270000,6.270000,6.270000,134100
2023-02-07,6.250000,6.430000,6.210000,6.430000,6.430000,92800
2023-02-08,6.360000,6.450000,6.300000,6.340000,6.340000,107800
2023-02-09,6.410000,6.570000,6.330000,6.410000,6.410000,155100
2023-02-10,6.380000,6.440000,5.910000,5.920000,5.920000,180800
2023-02-13,5.920000,6.010000,5.860000,5.950000,5.950000,144300
2023-02-14,5.880000,6.130000,5.760000,6.090000,6.090000,138000
2023-02-15,6.030000,6.260000,6.030000,6.240000,6.240000,120800
2023-02-16,6.130000,6.310000,5.890000,5.900000,5.900000,154400
2023-02-17,5.180000,5.180000,4.500000,4.880000,4.880000,1204600
2023-02-21,4.710000,4.870000,4.240000,4.420000,4.420000,621800
2023-02-22,4.420000,4.700000,4.310000,4.620000,4.620000,458800
2023-02-23,4.740000,4.830000,4.590000,4.640000,4.640000,212500
2023-02-24,4.550000,4.580000,4.450000,4.500000,4.500000,188800
2023-02-27,4.550000,4.620000,4.460000,4.470000,4.470000,113300
2023-02-28,4.430000,4.530000,4.370000,4.370000,4.370000,182100
2023-03-01,4.390000,4.590000,4.280000,4.300000,4.300000,199200
2023-03-02,4.260000,4.280000,4.150000,4.250000,4.250000,331500
2023-03-03,4.280000,4.370000,4.270000,4.340000,4.340000,152200
2023-03-06,4.350000,4.390000,4.080000,4.120000,4.120000,286900
2023-03-07,4.120000,4.170000,3.960000,4.000000,4.000000,196900
2023-03-08,4.000000,4.090000,3.960000,3.980000,3.980000,186000
2023-03-09,3.980000,4.030000,3.870000,3.870000,3.870000,233800
2023-03-10,3.870000,3.930000,3.720000,3.760000,3.760000,231900
2023-03-13,3.680000,3.710000,3.500000,3.510000,3.510000,275700
2023-03-14,3.620000,3.700000,3.550000,3.600000,3.600000,312600
2023-03-15,3.510000,3.730000,3.480000,3.690000,3.690000,271700
2023-03-16,3.620000,3.800000,3.590000,3.770000,3.770000,251100
2023-03-17,3.760000,3.820000,3.710000,3.760000,3.760000,394400
2023-03-20,3.770000,3.790000,3.680000,3.710000,3.710000,284000
2023-03-21,3.780000,3.950000,3.750000,3.900000,3.900000,223400
2023-03-22,3.900000,3.970000,3.800000,3.810000,3.810000,155400
2023-03-23,3.840000,3.910000,3.760000,3.800000,3.800000,113400
2023-03-24,3.730000,3.780000,3.690000,3.770000,3.770000,162300
2023-03-27,3.800000,3.810000,3.660000,3.750000,3.750000,206500
2023-03-28,3.730000,3.740000,3.630000,3.710000,3.710000,134300
2023-03-29,3.760000,3.860000,3.700000,3.850000,3.850000,147700
2023-03-30,3.900000,3.920000,3.820000,3.900000,3.900000,270300
2023-03-31,3.910000,3.990000,3.850000,3.980000,3.980000,215600
2023-04-03,3.970000,4.040000,3.900000,3.950000,3.950000,170400
2023-04-04,3.940000,3.950000,3.840000,3.870000,3.870000,167400
2023-04-05,3.860000,3.860000,3.730000,3.840000,3.840000,113100
2023-04-06,3.800000,3.860000,3.760000,3.850000,3.850000,96100
2023-04-10,3.820000,3.940000,3.810000,3.860000,3.860000,460400
2023-04-11,3.740000,3.900000,3.710000,3.740000,3.740000,444100
2023-04-12,3.760000,3.820000,3.700000,3.730000,3.730000,200600
2023-04-13,3.720000,3.720000,3.510000,3.530000,3.530000,271300
2023-04-14,3.530000,3.570000,3.460000,3.500000,3.500000,241700
2023-04-17,3.480000,3.520000,3.370000,3.490000,3.490000,187900
2023-04-18,3.470000,3.590000,3.470000,3.500000,3.500000,278200
2023-04-19,3.450000,3.450000,3.310000,3.340000,3.340000,225900
2023-04-20,3.330000,3.350000,3.200000,3.240000,3.240000,196600
2023-04-21,3.220000,3.230000,3.090000,3.100000,3.100000,268200
2023-04-24,3.080000,3.120000,2.990000,3.040000,3.040000,249200
2023-04-25,3.010000,3.220000,3.010000,3.210000,3.210000,359300
2023-04-26,3.200000,3.240000,3.140000,3.210000,3.210000,245500
2023-04-27,3.240000,3.260000,3.070000,3.130000,3.130000,315400
2023-04-28,3.000000,3.100000,2.580000,2.670000,2.670000,1119700
2023-05-01,2.700000,2.700000,2.470000,2.600000,2.600000,626100
2023-05-02,2.600000,2.690000,2.520000,2.670000,2.670000,424800
2023-05-03,2.670000,2.860000,2.650000,2.800000,2.800000,339000
2023-05-04,2.740000,2.830000,2.710000,2.780000,2.780000,198900
2023-05-05,2.780000,2.910000,2.780000,2.890000,2.890000,290100
2023-05-08,2.890000,3.110000,2.860000,3.080000,3.080000,295000
2023-05-09,3.020000,3.030000,2.900000,2.940000,2.940000,428900
2023-05-10,2.980000,3.080000,2.960000,3.070000,3.070000,232200
2023-05-11,3.040000,3.060000,3.010000,3.040000,3.040000,144400
2023-05-12,3.030000,3.070000,2.960000,3.000000,3.000000,186300
2023-05-15,3.010000,3.210000,2.980000,3.170000,3.170000,184500
2023-05-16,3.160000,3.240000,3.150000,3.210000,3.210000,154800
2023-05-17,3.210000,3.360000,3.210000,3.360000,3.360000,154000
2023-05-18,3.360000,3.490000,3.350000,3.430000,3.430000,244800
2023-05-19,3.480000,3.500000,3.390000,3.400000,3.400000,251300
2023-05-22,3.400000,3.460000,3.370000,3.430000,3.430000,189200
2023-05-23,3.400000,3.440000,3.320000,3.340000,3.340000,124900
