Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,4.000000,4.000000,3.600000,3.800000,3.800000,41020
2022-12-28,3.600000,3.800000,3.600000,3.800000,3.800000,36340
2022-12-29,3.800000,3.800000,3.600000,3.800000,3.800000,50180
2022-12-30,3.800000,3.800000,3.600000,3.800000,3.800000,64705
2023-01-03,4.000000,4.200000,3.800000,4.000000,4.000000,50950
2023-01-04,4.200000,4.400000,4.000000,4.000000,4.000000,63075
2023-01-05,4.200000,4.400000,4.000000,4.400000,4.400000,131055
2023-01-06,3.490000,4.030000,3.490000,3.860000,3.860000,533900
2023-01-09,4.100000,4.230000,3.580000,3.580000,3.580000,107700
2023-01-10,3.980000,3.980000,3.310000,3.510000,3.510000,293700
2023-01-11,3.470000,3.530000,3.190000,3.260000,3.260000,225500
2023-01-12,3.180000,3.360000,3.180000,3.280000,3.280000,126300
2023-01-13,3.290000,3.500000,3.290000,3.470000,3.470000,117800
2023-01-17,3.540000,3.720000,3.450000,3.680000,3.680000,128200
2023-01-18,3.680000,3.700000,3.410000,3.460000,3.460000,112100
2023-01-19,3.460000,3.610000,3.420000,3.500000,3.500000,60700
2023-01-20,3.520000,3.630000,3.440000,3.540000,3.540000,141800
2023-01-23,3.550000,3.600000,3.500000,3.580000,3.580000,59000
2023-01-24,3.600000,3.650000,3.540000,3.560000,3.560000,41000
2023-01-25,3.560000,3.590000,3.330000,3.330000,3.330000,76800
2023-01-26,3.370000,3.440000,3.310000,3.340000,3.340000,43200
2023-01-27,3.360000,3.360000,3.280000,3.310000,3.310000,37600
2023-01-30,3.350000,3.360000,3.260000,3.300000,3.300000,44500
2023-01-31,3.300000,3.350000,3.220000,3.300000,3.300000,96700
2023-02-01,3.380000,3.410000,3.230000,3.260000,3.260000,52600
2023-02-02,3.340000,3.370000,3.250000,3.310000,3.310000,52000
2023-02-03,3.290000,3.370000,3.210000,3.290000,3.290000,55600
2023-02-06,3.340000,3.340000,3.200000,3.250000,3.250000,25400
2023-02-07,3.260000,3.310000,3.240000,3.270000,3.270000,37400
2023-02-08,3.240000,3.310000,3.230000,3.310000,3.310000,27500
2023-02-09,3.310000,3.310000,3.250000,3.280000,3.280000,11300
2023-02-10,3.310000,3.310000,3.190000,3.220000,3.220000,51300
2023-02-13,3.250000,3.250000,3.100000,3.160000,3.160000,49100
2023-02-14,3.170000,3.170000,3.000000,3.020000,3.020000,84900
2023-02-15,3.060000,3.070000,2.900000,2.980000,2.980000,62900
2023-02-16,2.980000,2.980000,2.900000,2.930000,2.930000,20500
2023-02-17,2.950000,3.030000,2.890000,2.920000,2.920000,44600
2023-02-21,2.900000,2.990000,2.880000,2.940000,2.940000,42900
2023-02-22,2.980000,2.980000,2.740000,2.770000,2.770000,115900
2023-02-23,2.810000,2.840000,2.550000,2.610000,2.610000,77200
2023-02-24,2.620000,2.730000,2.500000,2.630000,2.630000,104300
2023-02-27,2.680000,2.900000,2.630000,2.730000,2.730000,139500
2023-02-28,2.760000,2.790000,2.620000,2.660000,2.660000,36200
2023-03-01,2.710000,2.790000,2.610000,2.630000,2.630000,67300
2023-03-02,2.600000,2.680000,2.490000,2.560000,2.560000,90200
2023-03-03,2.640000,2.650000,2.520000,2.600000,2.600000,69900
2023-03-06,2.590000,2.700000,2.520000,2.560000,2.560000,43500
2023-03-07,2.570000,2.650000,2.500000,2.550000,2.550000,44500
2023-03-08,2.550000,2.630000,2.440000,2.450000,2.450000,100200
2023-03-09,2.470000,2.490000,2.250000,2.300000,2.300000,75200
2023-03-10,2.320000,2.390000,2.290000,2.340000,2.340000,38900
2023-03-13,2.340000,2.520000,2.280000,2.450000,2.450000,58400
2023-03-14,2.530000,2.580000,2.330000,2.340000,2.340000,31200
2023-03-15,2.340000,2.360000,2.270000,2.350000,2.350000,37800
2023-03-16,2.380000,2.380000,2.280000,2.300000,2.300000,28700
2023-03-17,2.290000,2.320000,2.090000,2.100000,2.100000,104300
2023-03-20,2.130000,2.150000,1.950000,2.040000,2.040000,101600
2023-03-21,2.060000,2.130000,2.040000,2.080000,2.080000,39200
2023-03-22,2.100000,2.200000,2.080000,2.130000,2.130000,38200
2023-03-23,2.120000,2.160000,2.030000,2.050000,2.050000,64500
2023-03-24,2.090000,2.220000,2.090000,2.180000,2.180000,35600
2023-03-27,2.120000,2.190000,2.100000,2.100000,2.100000,38500
2023-03-28,2.150000,2.150000,2.060000,2.060000,2.060000,44900
2023-03-29,2.050000,2.160000,2.050000,2.140000,2.140000,33700
2023-03-30,2.190000,2.300000,2.150000,2.200000,2.200000,35800
2023-03-31,2.230000,2.300000,2.150000,2.240000,2.240000,37100
2023-04-03,2.280000,2.400000,2.280000,2.380000,2.380000,53200
2023-04-04,2.370000,2.380000,2.240000,2.250000,2.250000,19600
