Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.200000,1.290000,1.200000,1.250000,1.250000,53700
2022-12-28,1.210000,1.320000,1.090000,1.150000,1.150000,71700
2022-12-29,1.240000,1.436000,1.240000,1.320000,1.320000,59800
2022-12-30,1.370000,1.440000,1.270000,1.270000,1.270000,21000
2023-01-03,1.390000,1.390000,1.289000,1.310000,1.310000,14900
2023-01-04,1.330000,1.330000,1.300000,1.300000,1.300000,11200
2023-01-05,1.260000,1.342000,1.260000,1.300000,1.300000,15400
2023-01-06,1.380000,1.380000,1.190000,1.320000,1.320000,31400
2023-01-09,1.320000,1.430000,1.280000,1.403000,1.403000,26700
2023-01-10,1.434000,1.630000,1.381000,1.630000,1.630000,45800
2023-01-11,1.690000,1.690000,1.550000,1.690000,1.690000,18200
2023-01-12,1.700000,1.900000,1.580000,1.780000,1.780000,157100
2023-01-13,1.780000,1.790000,1.521000,1.620000,1.620000,111700
2023-01-17,1.620000,1.670000,1.600000,1.660000,1.660000,32700
2023-01-18,1.720000,2.120000,1.710000,1.960000,1.960000,744400
2023-01-19,2.060000,2.530000,1.800000,2.030000,2.030000,1360800
2023-01-20,2.150000,2.420000,2.040000,2.330000,2.330000,1122000
2023-01-23,2.400000,2.600000,2.088000,2.140000,2.140000,805600
2023-01-24,2.150000,2.290000,1.840000,1.950000,1.950000,320600
2023-01-25,2.010000,2.050000,1.830000,2.020000,2.020000,99700
2023-01-26,1.970000,1.990000,1.800000,1.920000,1.920000,162000
2023-01-27,1.850000,1.960000,1.830000,1.949000,1.949000,51000
2023-01-30,1.950000,1.960000,1.830000,1.900000,1.900000,61000
2023-01-31,1.880000,1.910000,1.790000,1.850000,1.850000,79200
2023-02-01,1.890000,1.890000,1.820000,1.845000,1.845000,58300
2023-02-02,1.750000,1.870000,1.750000,1.800000,1.800000,103600
2023-02-03,1.760000,1.850000,1.760000,1.810000,1.810000,40500
2023-02-06,1.810000,1.815000,1.700000,1.750000,1.750000,36200
2023-02-07,1.740000,1.760000,1.680000,1.710000,1.710000,18900
2023-02-08,1.710000,1.710000,1.570000,1.650000,1.650000,63300
2023-02-09,1.650000,1.650000,1.550000,1.550000,1.550000,62200
2023-02-10,1.610000,1.610000,1.560000,1.600000,1.600000,16300
2023-02-13,1.620000,1.680000,1.590000,1.640000,1.640000,61900
2023-02-14,1.700000,1.706000,1.630000,1.640000,1.640000,51600
2023-02-15,1.700000,1.700000,1.630000,1.635000,1.635000,25000
2023-02-16,1.650000,1.690000,1.630000,1.680000,1.680000,40600
2023-02-17,1.700000,1.765000,1.660000,1.720000,1.720000,62500
2023-02-21,1.590000,1.770000,1.580000,1.720000,1.720000,40800
2023-02-22,1.700000,1.760000,1.650000,1.720000,1.720000,26500
2023-02-23,1.670000,1.723000,1.660000,1.700000,1.700000,11600
2023-02-24,1.640000,1.710000,1.560000,1.597000,1.597000,22400
2023-02-27,1.600000,1.608000,1.500000,1.510000,1.510000,15600
2023-02-28,1.510000,1.770000,1.480000,1.710000,1.710000,61500
2023-03-01,1.510000,1.760000,1.510000,1.700000,1.700000,18500
2023-03-02,1.611000,1.670000,1.600000,1.650000,1.650000,19500
2023-03-03,1.640000,1.710000,1.600000,1.600000,1.600000,11600
2023-03-06,1.550000,1.687000,1.550000,1.680000,1.680000,22900
2023-03-07,1.640000,1.680000,1.600000,1.680000,1.680000,17700
2023-03-08,1.640000,1.670000,1.510000,1.625000,1.625000,61300
2023-03-09,1.600000,1.650000,1.550000,1.610000,1.610000,11300
2023-03-10,1.590000,1.610000,1.510000,1.530000,1.530000,24300
2023-03-13,1.510000,1.510000,1.400000,1.436000,1.436000,37800
2023-03-14,1.450000,1.450000,1.300000,1.365000,1.365000,30500
2023-03-15,1.290000,1.328000,1.180000,1.200000,1.200000,79900
2023-03-16,1.160000,1.250000,1.150000,1.250000,1.250000,95900
2023-03-17,1.265000,1.265000,1.190000,1.240000,1.240000,12400
2023-03-20,1.110000,1.280000,1.110000,1.260000,1.260000,7700
2023-03-21,1.210000,1.219000,1.120000,1.160000,1.160000,28000
2023-03-22,1.120000,1.210000,1.120000,1.120000,1.120000,39700
2023-03-23,1.130000,1.170000,1.021000,1.060000,1.060000,49500
2023-03-24,1.030000,1.110000,1.020000,1.085000,1.085000,67700
2023-03-27,1.170000,1.170000,1.030000,1.100000,1.100000,45900
2023-03-28,1.060000,1.100000,1.040000,1.060000,1.060000,57700
2023-03-29,1.080000,1.096000,1.000000,1.020000,1.020000,265400
2023-03-30,1.030000,1.270000,1.030000,1.180000,1.180000,138700
2023-03-31,1.140000,1.290000,1.140000,1.290000,1.290000,67500
2023-04-03,1.330000,1.380000,1.284000,1.300000,1.300000,64600
2023-04-04,1.390000,1.390000,1.210000,1.250000,1.250000,48400
2023-04-05,1.220000,1.290000,1.180000,1.182000,1.182000,12800
2023-04-06,1.180000,1.350000,1.180000,1.350000,1.350000,35500
2023-04-10,1.290000,1.400000,1.290000,1.350000,1.350000,33400
2023-04-11,1.350000,1.400000,1.320000,1.340000,1.340000,46800
2023-04-12,1.270000,1.370000,1.240000,1.290000,1.290000,57400
2023-04-13,1.380000,1.380000,1.240000,1.250000,1.250000,42700
2023-04-14,1.330000,1.430000,1.290000,1.340000,1.340000,66700
2023-04-17,1.340000,1.380000,1.230000,1.249000,1.249000,86000
2023-04-18,1.280000,1.310000,1.010000,1.090000,1.090000,63000
2023-04-19,1.080000,1.160000,1.040000,1.110000,1.110000,69100
2023-04-20,1.090000,1.150000,1.040000,1.097000,1.097000,62300
2023-04-21,1.070000,1.200000,1.070000,1.180000,1.180000,57700
2023-04-24,1.160000,1.210000,1.030000,1.080000,1.080000,45900
2023-04-25,1.060000,1.155000,1.040000,1.130000,1.130000,37800
2023-04-26,1.150000,1.173000,1.023000,1.060000,1.060000,29100
2023-04-27,1.088000,1.180000,1.010000,1.080000,1.080000,67300
2023-04-28,1.090000,1.150000,1.037000,1.119000,1.119000,16600
2023-05-01,1.050000,1.360000,1.050000,1.330000,1.330000,151500
2023-05-02,1.380000,1.490000,1.271000,1.290000,1.290000,37100
2023-05-03,1.330000,1.422000,1.270000,1.310000,1.310000,54200
2023-05-04,1.254000,1.280000,1.200000,1.275000,1.275000,31800
2023-05-05,1.330000,1.330000,1.200000,1.250000,1.250000,8000
2023-05-08,1.210000,1.377000,1.210000,1.290000,1.290000,31900
2023-05-09,1.390000,1.390000,1.260000,1.320000,1.320000,64800
2023-05-10,1.340000,1.420000,1.300000,1.369000,1.369000,124900
2023-05-11,1.330000,1.370000,1.310000,1.370000,1.370000,54300
2023-05-12,1.430000,1.480000,1.380000,1.440000,1.440000,68100
2023-05-15,1.460000,1.596000,1.440000,1.596000,1.596000,114300
2023-05-16,1.610000,1.740000,1.460000,1.720000,1.720000,148500
2023-05-17,1.720000,2.000000,1.640000,1.940000,1.940000,224800
2023-05-18,1.980000,2.000000,1.640000,1.680000,1.680000,171100
2023-05-19,1.700000,1.750000,1.590000,1.677000,1.677000,68600
2023-05-22,1.680000,1.805000,1.650000,1.770000,1.770000,64500
2023-05-23,1.710000,1.880000,1.700000,1.820000,1.820000,40700
2023-05-24,1.840000,1.840000,1.726000,1.780000,1.780000,43400
2023-05-25,1.740000,1.763000,1.610000,1.680000,1.680000,44000
2023-05-26,1.649000,1.730000,1.580000,1.730000,1.730000,40000
2023-05-30,1.750000,1.820000,1.661000,1.820000,1.820000,72700
2023-05-31,1.810000,1.909000,1.780000,1.840000,1.840000,56100
2023-06-01,1.800000,1.881000,1.800000,1.880000,1.880000,21400
2023-06-02,1.860000,1.910000,1.813000,1.900000,1.900000,30200
