Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,5.930000,5.970000,5.810000,5.890000,5.890000,52700
2022-12-28,5.885000,5.912000,5.630000,5.700000,5.700000,93400
2022-12-29,5.740000,5.925000,5.740000,5.880000,5.880000,70500
2022-12-30,5.860000,5.885000,5.710000,5.850000,5.850000,77100
2023-01-03,5.850000,6.044000,5.710000,5.970000,5.970000,154600
2023-01-04,6.050000,6.120000,5.920000,5.980000,5.980000,78400
2023-01-05,6.000000,6.000000,5.770000,5.810000,5.810000,66800
2023-01-06,5.890000,6.070000,5.840000,5.990000,5.990000,80400
2023-01-09,5.990000,6.090000,5.930000,5.980000,5.980000,62600
2023-01-10,6.000000,6.200000,5.890000,6.130000,6.130000,64000
2023-01-11,6.100000,6.270000,5.970000,6.210000,6.210000,73800
2023-01-12,6.200000,6.360000,6.110000,6.260000,6.260000,117100
2023-01-13,6.290000,6.570000,6.180000,6.270000,6.270000,140900
2023-01-17,6.270000,6.280000,6.205000,6.270000,6.270000,131300
2023-01-18,6.270000,6.270000,6.190000,6.240000,6.240000,120200
2023-01-19,6.270000,6.270000,6.190000,6.220000,6.220000,133400
2023-01-20,6.270000,6.550000,6.230000,6.490000,6.490000,118700
2023-01-23,6.550000,6.610000,6.490000,6.510000,6.510000,113900
2023-01-24,7.090000,7.900000,6.800000,7.780000,7.780000,507400
2023-01-25,7.880000,7.900000,7.520000,7.790000,7.790000,172900
2023-01-26,7.830000,8.060000,7.710000,8.030000,8.030000,181000
2023-01-27,8.030000,8.170000,7.900000,8.000000,8.000000,565000
2023-01-30,7.980000,8.120000,7.840000,8.110000,8.110000,91300
2023-01-31,8.140000,8.160000,7.840000,8.140000,8.140000,133300
2023-02-01,8.120000,8.170000,7.900000,8.090000,8.090000,189500
2023-02-02,8.050000,8.140000,8.018000,8.130000,8.130000,151900
2023-02-03,8.090000,8.230000,8.090000,8.230000,8.230000,124700
2023-02-06,8.230000,8.240000,8.100000,8.190000,8.190000,93800
2023-02-07,8.160000,8.200000,8.080000,8.110000,8.110000,86700
2023-02-08,8.040000,8.040000,7.830000,7.960000,7.960000,58200
2023-02-09,7.980000,8.070000,7.830000,7.840000,7.840000,47500
2023-02-10,7.810000,7.970000,7.780000,7.890000,7.890000,41700
