Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,1.000000,1.020000,0.980000,1.000000,1.000000,7300
2022-12-28,0.980000,1.000000,0.900000,0.910000,0.910000,33900
2022-12-29,0.910000,0.980000,0.910000,0.930000,0.930000,26900
2022-12-30,0.920000,0.950000,0.920000,0.920000,0.920000,40000
2023-01-03,0.960000,0.970000,0.940000,0.950000,0.950000,10700
2023-01-04,0.990000,1.020000,0.950000,0.960000,0.960000,6400
2023-01-05,0.930000,1.000000,0.930000,0.960000,0.960000,8400
2023-01-06,0.970000,1.000000,0.960000,0.960000,0.960000,13200
2023-01-09,1.010000,1.010000,1.010000,1.010000,1.010000,1700
2023-01-10,0.950000,1.000000,0.930000,0.960000,0.960000,8700
2023-01-11,0.960000,1.010000,0.960000,1.010000,1.010000,25100
2023-01-12,1.010000,1.010000,0.970000,0.980000,0.980000,59000
2023-01-13,0.970000,1.050000,0.970000,1.020000,1.020000,73600
2023-01-17,1.030000,1.090000,1.030000,1.060000,1.060000,10800
2023-01-18,1.090000,1.100000,1.060000,1.060000,1.060000,27200
2023-01-19,1.090000,1.090000,1.030000,1.030000,1.030000,5400
2023-01-20,1.030000,1.100000,1.030000,1.090000,1.090000,27900
2023-01-23,1.050000,1.110000,1.050000,1.110000,1.110000,21500
2023-01-24,1.100000,1.140000,1.100000,1.110000,1.110000,8500
2023-01-25,1.130000,1.150000,1.110000,1.130000,1.130000,14200
2023-01-26,1.130000,1.130000,1.120000,1.120000,1.120000,3300
2023-01-27,1.140000,1.140000,1.100000,1.100000,1.100000,14500
2023-01-30,1.100000,1.150000,1.100000,1.150000,1.150000,13700
2023-01-31,1.110000,1.150000,1.110000,1.140000,1.140000,16500
2023-02-01,1.130000,1.200000,1.130000,1.180000,1.180000,13600
2023-02-02,1.200000,1.270000,1.140000,1.260000,1.260000,27300
2023-02-03,1.190000,1.270000,1.190000,1.240000,1.240000,30700
2023-02-06,1.270000,1.390000,1.240000,1.310000,1.310000,94700
2023-02-07,1.310000,1.370000,1.300000,1.320000,1.320000,46000
2023-02-08,1.340000,1.370000,1.300000,1.300000,1.300000,14300
2023-02-09,1.300000,1.340000,1.240000,1.270000,1.270000,27400
2023-02-10,1.250000,1.250000,1.190000,1.210000,1.210000,4700
2023-02-13,1.180000,1.240000,1.160000,1.220000,1.220000,3000
2023-02-14,1.230000,1.240000,1.200000,1.200000,1.200000,24900
2023-02-15,1.240000,1.250000,1.150000,1.250000,1.250000,12000
2023-02-16,1.180000,1.220000,1.170000,1.200000,1.200000,14200
2023-02-17,1.240000,1.240000,1.210000,1.230000,1.230000,3000
2023-02-21,1.230000,1.300000,1.140000,1.140000,1.140000,16700
2023-02-22,1.120000,1.200000,1.080000,1.120000,1.120000,18000
